Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adoni,03/05/2010,42,Kapas (Adoni),2462,3299,3180,
,,,Mungari (Unginned),2550,3139,2936,
,04/05/2010,40,Kapas (Adoni),2560,3317,3200,
,,,Mungari (Unginned),2786,3060,2850,
,05/05/2010,12,Kapas (Adoni),2450,3344,3150,
,,,Mungari (Unginned),2000,2911,2800,
,06/05/2010,1760,Kapas (Adoni),2511,3309,3200,
,07/05/2010,8,Kapas (Adoni),2739,3297,3190,
,,,Mungari (Unginned),2949,2949,2949,
,08/05/2010,932,Kapas (Adoni),2375,3314,3150,
,10/05/2010,28,Kapas (Adoni),2400,3316,3150,
,,,Mungari (Unginned),2406,2956,2800,
,11/05/2010,50,Kapas (Adoni),2729,3314,3150,
,,,Mungari (Unginned),2589,3119,3021,
,12/05/2010,18,Kapas (Adoni),2600,3300,3200,
,,,Mungari (Unginned),2596,2986,2870,
,13/05/2010,1378,Kapas (Adoni),2500,3318,3150,
,15/05/2010,608,Kapas (Adoni),2011,3316,3150,
,17/05/2010,16,Kapas (Adoni),2637,3323,3160,
,,,Mungari (Unginned),2811,3188,3121,
,18/05/2010,934,Kapas (Adoni),2400,3326,3180,
,,,Mungari (Unginned),2949,2949,2949,
,19/05/2010,6,Kapas (Adoni),2436,3336,3200,
,,,Mungari (Unginned),3007,3131,3131,
,20/05/2010,6,Kapas (Adoni),2830,3341,3190,
,,,Mungari (Unginned),3001,3057,3038,
,21/05/2010,4,Kapas (Adoni),2400,3391,3190,
,,,Mungari (Unginned),3037,3096,3060,
,22/05/2010,6,Kapas (Adoni),2400,3380,3200,
,,,Mungari (Unginned),3259,3259,3259,
,24/05/2010,906,Kapas (Adoni),2400,3450,3200,
,25/05/2010,862,Kapas (Adoni),2270,3470,3300,
,26/05/2010,706,Kapas (Adoni),2300,3447,3350,
,27/05/2010,1116,Kapas (Adoni),2400,3495,3300,
,28/05/2010,26,Kapas (Adoni),2560,3516,3350,
,,,Mungari (Unginned),3150,3466,3250,
,31/05/2010,4,Kapas (Adoni),2540,3550,3300,
,,,Mungari (Unginned),3129,3181,3181,
Chilakaluripet,01/05/2010,1,Other,3000,3000,3000,
,03/05/2010,1,Other,3000,3000,3000,
,04/05/2010,1,Other,3000,3000,3000,
,06/05/2010,1,Other,3000,3000,3000,
,07/05/2010,1,Other,3000,3000,3000,
,08/05/2010,1,Other,3000,3000,3000,
,09/05/2010,1,Other,3000,3000,3000,
,10/05/2010,1,Other,3000,3000,3000,
,17/05/2010,1,Other,3000,3000,3000,
,18/05/2010,1,Other,3000,3000,3000,
Krosuru,27/05/2010,1,MCU 5,3200,3500,3200,
,31/05/2010,1,MCU 5,3200,3400,3200,
Proddatur,11/05/2010,1,MCU 5,3100,3300,3250,
,13/05/2010,1,MCU 5,3000,3300,3150,
Tadipatri,01/05/2010,50,MCU 5,2800,3100,2900,
,03/05/2010,50,MCU 5,2900,3100,3000,
,04/05/2010,50,MCU 5,2900,3100,3000,
,07/05/2010,50,MCU 5,2900,3100,3000,
,10/05/2010,50,MCU 5,2900,3100,3000,
,11/05/2010,50,MCU 5,2900,3100,3000,
,17/05/2010,50,MCU 5,2900,3100,3000,
,18/05/2010,50,MCU 5,2900,3100,3000,
,19/05/2010,50,MCU 5,2900,3100,3000,
,22/05/2010,50,MCU 5,2900,3100,3000,
,23/05/2010,50,MCU 5,2900,3100,3000,
,24/05/2010,50,MCU 5,2900,3100,3000,
,25/05/2010,50,MCU 5,2900,3100,3000,
,26/05/2010,50,MCU 5,2900,3100,3000,
,27/05/2010,50,MCU 5,2900,3100,3000,
,28/05/2010,50,MCU 5,2900,3100,3000,
,30/05/2010,50,MCU 5,2900,3100,3000,
,31/05/2010,50,MCU 5,2900,3100,3000,
