Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adoni,01/08/2011,33.4,Kapas (Adoni),3040,3680,3450,
,02/08/2011,39.6,Kapas (Adoni),3300,3683,3500,
,03/08/2011,40.8,Kapas (Adoni),3069,3684,3469,
,04/08/2011,36.2,Kapas (Adoni),3207,3709,3550,
,05/08/2011,36,Kapas (Adoni),3466,3776,3500,
,06/08/2011,26,Kapas (Adoni),3011,3911,3700,
,08/08/2011,79.4,Kapas (Adoni),3037,3951,3700,
,09/08/2011,61.4,Kapas (Adoni),3063,3986,3600,
,10/08/2011,59.4,Kapas (Adoni),3111,3925,3650,
,11/08/2011,81.4,Kapas (Adoni),3200,3983,3600,
,12/08/2011,88,Kapas (Adoni),3111,3963,3600,
,13/08/2011,40.8,Kapas (Adoni),3061,3939,3600,
,16/08/2011,151,Kapas (Adoni),3407,3975,3700,
,17/08/2011,87,Kapas (Adoni),3311,4045,3850,
,18/08/2011,167.8,Kapas (Adoni),3320,4156,3850,
,19/08/2011,148.4,Kapas (Adoni),3107,4261,3900,
,20/08/2011,59.6,Kapas (Adoni),3606,4299,3900,
,22/08/2011,112.4,Kapas (Adoni),3606,4369,4050,
,24/08/2011,245.6,Kapas (Adoni),3060,4500,4150,
,25/08/2011,154,Kapas (Adoni),3600,4491,4050,
,26/08/2011,197.2,Kapas (Adoni),3029,4505,4150,
,27/08/2011,117,Kapas (Adoni),3290,4547,4250,
Chilakaluripet,01/08/2011,0.1,Other,3000,3000,3000,
,02/08/2011,0.1,Other,3000,3000,3000,
,03/08/2011,0.1,Other,3000,3000,3000,
,04/08/2011,0.1,Other,3000,3000,3000,
,05/08/2011,0.1,Other,3000,3000,3000,
,06/08/2011,0.1,Other,3000,3000,3000,
,07/08/2011,0.1,Other,3000,3000,3000,
,08/08/2011,0.1,Other,3000,3000,3000,
,09/08/2011,0.1,Other,3000,3000,3000,
,10/08/2011,0.1,Other,3000,3000,3000,
,11/08/2011,0.1,Other,3000,3000,3000,
,12/08/2011,0.1,Other,3000,3000,3000,
,13/08/2011,0.1,Other,3000,3000,3000,
,14/08/2011,0.1,Other,3000,3000,3000,
,15/08/2011,0.1,Other,3000,3000,3000,
,16/08/2011,0.1,Other,3000,3000,3000,
,17/08/2011,0.1,Other,3000,3000,3000,
,18/08/2011,0.1,Other,3000,3000,3000,
,19/08/2011,0.1,Other,3000,3000,3000,
,20/08/2011,0.1,Other,3000,3000,3000,
,21/08/2011,0.1,Other,3000,3000,3000,
,22/08/2011,0.1,Other,3000,3000,3000,
,23/08/2011,0.1,Other,3000,3000,3000,
,24/08/2011,0.1,Other,3000,3000,3000,
,25/08/2011,0.1,Other,3000,3000,3000,
,26/08/2011,0.1,Other,3000,3000,3000,
,27/08/2011,0.1,Other,3000,3000,3000,
,28/08/2011,0.1,Other,3000,3000,3000,
,29/08/2011,0.1,Other,3000,3000,3000,
,30/08/2011,0.1,Other,3000,3000,3000,
,31/08/2011,0.1,Other,3000,3000,3000,
Dhone,11/08/2011,8.5,Farm (Ginned),3800,4000,3900,
,14/08/2011,10,Farm (Ginned),3800,4000,3900,
,17/08/2011,8.5,Farm (Ginned),3800,4000,3900,
,19/08/2011,8.5,Farm (Ginned),3800,4000,3900,
,28/08/2011,8,Farm (Unginned),3020,3100,3050,
,29/08/2011,12,Farm (Ginned),3050,3200,3100,
,30/08/2011,10,Farm (Unginned),3050,3200,3100,
Jammalamadugu,05/08/2011,0.1,Mungari (Unginned),3000,3100,3050,
,10/08/2011,0.1,Mungari (Unginned),3000,3100,3050,
,11/08/2011,0.1,Mungari (Unginned),3000,3100,3050,
,12/08/2011,0.1,Other,3000,3100,3050,
,15/08/2011,0.1,Mungari (Unginned),3000,3200,3100,
,,,N-44,3000,3200,3100,
Kanchekacherla,24/08/2011,22.8,Cotton (Unginned),3125,3750,3500,
Koilkunta,08/08/2011,6.5,Mungari (Unginned),3300,3500,3400,
,16/08/2011,6,Mungari (Ginned),3300,3500,3400,
,18/08/2011,5,Mungari (Ginned),3300,3500,3400,
,19/08/2011,7,Mungari (Ginned),3300,3500,3400,
,22/08/2011,6,Mungari (Ginned),3400,3500,3450,
,24/08/2011,7,Mungari (Ginned),3300,3500,3400,
