Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adoni,02/01/2012,298,Kapas (Adoni),3750,4227,3900,
,03/01/2012,508,Kapas (Adoni),3700,4250,4100,
,04/01/2012,398.2,Kapas (Adoni),3750,4258,3900,
,05/01/2012,574.6,Kapas (Adoni),3800,4285,3950,
,06/01/2012,918.8,Kapas (Adoni),3750,4248,3900,
,07/01/2012,918.8,Kapas (Adoni),3600,4253,4000,
,09/01/2012,782,Kapas (Adoni),3650,4266,3850,
,10/01/2012,700.6,Kapas (Adoni),3700,4302,4050,
,11/01/2012,444,Kapas (Adoni),3800,4328,4050,
,12/01/2012,404.6,Kapas (Adoni),3700,4336,4100,
,13/01/2012,317.4,Kapas (Adoni),3811,4336,4100,
,17/01/2012,262.8,Kapas (Adoni),3950,4472,4150,
,18/01/2012,629,Kapas (Adoni),3950,4421,4200,
,19/01/2012,1016.4,Kapas (Adoni),3900,4439,4150,
,20/01/2012,1328.6,Kapas (Adoni),3750,4375,4050,
,21/01/2012,633,Kapas (Adoni),3700,4349,4150,
,24/01/2012,1123.4,Kapas (Adoni),3800,4325,4050,
,25/01/2012,1070.2,Kapas (Adoni),3750,4331,4050,
,27/01/2012,2595.4,Kapas (Adoni),3400,4219,3850,
,28/01/2012,524.2,Kapas (Adoni),3410,4190,3900,
,30/01/2012,782.4,Kapas (Adoni),3600,4250,3850,
,31/01/2012,739,Kapas (Adoni),3600,4237,3900,
Alur,14/01/2012,11,Other,1818,1818,1818,
Banaganapalli,03/01/2012,8,Mungari (Ginned),3600,4000,3800,
,05/01/2012,15,Mungari (Ginned),3600,4000,3800,
,09/01/2012,8,Mungari (Ginned),3500,4000,3750,
,10/01/2012,7,Mungari (Ginned),3500,4000,3750,
,11/01/2012,8,Mungari (Ginned),3500,4000,3750,
,13/01/2012,6,Mungari (Ginned),3500,4000,3750,
,14/01/2012,20,Mungari (Ginned),3500,4000,3750,
,16/01/2012,8,Mungari (Ginned),3500,4000,3750,
,23/01/2012,8,Mungari (Ginned),3500,4000,3750,
Chilakaluripet,01/01/2012,0.1,Other,3600,3800,3700,
,02/01/2012,0.1,Other,3600,3800,3700,
,03/01/2012,0.1,Other,3600,3800,3700,
,04/01/2012,0.1,Other,3650,3800,3700,
,05/01/2012,0.1,Other,3700,3900,3800,
,06/01/2012,0.1,Other,3700,3900,3800,
,07/01/2012,0.1,Other,3700,3900,3800,
,08/01/2012,0.1,Other,3700,3900,3800,
,09/01/2012,0.1,Other,3800,3900,3850,
,10/01/2012,0.1,Other,3800,3950,3900,
,11/01/2012,0.1,Other,3800,3950,3900,
,12/01/2012,0.1,Other,3850,3950,3900,
,13/01/2012,0.1,Other,3850,3950,3900,
,14/01/2012,0.1,Other,3900,4000,3950,
,15/01/2012,0.1,Other,3700,3900,3800,
,16/01/2012,0.1,Other,3900,4100,4000,
,17/01/2012,0.1,Other,3900,4100,4000,
,18/01/2012,0.1,Other,3900,4100,4000,
,19/01/2012,0.1,Other,3800,4000,3900,
,20/01/2012,0.1,Other,3800,4000,3900,
,21/01/2012,0.1,Other,3700,4000,3900,
,22/01/2012,0.1,Other,3700,4100,3800,
,23/01/2012,0.1,Other,3700,4100,3800,
,24/01/2012,0.1,Other,3700,4100,3800,
,25/01/2012,0.1,Other,3700,4100,3800,
,26/01/2012,0.1,Other,3700,4100,3800,
,27/01/2012,0.1,Other,3700,4100,3800,
,28/01/2012,0.1,Other,3800,4000,3900,
,29/01/2012,0.1,Other,3800,4000,3900,
,30/01/2012,0.1,Other,3800,4000,3900,
,31/01/2012,0.1,Other,3800,4000,3900,
Chintapally,04/01/2012,6.2,Other,3000,3200,3000,
,11/01/2012,6,Other,3000,3200,3000,
Gajapathinagaram,12/01/2012,8,Cotton (Unginned),3400,3900,3750,
Kamalapuram,05/01/2012,14.5,Other,3693,3893,3793,
,11/01/2012,7,Other,3000,5000,4000,
,13/01/2012,14.5,Other,3348,3548,3448,
,20/01/2012,45,Other,3456,3656,3556,
,21/01/2012,21,Other,3471,3671,3571,
,23/01/2012,29,Other,3176,3376,3276,
,25/01/2012,6.5,Other,3027,3127,3077,
,28/01/2012,8,Other,3700,3800,3750,
Kanchekacherla,14/01/2012,0.1,H 420,3300,4300,3750,
,15/01/2012,0.1,H 420,3300,4300,3750,
,16/01/2012,0.1,H 420,3300,4300,3750,
,17/01/2012,0.1,H 420,3300,4300,3750,
,18/01/2012,0.1,H 420,3300,4300,3750,
,19/01/2012,0.1,H 420,3300,4300,3750,
Koilkunta,09/01/2012,9,Mungari (Ginned),3400,3500,3450,
,10/01/2012,19.5,Mungari (Ginned),3400,3500,3450,
,11/01/2012,2.5,Mungari (Ginned),3200,3400,3300,
,12/01/2012,4,Mungari (Ginned),3400,3500,3450,
,16/01/2012,8.5,Mungari (Ginned),3400,3500,3450,
,18/01/2012,3,Mungari (Ginned),3200,3300,3250,
,19/01/2012,6.5,Mungari (Ginned),3400,3500,3450,
,21/01/2012,6,Mungari (Ginned),3400,3500,3450,
,24/01/2012,3.5,Mungari (Ginned),3400,3500,3450,
,27/01/2012,3,Mungari (Ginned),3400,3500,3450,
,30/01/2012,3.5,N-44,3400,3500,3450,
,31/01/2012,3.5,N-44,3400,3500,3450,
Krosuru,01/01/2012,0.1,MCU 5,3500,3700,3600,
,02/01/2012,0.1,MCU 5,3500,3700,3600,
,03/01/2012,0.1,MCU 5,3500,3800,3600,
,04/01/2012,0.1,MCU 5,3500,3800,3600,
,05/01/2012,0.1,MCU 5,3500,3800,3500,
,06/01/2012,0.1,MCU 5,3500,3700,3500,
,07/01/2012,0.1,MCU 5,3500,3700,3500,
,08/01/2012,0.1,MCU 5,3500,3700,3500,
,09/01/2012,0.1,MCU 5,3600,4000,3800,
,10/01/2012,0.1,MCU 5,3600,4000,3800,
,11/01/2012,0.1,MCU 5,3600,4000,3800,
,12/01/2012,0.1,MCU 5,3600,4000,3800,
,13/01/2012,0.1,MCU 5,3500,4000,3800,
,14/01/2012,0.1,MCU 5,3500,4000,3800,
,15/01/2012,0.1,MCU 5,3500,3800,3600,
,16/01/2012,0.1,MCU 5,3500,3800,3600,
,17/01/2012,0.1,MCU 5,3500,3800,3600,
,18/01/2012,0.1,MCU 5,3500,4000,3600,
,19/01/2012,0.1,MCU 5,3400,3800,3600,
,20/01/2012,0.1,MCU 5,3500,4000,3800,
,21/01/2012,0.1,MCU 5,3600,4000,3800,
,22/01/2012,0.1,MCU 5,3600,4000,3800,
,23/01/2012,0.1,MCU 5,3600,4000,3800,
,24/01/2012,0.1,MCU 5,3500,4000,3800,
,25/01/2012,0.1,MCU 5,3500,4000,3800,
,26/01/2012,0.1,MCU 5,3600,4800,3800,
,27/01/2012,0.1,MCU 5,3500,4800,3800,
,28/01/2012,0.1,MCU 5,3600,4800,3800,
,29/01/2012,0.1,MCU,3600,4000,3800,
,30/01/2012,0.1,MCU 5,3600,4000,3800,
,31/01/2012,0.1,MCU 5,3600,4000,3800,
Kurupam,04/01/2012,42.7,Desi,3050,3279,3179,
,07/01/2012,10,Desi,3350,3500,3450,
,19/01/2012,9,Desi,3300,3400,3300,
,24/01/2012,10,Desi,3300,3500,3400,
,28/01/2012,3.5,Desi,3333,3500,3400,
,30/01/2012,10,Desi,3850,4500,4000,
,31/01/2012,10.1,Desi,3300,3500,3400,
Macharla,01/01/2012,0.1,Other,3350,4100,3550,
,02/01/2012,0.1,Other,3400,3950,3750,
,03/01/2012,0.1,Other,3350,3500,3450,
,04/01/2012,0.1,Other,3550,4250,3850,
,05/01/2012,0.1,Other,3350,3550,3450,
,06/01/2012,0.1,Other,3377,3577,3409,
,07/01/2012,0.1,Other,3359,3571,3418,
,08/01/2012,0.1,Other,3350,3950,3550,
,09/01/2012,355,Other,3700,3950,3950,
,10/01/2012,0.1,Other,3450,3800,3650,
,11/01/2012,0.1,Other,3350,3850,3550,
,12/01/2012,0.1,Other,3350,3900,3550,
,13/01/2012,0.1,Other,3350,3850,3550,
,14/01/2012,0.1,Other,3350,3550,3450,
,15/01/2012,0.1,Other,3450,3750,3550,
,16/01/2012,0.1,Other,3550,4050,3750,
,17/01/2012,0.1,Other,3350,4100,3730,
,18/01/2012,0.1,Other,3350,3660,3450,
,19/01/2012,0.1,Other,3350,3950,3750,
,20/01/2012,0.1,Other,3350,3550,3450,
,21/01/2012,0.1,Other,3350,3950,3750,
,22/01/2012,0.1,Other,3333,3733,3571,
,23/01/2012,0.1,Other,3350,3720,3516,
,24/01/2012,0.1,Other,3450,3890,3620,
,25/01/2012,0.1,Other,3450,3950,3730,
,26/01/2012,0.1,Other,3450,3950,3750,
,27/01/2012,0.1,Other,3550,4100,3950,
,28/01/2012,0.1,Other,3350,3950,3550,
,29/01/2012,0.1,Other,3450,4050,3750,
,30/01/2012,0.1,Other,3350,3750,3450,
,31/01/2012,0.1,Other,3350,3750,3450,
Nandigama,03/01/2012,0.1,H 420,3650,3750,3700,
,06/01/2012,0.1,H 420,3600,3750,3650,
,11/01/2012,0.1,H 420,3600,3750,3650,
,12/01/2012,0.1,H 420,3600,3750,3650,
,13/01/2012,0.1,H 420,3650,3750,3700,
,17/01/2012,0.1,H 420,3650,3750,3700,
,18/01/2012,0.1,H 420,3600,3750,3650,
,19/01/2012,0.1,H 420,3650,3750,3700,
,20/01/2012,0.1,H 420,3700,4000,3750,
,21/01/2012,0.1,H 420,3650,4000,3750,
,24/01/2012,0.1,H 420,3650,4000,3750,
,25/01/2012,0.1,H 420,3650,4000,3750,
,27/01/2012,0.1,H 420,3650,4000,3750,
,28/01/2012,0.1,H 420,3650,4000,3750,
,30/01/2012,0.1,H 420,3650,4000,3750,
,31/01/2012,0.1,H 420,3650,4000,3750,
Parvathipuram,02/01/2012,24.7,Desi,3000,3000,3000,
,03/01/2012,47.5,Desi,3333,3750,3475,
,04/01/2012,53.5,Desi,3333,3583,3478,
,05/01/2012,50,Desi,3650,3846,3750,
,06/01/2012,23,Desi,3333,4000,3385,
