Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adoni,02/07/2012,129,Kapas (Adoni),3501,4719,4250,
,03/07/2012,140,Kapas (Adoni),3619,4756,4250,
,04/07/2012,77.2,Kapas (Adoni),3650,4751,4200,
,05/07/2012,103.8,Kapas (Adoni),3829,4797,4200,
,06/07/2012,203.4,Kapas (Adoni),3609,4845,4250,
,07/07/2012,51,Kapas (Adoni),3600,4900,4300,
,09/07/2012,125.6,Kapas (Adoni),3611,4959,4300,
,10/07/2012,110.8,Kapas (Adoni),3786,5010,4350,
,11/07/2012,72.4,Kapas (Adoni),3860,4980,4450,
,12/07/2012,101.6,Kapas (Adoni),4000,5017,4500,
,13/07/2012,102.6,Kapas (Adoni),4000,5025,4850,
,16/07/2012,101.4,Kapas (Adoni),4000,5124,4800,
,17/07/2012,41.8,Kapas (Adoni),3699,5169,4666,
,18/07/2012,47.6,Kapas (Adoni),4150,5214,4900,
,20/07/2012,50.8,Kapas (Adoni),4160,5291,4800,
,21/07/2012,32,Kapas (Adoni),4600,5389,4850,
,23/07/2012,48.8,Kapas (Adoni),4600,5429,4900,
,24/07/2012,66.2,Kapas (Adoni),4500,5430,4900,
,25/07/2012,62.8,Kapas (Adoni),4311,5418,4850,
,26/07/2012,106,Kapas (Adoni),4126,5410,4700,
,27/07/2012,127,Kapas (Adoni),4167,5331,4600,
,28/07/2012,286.8,Kapas (Adoni),4000,5171,4750,
,30/07/2012,286.8,Kapas (Adoni),4000,5171,4750,
,31/07/2012,310,Kapas (Adoni),4050,5105,4650,
Banaganapalli,02/07/2012,6,Mungari (Ginned),3400,3800,3600,
,05/07/2012,7,Mungari (Ginned),3200,3800,3500,
,07/07/2012,11,Mungari (Ginned),3600,4000,3800,
,09/07/2012,9,Mungari (Ginned),3600,4000,3800,
,10/07/2012,10,Mungari (Ginned),3600,4000,3800,
,12/07/2012,8,Mungari (Ginned),3500,4000,3750,
,13/07/2012,3,Mungari (Ginned),3500,4000,3750,
,16/07/2012,6,Mungari (Ginned),3500,4000,3750,
,17/07/2012,3,Mungari (Ginned),3500,4000,3750,
,18/07/2012,8,Mungari (Ginned),3500,4000,3750,
,20/07/2012,8,Mungari (Ginned),3500,4000,3750,
,21/07/2012,10,Mungari (Unginned),3500,4000,3750,
,23/07/2012,8,Mungari (Ginned),3500,4000,3750,
,24/07/2012,8,Mungari (Ginned),3500,4000,3750,
Chilakaluripet,01/07/2012,0.1,Other,3600,3800,3700,
,02/07/2012,0.1,Other,3500,3800,3700,
,03/07/2012,0.1,Other,3600,3800,3700,
,04/07/2012,0.1,Other,3600,3800,3700,
,05/07/2012,0.1,Other,3400,3600,3500,
,06/07/2012,0.1,Other,3400,3600,3500,
,07/07/2012,0.1,Other,3400,3600,3500,
,08/07/2012,0.1,Other,3400,3600,3500,
,09/07/2012,0.1,Other,3400,3600,3500,
,10/07/2012,0.1,Other,3400,3600,3500,
,20/07/2012,0.1,Other,3600,3800,3700,
,21/07/2012,0.1,Other,3600,3800,3700,
,22/07/2012,0.1,Other,3600,3800,3700,
,23/07/2012,0.1,Other,3600,3800,3700,
,24/07/2012,0.1,Other,3600,3800,3700,
,25/07/2012,0.1,Other,3600,3800,3700,
,26/07/2012,0.1,Other,3550,3700,3600,
,27/07/2012,0.1,Other,3600,3800,3700,
,28/07/2012,0.1,Other,3650,3800,3700,
,29/07/2012,0.1,Other,3600,3800,3700,
,31/07/2012,0.1,Other,3600,3800,3700,
Hiramandalam,01/07/2012,8,Cotton (Ginned),3000,3400,3200,
,03/07/2012,26,Cotton (Ginned),3000,3400,3200,
Kamalapuram,05/07/2012,9,Cotton (Unginned),3233,3433,3333,
,06/07/2012,9,Cotton (Unginned),3233,3433,3333,
,09/07/2012,9,Cotton (Unginned),3233,3433,3333,
,24/07/2012,8,Cotton (Unginned),3650,3850,3750,
Koilkunta,02/07/2012,8,N-44,3250,3350,3300,
,03/07/2012,17.5,N-44,3250,3350,3300,
,05/07/2012,3,N-44,3250,3350,3300,
,07/07/2012,16,N-44,3250,3350,3300,
,12/07/2012,7.5,N-44,3250,3350,3300,
,17/07/2012,15.5,N-44,3250,3350,3300,
,25/07/2012,23.5,N-44,3250,3350,3300,
,26/07/2012,23.5,N-44,3250,3350,3300,
,27/07/2012,7.5,N-44,3250,3350,3300,
,30/07/2012,5,N-44,3250,3350,3300,
,31/07/2012,6,N-44,3250,3350,3300,
Krosuru,01/07/2012,0.1,MCU 5,4000,4300,4000,
,02/07/2012,0.1,MCU 5,3900,4500,4000,
,03/07/2012,0.1,MCU 5,3500,4000,3500,
,04/07/2012,0.1,MCU 5,3500,4500,4000,
,05/07/2012,0.1,MCU 5,3500,4400,4000,
,06/07/2012,0.1,MCU 5,3500,4500,4000,
,07/07/2012,0.1,MCU 5,3500,4000,3500,
,08/07/2012,0.1,MCU 5,4200,4500,4300,
,09/07/2012,0.1,MCU 5,3500,4500,4000,
,10/07/2012,0.1,MCU 5,3500,4500,4000,
,11/07/2012,0.1,MCU 5,3500,4500,4000,
,12/07/2012,0.1,MCU 5,3500,4500,4000,
,13/07/2012,0.1,MCU 5,3500,4500,4000,
,14/07/2012,0.1,MCU 5,3500,4500,4000,
,15/07/2012,0.1,MCU 5,3500,4500,4000,
,16/07/2012,0.1,MCU 5,3500,4500,4000,
,17/07/2012,0.1,MCU 5,3500,4500,4000,
,18/07/2012,0.1,MCU 5,3500,4500,4000,
,19/07/2012,0.1,MCU 5,3500,4500,4000,
,20/07/2012,0.1,MCU 5,3500,4500,4000,
,21/07/2012,0.1,MCU 5,3500,4500,4000,
,22/07/2012,0.1,MCU 5,3500,4500,4000,
,23/07/2012,0.1,MCU 5,4000,4500,4400,
,24/07/2012,0.1,MCU 5,4000,4500,4400,
,25/07/2012,0.1,MCU 5,4500,4800,4500,
,26/07/2012,0.1,MCU 5,4200,4500,4300,
,27/07/2012,0.1,MCU 5,4500,4800,4500,
,28/07/2012,0.1,MCU 5,4300,4500,4300,
,29/07/2012,0.1,MCU 5,4500,4800,4500,
,30/07/2012,0.1,MCU 5,4500,4800,4500,
,31/07/2012,0.1,MCU 5,4500,4800,4500,
Macharla,01/07/2012,0.1,Other,3350,3450,3400,
,02/07/2012,0.1,Other,3350,3450,3400,
,03/07/2012,0.1,Other,3350,3450,3400,
,04/07/2012,0.1,Other,3350,3450,3400,
,05/07/2012,0.1,Other,3350,3450,3400,
,06/07/2012,0.1,Other,3400,3550,3450,
,07/07/2012,0.1,Other,3400,3550,3450,
,08/07/2012,0.1,Other,3400,3550,3450,
,09/07/2012,0.1,Other,3650,4150,4000,
,10/07/2012,0.1,Other,3400,3550,3450,
,11/07/2012,0.1,Other,3350,3550,3450,
,12/07/2012,0.1,Other,3400,3520,3450,
,13/07/2012,0.1,Other,3350,3450,3400,
,14/07/2012,0.1,Other,3400,3550,3450,
,15/07/2012,0.1,Other,3400,3550,3450,
,16/07/2012,0.1,Other,3400,3550,3450,
,17/07/2012,0.1,Other,3400,3550,3450,
,18/07/2012,0.1,Other,3400,3550,3450,
,19/07/2012,0.1,Other,3450,3550,3500,
,20/07/2012,0.1,Other,3450,3550,3500,
,21/07/2012,0.1,Other,3350,3450,3400,
,22/07/2012,0.1,Other,3450,4400,3700,
,23/07/2012,0.1,Other,3550,4400,3750,
,24/07/2012,0.1,Other,3400,3550,3450,
,25/07/2012,0.1,Other,3450,3550,3500,
,26/07/2012,0.1,Other,3350,3450,3400,
,27/07/2012,0.1,Other,3400,3550,3450,
,28/07/2012,0.1,Other,3400,3550,3450,
,29/07/2012,0.1,Other,3400,3550,3450,
,30/07/2012,0.1,Other,3450,3650,3550,
,31/07/2012,0.1,Other,3400,3750,3550,
Mylavaram,02/07/2012,1.6,Desi,3300,3300,3300,
Parvathipuram,04/07/2012,8.8, ,NR,NR,NR,
,16/07/2012,9.2,Desi,1742,1742,1742,
Sattenapalli,01/07/2012,0.1,MCU 5,3400,3800,3500,
,02/07/2012,0.1,MCU 5,3400,3800,3500,
,03/07/2012,0.1,MCU 5,3400,3600,3500,
,04/07/2012,0.1,MCU 5,3400,3600,3500,
,05/07/2012,0.1,MCU 5,3400,3800,3500,
,06/07/2012,0.1,MCU 5,3400,3800,3500,
,07/07/2012,0.1,MCU 5,3400,3800,3500,
,08/07/2012,0.1,MCU 5,3400,3800,3500,
,09/07/2012,0.1,MCU 5,3400,3800,3500,
,10/07/2012,0.1,MCU 5,3400,3800,3500,
,11/07/2012,0.1,MCU 5,3400,3800,3500,
,12/07/2012,0.1,MCU 5,3400,3800,3500,
,13/07/2012,0.1,MCU 5,3400,3800,3500,
,14/07/2012,0.1,MCU 5,3400,3800,3500,
,15/07/2012,0.1,MCU 5,3400,3800,3500,
,16/07/2012,0.1,MCU 5,3400,3800,3500,
,17/07/2012,0.1,MCU 5,3400,3800,3500,
,18/07/2012,0.1,MCU 5,3400,3800,3500,
,19/07/2012,0.1,MCU 5,3400,3800,3500,
,20/07/2012,0.1,MCU 5,3400,3800,3500,
,21/07/2012,0.1,MCU 5,3400,3800,3500,
,22/07/2012,0.1,MCU 5,3400,3700,3500,
,23/07/2012,0.1,MCU 5,3400,3800,3500,
,24/07/2012,0.1,MCU 5,3400,3800,3500,
,25/07/2012,0.1,MCU 5,3400,3800,3500,
,26/07/2012,0.1,MCU 5,3400,3800,3500,
,27/07/2012,0.1,MCU 5,3400,3800,3500,
,28/07/2012,0.1,MCU 5,3400,3800,3500,
,29/07/2012,0.1,MCU 5,3400,3800,3500,
,30/07/2012,0.1,MCU 5,3400,3800,3500,
,31/07/2012,0.1,MCU 5,3400,3800,3500,
Tadikonda,01/07/2012,0.1,Cotton (Unginned),3000,3200,3100,
,02/07/2012,0.1,Cotton (Unginned),3000,3200,3100,
,03/07/2012,0.1,Cotton (Unginned),3000,3200,3100,
,04/07/2012,0.1,Cotton (Unginned),3000,3200,3100,
,05/07/2012,0.1,Cotton (Unginned),3000,3200,3100,
,06/07/2012,0.1,Cotton (Unginned),3000,3200,3100,
,07/07/2012,0.1,Cotton (Unginned),3000,3200,3100,
,08/07/2012,0.1,Cotton (Unginned),3000,3200,3100,
,09/07/2012,0.1,Cotton (Unginned),3000,3200,3100,
,10/07/2012,0.1,Cotton (Unginned),3000,3200,3100,
,12/07/2012,0.1,Cotton (Unginned),3000,3200,3100,
,13/07/2012,0.1,Cotton (Unginned),3000,3200,3100,
,16/07/2012,0.1,Cotton (Unginned),3000,3200,3100,
,17/07/2012,0.1,Cotton (Unginned),3000,3200,3100,
,18/07/2012,0.1,Cotton (Unginned),3000,3200,3100,
,19/07/2012,0.1,Cotton (Unginned),3000,3200,3100,
,21/07/2012,0.1,Cotton (Unginned),3000,3200,3100,
,23/07/2012,0.1,Cotton (Unginned),3000,4300,3500,
,24/07/2012,0.1,Cotton (Unginned),3000,3500,3200,
,25/07/2012,0.1,Cotton (Unginned),3000,3600,3300,
,27/07/2012,0.1,Cotton (Unginned),3000,4500,3500,
,30/07/2012,0.1,Cotton (Unginned),3000,4700,3500,
