Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adoni,01/06/2012,201,Kapas (Adoni),3400,4089,3850,
,02/06/2012,126,Kapas (Adoni),3500,4165,3900,
,06/06/2012,139.4,Kapas (Adoni),3500,4150,3800,
,07/06/2012,254,Kapas (Adoni),3550,4151,3800,
,08/06/2012,467.6,Kapas (Adoni),3555,4145,3800,
,09/06/2012,194.4,Kapas (Adoni),3500,4144,3900,
,11/06/2012,383.8,Kapas (Adoni),3550,4155,3850,
,12/06/2012,246,Kapas (Adoni),3500,4150,3900,
,13/06/2012,157.6,Kapas (Adoni),3450,4171,3750,
,14/06/2012,233.6,Kapas (Adoni),3500,4210,3800,
,15/06/2012,209,Kapas (Adoni),3500,4240,3900,
,16/06/2012,114.6,Kapas (Adoni),3550,4270,4000,
,18/06/2012,218.4,Kapas (Adoni),3559,4349,3900,
,21/06/2012,145.6,Kapas (Adoni),3700,4410,4000,
,22/06/2012,360.4,Kapas (Adoni),3600,4311,4000,
,23/06/2012,139.6,Kapas (Adoni),3609,4309,3900,
,25/06/2012,309,Kapas (Adoni),3500,4353,4000,
,26/06/2012,269,Kapas (Adoni),3500,4419,4050,
,27/06/2012,131.4,Kapas (Adoni),3607,4484,4050,
,28/06/2012,153.4,Kapas (Adoni),3529,4588,4150,
,29/06/2012,179.4,Kapas (Adoni),3669,4751,4220,
,30/06/2012,84.8,Kapas (Adoni),3500,4689,4300,
Alur,29/06/2012,13,Desi,3000,3000,3000,
Banaganapalli,13/06/2012,7.5,Mungari (Ginned),3300,3700,3500,
,14/06/2012,11,Mungari (Ginned),3200,3800,3500,
,18/06/2012,19.5,Mungari (Ginned),3500,4000,3750,
,21/06/2012,15,Mungari (Ginned),3200,3800,3500,
,29/06/2012,33.6,Mungari (Ginned),3200,3800,3500,
Chilakaluripet,01/06/2012,0.1,Other,3400,3500,3450,
,02/06/2012,0.1,Other,3300,3500,3400,
,03/06/2012,0.1,Other,3300,3500,3400,
,06/06/2012,0.1,Other,3300,3500,3400,
,07/06/2012,0.1,Other,3300,3500,3400,
,08/06/2012,0.1,Other,3300,3500,3400,
,09/06/2012,0.1,Other,3300,3500,3400,
,10/06/2012,0.1,Other,3300,3500,3400,
,11/06/2012,0.1,Other,3300,3500,3400,
,12/06/2012,0.1,Other,3300,3500,3400,
,13/06/2012,0.1,Other,3600,3800,3700,
,14/06/2012,0.1,Other,3600,3800,3700,
,15/06/2012,0.1,Other,3600,3800,3700,
,16/06/2012,0.1,Other,3600,3800,3700,
,18/06/2012,0.1,Other,3600,3800,3700,
,19/06/2012,0.1,Other,3600,3800,3700,
,20/06/2012,0.1,Other,3700,3900,3800,
,21/06/2012,0.1,Other,3700,3900,3800,
,27/06/2012,0.1,Other,3700,3900,3800,
,28/06/2012,0.1,Other,3600,3800,3700,
,29/06/2012,0.1,Other,3600,3800,3700,
,30/06/2012,0.1,Other,3600,3800,3700,
Kamalapuram,01/06/2012,15,Cotton (Unginned),3567,3767,3667,
,02/06/2012,17,Cotton (Unginned),3429,3629,3529,
,04/06/2012,63,Cotton (Unginned),3650,3850,3750,
,05/06/2012,24,Cotton (Unginned),3650,3850,3750,
,06/06/2012,32,Cotton (Unginned),3650,3850,3750,
,08/06/2012,56,Cotton (Unginned),3650,3850,3750,
,13/06/2012,33,Cotton (Unginned),3536,3736,3636,
,16/06/2012,8,Cotton (Unginned),3650,3850,3750,
,18/06/2012,41,Cotton (Unginned),3559,3759,3659,
,19/06/2012,39,Cotton (Unginned),3490,3690,3590,
,20/06/2012,16,Cotton (Unginned),3650,3850,3750,
,21/06/2012,16,Cotton (Unginned),3650,3850,3750,
,23/06/2012,8,Cotton (Unginned),3650,3850,3750,
,26/06/2012,15,Cotton (Unginned),3567,3767,3667,
,28/06/2012,25,Cotton (Unginned),3500,3700,3600,
Koilkunta,01/06/2012,14.5,N-44,3250,3350,3300,
,02/06/2012,7.5,N-44,3250,3350,3300,
,05/06/2012,27.5,N-44,3250,3350,3300,
,06/06/2012,8,N-44,3250,3350,3300,
,08/06/2012,15,N-44,3250,3350,3300,
,11/06/2012,15,N-44,3250,3350,3300,
,15/06/2012,8,N-44,3250,3350,3300,
,16/06/2012,8,N-44,3250,3350,3300,
,18/06/2012,15,N-44,3250,3350,3300,
,19/06/2012,16,N-44,3250,3350,3300,
,20/06/2012,14.5,N-44,3250,3350,3300,
,21/06/2012,8,N-44,3200,3350,3300,
,22/06/2012,8,N-44,3250,3350,3300,
,25/06/2012,38.5,N-44,3250,3350,3300,
,26/06/2012,22,N-44,3250,3350,3300,
,27/06/2012,15,N-44,3250,3350,3300,
,28/06/2012,38.5,N-44,3250,3350,3300,
,29/06/2012,15,N-44,3250,3350,3300,
,30/06/2012,7,N-44,3250,3350,3300,
Krosuru,01/06/2012,0.1,MCU 5,3500,4500,4000,
,02/06/2012,0.1,MCU 5,3500,4500,4000,
,04/06/2012,0.1,MCU 5,3000,3500,3000,
,05/06/2012,0.1,MCU 5,3000,4000,3500,
,06/06/2012,0.1,MCU 5,3000,4000,3500,
,07/06/2012,0.1,MCU 5,3000,3500,3000,
,08/06/2012,0.1,MCU 5,3000,4000,3500,
,09/06/2012,0.1,MCU 5,3000,4000,3500,
,11/06/2012,0.1,MCU 5,3000,4000,3500,
,12/06/2012,0.1,MCU 5,3000,4000,3500,
,13/06/2012,0.1,MCU 5,3000,4000,3500,
,14/06/2012,0.1,MCU 5,3000,4000,3500,
Macharla,01/06/2012,0.1,Other,3350,3450,3400,
,02/06/2012,0.1,Other,3300,3400,3350,
,03/06/2012,0.1,Other,3350,3450,3400,
,04/06/2012,0.1,Other,3350,3450,3400,
,05/06/2012,0.1,Other,3300,3400,3350,
,06/06/2012,0.1,Other,3350,3450,3400,
,07/06/2012,0.1,Other,3350,3450,3400,
,08/06/2012,0.1,Other,3350,3450,3400,
,09/06/2012,0.1,Other,3350,3450,3400,
,10/06/2012,0.1,Other,3350,3450,3400,
,11/06/2012,0.1,Other,3350,3450,3400,
,12/06/2012,0.1,Other,3350,3450,3400,
,13/06/2012,0.1,Other,3350,3450,3400,
,14/06/2012,0.1,Other,3350,3450,3400,
,15/06/2012,0.1,Other,3350,3450,3400,
,16/06/2012,0.1,Other,3350,3450,3400,
,17/06/2012,0.1,Other,3350,3450,3400,
,18/06/2012,0.1,Other,3350,3450,3400,
,19/06/2012,0.1,Other,3350,3450,3400,
,20/06/2012,0.1,Other,3350,3450,3400,
,21/06/2012,0.1,Other,3350,3450,3400,
,22/06/2012,0.1,Other,3350,3450,3400,
,23/06/2012,0.1,Other,3350,3450,3400,
,24/06/2012,0.1,Other,3300,3400,3350,
,25/06/2012,0.1,Other,3350,3450,3400,
,27/06/2012,0.1,Other,3350,3450,3400,
Sattenapalli,01/06/2012,0.1,MCU 5,3400,3800,3500,
,02/06/2012,0.1,MCU 5,3400,3800,3500,
,03/06/2012,0.1,MCU 5,3400,3800,3500,
,04/06/2012,0.1,MCU 5,3400,3600,3500,
,05/06/2012,0.1,MCU 5,3400,3800,3500,
,06/06/2012,0.1,MCU 5,3300,3800,3400,
,07/06/2012,0.1,MCU 5,3400,3800,3500,
,08/06/2012,0.1,MCU 5,3400,3600,3500,
,09/06/2012,0.1,MCU 5,3400,3800,3500,
,10/06/2012,0.1,MCU 5,3400,3800,3500,
,11/06/2012,0.1,MCU 5,3500,3800,3600,
,12/06/2012,0.1,MCU 5,3400,3800,3500,
,13/06/2012,0.1,MCU 5,3400,3800,3500,
,14/06/2012,0.1,MCU 5,3400,3800,3500,
,15/06/2012,0.1,MCU 5,3400,3800,3500,
,16/06/2012,0.1,MCU 5,3400,3800,3500,
,17/06/2012,0.1,MCU 5,3400,3800,3500,
,18/06/2012,0.1,MCU 5,3400,3800,3500,
,19/06/2012,0.1,MCU 5,3400,3800,3500,
,20/06/2012,0.1,MCU 5,3400,3800,3500,
,21/06/2012,0.1,MCU 5,3400,3800,3500,
,22/06/2012,0.1,MCU 5,3400,3800,3500,
,23/06/2012,0.1,MCU 5,3400,3800,3500,
,24/06/2012,0.1,MCU 5,3400,3800,3500,
,25/06/2012,0.1,MCU 5,3400,3800,3500,
,26/06/2012,0.1,MCU 5,3400,3800,3500,
,27/06/2012,0.1,MCU 5,3400,3800,3500,
,28/06/2012,0.1,MCU 5,3400,3800,3500,
,29/06/2012,0.1,MCU 5,3400,3800,3500,
,30/06/2012,0.1,MCU 5,3400,3800,3500,
Tadikonda,01/06/2012,0.1,Cotton (Unginned),3000,3200,3100,
,02/06/2012,0.1,Cotton (Unginned),3000,3200,3100,
,03/06/2012,0.1,Cotton (Unginned),3000,3200,3100,
,04/06/2012,0.1,Cotton (Unginned),3000,3200,3100,
,05/06/2012,0.1,Cotton (Unginned),3000,3200,3100,
,06/06/2012,0.1,Cotton (Unginned),3000,3200,3100,
,07/06/2012,0.1,Cotton (Unginned),3000,3200,3100,
,08/06/2012,0.1,Cotton (Unginned),3000,3200,3100,
,09/06/2012,0.1,Cotton (Unginned),3000,3200,3100,
,11/06/2012,0.1,Cotton (Unginned),3000,3200,3100,
