Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adoni,01/03/2012,411.2,Kapas (Adoni),3350,3884,3650,
,02/03/2012,447.2,Kapas (Adoni),3300,3856,3650,
,03/03/2012,191.6,Kapas (Adoni),3311,3897,3600,
,04/03/2012,191.6,Kapas (Adoni),3311,3897,3600,
,05/03/2012,320,Kapas (Adoni),3300,3755,3500,
,06/03/2012,198.4,Kapas (Adoni),3350,3672,3450,
,07/03/2012,122.8,Kapas (Adoni),3300,3722,3550,
,09/03/2012,151.6,Kapas (Adoni),3343,3809,3650,
,10/03/2012,106,Kapas (Adoni),3340,3798,3500,
,12/03/2012,146,Kapas (Adoni),3360,3949,3700,
,13/03/2012,134,Kapas (Adoni),3311,3969,3650,
,14/03/2012,94.4,Kapas (Adoni),3400,3961,3600,
,15/03/2012,113.8,Kapas (Adoni),3400,3978,3600,
,16/03/2012,104,Kapas (Adoni),3550,4059,3750,
,17/03/2012,110.2,Kapas (Adoni),3516,4124,3850,
,19/03/2012,225.6,Kapas (Adoni),3550,4198,3800,
,20/03/2012,292.6,Kapas (Adoni),3700,4215,3900,
,21/03/2012,226.4,Kapas (Adoni),3650,4198,3850,
,26/03/2012,659.4,Kapas (Adoni),3600,4167,3900,
,27/03/2012,1182.6,Kapas (Adoni),3500,4121,3900,
,28/03/2012,966.6,Kapas (Adoni),3550,4134,3850,
,29/03/2012,1303.8,Kapas (Adoni),3500,4159,3850,
,30/03/2012,1209,Kapas (Adoni),3500,4139,3850,
,31/03/2012,360.2,Kapas (Adoni),3500,4161,3900,
Alur,31/03/2012,0.1,Desi,3000,3000,3000,
Banaganapalli,19/03/2012,4.7,Mungari (Ginned),3000,3500,3250,
,21/03/2012,1.5,Mungari (Ginned),3000,3500,3250,
,22/03/2012,1.5,Mungari (Ginned),3000,3500,3250,
,24/03/2012,6.5,Mungari (Ginned),3000,3500,3250,
,29/03/2012,11.6,Mungari (Ginned),3300,3700,3500,
,30/03/2012,4.4,Mungari (Ginned),3200,3800,3500,
Chilakaluripet,01/03/2012,0.1,Other,3600,3800,3700,
,02/03/2012,0.1,Other,3400,3600,3500,
,03/03/2012,0.1,Other,3400,3500,3450,
,04/03/2012,0.1,Other,3400,3600,3500,
,05/03/2012,0.1,Other,3400,3600,3500,
,06/03/2012,0.1,Other,3400,3600,3500,
,07/03/2012,0.1,Other,3400,3500,3450,
,08/03/2012,0.1,Other,3400,3500,3450,
,09/03/2012,0.1,Other,3400,3500,3450,
,10/03/2012,0.1,Other,3400,3500,3450,
,11/03/2012,0.1,Other,3400,3500,3450,
,12/03/2012,0.1,Other,3400,3500,3450,
,13/03/2012,0.1,Other,3400,3500,3450,
,14/03/2012,0.1,Other,3400,3500,3450,
,15/03/2012,0.1,Other,3400,3500,3450,
,16/03/2012,0.1,Other,3400,3500,3450,
,17/03/2012,0.1,Other,3400,3500,3450,
,18/03/2012,0.1,Other,3200,3400,3300,
,19/03/2012,0.1,Other,3300,3400,3350,
,20/03/2012,0.1,Other,3200,3400,3300,
,21/03/2012,0.1,Other,3300,3400,3350,
,22/03/2012,0.1,Other,3300,3400,3350,
,23/03/2012,0.1,Other,3300,3400,3350,
,24/03/2012,0.1,Other,3300,3400,3350,
,25/03/2012,0.1,Other,3300,3400,3350,
,26/03/2012,0.1,Other,3300,3400,3350,
,27/03/2012,0.1,Other,3300,3500,3400,
,28/03/2012,0.1,Other,3300,3500,3400,
,29/03/2012,0.1,Other,3300,3500,3400,
,31/03/2012,0.1,Other,3300,3500,3400,
Gajapathinagaram,18/03/2012,0.8,Cotton (Unginned),3000,3200,3100,
,30/03/2012,1.2,Cotton (Unginned),3000,3200,3000,
,31/03/2012,8,Cotton (Unginned),3000,3200,3100,
Kamalapuram,05/03/2012,3,Cotton (Ginned),3233,3433,3333,
,07/03/2012,3,Cotton (Ginned),3233,3433,3333,
,12/03/2012,15,Cotton (Unginned),3233,3433,3333,
,19/03/2012,7,Cotton (Unginned),3471,3671,3571,
,28/03/2012,16,Cotton (Unginned),3650,3850,3750,
,29/03/2012,32,Cotton (Unginned),3650,3850,3750,
,30/03/2012,18.5,Cotton (Unginned),3738,3938,3838,
Koilkunta,02/03/2012,6,N-44,3250,3350,3300,
,03/03/2012,3,N-44,3250,3350,3300,
,05/03/2012,9,N-44,3250,3350,3300,
,06/03/2012,3,N-44,3250,3350,3300,
,12/03/2012,25,N-44,3250,3350,3300,
,26/03/2012,8,N-44,3250,3350,3300,
,27/03/2012,8,N-44,3250,3350,3300,
,28/03/2012,11.5,N-44,3250,3350,3300,
,30/03/2012,15,N-44,3250,3350,3300,
,31/03/2012,15.5,N-44,3250,3350,3300,
Krosuru,01/03/2012,0.1,MCU 5,3300,3800,3500,
,02/03/2012,0.1,MCU 5,3400,3800,3600,
,03/03/2012,0.1,MCU 5,3300,3800,3400,
,04/03/2012,0.1,MCU 5,3300,3800,3500,
,05/03/2012,0.1,MCU 5,3300,3600,3400,
,06/03/2012,0.1,MCU 5,3300,3600,3400,
,07/03/2012,0.1,MCU 5,3300,3600,3400,
,08/03/2012,0.1,MCU 5,3300,3600,3400,
,09/03/2012,0.1,MCU 5,3300,3600,3400,
,10/03/2012,0.1,MCU 5,3300,3500,3300,
,11/03/2012,0.1,MCU 5,3300,3500,3300,
,12/03/2012,0.1,MCU 5,3300,3500,3300,
,13/03/2012,0.1,MCU 5,3300,3400,3300,
,14/03/2012,0.1,MCU,3300,3400,3300,
,15/03/2012,0.1,MCU 5,3300,3400,3300,
,16/03/2012,0.1,MCU 5,3300,3400,3300,
Macharla,01/03/2012,0.1,Other,3550,4150,3750,
,02/03/2012,0.1,Other,3550,4050,3850,
,03/03/2012,0.1,Other,3350,3750,3550,
,04/03/2012,0.1,Other,3450,3750,3550,
,05/03/2012,0.1,Other,3450,3850,3650,
,06/03/2012,0.1,Other,3450,3850,3750,
,07/03/2012,0.1,Other,3350,3450,3400,
,08/03/2012,0.1,Other,3350,3550,3450,
,09/03/2012,0.1,Other,3350,3550,3450,
,10/03/2012,0.1,Other,3350,3550,3450,
,11/03/2012,0.1,Other,3350,3550,3450,
,12/03/2012,0.1,Other,3300,3450,3350,
,13/03/2012,0.1,Other,3300,3450,3350,
,14/03/2012,0.1,Other,3300,3450,3350,
,15/03/2012,0.1,Other,3350,3550,3450,
,16/03/2012,0.1,Other,3300,3450,3350,
,17/03/2012,0.1,Other,3350,3550,3450,
,18/03/2012,0.1,Other,3350,3450,3400,
,19/03/2012,0.1,Other,3300,3450,3350,
,20/03/2012,0.1,Other,3320,3450,3350,
,21/03/2012,0.1,Other,3300,3400,3350,
,22/03/2012,0.1,Other,3350,3450,3400,
,23/03/2012,0.1,Other,3350,3450,3400,
,24/03/2012,0.1,Other,3350,3450,3400,
,25/03/2012,0.1,Other,3350,3450,3400,
,26/03/2012,0.1,Other,3350,3550,3450,
,27/03/2012,0.1,Other,3300,3450,3350,
,28/03/2012,0.1,Other,3300,3450,3350,
,29/03/2012,0.1,Other,3300,3450,3350,
,30/03/2012,0.1,Other,3300,3450,3350,
,31/03/2012,0.1,Other,3350,3450,3400,
Nandigama,15/03/2012,0.1,H 420,3650,4000,3750,
,19/03/2012,0.1,H 420,3650,4000,3750,
,20/03/2012,0.1,H 420,3650,4000,3750,
,21/03/2012,0.1,H 420,3650,4000,3750,
,28/03/2012,0.1,H 420,3650,4000,3750,
Parvathipuram,06/03/2012,10,Desi,3800,4000,3900,
,12/03/2012,34,Desi,3000,3000,3000,
,13/03/2012,10.5,Desi,4562,4762,4662,
,15/03/2012,5.6,Other,3750,3750,3750,
,17/03/2012,11.7,Desi,3000,3000,3000,
,24/03/2012,28.2,Desi,3000,3222,3000,
,27/03/2012,11,Desi,4100,4545,4300,
,28/03/2012,9.5,Desi,3484,3684,3584,
,29/03/2012,21.5,Desi,3333,4762,3454,
,30/03/2012,15.4,Desi,3000,3529,3333,
Peddapuram,02/03/2012,10,Desi,3000,3000,3000,
,03/03/2012,6.2,Desi,3200,3500,3200,
,05/03/2012,11.4,Desi,3000,3800,3500,
,06/03/2012,11.4,Desi,3000,3800,3500,
,12/03/2012,15,Desi,3000,3300,3000,
,16/03/2012,6,Desi,3000,3300,3000,
,19/03/2012,38.8,Desi,3000,3300,3000,
,20/03/2012,15.5,Desi,3000,3300,3000,
,22/03/2012,6.9,Desi,3000,3300,3000,
Sattenapalli,01/03/2012,0.1,MCU 5,3800,4000,3900,
,02/03/2012,0.1,MCU 5,3800,4000,3900,
,03/03/2012,0.1,MCU 5,3700,4000,3800,
,04/03/2012,0.1,MCU 5,3800,4000,3900,
,05/03/2012,0.1,MCU 5,3700,4000,3800,
,06/03/2012,0.1,MCU 5,3700,4000,3800,
,07/03/2012,0.1,MCU 5,3800,4000,3900,
,08/03/2012,0.1,MCU 5,3700,4000,3800,
,09/03/2012,0.1,MCU 5,3700,4000,3800,
,10/03/2012,0.1,MCU 5,3600,4000,3700,
,11/03/2012,0.1,MCU 5,3400,4000,3500,
,12/03/2012,0.1,MCU 5,3700,4000,3800,
,13/03/2012,0.1,MCU 5,3500,4000,3600,
,14/03/2012,0.1,MCU 5,3600,4000,3700,
,15/03/2012,0.1,MCU 5,3700,4000,3800,
,16/03/2012,0.1,MCU 5,3700,4000,3800,
,17/03/2012,0.1,MCU 5,3700,4000,3800,
,18/03/2012,0.1,MCU 5,3700,4000,3800,
,19/03/2012,0.1,MCU 5,3700,4000,3800,
,20/03/2012,0.1,MCU 5,3500,4000,3600,
,21/03/2012,0.1,MCU 5,3500,4000,3600,
,22/03/2012,0.1,MCU 5,3500,4000,3600,
,23/03/2012,0.1,MCU 5,3500,4000,3600,
,24/03/2012,0.1,MCU 5,3500,4000,3600,
,25/03/2012,0.1,MCU 5,3500,4000,3600,
,26/03/2012,0.1,MCU 5,3500,4000,3600,
,27/03/2012,0.1,MCU 5,3500,4000,3600,
,28/03/2012,0.1,MCU 5,3500,4000,3600,
,29/03/2012,0.1,MCU 5,3500,4000,3600,
,30/03/2012,0.1,MCU 5,3500,4000,3600,
,31/03/2012,0.1,MCU 5,3500,4000,3600,
Tadikonda,01/03/2012,0.1,Cotton (Unginned),3000,3300,3200,
,02/03/2012,0.1,Cotton (Unginned),3000,3300,3200,
,03/03/2012,0.1,Cotton (Unginned),3000,3300,3100,
,04/03/2012,0.1,Cotton (Unginned),3000,3300,3200,
,05/03/2012,0.1,Cotton (Unginned),3000,3300,3200,
,06/03/2012,0.1,Cotton (Unginned),3000,3200,3100,
,07/03/2012,0.1,Cotton (Unginned),3000,3300,3100,
,08/03/2012,0.1,Cotton (Unginned),3000,3300,3100,
,09/03/2012,0.1,Cotton (Unginned),3000,3300,3100,
,10/03/2012,0.1,Cotton (Unginned),3000,3300,3100,
,11/03/2012,0.1,Cotton (Unginned),3000,3300,3200,
,12/03/2012,0.1,Cotton (Unginned),3000,3300,3200,
,13/03/2012,0.1,Cotton (Unginned),3000,3300,3100,
,14/03/2012,0.1,Cotton (Unginned),3000,3300,3100,
,15/03/2012,0.1,Cotton (Unginned),3000,3300,3100,
,16/03/2012,0.1,Cotton (Unginned),3000,3300,3100,
,17/03/2012,0.1,Cotton (Unginned),3000,3300,3100,
,18/03/2012,0.1,Cotton (Unginned),3000,3300,3100,
,19/03/2012,0.1,Cotton (Unginned),3000,3300,3100,
,20/03/2012,0.1,Cotton (Unginned),3000,3500,3300,
,21/03/2012,0.1,Cotton (Unginned),3000,3500,3300,
,22/03/2012,0.1,Cotton (Unginned),3000,3500,3200,
,24/03/2012,0.1,Cotton (Unginned),3000,3500,3200,
,25/03/2012,0.1,Cotton (Unginned),3000,3500,3300,
,26/03/2012,0.1,Cotton (Unginned),3000,3500,3200,
,31/03/2012,0.1,Cotton (Unginned),3000,3500,3200,
