Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adoni,01/04/2015,961.7,Kapas (Adoni),3000,4400,4028,
,02/04/2015,880.6,Kapas (Adoni),3040,4375,4005,
,06/04/2015,1429.1,Kapas (Adoni),3137,4440,4050,
,07/04/2015,1484.9,Kapas (Adoni),3200,4510,4125,
,09/04/2015,1346.4,Kapas (Adoni),3259,4578,4178,
,10/04/2015,1200,Kapas (Adoni),3287,4611,4188,
,11/04/2015,624,Kapas (Adoni),3100,4589,4180,
,13/04/2015,1535.6,Kapas (Adoni),3170,4610,4189,
,15/04/2015,1214.3,Kapas (Adoni),3236,4656,4181,
,16/04/2015,1116.9,Kapas (Adoni),3201,4611,4183,
,17/04/2015,1216.2,Kapas (Adoni),3207,4590,4135,
,22/04/2015,1479.8,Kapas (Adoni),3070,4536,4100,
,23/04/2015,855.4,Kapas (Adoni),3000,4534,4118,
,24/04/2015,960.1,Kapas (Adoni),3087,4551,4127,
,25/04/2015,581.8,Kapas (Adoni),3117,4593,4146,
,27/04/2015,1351.7,Kapas (Adoni),3107,4652,4229,
,28/04/2015,1705.1,Kapas (Adoni),3203,4706,4256,
,29/04/2015,933.1,Kapas (Adoni),3309,4771,4264,
,30/04/2015,960.3,Kapas (Adoni),3129,4669,4209,
Allagadda,10/04/2015,12,Other,3200,3600,3500,
,12/04/2015,17.5,Other,3100,3450,3300,
,14/04/2015,13.2,Other,3250,3550,3450,
,18/04/2015,6,Other,3100,3500,3400,
,19/04/2015,12,Other,3100,3500,3400,
,21/04/2015,6,Other,3100,3400,3200,
,22/04/2015,6,Other,3000,3300,3100,
,23/04/2015,6,Other,3100,3450,3200,
,25/04/2015,14,Other,3500,3900,3780,
,26/04/2015,14,Other,3400,3900,3700,
,27/04/2015,7,Other,3400,3800,3600,
,28/04/2015,33,Other,3500,4000,3800,
,29/04/2015,19,Other,3400,4000,3700,
,30/04/2015,20,Other,3350,4000,3800,
Alur,01/04/2015,0.1,Desi,3000,4000,3500,
,02/04/2015,0.1,Desi,3000,4000,3500,
,03/04/2015,0.1,Desi,3000,4000,3500,
,04/04/2015,0.1,Desi,3500,4200,3800,
,05/04/2015,0.1,Desi,3000,4000,3500,
,06/04/2015,0.1,Desi,3000,4000,3500,
,07/04/2015,0.1,Desi,3000,4000,3500,
,09/04/2015,0.1,Desi,3200,4000,3600,
,10/04/2015,0.1,Desi,3600,4000,3800,
,11/04/2015,0.1,Desi,3600,4000,3800,
,12/04/2015,0.1,Desi,3700,4100,3900,
,13/04/2015,0.1,Desi,3950,4200,3950,
,14/04/2015,0.1,Desi,3800,4200,4000,
,15/04/2015,0.1,Desi,4000,4200,4100,
,16/04/2015,0.1,Desi,4000,4200,4100,
,17/04/2015,0.1,Desi,4000,4200,4100,
,18/04/2015,0.1,Desi,3800,4000,3900,
,19/04/2015,0.1,Desi,3800,4000,3900,
,20/04/2015,0.1,Desi,3800,4000,3900,
,21/04/2015,0.1,Desi,3800,4000,3900,
,22/04/2015,0.1,Desi,3800,4000,3900,
,23/04/2015,0.1,Desi,3800,4000,3900,
,24/04/2015,0.1,Desi,3800,4000,3900,
,25/04/2015,0.1,Desi,3800,4000,3900,
,26/04/2015,0.1,Desi,3800,4000,3900,
,27/04/2015,0.1,Desi,3800,4000,3900,
,28/04/2015,0.1,Desi,3800,4000,3900,
,29/04/2015,0.1,Desi,3800,4000,3900,
,30/04/2015,0.1,Desi,3800,4000,3900,
Banaganapalli,01/04/2015,8,Mungari (Ginned),3500,4000,3750,
,02/04/2015,15.5,Mungari (Ginned),3500,4000,3750,
,04/04/2015,24,Mungari (Ginned),3500,4000,3750,
,06/04/2015,8,Mungari (Ginned),3500,4000,3750,
,07/04/2015,8,Mungari (Ginned),3750,4250,4000,
,08/04/2015,15.5,Mungari (Ginned),3750,4250,4000,
,09/04/2015,36.5,Mungari (Ginned),3750,4250,4000,
,13/04/2015,39,Mungari (Ginned),3500,4000,3750,
,15/04/2015,29.6,Mungari (Ginned),3750,4250,4000,
,16/04/2015,23.5,Mungari (Ginned),3750,4250,4000,
,17/04/2015,9,Mungari (Ginned),3750,4250,4000,
,18/04/2015,8,Mungari (Ginned),3750,4250,4000,
,20/04/2015,8.5,Mungari (Ginned),3750,4250,4000,
,21/04/2015,24.5,Mungari (Ginned),3750,4250,4000,
,22/04/2015,8,Mungari (Ginned),3750,4250,4000,
,23/04/2015,32.5,Mungari (Ginned),3750,4250,4000,
,24/04/2015,7,Mungari (Ginned),3750,4250,4000,
,25/04/2015,24,Mungari (Ginned),3750,4250,4000,
,27/04/2015,8,Mungari (Ginned),3750,4250,4000,
,28/04/2015,14,Mungari (Ginned),3750,4250,4000,
,30/04/2015,8,Mungari (Ginned),3750,4250,4000,
Bobbili,08/04/2015,8,Other,3750,3750,3750,
,15/04/2015,7.7,Other,3750,3750,3750,
Chilakaluripet,01/04/2015,0.1,Other,4300,4500,4400,
,02/04/2015,0.1,Other,4300,4500,4400,
,03/04/2015,0.1,Other,4300,4500,4400,
,04/04/2015,0.1,Other,4300,4500,4400,
,05/04/2015,0.1,Other,4300,4500,4400,
,06/04/2015,0.1,Other,4300,4500,4400,
,07/04/2015,0.1,Other,4300,4500,4400,
,08/04/2015,0.1,Other,4300,4500,4400,
,09/04/2015,0.1,Other,4300,4500,4400,
,10/04/2015,0.1,Other,4300,4500,4400,
,11/04/2015,0.1,Other,4300,4500,4400,
,12/04/2015,0.1,Other,4300,4500,4400,
