Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adoni,01/11/2016,422.2,Kapas (Adoni),4119,5201,5045,
,02/11/2016,465.7,Kapas (Adoni),4000,5169,4986,
,03/11/2016,628.6,Kapas (Adoni),4000,5159,5013,
,04/11/2016,964.7,Kapas (Adoni),4009,5211,5025,
,05/11/2016,540.7,Kapas (Adoni),3969,5139,4997,
,07/11/2016,1050.4,Kapas (Adoni),3989,5139,4959,
,08/11/2016,1200.7,Kapas (Adoni),3969,5095,4917,
,09/11/2016,800.3,Kapas (Adoni),4009,5109,4928,
,14/11/2016,358.5,Kapas (Adoni),4099,5350,5129,
,15/11/2016,341.9,Kapas (Adoni),4019,5377,5189,
,19/11/2016,173.4,Kapas (Adoni),4137,5489,5282,
,21/11/2016,567.6,Kapas (Adoni),4177,5489,5303,
,22/11/2016,582.6,Kapas (Adoni),4069,5385,5157,
,23/11/2016,485,Kapas (Adoni),4039,5259,5028,
,24/11/2016,625.2,Kapas (Adoni),4011,5171,4919,
,25/11/2016,647.6,Kapas (Adoni),4071,5089,4913,
,26/11/2016,235.4,Kapas (Adoni),4129,5145,4946,
,30/11/2016,312.7,Kapas (Adoni),4026,5265,5040,
Bobbili,03/11/2016,15,Other,4000,4500,4200,
,09/11/2016,14.3,Other,4196,4300,4250,
,10/11/2016,22,Other,4091,4300,4200,
,11/11/2016,10,Other,4000,4400,4200,
,17/11/2016,14,Other,4250,4350,4300,
,18/11/2016,13,Other,4200,4400,4300,
,20/11/2016,7.5,Other,4000,4000,4000,
,21/11/2016,14.5,Other,4000,4300,4150,
,30/11/2016,14,Cotton (Unginned),4200,4400,4300,
Chilakaluripet,01/11/2016,0.1,Other,4800,5000,4900,
,02/11/2016,0.1,Other,4800,5000,4900,
,03/11/2016,0.1,Other,4800,5000,4900,
,04/11/2016,0.1,Other,4800,5000,4900,
,05/11/2016,0.1,Other,4800,5000,4900,
,06/11/2016,0.1,Other,4800,5000,4900,
,07/11/2016,0.1,Other,4800,5000,4900,
,08/11/2016,0.1,Other,4800,5000,4900,
,09/11/2016,0.1,Other,4800,5000,4900,
,10/11/2016,0.1,Other,4800,5000,4900,
,11/11/2016,0.1,Other,4800,5000,4900,
,12/11/2016,0.1,Other,4800,5000,4900,
,13/11/2016,0.1,Other,4800,5000,4900,
,14/11/2016,0.1,Other,4800,5000,4900,
,15/11/2016,0.1,Other,4800,5000,4900,
,16/11/2016,0.1,Other,4800,5000,4900,
,17/11/2016,0.1,Other,4800,5000,4900,
,18/11/2016,0.1,Other,4800,5000,4900,
,19/11/2016,0.1,Other,4800,5000,4900,
,20/11/2016,0.1,Other,4800,5000,4900,
,21/11/2016,0.1,Other,4700,5000,4800,
,22/11/2016,0.1,Other,4700,5000,4800,
,23/11/2016,0.1,Other,4800,5000,4900,
,24/11/2016,0.1,Other,4800,5000,4900,
,25/11/2016,0.1,Other,4800,5000,4900,
,26/11/2016,0.1,Other,4800,5000,4900,
Chintalapudi,01/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,02/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,03/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,04/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,05/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,06/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,07/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,08/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,09/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,10/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,11/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,12/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,13/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,14/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,15/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,16/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,17/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,18/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,19/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,20/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,21/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,22/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,23/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,24/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,25/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,26/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,27/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,28/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,29/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
,30/11/2016,0.1,Kapas (Adoni),4050,4160,4100,
Darsi,01/11/2016,0.1,Desi,3950,4100,4000,
,02/11/2016,0.1,Desi,4000,4100,4050,
,03/11/2016,0.1,Desi,3950,4100,4000,
,04/11/2016,0.1,Desi,4000,4100,4050,
,05/11/2016,0.1,Desi,3950,4100,4000,
,06/11/2016,0.1,Desi,4000,4100,4050,
,07/11/2016,0.1,Desi,3950,4100,4000,
,08/11/2016,0.1,Desi,4000,4100,4050,
,09/11/2016,0.1,Desi,3950,4100,4000,
,10/11/2016,0.1,Desi,4000,4100,4050,
,11/11/2016,0.1,Desi,3950,4100,4000,
,12/11/2016,0.1,Desi,4000,4100,4050,
,13/11/2016,0.1,Desi,3950,4100,4000,
,14/11/2016,0.1,Desi,4000,4100,4050,
,15/11/2016,0.1,Desi,3950,4100,4000,
,16/11/2016,0.1,Desi,4000,4100,4050,
,17/11/2016,0.1,Desi,3950,4100,4000,
,18/11/2016,0.1,Desi,4000,4100,4050,
,19/11/2016,0.1,Desi,3950,4100,4000,
,20/11/2016,0.1,Desi,4000,4100,4050,
,21/11/2016,0.1,Desi,3950,4100,4000,
,22/11/2016,0.1,Desi,4000,4100,4050,
,23/11/2016,0.1,Desi,3950,4100,4000,
,24/11/2016,0.1,Desi,4000,4100,4050,
,25/11/2016,0.1,Desi,3950,4100,4000,
,26/11/2016,0.1,Desi,4000,4100,4050,
,27/11/2016,0.1,Desi,3950,4100,4000,
,28/11/2016,0.1,Desi,4000,4100,4050,
,29/11/2016,0.1,Desi,3950,4100,4000,
,30/11/2016,0.1,Desi,4000,4100,4050,
Gajapathinagaram,09/11/2016,11,Cotton (Unginned),4100,4300,4200,
,17/11/2016,12,Cotton (Unginned),4200,4400,4300,
,24/11/2016,10.5,Cotton (Unginned),4200,4500,4300,
,28/11/2016,13,Cotton (Unginned),4200,4350,4250,
Hiramandalam,05/11/2016,9,Cotton (Unginned),4000,4200,4000,
,06/11/2016,24.5,Cotton (Unginned),4000,4200,4000,
,08/11/2016,10,Cotton (Unginned),4100,4200,4100,
,09/11/2016,14.5,Cotton (Unginned),4100,4200,4100,
,10/11/2016,14.5,Cotton (Unginned),4100,4200,4100,
,13/11/2016,13,Cotton (Unginned),4150,4200,4150,
,14/11/2016,14,Cotton (Unginned),4150,4200,4150,
,15/11/2016,14,Cotton (Unginned),4150,4200,4150,
,16/11/2016,10,Cotton (Unginned),4150,4200,4150,
,19/11/2016,35,Cotton (Unginned),4150,4200,4150,
,21/11/2016,37.5,Cotton (Unginned),4150,4200,4150,
,26/11/2016,32.5,Cotton (Unginned),4150,4200,4150,
,27/11/2016,43.9,Cotton (Unginned),4200,4300,4200,
,28/11/2016,28.8,Cotton (Unginned),4200,4300,4200,
,29/11/2016,18.8,Cotton (Unginned),4200,4300,4200,
,30/11/2016,18,Cotton (Unginned),4200,4300,4200,
Krosuru,01/11/2016,0.1,MCU 5,4000,4600,4300,
,02/11/2016,0.1,MCU 5,4000,5100,4600,
,03/11/2016,0.1,MCU 5,4100,4500,4300,
,04/11/2016,0.1,MCU 5,4100,4600,4300,
,05/11/2016,0.1,MCU 5,4000,4500,4300,
,06/11/2016,0.1,MCU 5,4000,4800,4500,
,07/11/2016,0.1,MCU 5,4100,5000,4600,
,08/11/2016,0.1,MCU 5,4100,5000,4600,
,09/11/2016,0.1,MCU 5,4100,5100,4600,
,10/11/2016,0.1,MCU 5,4200,5000,4600,
,11/11/2016,0.1,MCU 5,4000,4600,4400,
,12/11/2016,0.1,MCU 5,4000,4800,4500,
,13/11/2016,0.1,MCU 5,4100,4500,4300,
,14/11/2016,0.1,MCU 5,4000,4160,4100,
,15/11/2016,0.1,MCU 5,4000,4550,4300,
,16/11/2016,0.1,MCU 5,4100,4800,4300,
,17/11/2016,0.1,MCU 5,4100,4800,4300,
,18/11/2016,0.1,MCU 5,4100,4800,4300,
,19/11/2016,0.1,MCU 5,4100,4800,4300,
,20/11/2016,0.1,MCU 5,4100,4800,4500,
,21/11/2016,0.1,MCU 5,4000,4800,4300,
,22/11/2016,0.1,MCU 5,4050,4800,4300,
