Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Adoni,01/09/2017,44.9,Kapas (Adoni),3368,5627,4887,
,04/09/2017,123.3,Kapas (Adoni),3111,5631,4758,
,05/09/2017,146.3,Kapas (Adoni),3396,5648,4817,
,06/09/2017,72.5,Kapas (Adoni),3329,5620,4625,
,07/09/2017,94.7,Kapas (Adoni),3206,5636,4718,
,08/09/2017,170,Kapas (Adoni),3206,5627,4795,
,09/09/2017,112.2,Kapas (Adoni),3806,5619,4984,
,11/09/2017,313.1,Kapas (Adoni),3271,5619,4775,
,12/09/2017,271.9,Kapas (Adoni),3261,5636,4680,
,13/09/2017,196.1,Kapas (Adoni),3376,5668,4746,
,14/09/2017,203.5,Kapas (Adoni),3368,5558,4527,
,15/09/2017,254.6,Kapas (Adoni),3287,5410,4315,
,16/09/2017,229.3,Kapas (Adoni),3211,5287,4343,
,18/09/2017,352.6,Kapas (Adoni),3159,5279,4289,
,19/09/2017,383.7,Kapas (Adoni),3009,5287,4125,
,21/09/2017,390.7,Kapas (Adoni),3000,5128,4127,
,22/09/2017,644.7,Kapas (Adoni),3009,5118,4103,
,23/09/2017,433.1,Kapas (Adoni),3011,5118,4247,
,26/09/2017,1340.4,Kapas (Adoni),3129,5299,4095,
,27/09/2017,1318.1,Kapas (Adoni),3667,5004,4108,
Chilakaluripet,01/09/2017,0.1,Other,4600,5000,4800,
,02/09/2017,0.1,Other,4600,5000,4800,
,03/09/2017,0.1,Other,4800,5000,4900,
,04/09/2017,0.1,Other,4700,5000,4800,
,05/09/2017,0.1,Other,4600,5000,4800,
,06/09/2017,0.1,Other,4800,5000,4900,
,07/09/2017,0.1,Other,4800,5000,4900,
,08/09/2017,0.1,Other,4800,5000,4900,
,09/09/2017,0.1,Other,4600,5000,4800,
,10/09/2017,0.1,Other,4600,5000,4800,
,11/09/2017,0.1,Other,4600,5000,4800,
,12/09/2017,0.1,Other,4800,5000,4900,
,13/09/2017,0.1,Other,4800,5000,4900,
,14/09/2017,0.1,Other,4800,5000,4900,
,15/09/2017,0.1,Other,4800,5000,4900,
,16/09/2017,0.1,Other,4800,5000,4900,
,17/09/2017,0.1,Other,4800,5000,4900,
,18/09/2017,0.1,Other,4800,5000,4900,
,19/09/2017,0.1,Other,4700,5000,4800,
,20/09/2017,0.1,Other,4700,5000,4800,
,21/09/2017,0.1,Other,4800,5000,4900,
,22/09/2017,0.1,Other,4600,5000,4800,
,23/09/2017,0.1,Other,4600,5000,4800,
,24/09/2017,0.1,Other,4800,5000,4900,
,25/09/2017,0.1,Other,4800,5000,4900,
,26/09/2017,0.1,Other,4800,5000,4900,
,27/09/2017,0.1,Other,4800,5000,4900,
Chintalapudi,01/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,02/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,03/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,04/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,05/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,06/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,07/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,08/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,09/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,10/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,11/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,12/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,13/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,14/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,15/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,16/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,17/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,18/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,19/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,20/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,21/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,22/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,23/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,24/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,26/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,27/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,28/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
,29/09/2017,0.1,Kapas (Adoni),4050,4160,4100,
Darsi,01/09/2017,0.1,Desi,4280,4320,4300,
,02/09/2017,0.1,Desi,4300,4320,4310,
,03/09/2017,0.1,Desi,4280,4320,4300,
,04/09/2017,0.1,Desi,4300,4320,4310,
,05/09/2017,0.1,Desi,4280,4320,4300,
,06/09/2017,0.1,Desi,4300,4320,4310,
,07/09/2017,0.1,Desi,4280,4320,4300,
,08/09/2017,0.1,Desi,4300,4320,4310,
,09/09/2017,0.1,Desi,4280,4320,4300,
,10/09/2017,0.1,Desi,4300,4320,4310,
,11/09/2017,0.1,Desi,4280,4320,4300,
,12/09/2017,0.1,Desi,4300,4320,4310,
,13/09/2017,0.1,Desi,4280,4320,4300,
,14/09/2017,0.1,Desi,4300,4320,4310,
,15/09/2017,0.1,Desi,4280,4320,4300,
,16/09/2017,0.1,Desi,4300,4320,4310,
,17/09/2017,0.1,Desi,4300,4320,4310,
,18/09/2017,0.1,Desi,4280,4320,4300,
,19/09/2017,0.1,Desi,4300,4320,4310,
,20/09/2017,0.1,Desi,4280,4320,4300,
,21/09/2017,0.1,Desi,4300,4320,4310,
,22/09/2017,0.1,Desi,4280,4320,4300,
,23/09/2017,0.1,Desi,4300,4320,4310,
,24/09/2017,0.1,Desi,4280,4320,4300,
,25/09/2017,0.1,Desi,4300,4320,4310,
,26/09/2017,0.1,Desi,4280,4320,4300,
,27/09/2017,0.1,Desi,4300,4320,4310,
,28/09/2017,0.1,Desi,4280,4320,4300,
,29/09/2017,0.1,Desi,4300,4320,4310,
,30/09/2017,0.1,Desi,4280,4320,4300,
Krosuru,01/09/2017,0.1,MCU 5,4100,5100,4600,
,02/09/2017,0.1,MCU 5,4100,5100,4500,
,03/09/2017,0.1,MCU 5,4000,5000,4400,
,04/09/2017,0.1,MCU 5,4100,5300,4500,
,05/09/2017,0.1,MCU 5,4100,5200,4600,
,06/09/2017,0.1,MCU 5,4100,5200,4500,
,07/09/2017,0.1,MCU 5,4050,5100,4500,
,08/09/2017,0.1,MCU 5,4100,5200,4600,
,09/09/2017,0.1,MCU 5,4000,5100,4500,
,10/09/2017,0.1,MCU 5,4050,4800,4400,
,11/09/2017,0.1,MCU 5,4100,5000,4500,
,12/09/2017,0.1,MCU 5,4100,5100,4600,
,13/09/2017,0.1,MCU 5,4100,5300,4600,
,14/09/2017,0.1,MCU 5,4100,5100,4300,
,15/09/2017,0.1,MCU 5,4050,5000,4500,
,16/09/2017,0.1,MCU 5,4050,5200,4500,
,17/09/2017,0.1,MCU 5,3900,5200,4500,
,18/09/2017,0.1,MCU 5,4000,5300,4450,
,19/09/2017,0.1,MCU 5,4100,5200,4500,
,20/09/2017,0.1,MCU 5,4050,4900,4300,
,21/09/2017,0.1,MCU 5,4100,5100,4500,
,22/09/2017,0.1,MCU 5,4050,5000,4500,
,23/09/2017,0.1,MCU 5,4000,5100,4500,
,24/09/2017,0.1,MCU 5,4000,4900,4300,
,25/09/2017,0.1,MCU 5,4100,5200,4500,
,26/09/2017,0.1,MCU 5,4050,5000,4500,
,27/09/2017,0.1,MCU 5,4100,5100,4400,
,28/09/2017,0.1,MCU 5,4100,5200,4500,
,29/09/2017,0.1,MCU 5,4050,5100,4500,
Mylavaram,01/09/2017,0.1,Other,4020,4320,4020,
,02/09/2017,0.1,Other,4020,4320,4320,
,03/09/2017,0.1,Other,4020,4320,4320,
,04/09/2017,0.1,Other,4020,4320,4320,
,05/09/2017,0.1,Other,4160,4320,4160,
,06/09/2017,0.1,Other,4020,4320,4320,
,07/09/2017,0.1,Other,4020,4320,4320,
,08/09/2017,0.1,Other,4050,4320,4050,
,09/09/2017,0.1,Other,4320,4320,4320,
,10/09/2017,0.1,Other,4020,4320,4200,
,11/09/2017,0.1,Other,4320,4320,4320,
,13/09/2017,0.1,Other,4320,4320,4320,
,14/09/2017,0.1,Other,4320,4320,4320,
,15/09/2017,0.1,Other,4320,4320,4320,
,16/09/2017,0.1,Other,4160,4230,4160,
,17/09/2017,0.1,Other,4320,4320,4320,
,18/09/2017,0.1,Other,4320,4320,4320,
,19/09/2017,0.1,Other,4320,4320,4320,
,20/09/2017,0.1,Other,4190,4320,4320,
,21/09/2017,0.1,Other,4320,4320,4320,
,22/09/2017,0.1,Other,4320,4320,4320,
,23/09/2017,0.1,Other,4320,4320,4320,
,24/09/2017,0.1,Other,4320,4320,4320,
,25/09/2017,0.1,Other,4320,4320,4320,
,26/09/2017,0.1,Other,4320,4320,4320,
,27/09/2017,0.1,Other,4160,4320,4320,
,28/09/2017,0.1,Other,4160,4320,4320,
Sattenapalli,01/09/2017,0.1,MCU 5,4850,4950,4900,
,02/09/2017,0.1,MCU 5,4800,5000,4900,
,03/09/2017,0.1,MCU 5,4700,4900,4800,
,04/09/2017,0.1,MCU 5,4500,4700,4600,
,05/09/2017,0.1,MCU 5,4300,4500,4400,
,06/09/2017,0.1,MCU 5,4200,4400,4300,
,07/09/2017,0.1,MCU 5,4400,4600,4500,
,08/09/2017,0.1,MCU 5,4200,4400,4300,
,09/09/2017,0.1,MCU 5,4200,4400,4300,
,10/09/2017,0.1,MCU 5,4300,4500,4400,
,11/09/2017,0.1,MCU 5,4300,4500,4400,
,12/09/2017,0.1,MCU 5,4200,4400,4300,
,13/09/2017,0.1,MCU 5,4400,4600,4500,
,14/09/2017,0.1,MCU 5,4400,4600,4500,
,15/09/2017,0.1,MCU 5,4300,4500,4400,
,16/09/2017,0.1,MCU 5,4200,4400,4300,
,17/09/2017,0.1,MCU 5,4000,4200,4100,
,18/09/2017,0.1,MCU 5,4200,4400,4300,
,19/09/2017,0.1,MCU 5,4300,4500,4400,
,20/09/2017,0.1,MCU 5,4600,4800,4700,
,21/09/2017,0.1,MCU 5,4300,4500,4400,
,22/09/2017,0.1,MCU 5,4300,4500,4400,
