Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amreli,01/01/2011,192,Other,3960,4715,4635,
,03/01/2011,210,Other,4000,4770,4650,
,04/01/2011,198,Other,4085,4760,4575,
,05/01/2011,210,Other,4110,4790,4595,
,06/01/2011,198,Other,3500,4710,4575,
,07/01/2011,200,Other,4000,4720,4625,
,08/01/2011,180,Other,4000,4700,4600,
,10/01/2011,210,Other,4125,4815,4700,
,11/01/2011,198,Other,4000,4815,4725,
,12/01/2011,197,Other,4000,4825,4740,
,13/01/2011,180,Other,4000,4835,4750,
,15/01/2011,150,Other,4195,5150,5035,
,17/01/2011,258,Other,4440,5260,5150,
,18/01/2011,210,Other,4050,5180,4550,
,19/01/2011,270,Other,4000,5140,5030,
,20/01/2011,240,Other,4000,5195,5090,
,22/01/2011,282,Other,4420,5275,5125,
,24/01/2011,21.5,Other,4750,5400,5310,
,25/01/2011,400,Other,4685,5555,5400,
,27/01/2011,336,Other,4875,5805,5625,
,28/01/2011,198,Other,4500,6005,5845,
,29/01/2011,276,Other,4125,5810,5650,
,31/01/2011,180,Other,4200,5775,5625,
Anjar,01/01/2011,5.8,Other,4525,4612,4612,
,03/01/2011,9.3,Other,4452,4620,4620,
,04/01/2011,7.9,Other,4360,4600,4600,
,05/01/2011,10.9,Other,4440,4605,4605,
,06/01/2011,8.1,Other,4475,4597,4597,
,07/01/2011,7.2,Other,4452,4612,4612,
,08/01/2011,8,Other,4380,4627,4627,
,10/01/2011,7.3,Other,4377,4702,4702,
,11/01/2011,6.8,Other,4410,4725,4725,
,12/01/2011,7.8,Other,4377,4697,4697,
,13/01/2011,9.5,Other,4502,4702,4702,
,14/01/2011,0.6,Other,4590,4692,4692,
,15/01/2011,9.4,Other,4527,4767,4767,
,17/01/2011,7.3,Other,4580,4900,4900,
,18/01/2011,8.5,Other,4862,5102,5102,
,19/01/2011,10.3,Other,4877,5005,5005,
,20/01/2011,11.5,Other,4672,5092,5092,
,21/01/2011,6.9,Other,3250,5077,5077,
,22/01/2011,14,Other,4052,5085,5085,
,24/01/2011,8,Other,4955,5255,5255,
,25/01/2011,11.5,Other,4910,5195,5195,
,27/01/2011,12.2,Other,5000,5500,5500,
,28/01/2011,9.5,Other,5377,5852,5852,
,29/01/2011,12.2,Other,5165,5585,5585,
,31/01/2011,12,Other,5185,5502,5502,
Babra,01/01/2011,180,Shanker 6 (B) 30mm FIne,4200,4735,4725,
,03/01/2011,200,Shanker 6 (B) 30mm FIne,4250,4750,4740,
,04/01/2011,200,Shanker 6 (B) 30mm FIne,4200,4755,4745,
,05/01/2011,200,Shanker 6 (B) 30mm FIne,4175,4700,4690,
,06/01/2011,220,Shanker 6 (B) 30mm FIne,4050,4700,4690,
,07/01/2011,200,Shanker 6 (B) 30mm FIne,4125,4760,4750,
,08/01/2011,180,Shanker 6 (B) 30mm FIne,4100,4800,4790,
,10/01/2011,200,Shanker 6 (B) 30mm FIne,4250,4810,4800,
,11/01/2011,200,Shanker 6 (B) 30mm FIne,4300,4825,4815,
,12/01/2011,230,Shanker 6 (B) 30mm FIne,4225,4760,4750,
,13/01/2011,200,Shanker 6 (B) 30mm FIne,4375,4875,4865,
,17/01/2011,250,Shanker 6 (B) 30mm FIne,4655,5275,5265,
,18/01/2011,280,Shanker 6 (B) 30mm FIne,4750,5310,5300,
,19/01/2011,200,Shanker 6 (B) 30mm FIne,4750,5105,5095,
,20/01/2011,200,Shanker 6 (B) 30mm FIne,4450,5200,5190,
,21/01/2011,250,Shanker 6 (B) 30mm FIne,4250,5150,5140,
