Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amod,04/11/2011,43.8,Shanker 6 (B) 30mm FIne,4600,4700,4650,
,05/11/2011,87.7,Shanker 6 (B) 30mm FIne,4600,4700,4675,
,14/11/2011,57.4,Shanker 6 (B) 30mm FIne,4300,4400,4350,
,15/11/2011,81.9,Shanker 6 (B) 30mm FIne,4300,4400,4350,
,16/11/2011,47.5,Shanker 6 (B) 30mm FIne,4300,4400,4350,
,18/11/2011,60,Shanker 6 (B) 30mm FIne,4300,4400,4350,
,19/11/2011,3.4,Shanker 6 (B) 30mm FIne,4300,4400,4350,
Amreli,01/11/2011,207,Other,2750,4855,4730,
,02/11/2011,120,Other,3000,4820,4750,
,03/11/2011,126,Other,2750,4825,4745,
,04/11/2011,144,Other,3100,4805,4755,
,05/11/2011,156,Other,2905,4805,4745,
,08/11/2011,210,Other,2755,4710,4610,
,09/11/2011,189,Other,2500,4600,4500,
,10/11/2011,0.3,Other,2750,4670,4550,
,11/11/2011,132,Other,2880,4700,4610,
,12/11/2011,156,Other,2625,4710,4625,
,14/11/2011,198,Other,2750,4580,4500,
,15/11/2011,174,Other,3305,4530,4450,
,16/11/2011,168,Other,2755,4590,4505,
,17/11/2011,174,Other,3125,4595,4520,
,18/11/2011,210,Other,2800,4640,4560,
,21/11/2011,189,Other,2525,4550,4460,
,22/11/2011,61.5,Other,2850,4510,4450,
,23/11/2011,126,Other,3175,4475,4420,
,24/11/2011,162,Other,2500,4455,4395,
,25/11/2011,171,Other,2970,4400,4325,
,26/11/2011,156,Other,3000,4395,4335,
,28/11/2011,168,Other,2750,4285,4190,
,29/11/2011,144,Other,2755,4275,4225,
,30/11/2011,135,Other,2750,4310,4225,
Babra,01/11/2011,100,Shanker 6 (B) 30mm FIne,4625,4785,4780,
,02/11/2011,110,Shanker 6 (B) 30mm FIne,4175,4820,4810,
,03/11/2011,110,Shanker 6 (B) 30mm FIne,4125,4820,4810,
,04/11/2011,150,Shanker 6 (B) 30mm FIne,4150,4810,4800,
,05/11/2011,150,Shanker 6 (B) 30mm FIne,4225,4800,4790,
