Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amod,11/10/2011,0.8,Shanker 6 (B) 30mm FIne,4100,4200,4150,
Amreli,01/10/2011,285,Other,2625,4980,4500,
,03/10/2011,249,Other,2750,4850,4400,
,04/10/2011,225,Other,2700,4930,4500,
,05/10/2011,360,Other,2905,4940,4750,
,07/10/2011,420,Other,3505,4925,4550,
,08/10/2011,336,Other,3000,4745,4400,
,10/10/2011,276,Other,2670,4770,4375,
,11/10/2011,210,Other,2960,4775,4450,
,12/10/2011,228,Other,2900,4835,4550,
,13/10/2011,231,Other,3340,4840,4545,
,14/10/2011,252,Other,2875,4850,4575,
,19/10/2011,162,Other,3105,4755,4550,
,20/10/2011,234,Other,3380,4700,4605,
,21/10/2011,252, ,NR,NR,NR,
,22/10/2011,273,Other,2750,4735,4600,
Babra,11/10/2011,80,Shanker 6 (B) 30mm FIne,4725,4910,4900,
,12/10/2011,40,Shanker 6 (B) 30mm FIne,4250,4815,4805,
,13/10/2011,30,Shanker 6 (B) 30mm FIne,4200,4750,4740,
,14/10/2011,20,Shanker 6 (B) 30mm FIne,4125,4750,4740,
,15/10/2011,60,Shanker 6 (B) 30mm FIne,4325,4850,4840,
,17/10/2011,100,Shanker 6 (B) 30mm FIne,4350,4760,4750,
,18/10/2011,70,Shanker 6 (B) 30mm FIne,4225,4750,4740,
,19/10/2011,80,Shanker 6 (B) 30mm FIne,4175,4725,4715,
,20/10/2011,90,Shanker 6 (B) 30mm FIne,4225,4725,4715,
,21/10/2011,100,Shanker 6 (B) 30mm FIne,4350,4735,NR,
,22/10/2011,80,Shanker 6 (B) 30mm FIne,4325,4710,4700,
,31/10/2011,120,Shanker 6 (B) 30mm FIne,4625,4830,4825,
Bagasara,07/10/2011,30,Other,3005,5000,4002,
,08/10/2011,20,Other,3150,4590,4452,
,10/10/2011,40,Other,2675,4745,3710,
,11/10/2011,30,Other,2875,5000,3937,
,12/10/2011,28,Other,3375,4850,4112,
,13/10/2011,34,Other,3250,4800,4025,
,14/10/2011,30,Other,3500,4800,4150,
,15/10/2011,36,Other,3875,4860,4367,
,17/10/2011,44,Other,3750,4700,4225,
,18/10/2011,48,Other,3750,4700,4225,
,20/10/2011,56,Other,4250,4650,4450,
Bhavnagar,01/10/2011,3,Other,2605,3760,3180,
