Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amreli,01/12/2012,115,Other,3500,4395,4350,
,03/12/2012,105.5,Other,3635,4440,4350,
,04/12/2012,94,Other,3850,4405,4345,
,05/12/2012,105,Other,3705,4340,4225,
,06/12/2012,70.5,Other,3275,4450,4400,
,07/12/2012,86,Other,3745,4430,4325,
,08/12/2012,83.5,Other,3675,4425,4350,
,10/12/2012,113.5,Other,3355,4440,4375,
,11/12/2012,120,Other,3400,4450,4375,
,12/12/2012,108,Other,3625,4440,4390,
,14/12/2012,104,Other,3605,4505,4440,
,15/12/2012,150,Other,3010,4525,4455,
,17/12/2012,189,Other,3250,4490,4405,
,18/12/2012,167,Other,3400,4480,4425,
,19/12/2012,145.5,Other,3250,4500,4420,
,20/12/2012,150,Other,3300,4470,4375,
,21/12/2012,152,Other,3390,4460,4350,
,22/12/2012,165,Other,3450,4455,4380,
,24/12/2012,167,Other,3450,4470,4425,
,25/12/2012,144,Other,3800,4445,4375,
,26/12/2012,152,Other,3250,4425,4380,
,27/12/2012,175.5,Other,3400,4425,4325,
,28/12/2012,166.5,Other,3125,4415,4390,
,29/12/2012,168.5,Other,3200,4435,4380,
,31/12/2012,189,Other,3000,4505,4380,
Babra,01/12/2012,50,Shanker 6 (B) 30mm FIne,4060,4360,4350,
,03/12/2012,60,Shanker 6 (B) 30mm FIne,4050,4375,4365,
,04/12/2012,130,Shanker 6 (B) 30mm FIne,4025,4375,4365,
,05/12/2012,100,Shanker 6 (B) 30mm FIne,4200,4375,4365,
,06/12/2012,80,Shanker 6 (B) 30mm FIne,4200,4350,4340,
,07/12/2012,80,Shanker 6 (B) 30mm FIne,4125,4360,4350,
,08/12/2012,80,Shanker 6 (B) 30mm FIne,4100,4375,4365,
,10/12/2012,90,Shanker 6 (B) 30mm FIne,3850,4375,4365,
,11/12/2012,90,Shanker 6 (B) 30mm FIne,4050,4385,4375,
,14/12/2012,100,Shanker 6 (B) 30mm FIne,4175,4500,4490,
,15/12/2012,100,Shanker 6 (B) 30mm FIne,4025,4525,4490,
,17/12/2012,170,Shanker 6 (B) 30mm FIne,4000,4425,4415,
,18/12/2012,170,Shanker 6 (B) 30mm FIne,4020,4410,4400,
,19/12/2012,210,Shanker 6 (B) 30mm FIne,4075,4450,4440,
,20/12/2012,120,Shanker 6 (B) 30mm FIne,4030,4425,4415,
,21/12/2012,130,Shanker 6 (B) 30mm FIne,4015,4425,4415,
,22/12/2012,150,Shanker 6 (B) 30mm FIne,4030,4425,4415,
,24/12/2012,150,Shanker 6 (B) 30mm FIne,4105,4460,4450,
,26/12/2012,350,Shanker 6 (B) 30mm FIne,4000,4450,4440,
,27/12/2012,250,Shanker 6 (B) 30mm FIne,4075,4445,4435,
,28/12/2012,250,Shanker 6 (B) 30mm FIne,4025,4450,4440,
,29/12/2012,180,Shanker 6 (B) 30mm FIne,4075,4480,4470,
,31/12/2012,200,Shanker 6 (B) 30mm FIne,4100,4475,4465,
Bagasara,01/12/2012,160,Other,3025,4375,3700,
,03/12/2012,250,Other,3275,4375,3825,
,04/12/2012,300,Other,3350,4350,3850,
,05/12/2012,290,Other,3350,4350,3850,
,06/12/2012,200,Other,3260,4380,3820,
,07/12/2012,280,Other,3375,4405,3890,
,08/12/2012,260,Other,3255,4375,3815,
,10/12/2012,250,Other,3130,4380,3755,
,11/12/2012,210,Other,3255,4355,3805,
,12/12/2012,210,Other,3250,4400,3825,
,14/12/2012,280,Other,3530,4430,3980,
,15/12/2012,300,Other,3500,4480,3990,
,17/12/2012,350,Other,3505,4405,3955,
,18/12/2012,340,Other,3275,4415,3845,
,19/12/2012,300,Other,3655,4455,4055,
,20/12/2012,350,Other,3950,4430,4190,
,21/12/2012,360,Other,3255,4355,3805,
,22/12/2012,330,Other,3500,4400,3950,
,24/12/2012,400,Other,3750,4390,4070,
,26/12/2012,600,Other,3005,4425,3715,
,27/12/2012,400,Other,3200,4380,3790,
,28/12/2012,410,Other,3200,4430,3815,
,29/12/2012,370,Other,3500,4430,3965,
,31/12/2012,490,Other,3275,4415,3845,
Becharaji,01/12/2012,68.9,Other,4125,4195,4180,
,03/12/2012,60,Other,4125,4180,4170,
,06/12/2012,41.4,Other,4050,4125,4100,
,13/12/2012,35.4,Other,4225,4265,4255,
,14/12/2012,21.3,Other,4225,4350,4300,
,15/12/2012,32.7,Other,4225,4320,4300,
,19/12/2012,33.3,Other,4200,4325,4300,
,21/12/2012,22.1,Other,4225,4325,4300,
,22/12/2012,28.9,Other,4250,4355,4300,
,26/12/2012,40.6,Other,4125,4245,4200,
,27/12/2012,29.8,Other,4125,4235,4200,
Bhavnagar,03/12/2012,58.2,Other,4050,4325,4185,
,07/12/2012,80.5,Other,4000,4250,4125,
,10/12/2012,45.6,Other,4075,4325,4200,
,14/12/2012,47.2,Other,4285,4500,4390,
,19/12/2012,81.4,Other,4225,4450,4335,
,20/12/2012,43.6,Other,4195,4450,4320,
,21/12/2012,62.4,Other,4085,4465,4275,
,22/12/2012,70,Other,4180,4405,4290,
,24/12/2012,80,Other,4150,4400,4275,
,25/12/2012,76.9,Other,4120,4325,4220,
,26/12/2012,75,Other,4105,4315,4210,
,27/12/2012,50.3,Other,4000,4330,4155,
,28/12/2012,69.5,Other,4155,4300,4225,
,29/12/2012,56.9,Other,4005,4300,4150,
,31/12/2012,59,Other,4170,4330,4250,
Bhiloda,01/12/2012,109,Other,4125,4225,4180,
,03/12/2012,50,Other,4155,4245,4200,
,04/12/2012,114,Other,4100,4200,4150,
,05/12/2012,87,Other,4125,4200,4160,
,06/12/2012,125,Other,4100,4175,4140,
,07/12/2012,72,Other,4075,4175,4130,
,08/12/2012,101,Other,4125,4225,4180,
,10/12/2012,44,Other,4125,4265,4200,
,11/12/2012,113,Other,4125,4275,4200,
,12/12/2012,72,Other,4100,4275,4200,
,13/12/2012,107,Other,4100,4275,4190,
,14/12/2012,111,Other,4150,4300,4220,
,15/12/2012,71,Other,4150,4250,4200,
,18/12/2012,37,Other,4100,4275,4200,
,19/12/2012,80,Other,4175,4300,4250,
,20/12/2012,64,Other,4000,4300,4200,
,21/12/2012,59,Other,4100,4275,4190,
,22/12/2012,67,Other,4175,4300,4240,
,24/12/2012,140,Other,4100,4275,4190,
,26/12/2012,236,Other,4100,4225,4160,
,27/12/2012,96,Other,4125,4200,4150,
,28/12/2012,73,Other,4100,4225,4160,
,29/12/2012,96,Other,4000,4200,4100,
,31/12/2012,160,Other,4100,4200,4150,
Bodeli,01/12/2012,90,Shanker 6 (B) 30mm FIne,4211,4300,4250,
,03/12/2012,272,Shanker 6 (B) 30mm FIne,4175,4300,4240,
,04/12/2012,50,Shanker 6 (B) 30mm FIne,4150,4250,4200,
,05/12/2012,120,Shanker 6 (B) 30mm FIne,4150,4250,4200,
,06/12/2012,210,Shanker 6 (B) 30mm FIne,4174,4264,4200,
,07/12/2012,387,Shanker 6 (B) 30mm FIne,4200,4275,4245,
,08/12/2012,388,Shanker 6 (B) 30mm FIne,4150,4250,4225,
,10/12/2012,60,Shanker 6 (B) 30mm FIne,4175,4241,4200,
,11/12/2012,60,Shanker 6 (B) 30mm FIne,4060,4244,4200,
,12/12/2012,218,Shanker 6 (B) 30mm FIne,4206,4265,4225,
,13/12/2012,458,Shanker 6 (B) 30mm FIne,4250,4300,4275,
,14/12/2012,323,Shanker 6 (B) 30mm FIne,4270,4300,4275,
Bodeli(Hadod),01/12/2012,50,Shanker 6 (B) 30mm FIne,4150,4300,4225,
,03/12/2012,108,Shanker 6 (B) 30mm FIne,4201,4300,4225,
,04/12/2012,100,Shanker 6 (B) 30mm FIne,4175,4275,4220,
,05/12/2012,214,Shanker 6 (B) 30mm FIne,4150,4225,4195,
,06/12/2012,150,Shanker 6 (B) 30mm FIne,4175,4262,4225,
,07/12/2012,296,Shanker 6 (B) 30mm FIne,4200,4260,4252,
