Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amreli,01/09/2012,70,Other,3500,5005,4400,
,03/09/2012,81,Other,3125,4995,4820,
,04/09/2012,74,Other,3000,4995,4800,
,05/09/2012,95,Other,3000,4935,4845,
,06/09/2012,77.5,Other,3000,4840,4715,
,07/09/2012,82,Other,3010,4890,4800,
,08/09/2012,92.5,Other,3000,4805,4750,
,10/09/2012,112.5,Other,3000,4725,4655,
,11/09/2012,142.5,Other,3000,4845,4720,
,12/09/2012,115,Other,3000,4830,4775,
,13/09/2012,117.5,Other,3050,4795,4350,
,14/09/2012,195,Other,3015,4860,4175,
,15/09/2012,240,Other,3010,4850,4225,
,17/09/2012,235,Other,3025,4900,4250,
,18/09/2012,222.5,Other,3010,4785,4210,
,20/09/2012,210,Other,3000,4695,4150,
,21/09/2012,222,Other,3000,4610,4000,
,22/09/2012,264,Other,3000,4500,4100,
,24/09/2012,54,Other,3000,4355,3850,
,25/09/2012,210,Other,3000,4510,4260,
,26/09/2012,186,Other,3000,4605,3995,
,27/09/2012,204,Other,3000,4550,4100,
,28/09/2012,240,Other,3000,4355,4140,
,29/09/2012,210,Other,3000,4225,3980,
Babra,26/09/2012,70,Shanker 6 (B) 30mm FIne,3750,4505,4495,
,27/09/2012,60,Shanker 6 (B) 30mm FIne,3555,4125,4115,
,28/09/2012,40,Shanker 6 (B) 30mm FIne,3125,4250,4240,
Bhavnagar,03/09/2012,0.3,Other,4660,4670,4665,
,05/09/2012,0.5,Other,4255,4485,4355,
,07/09/2012,1,Other,3905,4580,4240,
,08/09/2012,0.2,Other,4105,4105,4105,
,11/09/2012,1.8,Other,3105,4455,3780,
,12/09/2012,0.3,Other,3105,3105,3105,
,13/09/2012,0.5,Other,3105,3105,3105,
,14/09/2012,0.4,Other,3125,3125,3125,
,15/09/2012,1.4,Other,3630,4125,3875,
,17/09/2012,7,Other,2900,4155,3525,
,18/09/2012,7.2,Other,3210,4225,3715,
,21/09/2012,9,Other,2625,3955,3290,
,22/09/2012,21.7,Other,2655,3950,3300,
,24/09/2012,18,Other,2655,3845,3250,
,25/09/2012,18,Other,2985,3955,3470,
,26/09/2012,6.1,Other,3400,4055,3725,
,27/09/2012,11.8,Other,3500,4200,3850,
,28/09/2012,23.8,Other,3350,4230,3790,
,29/09/2012,29.5,Other,3155,4130,3640,
Bhesan,10/09/2012,5.2,Other,600,924,762,
,11/09/2012,4.2,Other,580,922,786,
,12/09/2012,16.5,Other,600,930,765,
,13/09/2012,3,Other,580,918,749,
Bodeli(Kalediya),01/09/2012,1, ,NR,NR,NR,
,03/09/2012,1, ,NR,NR,NR,
,04/09/2012,1, ,NR,NR,NR,
,05/09/2012,1, ,NR,NR,NR,
,06/09/2012,1, ,NR,NR,NR,
,07/09/2012,1, ,NR,NR,NR,
,08/09/2012,1, ,NR,NR,NR,
,10/09/2012,1, ,NR,NR,NR,
,11/09/2012,1, ,NR,NR,NR,
,12/09/2012,1, ,NR,NR,NR,
,13/09/2012,1, ,NR,NR,NR,
,14/09/2012,1, ,NR,NR,NR,
,15/09/2012,1, ,NR,NR,NR,
,17/09/2012,1, ,NR,NR,NR,
,18/09/2012,1, ,NR,NR,NR,
,19/09/2012,1, ,NR,NR,NR,
,20/09/2012,1, ,NR,NR,NR,
,21/09/2012,1, ,NR,NR,NR,
,22/09/2012,1, ,NR,NR,NR,
,24/09/2012,1, ,NR,NR,NR,
,25/09/2012,1, ,NR,NR,NR,
,26/09/2012,1, ,NR,NR,NR,
,27/09/2012,1, ,NR,NR,NR,
,28/09/2012,1, ,NR,NR,NR,
Bodeli(Modasar),18/09/2012,4, ,NR,NR,NR,
Chotila,03/09/2012,1,Shanker 6 (B) 30mm FIne,4000,4500,4250,
,08/09/2012,3.98,Shanker 6 (B) 30mm FIne,4000,4000,4000,
,15/09/2012,4,Shanker 6 (B) 30mm FIne,2000,4000,3000,
,19/09/2012,7.05,Shanker 6 (B) 30mm FIne,1500,3500,2500,
,21/09/2012,1,Shanker 6 (B) 30mm FIne,2000,4000,3000,
,22/09/2012,5,Shanker 6 (B) 30mm FIne,2000,4000,3000,
,24/09/2012,6.84,Shanker 6 (B) 30mm FIne,2000,4000,3000,
,25/09/2012,5.36,Shanker 6 (B) 30mm FIne,2000,3500,2750,
,26/09/2012,8.2,Shanker 6 (B) 30mm FIne,2000,4000,3000,
,28/09/2012,13.28,Shanker 6 (B) 30mm FIne,1500,3750,2625,
Dhoraji,17/09/2012,25.1,H.B (Unginned),1625,4255,3700,
,18/09/2012,17.5,H.B (Unginned),2125,4255,3650,
,19/09/2012,25.5,H.B (Unginned),2175,4350,3600,
,21/09/2012,25.8,H.B (Unginned),2105,4140,3625,
,24/09/2012,30.5,H.B (Unginned),1900,3935,3475,
,25/09/2012,51.1,H.B (Unginned),2550,4500,4050,
,26/09/2012,41.2,H.B (Unginned),2755,4505,4105,
,27/09/2012,44.3,Cotton (Unginned),2705,4355,4080,
,28/09/2012,21.1,H.B (Unginned),2655,4005,3830,
,29/09/2012,53.1,H.B (Unginned),2505,4180,3905,
Dhrol,01/09/2012,0.25,Other,4230,4490,4360,
,05/09/2012,1.4,Other,4000,4210,4105,
,07/09/2012,1.3,Other,3780,3960,3870,
,11/09/2012,2.95,Other,4000,4240,4120,
,14/09/2012,2.5,Other,4090,4450,4270,
,15/09/2012,1.5,Other,3660,3840,3750,
,17/09/2012,3.6,Other,3500,3850,3675,
,18/09/2012,2.65,Other,3500,4090,3855,
,19/09/2012,3.2,Other,3755,4055,3905,
,21/09/2012,8.85,Other,3600,4055,3825,
,22/09/2012,16.3,Other,3755,4150,3950,
,24/09/2012,14.35,Other,3790,4105,3945,
,25/09/2012,14.9,Other,3800,4105,3950,
,26/09/2012,10.3,Other,3670,4055,3860,
,27/09/2012,13.2,Other,3750,4105,3900,
,28/09/2012,14.5,Other,3680,4135,3905,
,29/09/2012,14.9,Other,3900,4345,4120,
Gondal,01/09/2012,14.5,Cotton (Unginned),3355,4915,4835,
,03/09/2012,20.2,Cotton (Unginned),2730,4855,4805,
,04/09/2012,18.1,Cotton (Unginned),2605,4805,4755,
,05/09/2012,27.4,Cotton (Unginned),2500,4730,4655,
,06/09/2012,12.3,Cotton (Unginned),2250,4695,4580,
,07/09/2012,22.8,Cotton (Unginned),2205,4715,4630,
,08/09/2012,16.5,Cotton (Unginned),2500,3755,3655,
,10/09/2012,16.2,Cotton (Unginned),2000,4130,3780,
,11/09/2012,19.6,Cotton (Unginned),2000,4130,3895,
,12/09/2012,21.2,Cotton (Unginned),2255,4155,3905,
,13/09/2012,17.6,Cotton (Unginned),2055,4005,3905,
,14/09/2012,34.5,Cotton (Unginned),2080,4185,3805,
,15/09/2012,29.8,Cotton (Unginned),2205,3830,3630,
,17/09/2012,49.1,Cotton (Unginned),2155,3955,3830,
,18/09/2012,48.9,Cotton (Unginned),2105,4055,3430,
,19/09/2012,48.1,Cotton (Unginned),2255,4065,3755,
,21/09/2012,50.4,Cotton (Unginned),2355,4265,3505,
,25/09/2012,123.7,Cotton (Unginned),2205,4105,3730,
,26/09/2012,101.1,Cotton (Unginned),2305,4105,3755,
,27/09/2012,105.3,Cotton (Unginned),2280,3980,3805,
,28/09/2012,87.6,Cotton (Unginned),2260,4080,3755,
Halvad,01/09/2012,109.8,Other,4000,4375,4275,
,03/09/2012,395,Other,3250,4375,3625,
,04/09/2012,212,Other,3250,4005,3700,
,05/09/2012,129,Other,3250,4055,3700,
,06/09/2012,76.4,Other,2505,4010,3500,
,07/09/2012,116,Other,3005,4205,3625,
,08/09/2012,94,Other,3150,4300,3625,
,10/09/2012,121.6,Other,3150,4175,3625,
,11/09/2012,139.2,Other,3125,4150,3650,
,12/09/2012,311.4,Other,3250,4000,3650,
,13/09/2012,426.4,Other,2500,4155,3625,
,14/09/2012,424.4,Other,3000,4175,3650,
,15/09/2012,570.4,Other,2250,4160,3250,
,17/09/2012,989,Other,2250,4250,3500,
,18/09/2012,1136,Other,2125,4200,3500,
,19/09/2012,1625,Other,2500,4230,3750,
,21/09/2012,2050,Other,2750,4310,3750,
,22/09/2012,2020,Other,2500,4255,3750,
,24/09/2012,3031.4,Other,2700,4225,3800,
,25/09/2012,3855,Other,3000,4200,3900,
,26/09/2012,2889.4,Other,2755,4135,3500,
,27/09/2012,3447,Other,3250,4135,3750,
,28/09/2012,3660,Other,3255,4185,3850,
,29/09/2012,2824.4,Other,3250,4115,3825,
