Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amreli,01/08/2013,14.1,Other,3150,5470,5265,
,02/08/2013,4.8,Other,4000,5430,5220,
,03/08/2013,3,Other,3375,5465,5190,
,05/08/2013,8.4,Other,3500,5525,5445,
,06/08/2013,14.2,Other,3950,5610,5480,
,07/08/2013,6.7,Other,4000,5635,5545,
,08/08/2013,12.5,Other,3455,5745,5555,
,10/08/2013,17.3,Other,3875,5810,5605,
,12/08/2013,16.3,Other,4500,5855,5785,
,13/08/2013,13.7,Other,4445,5880,5795,
,14/08/2013,8.5,Other,4025,5860,5635,
,16/08/2013,33.7,Other,3750,6090,5950,
,17/08/2013,21.4,Other,3250,6315,6085,
,19/08/2013,28.6,Other,4830,6260,6050,
,21/08/2013,22.5,Other,4500,6155,5760,
,22/08/2013,17.5,Other,4705,6135,6005,
,23/08/2013,25.6,Other,4255,6035,5990,
,24/08/2013,15.9,Other,4250,6025,5945,
Bhavnagar,24/08/2013,0.6,Other,4960,5610,5285,
Bodeli(Kalediya),01/08/2013,1, ,NR,NR,NR,
,02/08/2013,1, ,NR,NR,NR,
,03/08/2013,1, ,NR,NR,NR,
,04/08/2013,1, ,NR,NR,NR,
,05/08/2013,1, ,NR,NR,NR,
,06/08/2013,1, ,NR,NR,NR,
,07/08/2013,1, ,NR,NR,NR,
,08/08/2013,1, ,NR,NR,NR,
,09/08/2013,1, ,NR,NR,NR,
,10/08/2013,1, ,NR,NR,NR,
,11/08/2013,1, ,NR,NR,NR,
,12/08/2013,1, ,NR,NR,NR,
,13/08/2013,1, ,NR,NR,NR,
,14/08/2013,1, ,NR,NR,NR,
,15/08/2013,1, ,NR,NR,NR,
,16/08/2013,1, ,NR,NR,NR,
,17/08/2013,1, ,NR,NR,NR,
,18/08/2013,1, ,NR,NR,NR,
,19/08/2013,1, ,NR,NR,NR,
,20/08/2013,1, ,NR,NR,NR,
,21/08/2013,1, ,NR,NR,NR,
,22/08/2013,1, ,NR,NR,NR,
,23/08/2013,1, ,NR,NR,NR,
,24/08/2013,1, ,NR,NR,NR,
,25/08/2013,1, ,NR,NR,NR,
,26/08/2013,1, ,NR,NR,NR,
,27/08/2013,1, ,NR,NR,NR,
,28/08/2013,1, ,NR,NR,NR,
,29/08/2013,1, ,NR,NR,NR,
,30/08/2013,1, ,NR,NR,NR,
,31/08/2013,1, ,NR,NR,NR,
Bodeli(Modasar),15/08/2013,40, ,NR,NR,NR,
Dhoraji,01/08/2013,1,H.B (Unginned),3630,5105,4605,
,13/08/2013,0.7,H.B (Unginned),3880,5455,5400,
Dhrol,22/08/2013,5.3,Other,4975,5100,5035,
,29/08/2013,5.3,Other,4975,5100,5035,
Gondal,01/08/2013,6.6,Cotton (Unginned),4255,5250,5250,
,03/08/2013,1.8,Cotton (Unginned),4000,5275,5130,
,05/08/2013,6.6,Cotton (Unginned),4000,5315,5250,
,06/08/2013,2.5,Cotton (Unginned),3905,5465,5305,
,07/08/2013,2.7,Cotton (Unginned),4105,5430,5375,
,08/08/2013,0.9,Cotton (Unginned),4000,5300,5230,
,10/08/2013,0.7,Cotton (Unginned),3755,5505,5505,
,13/08/2013,3,Cotton (Unginned),4000,5755,5355,
,14/08/2013,7.1,Cotton (Unginned),3755,5680,5555,
,16/08/2013,3.9,Cotton (Unginned),4355,5730,5605,
,17/08/2013,13.7,Cotton (Unginned),4000,6005,5975,
,21/08/2013,7,Cotton (Unginned),4000,5950,5875,
,22/08/2013,4.9,Cotton (Unginned),3885,5975,5430,
,23/08/2013,5.2,Cotton (Unginned),4205,5815,5755,
,24/08/2013,4.6,Cotton (Unginned),4455,5850,5815,
Jam Jodhpur,01/08/2013,2,Other,925,1056,1000,
,02/08/2013,2,Other,925,1056,1000,
,03/08/2013,0.08,Other,900,1035,980,
,05/08/2013,0.08,Other,800,995,900,
,06/08/2013,0.04,Other,800,980,890,
,07/08/2013,0.04, ,NR,NR,NR,
,08/08/2013,0.14,Other,845,1045,945,
,10/08/2013,0.2,Other,990,1090,1040,
,12/08/2013,0.64,Other,950,1085,1020,
,14/08/2013,1.12,Other,1050,1160,1100,
,16/08/2013,2.28,Other,960,1160,1060,
,17/08/2013,0.12,Other,900,1100,1000,
,21/08/2013,3.4,Other,931,1131,1031,
,22/08/2013,0.4,Other,900,990,950,
,23/08/2013,0.8,Other,970,1071,1020,
,24/08/2013,0.16,Other,900,1050,975,
Jam Khambalia,22/08/2013,0.1,Other,4500,5625,5500,
,23/08/2013,2.4,Other,5410,5625,5575,
,24/08/2013,0.2,Other,4860,5625,5415,
Jamnagar,01/08/2013,5,Other,3825,5160,4493,
,02/08/2013,9,Other,4875,5150,5013,
,03/08/2013,1,Other,4500,5125,4813,
,05/08/2013,1,Other,4500,5125,4813,
,07/08/2013,4,Other,5000,5050,5025,
,13/08/2013,34,Other,4990,5545,5268,
,16/08/2013,40,Other,3700,5880,4900,
,17/08/2013,1,Other,3500,3625,3580,
,19/08/2013,22,Other,4910,5730,5500,
,21/08/2013,33,Other,5375,5610,5500,
,22/08/2013,69,Other,4500,5550,5025,
,23/08/2013,22,Other,4500,5580,5040,
Jasdan,01/08/2013,0.5,Other,5250,5250,5250,
,02/08/2013,0.1, ,NR,NR,NR,
,08/08/2013,0.3,Other,3500,5375,5000,
,12/08/2013,0.5,Other,5625,5625,5625,
