Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amirgadh,05/05/2014,1.5,Other,4500,5105,4800,
,08/05/2014,0.6,Other,4000,4000,4000,
,09/05/2014,0.4,Other,4000,4000,4000,
,12/05/2014,1,Other,4405,4505,4455,
,14/05/2014,0.1,Other,3505,4255,3880,
Amreli,01/05/2014,243,Other,4000,5480,4820,
,02/05/2014,167.4,Other,4145,5530,4815,
,03/05/2014,181.4,Other,3940,5605,4810,
,05/05/2014,265.5,Other,4040,5700,4830,
,06/05/2014,231.6,Other,3500,5715,4805,
,07/05/2014,219.6,Other,4000,5695,4775,
,08/05/2014,203.1,Other,4000,5710,4665,
,09/05/2014,187.6,Other,3900,5725,4725,
,10/05/2014,173.4,Other,3500,5640,4675,
,12/05/2014,162,Other,3625,5625,4545,
,13/05/2014,187.8,Other,3500,5465,4445,
,14/05/2014,159,Other,3810,5520,4530,
,15/05/2014,162,Other,3700,5530,4515,
,16/05/2014,148.2,Other,3860,5450,4485,
,17/05/2014,148.2,Other,3850,5530,4495,
,19/05/2014,166.8,Other,3500,5535,4445,
,20/05/2014,188,Other,4000,5575,4415,
,21/05/2014,192,Other,4000,5490,4405,
,22/05/2014,221.4,Other,4000,5560,4355,
,23/05/2014,189.6,Other,3685,5575,4255,
,24/05/2014,186,Other,3600,5550,4135,
,26/05/2014,192,Other,3750,5530,4150,
,27/05/2014,190,Other,3460,5385,4200,
,28/05/2014,185,Other,3500,5430,4175,
,29/05/2014,204,Other,3500,5450,4225,
,30/05/2014,201.9,Other,3605,5425,4220,
,31/05/2014,159,Other,3010,5405,4190,
Babra,01/05/2014,150,Shanker 6 (B) 30mm FIne,4555,5225,5205,
,02/05/2014,140,Shanker 6 (B) 30mm FIne,4550,5400,5380,
,03/05/2014,140,Shanker 6 (B) 30mm FIne,4700,5425,5400,
,05/05/2014,180,Shanker 6 (B) 30mm FIne,4725,5450,5420,
,06/05/2014,180,Shanker 6 (B) 30mm FIne,4800,5450,5430,
,07/05/2014,180,Shanker 6 (B) 30mm FIne,4725,5425,5400,
,08/05/2014,150,Shanker 6 (B) 30mm FIne,4625,5355,5325,
,09/05/2014,160,Shanker 6 (B) 30mm FIne,4725,5400,5380,
,10/05/2014,120,Shanker 6 (B) 30mm FIne,4675,5300,5280,
,12/05/2014,120,Shanker 6 (B) 30mm FIne,4500,5175,5150,
,13/05/2014,140,Shanker 6 (B) 30mm FIne,4625,5150,5130,
,14/05/2014,140,Shanker 6 (B) 30mm FIne,4450,5325,5300,
,15/05/2014,140,Shanker 6 (B) 30mm FIne,4350,5375,5300,
,16/05/2014,100,Shanker 6 (B) 30mm FIne,4550,5360,5340,
,17/05/2014,90,Shanker 6 (B) 30mm FIne,4250,5250,5230,
,19/05/2014,120,Shanker 6 (B) 30mm FIne,4500,5460,5440,
,20/05/2014,140,Shanker 6 (B) 30mm FIne,4625,5410,5360,
,21/05/2014,150,Shanker 6 (B) 30mm FIne,4625,5375,5360,
,22/05/2014,130,Shanker 6 (B) 30mm FIne,4250,5350,5320,
,23/05/2014,120,Shanker 6 (B) 30mm FIne,4200,5350,5330,
,24/05/2014,90,Shanker 6 (B) 30mm FIne,4250,5200,5180,
,26/05/2014,100,Shanker 6 (B) 30mm FIne,4250,5250,5210,
,27/05/2014,80,Shanker 6 (B) 30mm FIne,4075,5275,5250,
,28/05/2014,140,Shanker 6 (B) 30mm FIne,4225,5175,5160,
,29/05/2014,100,Shanker 6 (B) 30mm FIne,4250,5275,5260,
,30/05/2014,100,Shanker 6 (B) 30mm FIne,4225,5225,5200,
,31/05/2014,100,Shanker 6 (B) 30mm FIne,4250,5300,5265,
Bagasara,01/05/2014,90,Other,3500,4970,4235,
,02/05/2014,120,Other,3500,5220,4360,
,03/05/2014,90,Other,3500,5000,4250,
,05/05/2014,160,Other,3500,5200,4350,
,06/05/2014,168,Other,4100,5100,4600,
,07/05/2014,138,Other,3925,5245,4585,
,08/05/2014,90,Other,3500,5040,4270,
,09/05/2014,360,Other,3500,5000,4250,
,10/05/2014,90,Other,3850,4840,4345,
,12/05/2014,141,Other,3610,5110,4360,
,13/05/2014,171,Other,3555,5055,4305,
,14/05/2014,120,Other,3750,4850,4300,
,16/05/2014,132,Other,3500,5000,4250,
,17/05/2014,40,Other,3800,4800,4300,
,19/05/2014,71,Other,3505,4565,4035,
,20/05/2014,125,Other,3725,4715,4220,
,21/05/2014,135,Other,3700,4700,4200,
,22/05/2014,140,Other,3525,4725,4125,
,23/05/2014,100,Other,3800,4800,4300,
,24/05/2014,120,Other,3500,5000,4250,
,26/05/2014,90,Other,3505,4375,3940,
,27/05/2014,165,Other,3500,4830,4165,
,28/05/2014,49,Other,3505,4295,3900,
,29/05/2014,113,Other,3500,4300,3900,
,30/05/2014,115,Other,3610,4770,4190,
,31/05/2014,111,Other,3710,4710,4210,
Becharaji,01/05/2014,7.6,Other,3750,4918,4200,
,03/05/2014,9,Other,3750,4900,4800,
,05/05/2014,12.1,Other,4650,4885,4700,
,07/05/2014,11.5,Other,4000,4885,4700,
,08/05/2014,7.5,Other,4000,5120,4900,
,09/05/2014,6.4,Other,4000,5125,5000,
,10/05/2014,5.5,Other,4000,4800,4700,
,17/05/2014,3.9,Other,3750,4460,4000,
,19/05/2014,2.4,Other,3500,4455,4000,
,21/05/2014,1.9,Other,4000,4250,4200,
,22/05/2014,1.4,Other,4000,4475,4350,
,23/05/2014,1,Other,4000,4505,4400,
,24/05/2014,1.4,Other,4000,4330,4200,
,26/05/2014,1.9,Other,3850,4275,4000,
,28/05/2014,1.4,Other,3850,4200,4000,
,29/05/2014,1.2,Other,3650,3875,3800,
Bhavnagar,01/05/2014,51.2,Other,4625,5145,4885,
,02/05/2014,32.9,Other,4555,5125,4840,
,06/05/2014,48.7,Other,4640,5280,4960,
,08/05/2014,56,Other,4725,5130,4925,
,09/05/2014,30.6,Other,4635,5105,4870,
,10/05/2014,67.2,Other,4605,5165,4885,
,12/05/2014,29.4, ,NR,NR,NR,
,13/05/2014,34.6,Other,4275,4600,4435,
,14/05/2014,29.2,Other,4205,4805,4505,
,15/05/2014,45.2,Other,3875,4375,4125,
,16/05/2014,22.5,Other,3950,4660,4305,
,17/05/2014,44.1,Other,3955,4675,4315,
,19/05/2014,48,Other,3250,4405,3825,
,20/05/2014,58.1,Other,3950,4910,4430,
,21/05/2014,57.2,Other,4050,4970,4510,
,22/05/2014,22.5,Other,4100,4975,4535,
,23/05/2014,33.8,Other,4075,5080,4575,
,24/05/2014,32,Other,3760,4720,4240,
,26/05/2014,43.7,Other,3950,4915,4430,
,27/05/2014,35.8,Other,3905,4905,4400,
,28/05/2014,37.8,Other,3725,4775,4250,
,30/05/2014,24,Other,3500,4650,4075,
,31/05/2014,68.1,Other,3750,4605,4175,
Bhiloda,05/05/2014,10,Other,4250,4550,4450,
,06/05/2014,1,Other,4250,4500,4500,
,07/05/2014,6,Other,4250,4675,4500,
,08/05/2014,4,Other,4300,4665,4500,
,09/05/2014,5,Other,4250,4650,4480,
,12/05/2014,5,Other,4250,4625,4500,
,14/05/2014,5,Other,4300,4650,4600,
,15/05/2014,8,Other,4125,4300,4225,
,20/05/2014,10,Other,4000,4275,4150,
,21/05/2014,3,Other,4300,4450,4450,
,26/05/2014,4,Other,3875,4175,4125,
Bodeli,01/05/2014,282,Shanker 6 (B) 30mm FIne,4901,5300,5200,
,02/05/2014,407,Shanker 6 (B) 30mm FIne,4848,5400,5200,
,03/05/2014,427,Shanker 6 (B) 30mm FIne,4800,5400,5200,
,04/05/2014,354,Shanker 6 (B) 30mm FIne,4900,5454,5250,
,05/05/2014,354,Shanker 6 (B) 30mm FIne,4900,5400,5200,
,06/05/2014,332,Shanker 6 (B) 30mm FIne,4901,5454,5250,
,07/05/2014,258,Shanker 6 (B) 30mm FIne,4800,5390,5200,
,08/05/2014,247,Shanker 6 (B) 30mm FIne,4800,5390,5200,
,09/05/2014,316,Shanker 6 (B) 30mm FIne,4600,5354,5200,
,10/05/2014,333,Shanker 6 (B) 30mm FIne,4000,5354,5150,
,11/05/2014,259,Shanker 6 (B) 30mm FIne,4104,5301,5150,
,12/05/2014,259,Shanker 6 (B) 30mm FIne,4000,5301,5150,
,13/05/2014,191,Shanker 6 (B) 30mm FIne,4101,5201,5150,
,14/05/2014,190,Shanker 6 (B) 30mm FIne,4001,5201,5100,
,15/05/2014,214,Shanker 6 (B) 30mm FIne,4001,5124,4900,
,16/05/2014,211,Shanker 6 (B) 30mm FIne,3737,4701,4500,
,17/05/2014,258,Shanker 6 (B) 30mm FIne,3838,4482,4300,
,18/05/2014,1,Shanker 6 (B) 30mm FIne,4000,4400,4200,
,19/05/2014,211,Shanker 6 (B) 30mm FIne,3601,4351,4200,
,20/05/2014,75,Shanker 6 (B) 30mm FIne,3800,4901,4650,
,21/05/2014,125,Shanker 6 (B) 30mm FIne,3636,4748,4650,
,22/05/2014,145,Shanker 6 (B) 30mm FIne,3535,4848,4500,
