Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amirgadh,01/04/2015,0.5,Other,3500,3750,3625,
,06/04/2015,0.4,Other,3850,3850,3850,
,08/04/2015,0.5,Other,4060,4060,4060,
,13/04/2015,0.5,Other,3625,3625,3625,
,24/04/2015,0.1,Other,3925,3925,3925,
,27/04/2015,0.1,Other,4000,4000,4000,
Amreli,02/04/2015,171.7,Other,3505,4400,4245,
,03/04/2015,132.6,Other,3615,4400,4225,
,06/04/2015,190.9,Other,3600,4690,4500,
,07/04/2015,193.1,Other,3505,4760,4545,
,08/04/2015,236,Other,3680,4705,4450,
,09/04/2015,215.5,Other,3605,4755,4550,
,10/04/2015,161.2,Other,3635,4670,4520,
,11/04/2015,188,Other,3500,4655,4520,
,13/04/2015,152.2,Other,3525,4590,4475,
,15/04/2015,206,Other,3600,4600,4400,
,16/04/2015,125.8,Other,3500,4620,4500,
,17/04/2015,109.2,Other,3525,4585,4500,
,18/04/2015,99.6,Other,3515,4595,4520,
,20/04/2015,107.8,Other,3725,4590,4500,
,21/04/2015,84.8,Other,3505,4585,4360,
,22/04/2015,101.8,Other,3610,4615,4435,
,24/04/2015,115.1,Other,3590,4695,4580,
,25/04/2015,84.4,Other,3505,4690,4540,
,27/04/2015,148.5,Other,3525,4700,4515,
,28/04/2015,85.7,Other,3530,4770,4665,
,29/04/2015,109.7,Other,3800,4725,4610,
,30/04/2015,108.1,Other,3660,4725,4575,
Anjar,01/04/2015,4.5,Other,3877,4040,3950,
,02/04/2015,0.7,Other,4000,4000,4000,
,03/04/2015,15.4,Other,4000,4077,4050,
,04/04/2015,10,Other,4000,4100,4100,
,06/04/2015,19,Other,4027,4402,4300,
,07/04/2015,21.1,Other,4050,4377,4200,
,09/04/2015,12,Other,4000,4225,4150,
,10/04/2015,11.1,Other,4000,4310,4250,
,11/04/2015,10.9,Other,4127,4425,4350,
,13/04/2015,7.8,Other,4000,4425,4300,
,15/04/2015,7.9,Other,3437,4352,4100,
,16/04/2015,6.8,Other,3627,4415,4250,
,18/04/2015,4.5,Other,3750,4130,4000,
,20/04/2015,3.2,Other,3750,4100,3950,
,21/04/2015,3.8,Other,3812,3952,3900,
,22/04/2015,3.2,Other,3987,4277,4150,
,23/04/2015,4.9,Other,3755,4315,3950,
,24/04/2015,0.9,Other,3925,4250,4150,
,25/04/2015,4.9,Other,3827,4366,4250,
,27/04/2015,5.6,Other,4062,4677,4500,
,28/04/2015,1.6,Other,3752,4265,3950,
,29/04/2015,3.7,Other,3977,4425,4300,
,30/04/2015,1.4,Other,4027,4375,4250,
Babra,02/04/2015,40,Other,3900,4350,4310,
,03/04/2015,50,Other,3900,4475,4450,
,04/04/2015,60,Other,4050,4525,4490,
,06/04/2015,60,Other,3900,4625,4600,
,07/04/2015,60,Other,3925,4675,4650,
,08/04/2015,70,Other,4200,4750,4700,
,09/04/2015,70,Other,4200,4725,4690,
,10/04/2015,70,Other,4100,4725,4700,
,11/04/2015,50,Other,4100,4675,4650,
,13/04/2015,60,Other,4150,4690,4650,
,14/04/2015,60,Other,4175,4700,4650,
,15/04/2015,60,Other,4125,4650,4320,
,16/04/2015,60,Other,4150,4610,4585,
,18/04/2015,50,Other,4050,4585,4550,
,20/04/2015,50,Other,4050,4600,4550,
,21/04/2015,50,Other,4125,4590,4550,
,22/04/2015,40,Other,4175,4625,4600,
,23/04/2015,40,Other,4200,4690,4650,
,25/04/2015,70,Other,4175,4700,4675,
,27/04/2015,60,Other,4125,4725,4700,
,28/04/2015,60,Other,4125,4740,4700,
,29/04/2015,60,Other,4075,4655,4610,
Bagasara,06/04/2015,9.3,Other,3905,4565,4235,
,07/04/2015,11.1,Other,3825,4525,4175,
,08/04/2015,13,Other,3805,4555,4180,
,09/04/2015,11,Other,3610,4510,4060,
,10/04/2015,5,Other,3500,4500,4000,
,11/04/2015,6,Other,3505,4505,4005,
,13/04/2015,3,Other,3875,4535,4205,
,15/04/2015,10,Other,3600,4440,4020,
,17/04/2015,9.6,Other,3500,4520,4010,
,18/04/2015,2.8,Other,3505,4445,3975,
,20/04/2015,7.8,Other,3500,4440,3970,
,21/04/2015,5.4,Other,3505,4465,3985,
,22/04/2015,3.4,Other,3600,4420,4010,
,23/04/2015,3.4,Other,3025,4375,3700,
,24/04/2015,4,Other,3500,4400,3950,
