Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Amreli,01/06/2015,73.4,Other,3595,4835,4730,
,02/06/2015,41.4,Other,3585,4905,4840,
,03/06/2015,58.3,Other,3635,4875,4835,
,04/06/2015,81,Other,3560,4875,4835,
,05/06/2015,68.5,Other,3755,4855,4700,
,06/06/2015,57.9,Other,3485,4880,4700,
,08/06/2015,99.5,Other,3225,4830,4675,
,09/06/2015,58,Other,3360,4855,4650,
,10/06/2015,71.5,Other,3460,4845,4685,
,11/06/2015,100.5,Other,3100,4800,4625,
,12/06/2015,34,Other,3000,4725,4600,
,13/06/2015,30,Other,3275,4705,4590,
,15/06/2015,22.3,Other,3555,4880,4700,
,16/06/2015,24.6,Other,3495,4705,4620,
,17/06/2015,65,Other,3375,4765,4580,
,18/06/2015,54.5,Other,3375,4695,4545,
,19/06/2015,64.5,Other,3330,4670,4500,
,20/06/2015,33.5,Other,3650,4620,4525,
,22/06/2015,35,Other,3230,4640,4575,
,25/06/2015,3.3,Other,3500,4590,4380,
,26/06/2015,5.7,Other,3155,4640,4440,
,27/06/2015,25.5,Other,3485,4690,4535,
,29/06/2015,36.5,Other,3080,4725,4525,
,30/06/2015,52,Other,3155,4700,4575,
Babra,01/06/2015,10,Other,4150,4625,4600,
,02/06/2015,10,Other,4175,4805,4750,
,03/06/2015,10,Other,4125,4800,4750,
,04/06/2015,10,Other,4125,4750,4725,
,05/06/2015,10,Other,4150,4725,4700,
,06/06/2015,10,Other,4150,4725,4700,
,08/06/2015,10,Other,4200,4700,4650,
,09/06/2015,10,Other,4430,4720,4690,
,10/06/2015,10,Other,4350,4705,4675,
,11/06/2015,10,Other,4125,4725,4700,
,12/06/2015,10,Other,4225,4730,4700,
,13/06/2015,30,Other,4200,4710,4680,
,16/06/2015,10,Other,4200,4600,4550,
Bagasara,01/06/2015,2,Other,3605,4355,3980,
,02/06/2015,2.9,Other,3500,4590,4045,
,03/06/2015,0.6,Other,3550,4250,3900,
,04/06/2015,1.8,Other,3505,4575,4040,
,05/06/2015,0.4,Other,3625,4425,4025,
,06/06/2015,1.2,Other,3535,4445,3990,
,08/06/2015,1,Other,3505,4445,3975,
,09/06/2015,1.1, ,NR,NR,NR,
,10/06/2015,1.1,Other,3750,4450,4100,
,11/06/2015,1.7,Other,3500,4500,4000,
,12/06/2015,1,Other,3505,4405,3955,
,13/06/2015,0.8,Other,3505,4445,3975,
,15/06/2015,1.5,Other,3725,4475,4100,
,17/06/2015,0.6,Other,3755,4415,4085,
,19/06/2015,0.3,Other,3500,4200,3850,
,20/06/2015,0.3,Other,3500,4250,3875,
Bhanvad,01/06/2015,0.5,Other,3500,4175,3750,
,02/06/2015,0.5,Other,3500,3900,3750,
,03/06/2015,1,Other,3500,4000,3925,
,04/06/2015,0.5,Other,3500,3900,3750,
,05/06/2015,0.5,Other,3400,3800,3600,
,06/06/2015,0.5,Other,3500,3750,3650,
,08/06/2015,0.5,Other,3500,3900,3700,
,09/06/2015,0.5,Other,3500,3900,3700,
,10/06/2015,0.3,Other,3500,4120,3875,
,11/06/2015,0.5,Other,3500,4120,3750,
,13/06/2015,0.4,Other,3500,3900,3750,
,16/06/2015,0.1,Other,3500,4275,3750,
,17/06/2015,0.5,Other,3500,3900,3750,
,19/06/2015,0.3,Other,3500,3800,3700,
,20/06/2015,0.2,Other,3500,3800,3750,
,22/06/2015,0.2,Other,3500,3850,3750,
,24/06/2015,0.1,Other,3500,4000,3750,
,26/06/2015,0.1,Other,3500,4105,3830,
,29/06/2015,0.2,Other,3500,4000,3750,
,30/06/2015,0.2,Other,3500,3850,3750,
Bhavnagar,01/06/2015,5.6,Other,4005,4455,4230,
,02/06/2015,4.2,Other,4000,4350,4175,
,03/06/2015,2,Other,3870,4125,3995,
,04/06/2015,11,Other,3500,4255,3875,
,05/06/2015,2.3,Other,4125,4300,4210,
,06/06/2015,3.6,Other,4055,4400,4225,
,08/06/2015,1.7,Other,4155,4405,4280,
,09/06/2015,5,Other,3760,4455,4105,
,10/06/2015,3.9,Other,4110,4515,4310,
,11/06/2015,2.5,Other,3790,4325,4055,
,12/06/2015,4.3,Other,3625,4375,4000,
,13/06/2015,1.6,Other,3555,4250,3900,
,16/06/2015,0.6,Other,3250,4125,3685,
,20/06/2015,1.1,Other,3970,4155,4060,
Bhesan,01/06/2015,8.25,Other,4000,4750,4375,
,02/06/2015,6,Other,4100,4800,4450,
,04/06/2015,12.2,Other,3900,4810,4355,
,05/06/2015,8.95,Other,4000,4830,4415,
,06/06/2015,8.35,Other,4000,4800,4400,
,08/06/2015,17.45,Other,4000,4680,4340,
,09/06/2015,15.05,Other,3950,4690,4320,
,10/06/2015,15.4,Other,4000,4700,4350,
,11/06/2015,16,Other,3950,4750,4350,
,12/06/2015,9.75,Other,3900,4750,4325,
,13/06/2015,4.75,Other,3800,4760,4280,
,15/06/2015,9,Other,3625,4600,4110,
,16/06/2015,7.25,Other,3700,4590,4145,
,18/06/2015,10.75,Other,3560,4580,4070,
,19/06/2015,7.75,Other,3700,4660,4180,
,20/06/2015,3,Other,3660,4590,4125,
,22/06/2015,6.75,Other,3650,4560,4105,
,23/06/2015,4.05,Other,3625,4575,4125,
,24/06/2015,4.05,Other,3625,4575,4125,
,25/06/2015,0.65,Other,3650,4550,4100,
,26/06/2015,4.1,Other,3500,4500,4000,
,27/06/2015,0.07,Other,3550,4510,4030,
,29/06/2015,4,Other,3500,4500,4000,
,30/06/2015,12,Other,3750,4650,4200,
Botad(Haddad),01/06/2015,52.8,Shanker 6 (B) 30mm FIne,3900,4775,4340,
,02/06/2015,70.3,Shanker 6 (B) 30mm FIne,4400,4800,4600,
,03/06/2015,52,Shanker 6 (B) 30mm FIne,4350,4720,4535,
,04/06/2015,36,Shanker 6 (B) 30mm FIne,4200,4750,4475,
,05/06/2015,13.8,Shanker 6 (B) 30mm FIne,4375,4655,4515,
,06/06/2015,24,Shanker 6 (B) 30mm FIne,4500,4655,4580,
,08/06/2015,23.4,Shanker 6 (B) 30mm FIne,4400,4665,4535,
,09/06/2015,30.6,Shanker 6 (B) 30mm FIne,3855,4725,4290,
,10/06/2015,15.6,Shanker 6 (B) 30mm FIne,4350,4700,4525,
,26/06/2015,4.8,Shanker 6 (B) 30mm FIne,7000,8245,7625,
,27/06/2015,1.2,Shanker 6 (B) 30mm FIne,4355,4355,4355,
,29/06/2015,22.2,Shanker 6 (B) 30mm FIne,4500,4500,4500,
