Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Annigeri,02/01/2012,30,GCH,4000,4000,4000,
,03/01/2012,16,GCH,3705,3750,3750,
,10/01/2012,34,Other,3850,3850,3850,
,11/01/2012,45,GCH,3850,4000,3950,
,14/01/2012,50,GCH,4200,4200,4200,
,17/01/2012,24,GCH,3850,3850,3850,
,23/01/2012,71,GCH,3800,4175,4000,
,25/01/2012,30,GCH,3800,3850,3850,
,31/01/2012,357,GCH,3800,4230,4100,
,,,MCU 5,4050,4200,4100,
Arasikere,06/01/2012,8,Varalakshmi (Ginned),2300,2300,2300,
,09/01/2012,9,Varalakshmi (Ginned),2300,2300,2300,
,12/01/2012,9,Varalakshmi (Ginned),3200,3200,3200,
,25/01/2012,10,MCU 5,2800,3200,3000,
Bailahongal,03/01/2012,530,LH-1556,3950,4340,4150,
,,,Varalakshmi (Ginned),4401,4861,4550,
,05/01/2012,162,LH-1556,4150,4497,4310,
,,,Varalakshmi (Ginned),4450,4973,4630,
,07/01/2012,417,LH-1556,3950,4369,4230,
,,,Varalakshmi (Ginned),4350,4977,4650,
,10/01/2012,650,LH-1556,4100,4450,4350,
,,,Varalakshmi (Ginned),4400,5009,4850,
,12/01/2012,176,LH-1556,3950,4460,4200,
,,,Varalakshmi (Ginned),4380,4980,4450,
,17/01/2012,153,LH-1556,4189,4929,4399,
,,,Varalakshmi (Ginned),4529,5049,4829,
,19/01/2012,157,LH-1556,4250,4570,4400,
,,,Varalakshmi (Ginned),4520,5100,4810,
,24/01/2012,532,LH-1556,3850,4419,4150,
,,,Varalakshmi (Ginned),4400,5090,4500,
,28/01/2012,395,LH-1556,4050,4359,4219,
,,,Varalakshmi (Ginned),4665,5070,4939,
,31/01/2012,308,LH-1556,3865,4259,4043,
,,,Varalakshmi (Ginned),4396,5090,4829,
Bellary,03/01/2012,57,LD-327,2249,4851,4069,
,06/01/2012,68,LD-327,3111,4160,4060,
,10/01/2012,63,LD-327,2866,4205,4060,
,13/01/2012,46,LD-327,2880,4622,4120,
,17/01/2012,50,LD-327,2339,4326,4280,
,20/01/2012,54,LD-327,2601,4359,4320,
,24/01/2012,55,LD-327,2699,4360,4180,
,27/01/2012,52,LD-327,2366,4130,4030,
,31/01/2012,39,LD-327,2466,4130,4009,
Belur,04/01/2012,17,H-4(A) 27mm FIne,3000,3000,3000,
,11/01/2012,46,H-4(A) 27mm FIne,3000,3100,3000,
Bijapur,02/01/2012,450,LH-1556,2640,4159,4015,
,03/01/2012,369,LH-1556,2709,4189,4045,
,05/01/2012,534,LH-1556,3309,4287,3987,
,06/01/2012,344,LH-1556,3685,4209,4000,
,07/01/2012,294,LH-1556,2200,4279,4038,
,09/01/2012,418,LH-1556,2809,4309,4010,
,10/01/2012,250,LH-1556,3200,4347,3845,
,11/01/2012,334,LH-1556,2227,4387,4175,
,12/01/2012,355,LH-1556,2447,4342,4160,
,13/01/2012,338,LH-1556,3005,4380,4100,
,16/01/2012,91,LH-1556,3533,4378,4243,
,17/01/2012,442,LH-1556,3700,4466,4285,
,18/01/2012,468,LH-1556,3037,4459,4295,
,19/01/2012,533,LH-1556,2507,4529,4270,
,20/01/2012,616,LH-1556,3332,4426,4295,
,21/01/2012,435,LH-1556,2227,4365,4211,
,23/01/2012,416,LH-1556,2227,4286,4121,
,24/01/2012,366,LH-1556,2807,4291,4162,
,25/01/2012,581,LH-1556,2247,4311,4173,
,27/01/2012,662,LH-1556,2069,4296,3908,
,28/01/2012,409,LH-1556,2187,4263,4056,
,30/01/2012,463,LH-1556,2207,4280,3838,
,31/01/2012,362,LH-1556,2187,4263,4056,
Chamaraj Nagar,02/01/2012,15,Other,3000,3000,3000,
,23/01/2012,4,Other,2800,3000,2900,
Channagiri,13/01/2012,9,Hampi (Ginned),6876,6876,6876,
,24/01/2012,9,Hampi (Ginned),3216,3216,3216,
Chikkamagalore,11/01/2012,18,Varalakshmi (Ginned),NR,3200,2851,
,12/01/2012,84,Varalakshmi (Ginned),2400,2500,2436,
,23/01/2012,9,Varalakshmi (Ginned),3100,3300,3200,
Chitradurga,03/01/2012,274,Varalakshmi (Ginned),3560,4663,4170,
,05/01/2012,253,Varalakshmi (Ginned),3520,4750,4200,
,07/01/2012,299,Varalakshmi (Ginned),2469,4752,4141,
,10/01/2012,334,Varalakshmi (Ginned),3550,4830,4300,
,12/01/2012,226,Varalakshmi (Ginned),2839,4930,4200,
,14/01/2012,26,Varalakshmi (Ginned),4099,4888,4400,
,17/01/2012,382,Varalakshmi (Ginned),3570,5009,4860,
,19/01/2012,212,Varalakshmi (Ginned),3489,5033,4600,
,21/01/2012,244,Varalakshmi (Ginned),3560,5010,4600,
,24/01/2012,353,Varalakshmi (Ginned),3231,5030,4470,
,28/01/2012,295,Varalakshmi (Ginned),3470,4920,4450,
,31/01/2012,371,Varalakshmi (Ginned),3560,4890,4450,
Davangere,02/01/2012,55,MCU 5,3300,4230,3940,
,,,Varalakshmi (Ginned),3897,4470,4250,
,03/01/2012,12,MCU 5,3300,4196,4026,
,04/01/2012,69,MCU 5,3309,4209,3990,
,,,Varalakshmi (Ginned),3800,4530,4194,
,05/01/2012,37,MCU 5,3300,4351,4220,
,,,Varalakshmi (Ginned),3980,4611,4489,
,06/01/2012,35,MCU 5,3300,4173,3850,
,,,Varalakshmi (Ginned),3720,4350,4180,
,07/01/2012,15,MCU 5,3310,4290,3930,
,,,Varalakshmi (Ginned),3930,4556,4176,
,09/01/2012,71,MCU 5,3300,4440,4260,
,,,Varalakshmi (Ginned),3920,4636,4346,
,10/01/2012,36,MCU 5,3309,4390,4033,
,,,Varalakshmi (Ginned),3840,4546,4222,
,11/01/2012,33,MCU 5,3309,4281,3980,
,,,Varalakshmi (Ginned),3860,4329,4200,
,12/01/2012,21,MCU 5,3300,4227,3870,
,,,Varalakshmi (Ginned),3820,4326,4187,
,13/01/2012,34,MCU 5,3452,4170,3990,
,,,Varalakshmi (Ginned),3870,4300,4120,
,16/01/2012,54,MCU 5,3009,4399,4280,
,,,Varalakshmi (Ginned),4177,4756,4363,
,17/01/2012,22,MCU 5,4150,4410,4276,
,,,Varalakshmi (Ginned),3289,4290,3950,
,18/01/2012,17,MCU 5,3580,4419,4149,
,,,Varalakshmi (Ginned),4279,4609,4391,
,19/01/2012,20,MCU 5,3782,4566,4270,
,,,Varalakshmi (Ginned),4200,4832,4346,
,20/01/2012,21,MCU 5,3288,4369,4257,
,,,Varalakshmi (Ginned),4290,4814,4366,
,21/01/2012,6,MCU 5,3136,4314,4184,
,23/01/2012,40,MCU 5,3480,4360,4159,
,,,Varalakshmi (Ginned),4135,4609,4330,
,24/01/2012,39,MCU 5,3202,4376,4176,
,,,Varalakshmi (Ginned),3940,4856,4349,
,25/01/2012,37,MCU 5,3250,4293,3950,
,,,Varalakshmi (Ginned),3939,4444,4237,
,27/01/2012,63,MCU 5,3570,4520,4269,
,,,Varalakshmi (Ginned),4228,4930,4560,
,28/01/2012,23,MCU 5,3630,4227,4010,
,,,Varalakshmi (Ginned),4152,4889,4500,
,31/01/2012,87,MCU 5,3350,4380,4130,
,,,Varalakshmi (Ginned),4130,4519,4280,
Dharwar,02/01/2012,39,GCH,4150,4200,4175,
,,,LH-1556,3609,4569,4089,
,06/01/2012,59,GCH,4009,4687,4348,
,07/01/2012,9,GCH,4200,4200,4200,
,09/01/2012,43,GCH,4169,4359,4264,
,10/01/2012,76,GCH,3689,4279,3984,
,11/01/2012,92,GCH,3974,4225,4099,
,12/01/2012,17,LH-1556,3490,4169,3829,
,13/01/2012,23,GCH,2001,4339,3170,
,16/01/2012,19,GCH,3889,4382,4135,
,20/01/2012,59,GCH,2269,4769,3519,
,27/01/2012,59,LH-1556,3809,4379,4094,
,,,Varalakshmi (Ginned),4969,5059,5014,
,30/01/2012,54,GCH,3809,4462,4136,
Gadag,02/01/2012,46,GCH,2625,4160,4059,
,06/01/2012,37,GCH,3009,4179,4001,
,09/01/2012,18,GCH,2919,4201,4009,
,11/01/2012,34,GCH,2879,4259,4181,
,13/01/2012,14,GCH,3919,4301,4100,
,16/01/2012,9,GCH,1909,4349,4219,
,18/01/2012,33,GCH,3666,4379,4259,
,20/01/2012,10,GCH,4209,4369,4259,
,25/01/2012,21,GCH,3669,4312,4209,
,27/01/2012,24,GCH,3401,4209,4169,
Gangavathi,02/01/2012,20,GCH,3850,4040,4030,
,04/01/2012,3,GCH,3900,4000,3990,
,05/01/2012,3,GCH,3681,3681,3681,
,06/01/2012,6,GCH,4040,4040,4040,
,12/01/2012,20,GCH,4040,4050,4050,
,16/01/2012,6,GCH,4050,4050,4050,
,21/01/2012,7,GCH,4080,4120,4120,
,25/01/2012,2,GCH,4080,4080,4080,
,31/01/2012,5,GCH,3830,3850,3830,
Gokak,02/01/2012,98,Laxmi (Ginned),3889,4207,3950,
,,,Varalakshmi (Ginned),4239,4385,4325,
,06/01/2012,140,Laxmi (Ginned),3601,4201,4075,
,,,Varalakshmi (Ginned),4339,4429,4351,
,13/01/2012,115,Laxmi (Ginned),3675,4375,4075,
,,,Varalakshmi (Ginned),4429,4629,4489,
,17/01/2012,20,Laxmi (Ginned),4150,4321,4251,
,20/01/2012,55,Laxmi (Ginned),3937,4379,4259,
,,,Varalakshmi (Ginned),4349,4829,4667,
,27/01/2012,101,Laxmi (Ginned),3869,4289,4119,
,,,Varalakshmi (Ginned),4759,4869,4789,
,30/01/2012,95,Laxmi (Ginned),3601,4251,4169,
,,,Varalakshmi (Ginned),4759,4809,4779,
Gundlupet,02/01/2012,9,Other,3200,3200,3200,
,03/01/2012,4,Varalakshmi (Ginned),2800,2800,2800,
,05/01/2012,12,Other,2800,3200,3200,
,08/01/2012,4,Other,2800,2800,2800,
,09/01/2012,8,Other,3000,3000,3000,
,11/01/2012,9,Other,2800,2800,2800,
,13/01/2012,4,Other,3300,3300,3300,
