Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Annigeri,08/02/2013,8,GCH,3850,4100,3950,
,11/02/2013,81,GCH,3800,4000,3930,
,13/02/2013,118,GCH,3550,4125,4030,
,27/02/2013,51,GCH,3550,3801,3618,
Bailahongal,05/02/2013,165,LD-327,3932,4290,4149,
,,,Varalakshmi (Ginned),4580,4939,4716,
,07/02/2013,5,LH-1556,4062,4171,4142,
,09/02/2013,53,LH-1556,3851,4200,4099,
,,,Varalakshmi (Ginned),4309,4851,4551,
,19/02/2013,35,LH-1556,3979,4211,4067,
,,,Varalakshmi (Ginned),4656,4846,4729,
Bellary,01/02/2013,26,LD-327,3360,4969,4399,
,08/02/2013,25,LD-327,3069,4389,4279,
,12/02/2013,19,F-1054,3101,4501,4319,
,14/02/2013,19,LD-327,3101,4501,4319,
,15/02/2013,19,LD-327,3479,4290,3966,
,19/02/2013,24,LD-327,2969,4339,4019,
,22/02/2013,13,LD-327,3483,4356,3969,
,23/02/2013,24,LD-327,2969,4339,4019,
,26/02/2013,11,LD-327,3329,4426,4169,
Bijapur,01/02/2013,246, ,NR,NR,NR,
,02/02/2013,197,LH-1556,1007,4141,4038,
,04/02/2013,404,LH-1556,1200,4109,4024,
,05/02/2013,240,LH-1556,2010,4093,3993,
,06/02/2013,294, ,NR,NR,NR,
,07/02/2013,235,LH-1556,1220,4080,3944,
,08/02/2013,248,LH-1556,2265,4100,4005,
,12/02/2013,343,LH-1556,1200,4104,4024,
,13/02/2013,298,LH-1556,1247,4127,4026,
,14/02/2013,180,LH-1556,1600,4127,4030,
,15/02/2013,112,LH-1556,1500,4125,4056,
,16/02/2013,63,LH-1556,3855,4149,4086,
,18/02/2013,224,LH-1556,1010,4179,4099,
,19/02/2013,126,LH-1556,1216,4209,4118,
,21/02/2013,87,LH-1556,3976,4273,4183,
,22/02/2013,147,LH-1556,3790,4329,4208,
,23/02/2013,94,LH-1556,3985,4421,4289,
,25/02/2013,127,LH-1556,2265,4436,4334,
,26/02/2013,104,LH-1556,2220,4449,4377,
,27/02/2013,114,LH-1556,2301,4490,4398,
,28/02/2013,96,LH-1556,3080,4550,4443,
Chamaraj Nagar,07/02/2013,7,Other,3600,3600,3600,
Chintamani,08/02/2013,2,Other,5000,7000,6000,
Chitradurga,02/02/2013,142,Varalakshmi (Ginned),3260,4960,4400,
,05/02/2013,201,Varalakshmi (Ginned),3000,4999,4400,
,07/02/2013,136,Varalakshmi (Ginned),2909,4933,4350,
,12/02/2013,267,Varalakshmi (Ginned),3360,4972,4400,
,14/02/2013,168,Varalakshmi (Ginned),3000,4961,4320,
,16/02/2013,102,Varalakshmi (Ginned),2499,4850,4290,
,19/02/2013,212,Varalakshmi (Ginned),2999,5022,4260,
,23/02/2013,241,Varalakshmi (Ginned),3300,5040,4260,
,26/02/2013,195,Varalakshmi (Ginned),3600,5155,4340,
,28/02/2013,224,Varalakshmi (Ginned),4199,5224,4500,
Davangere,01/02/2013,20,MCU 5,3730,4247,4120,
,,,Varalakshmi (Ginned),4550,5054,4670,
,02/02/2013,1,MCU 5,3511,4051,3781,
,04/02/2013,30,MCU 5,3710,4270,4190,
,,,Varalakshmi (Ginned),4680,5070,4950,
,05/02/2013,7,MCU 5,3770,4111,4084,
,,,Varalakshmi (Ginned),4350,4647,4550,
,06/02/2013,21,MCU 5,3890,4165,4099,
,07/02/2013,14,MCU 5,3890,4170,4060,
,,,Varalakshmi (Ginned),4646,5060,4843,
,08/02/2013,11,MCU 5,3860,4280,4100,
,11/02/2013,30,MCU 5,3710,4370,4230,
,,,Varalakshmi (Ginned),4444,5060,4646,
,12/02/2013,8,MCU 5,3827,4349,4220,
,,,Varalakshmi (Ginned),4519,4848,4720,
,13/02/2013,15,MCU 5,3721,4211,4141,
,,,Varalakshmi (Ginned),4450,5080,4750,
,14/02/2013,10,MCU 5,3837,4239,4169,
,,,Varalakshmi (Ginned),4362,4786,4550,
,15/02/2013,11,MCU 5,3873,4290,4137,
,16/02/2013,4,MCU 5,3709,4209,4108,
,,,Varalakshmi (Ginned),4400,4809,4700,
,18/02/2013,35,MCU 5,3721,4311,4250,
,,,Varalakshmi (Ginned),4450,4869,4686,
,19/02/2013,9,MCU 5,3769,4263,4149,
,,,Varalakshmi (Ginned),4400,4920,4680,
,22/02/2013,22,MCU 5,3700,4282,4132,
,,,Varalakshmi (Ginned),4689,4920,4750,
,23/02/2013,10,MCU 5,3741,4319,4250,
,26/02/2013,43,MCU 5,3710,4389,4247,
,,,Varalakshmi (Ginned),4384,5125,4480,
,27/02/2013,8,MCU 5,4490,4889,4769,
,28/02/2013,21,MCU 5,3700,4389,4250,
,,,Varalakshmi (Ginned),4420,4809,4700,
Dharwar,01/02/2013,32,GCH,3611,4359,3985,
,,,Varalakshmi (Ginned),4225,4609,4417,
,04/02/2013,23,GCH,3809,4209,4009,
,,,Varalakshmi (Ginned),4309,4609,4459,
,08/02/2013,14,GCH,3801,4193,3997,
,,,Varalakshmi (Ginned),4241,4509,4375,
,11/02/2013,17,Varalakshmi (Ginned),3839,4409,4124,
,18/02/2013,22,GCH,3309,4409,3859,
,22/02/2013,22,GCH,3509,4233,3871,
,,,Varalakshmi (Ginned),4700,4700,4700,
Gokak,08/02/2013,43,Laxmi (Ginned),4011,4150,4025,
,11/02/2013,10,Laxmi (Ginned),4025,4100,4050,
,15/02/2013,5,Laxmi (Ginned),4031,4051,4041,
Gundlupet,07/02/2013,7,Other,3612,3612,3612,
,10/02/2013,5,Other,3874,3874,3874,
,21/02/2013,21,Other,3500,3500,3500,
,22/02/2013,8,Other,3515,3515,3515,
H.B. Halli,27/02/2013,2,LD-327,3500,3500,3500,
Haliyala,21/02/2013,20,Varalakshmi (Ginned),4409,4961,4669,
,28/02/2013,36,Varalakshmi (Ginned),4050,4725,4630,
Haveri,01/02/2013,20,GCH,3950,4050,4025,
,02/02/2013,54,GCH,3800,4150,3950,
,04/02/2013,406,GCH,3609,4139,4021,
,05/02/2013,11,GCH,3850,3950,3900,
,06/02/2013,18,GCH,3850,3950,3900,
,07/02/2013,202,GCH,3659,4189,3985,
,08/02/2013,15,GCH,3800,3975,3900,
,11/02/2013,245,GCH,3569,4170,3982,
,14/02/2013,295,GCH,3658,4149,3989,
,15/02/2013,10,GCH,3850,3950,3900,
,16/02/2013,19,GCH,3750,3950,3850,
,18/02/2013,386,GCH,3689,4169,3989,
,19/02/2013,8,GCH,3750,3950,3875,
,20/02/2013,10,GCH,3690,3875,3795,
,21/02/2013,353,GCH,3689,4273,4053,
,23/02/2013,30,GCH,3680,4025,3900,
,25/02/2013,300,GCH,3669,4329,3989,
,28/02/2013,183,GCH,3789,4479,4307,
Hirekerur,15/02/2013,219,GCH,3450,3900,3600,
Hubli (Amaragol),01/02/2013,13,GCH,3589,4195,3949,
,,,Varalakshmi (Ginned),4790,5069,4889,
,02/02/2013,15,GCH,2639,4209,4075,
,,,Varalakshmi (Ginned),4709,4895,4789,
,04/02/2013,27,GCH,3849,4230,4147,
,,,Varalakshmi (Ginned),4665,5069,4890,
,05/02/2013,20,GCH,3389,4265,4153,
,,,Varalakshmi (Ginned),4469,5009,4795,
,06/02/2013,10,GCH,3629,4209,4101,
,,,Varalakshmi (Ginned),4939,5019,4989,
,07/02/2013,7,GCH,4101,4235,4157,
,,,Varalakshmi (Ginned),4369,4809,4689,
