Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Annigeri,05/09/2014,110, ,NR,NR,NR,
,12/09/2014,73,GCH,5050,5200,5100,
Athani,09/09/2014,39, ,NR,NR,NR,
Badami,02/09/2014,8, ,NR,NR,NR,
,03/09/2014,24, ,NR,NR,NR,
,05/09/2014,9, ,NR,NR,NR,
,15/09/2014,9, ,NR,NR,NR,
Bellary,02/09/2014,41,LD-327,3262,5229,4821,
,05/09/2014,63,LD-327,3389,5149,4785,
,09/09/2014,38,LD-327,2009,5159,4770,
,12/09/2014,52,LD-327,3200,5000,4674,
,16/09/2014,101,LD-327,2069,4951,4537,
,19/09/2014,44, ,NR,NR,NR,
,23/09/2014,74,LD-327,1800,4479,4253,
,26/09/2014,66, ,NR,NR,NR,
,30/09/2014,65,LD-327,2001,3780,3286,
Belur,15/09/2014,9,H-4(A) 27mm FIne,3500,3500,3500,
,20/09/2014,9,H-4(A) 27mm FIne,3800,3800,3800,
,25/09/2014,28,H-4(A) 27mm FIne,3349,3800,3800,
,26/09/2014,12,H-4(A) 27mm FIne,3400,3400,3400,
Bijapur,01/09/2014,60, ,NR,NR,NR,
,02/09/2014,18, ,NR,NR,NR,
,03/09/2014,34, ,NR,NR,NR,
,04/09/2014,26, ,NR,NR,NR,
,05/09/2014,21, ,NR,NR,NR,
,06/09/2014,11, ,NR,NR,NR,
,08/09/2014,27, ,NR,NR,NR,
,09/09/2014,9, ,NR,NR,NR,
,10/09/2014,17, ,NR,NR,NR,
,11/09/2014,19, ,NR,NR,NR,
,12/09/2014,20, ,NR,NR,NR,
,15/09/2014,33, ,NR,NR,NR,
,16/09/2014,20, ,NR,NR,NR,
,17/09/2014,16, ,NR,NR,NR,
,18/09/2014,17, ,NR,NR,NR,
,19/09/2014,16, ,NR,NR,NR,
,20/09/2014,13, ,NR,NR,NR,
,22/09/2014,12, ,NR,NR,NR,
,23/09/2014,6, ,NR,NR,NR,
,25/09/2014,5, ,NR,NR,NR,
,26/09/2014,6, ,NR,NR,NR,
,27/09/2014,2, ,NR,NR,NR,
,29/09/2014,2, ,NR,NR,NR,
