Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Annigeri,01/04/2015,95,GCH,3550,3950,3800,
,06/04/2015,280,GCH,3900,4050,4010,
,07/04/2015,143,GCH,3900,4050,4030,
,08/04/2015,62,GCH,3900,3950,3940,
,09/04/2015,24,GCH,3900,3950,3930,
,15/04/2015,27,GCH,3450,3950,3500,
,17/04/2015,704,GCH,3700,3900,3800,
,18/04/2015,65,GCH,3700,4000,3800,
,22/04/2015,81,GCH,3550,4150,4000,
,23/04/2015,292,GCH,3500,4150,3850,
,24/04/2015,261,GCH,3500,4150,4000,
,25/04/2015,76,GCH,3800,4100,3900,
,27/04/2015,193,GCH,3500,4200,3800,
,28/04/2015,167,GCH,3500,4200,4000,
,29/04/2015,68,GCH,3500,4100,4000,
Arasikere,08/04/2015,9,Varalakshmi (Ginned),2800,2800,2800,
Bellary,04/04/2015,13,GCH,3900,4490,4450,
,07/04/2015,12,LD-327,2609,4349,3964,
,10/04/2015,7,LD-327,1689,4359,3955,
,17/04/2015,7,LD-327,700,4309,4032,
,24/04/2015,3,LD-327,3629,4270,4096,
,28/04/2015,7,LD-327,2509,4309,4021,
Belur,08/04/2015,26,H-4(A) 27mm FIne,2700,3000,2700,
Bijapur,01/04/2015,326,LH-1556,2000,4300,4064,
,04/04/2015,115,LH-1556,2609,4249,3959,
,06/04/2015,307,LH-1556,3300,4419,4094,
,07/04/2015,206,LH-1556,3000,4389,4181,
,09/04/2015,175,LH-1556,3309,4459,4250,
,10/04/2015,164,LH-1556,2000,4510,4247,
,13/04/2015,202,LH-1556,1000,4589,4266,
,15/04/2015,297,LH-1556,3000,4769,4275,
,16/04/2015,255,LH-1556,2509,4569,4244,
,17/04/2015,290,LH-1556,2330,4519,4198,
,18/04/2015,120,LH-1556,2560,4419,4182,
,20/04/2015,266,LH-1556,3200,4489,4194,
,22/04/2015,195,LH-1556,2809,4509,4171,
,23/04/2015,200,LH-1556,2239,4529,4257,
,24/04/2015,208,LH-1556,2009,4549,4355,
,25/04/2015,177,LH-1556,1555,4569,4196,
,27/04/2015,334,LH-1556,2505,4620,4323,
,28/04/2015,139,LH-1556,3209,4649,4367,
,29/04/2015,187,LH-1556,3405,4649,4415,
,30/04/2015,315,LH-1556,3005,4649,4413,
Chitradurga,04/04/2015,309,Varalakshmi (Ginned),3209,4729,3841,
,09/04/2015,481,Varalakshmi (Ginned),2600,4929,4027,
,16/04/2015,605,Varalakshmi (Ginned),3299,5016,4075,
,23/04/2015,322,Varalakshmi (Ginned),3299,4890,4043,
,25/04/2015,456,Varalakshmi (Ginned),2150,5290,4086,
,30/04/2015,177,Varalakshmi (Ginned),3189,5489,4258,
Davangere,01/04/2015,10,MCU 5,3864,4250,4032,
,04/04/2015,5,MCU 5,3619,4260,4060,
,06/04/2015,33,MCU 5,3879,4350,4189,
,07/04/2015,11,MCU 5,3880,4370,4180,
,10/04/2015,21,MCU 5,3994,4330,4190,
,,,Varalakshmi (Ginned),4089,4460,4264,
,13/04/2015,21,MCU 5,3719,4390,4126,
,,,Varalakshmi (Ginned),4021,4450,4330,
,15/04/2015,28,MCU 5,3870,4390,4142,
,,,Varalakshmi (Ginned),4142,4432,4250,
,16/04/2015,10,MCU 5,3529,4370,4171,
,17/04/2015,23,MCU 5,3890,4345,4190,
,,,Varalakshmi (Ginned),4069,4510,4330,
,20/04/2015,33,MCU 5,3869,4369,4189,
,,,Varalakshmi (Ginned),4050,4559,4380,
,22/04/2015,11,MCU 5,3870,4390,4096,
,,,Varalakshmi (Ginned),4090,4430,4210,
,23/04/2015,7,MCU 5,4059,4345,4170,
,24/04/2015,12,MCU 5,3800,4390,4134,
,,,Varalakshmi (Ginned),4190,4468,4280,
,25/04/2015,5,MCU 5,3649,4343,4190,
,27/04/2015,21,MCU 5,3850,4372,4150,
,,,Varalakshmi (Ginned),4050,4439,4290,
,29/04/2015,26,MCU 5,4098,4590,4337,
,30/04/2015,2,MCU 5,3969,4259,4019,
Dharwar,04/04/2015,16,LH-1556,3950,3975,3960,
,06/04/2015,45,LH-1556,3233,4589,3889,
,10/04/2015,37,LH-1556,3509,4209,3869,
,13/04/2015,9,GCH,3409,4499,3954,
,17/04/2015,31,GCH,3009,4238,3620,
,20/04/2015,7,GCH,3939,4964,4359,
,24/04/2015,10,LH-1556,3409,4799,4109,
,27/04/2015,6,LH-1556,3409,4519,3869,
Gadag,01/04/2015,1,GCH,3525,3801,3715,
,04/04/2015,2,GCH,2851,3725,3541,
,07/04/2015,2,GCH,3625,3800,3629,
,09/04/2015,10,GCH,3531,3851,3633,
,10/04/2015,2,GCH,3850,3850,3850,
,11/04/2015,14,GCH,3401,3751,3645,
,13/04/2015,74,GCH,3001,4051,3702,
,15/04/2015,5,GCH,3541,3925,3587,
,16/04/2015,9,GCH,3610,3851,3700,
,17/04/2015,36,GCH,3801,3875,3841,
,,,Jayadhar,3101,3611,3585,
,20/04/2015,11,GCH,3750,3801,3791,
,,,Jayadhar,3475,3650,3612,
,22/04/2015,10,GCH,3925,3951,3950,
,,,Varalakshmi (Ginned),4050,4050,4050,
,24/04/2015,1,Jayadhar,3550,4051,3801,
,25/04/2015,27,GCH,3601,3851,3708,
,,,Jayadhar,3500,6401,4070,
,27/04/2015,7,GCH,3625,3625,3625,
,,,Jayadhar,3601,3601,3601,
,29/04/2015,11,GCH,3901,4011,3937,
,,,Jayadhar,3511,3711,3586,
Gokak,04/04/2015,188,Suyodhar (Ginned),3550,4000,3750,
,09/04/2015,175,Suyodhar (Ginned),3850,4460,4050,
,10/04/2015,28,Suyodhar (Ginned),3911,4000,3911,
,12/04/2015,173,Suyodhar (Ginned),3600,4400,3800,
,16/04/2015,263,Suyodhar (Ginned),3860,4025,3900,
,17/04/2015,182,Suyodhar (Ginned),3725,4050,3980,
,19/04/2015,327,Suyodhar (Ginned),3800,4200,4000,
,20/04/2015,19,Suyodhar (Ginned),4011,4100,4011,
,23/04/2015,138,Suyodhar (Ginned),3950,4025,4000,
,26/04/2015,59,Suyodhar (Ginned),3800,4100,4000,
,28/04/2015,112,Suyodhar (Ginned),4030,4100,4030,
Gulburga(Jhevargi),01/04/2015,162,GCH,3750,4100,3800,
,04/04/2015,556,GCH,3800,4200,3900,
,06/04/2015,232,GCH,3800,4250,4000,
,07/04/2015,173,GCH,3800,4200,4000,
,08/04/2015,193,GCH,3850,4250,4150,
,09/04/2015,159,GCH,3800,4300,4150,
,10/04/2015,177,GCH,3800,4350,4200,
,11/04/2015,92,GCH,3750,4200,4150,
,16/04/2015,9,GCH,4000,4000,4000,
,20/04/2015,63,GCH,3900,4100,4000,
,22/04/2015,181,GCH,3900,4300,4200,
,23/04/2015,157,GCH,3800,4250,4150,
,24/04/2015,122,GCH,3800,4200,4100,
,25/04/2015,235,GCH,3900,4250,4100,
,27/04/2015,207,GCH,3850,4150,4050,
,28/04/2015,82,GCH,3800,4250,4100,
Gundlupet,05/04/2015,13,Other,3300,3500,3300,
,07/04/2015,5,Other,3500,3500,3500,
,11/04/2015,15,Other,3300,3500,3300,
,12/04/2015,5,Other,3500,3500,3500,
,14/04/2015,5,Other,3510,3510,3510,
,18/04/2015,5,Other,3500,3500,3500,
,20/04/2015,5,Other,3500,3500,3500,
H.B. Halli,23/04/2015,5,LD-327,3500,3500,3500,
Harappana Halli,13/04/2015,4,GCH,4000,4000,4000,
Haveri,06/04/2015,189,GCH,3202,4411,4091,
,09/04/2015,129,GCH,3569,4442,4171,
,10/04/2015,4,GCH,4100,4100,4100,
,13/04/2015,123,GCH,3491,4519,4198,
,16/04/2015,151,GCH,3359,4551,4290,
,17/04/2015,7,GCH,3900,4300,4150,
,18/04/2015,12,GCH,4000,4250,4200,
,20/04/2015,137,GCH,3516,4561,4305,
,22/04/2015,6,GCH,4050,4459,4230,
,23/04/2015,63,GCH,3965,4560,4316,
,24/04/2015,11,GCH,4100,4100,4100,
,27/04/2015,136,GCH,3660,4659,4325,
,28/04/2015,29,GCH,3900,4300,4200,
,29/04/2015,7,GCH,4100,4300,4250,
,30/04/2015,27,GCH,3900,4650,4467,
Hubli (Amaragol),01/04/2015,2,GCH,3409,4250,3995,
,04/04/2015,15,GCH,2809,4369,4025,
,06/04/2015,25,GCH,1889,4400,3945,
,,,Jayadhar,3569,3569,3569,
,07/04/2015,5,GCH,2589,4369,4069,
,09/04/2015,17,GCH,2809,4460,3960,
,,,Jayadhar,3559,3559,3559,
,10/04/2015,6,GCH,2509,4470,4109,
,,,Jayadhar,3459,3459,3459,
,11/04/2015,22,GCH,2809,4510,4009,
,,,Jayadhar,3319,3439,3419,
,13/04/2015,12,GCH,2265,4369,3995,
,,,Jayadhar,3415,3549,3415,
,15/04/2015,18,GCH,2809,4600,3945,
,,,Jayadhar,3389,3519,3389,
,16/04/2015,11,GCH,2068,4610,3995,
,,,Jayadhar,3389,3389,3389,
,17/04/2015,9,GCH,1616,4659,3919,
,,,Jayadhar,3399,3489,3459,
,20/04/2015,36,GCH,1666,4639,3895,
,,,Jayadhar,3319,3383,3319,
,,,Varalakshmi (Ginned),4389,4719,4689,
,22/04/2015,6,GCH,3009,4597,3995,
,23/04/2015,11,GCH,1616,4592,4069,
,,,Jayadhar,3289,3289,3289,
,24/04/2015,15,GCH,1616,4619,4009,
,25/04/2015,34,GCH,1616,4645,4045,
,,,Jayadhar,3323,3323,3323,
,27/04/2015,17,GCH,1919,4693,4059,
,28/04/2015,7,GCH,2509,4673,4310,
,,,Jayadhar,3455,3455,3455,
,30/04/2015,1,GCH,2609,2609,2609,
K.R.Nagar,25/04/2015,500,H-4(A) 27mm FIne,12000,12000,12000,
Kadur,13/04/2015,9,Other,4401,4401,4401,
Kalagategi,12/04/2015,6,LH-1556,3801,3801,3801,
Kollegal,01/04/2015,16,Other,3000,3000,3000,
,02/04/2015,16,Other,3000,3000,3000,
,03/04/2015,24,Other,3000,3000,3000,
,04/04/2015,20,Other,3000,3000,3000,
,05/04/2015,16,Other,3000,3000,3000,
,07/04/2015,4,Other,3000,3000,3000,
,08/04/2015,12,Other,3000,3000,3000,
,12/04/2015,8,Other,3000,3000,3000,
Kottur,09/04/2015,211,GCH,2089,4448,4274,
,13/04/2015,254,GCH,2600,5219,4279,
,16/04/2015,251,GCH,1366,4596,4242,
,20/04/2015,289,GCH,1369,4576,4209,
,23/04/2015,46,GCH,1069,4570,4193,
,27/04/2015,185,GCH,1069,4550,4253,
,30/04/2015,54,GCH,1039,4566,4243,
Kundagol,06/04/2015,63,GCH,3200,4000,3845,
,14/04/2015,37,GCH,3650,3800,3700,
,15/04/2015,85,GCH,3400,4125,3845,
,27/04/2015,8,GCH,3900,4000,3950,
Manvi,04/04/2015,123,H-4(A) 27mm FIne,3585,3900,3706,
,06/04/2015,184,H-4(A) 27mm FIne,3505,3810,3589,
,07/04/2015,30,H-4(A) 27mm FIne,3500,3502,3502,
,13/04/2015,69,H-4(A) 27mm FIne,3805,3901,3850,
,15/04/2015,135,H-4(A) 27mm FIne,3800,3905,3865,
,18/04/2015,150,H-4(A) 27mm FIne,3801,4300,3968,
,20/04/2015,113,H-4(A) 27mm FIne,3800,3901,3868,
