Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Annigeri,02/03/2015,283,GCH,3700,3900,3800,
,,,Other,4009,4050,4047,
,03/03/2015,319,Other,4000,4050,4047,
,04/03/2015,287,Other,4000,4050,4044,
,05/03/2015,314,Other,3950,4050,4010,
,09/03/2015,125,Other,3950,4050,4010,
,10/03/2015,294,Other,3950,4050,4010,
,11/03/2015,4,GCH,3800,3800,3800,
,17/03/2015,145,Other,4000,4050,4045,
,18/03/2015,394,GCH,3600,3900,3800,
,,,Other,3900,4050,4000,
,19/03/2015,529,GCH,3000,3990,3500,
,,,Other,3900,4050,4000,
,20/03/2015,553,GCH,3900,4000,4000,
,,,Other,3900,4050,3980,
,23/03/2015,154,GCH,4000,4050,4050,
,24/03/2015,93,GCH,3000,4000,3600,
,25/03/2015,87,GCH,4000,4000,4000,
,26/03/2015,139,GCH,4000,4000,4000,
,27/03/2015,166,GCH,4000,4000,4000,
,28/03/2015,252,GCH,4000,4000,4000,
,30/03/2015,93,GCH,4000,4000,4000,
,31/03/2015,624,GCH,2700,4200,4150,
Arasikere,16/03/2015,9,Varalakshmi (Ginned),2500,2500,2500,
Athani,07/03/2015,6,Hampi (Ginned),4631,4631,4631,
Bailahongal,03/03/2015,40,LD-327,3770,4070,3939,
,,,Varalakshmi (Ginned),4060,4231,4151,
,07/03/2015,21,LD-327,3791,4030,3970,
,,,Varalakshmi (Ginned),3761,3869,3800,
,10/03/2015,7,LD-327,3759,4293,3946,
,,,Varalakshmi (Ginned),4313,4513,4443,
,14/03/2015,27,LD-327,3640,3870,3785,
,,,Varalakshmi (Ginned),3769,3820,3781,
,31/03/2015,38,LD-327,3409,4059,3909,
Bellary,06/03/2015,18,LD-327,2269,3901,3608,
,10/03/2015,26,LD-327,2669,3809,3496,
,13/03/2015,21,LD-327,2529,3840,3540,
,17/03/2015,26,LD-327,2369,3820,3498,
,24/03/2015,10,LD-327,1869,3930,3550,
,27/03/2015,10,LD-327,2669,4559,3806,
,31/03/2015,12,LD-327,1269,4119,3756,
Belur,04/03/2015,61,H-4(A) 27mm FIne,2700,3100,3000,
,25/03/2015,9,H-4(A) 27mm FIne,2800,3000,2800,
Bhadravathi,31/03/2015,16,Other,8510,8510,8510,
Bijapur,02/03/2015,281,LH-1556,2000,4039,3838,
,03/03/2015,161,LH-1556,3005,4023,3840,
,04/03/2015,198,LH-1556,1805,4059,3829,
,05/03/2015,138,LH-1556,3409,3959,3826,
,07/03/2015,49,LH-1556,2800,3941,3806,
,09/03/2015,187,LH-1556,1000,3989,3817,
,10/03/2015,210,LH-1556,1000,4033,3850,
,12/03/2015,348,LH-1556,2000,4009,3803,
,13/03/2015,225,LH-1556,2000,4029,3817,
,16/03/2015,223,LH-1556,1000,4039,3826,
,17/03/2015,183,LH-1556,1105,4059,3880,
,18/03/2015,198,LH-1556,1000,4069,3892,
,19/03/2015,157,LH-1556,3009,4089,3872,
,20/03/2015,4,LH-1556,3030,4013,3865,
,23/03/2015,224,LH-1556,2400,4129,3913,
,24/03/2015,229,LH-1556,1000,4139,3936,
,25/03/2015,246,LH-1556,1000,4149,3930,
,26/03/2015,207,LH-1556,1500,4177,3971,
,27/03/2015,183,LH-1556,1509,4177,3994,
,28/03/2015,170,LH-1556,2500,4205,4002,
,30/03/2015,272,LH-1556,3005,4259,4054,
,31/03/2015,137,LH-1556,3510,4289,4064,
Chitradurga,03/03/2015,592,Varalakshmi (Ginned),3111,4769,3753,
,07/03/2015,520,Varalakshmi (Ginned),2771,4629,3684,
,10/03/2015,449,Varalakshmi (Ginned),2099,4709,3522,
,12/03/2015,495,Varalakshmi (Ginned),2001,4889,3664,
,17/03/2015,801,Varalakshmi (Ginned),2300,4695,3453,
,19/03/2015,183,Varalakshmi (Ginned),2869,4609,3359,
,24/03/2015,45,Varalakshmi (Ginned),3009,5200,3793,
,26/03/2015,166,Varalakshmi (Ginned),3019,4621,3731,
,31/03/2015,381,Varalakshmi (Ginned),3139,4779,3760,
Davangere,02/03/2015,38,MCU 5,3754,4042,3919,
,03/03/2015,28,MCU 5,3769,4025,3926,
,04/03/2015,22,MCU 5,3789,4000,3929,
,05/03/2015,6,MCU 5,3863,3973,3920,
,07/03/2015,14,MCU 5,3790,3955,3830,
,09/03/2015,23,MCU 5,3750,4032,3990,
,10/03/2015,18,MCU 5,3799,4004,3854,
,11/03/2015,24,MCU 5,3759,3992,3842,
,12/03/2015,17,MCU 5,3750,4012,3940,
,13/03/2015,27,MCU 5,3789,4055,3839,
,16/03/2015,38,MCU 5,3739,3969,3850,
,17/03/2015,24,MCU 5,3724,3850,3760,
,18/03/2015,19,MCU 5,3739,3950,3880,
,19/03/2015,8,MCU 5,3730,3932,3893,
,20/03/2015,1,MCU 5,2829,3700,3490,
,23/03/2015,2,MCU 5,3029,3741,3650,
,24/03/2015,3,MCU 5,3690,3790,3702,
,26/03/2015,15,MCU 5,3769,4159,4021,
,27/03/2015,12,MCU 5,3820,4142,3981,
,28/03/2015,3,MCU 5,3642,4060,3850,
,30/03/2015,28,MCU 5,3869,4179,4064,
,,,Varalakshmi (Ginned),3869,4480,4232,
,31/03/2015,9,MCU 5,3944,4253,4100,
Dharwar,02/03/2015,42,GCH,3769,4569,4169,
,04/03/2015,9,LH-1556,3860,4050,3900,
,05/03/2015,140,LH-1556,3800,4031,3900,
,,,Varalakshmi (Ginned),4300,4450,4350,
,09/03/2015,47,LH-1556,3809,4549,4109,
,11/03/2015,110,LH-1556,3975,4050,4010,
,13/03/2015,101,LH-1556,3739,4050,3890,
,16/03/2015,29,LH-1556,3109,4589,3829,
,17/03/2015,21,LH-1556,4000,4050,4009,
,23/03/2015,22,LH-1556,3109,4530,3819,
,27/03/2015,19,LH-1556,3109,4389,3749,
,30/03/2015,17,LH-1556,3009,4259,3609,
Gadag,02/03/2015,13,GCH,3711,3851,3797,
,03/03/2015,13,GCH,3801,3801,3801,
,04/03/2015,60,GCH,3201,3851,3788,
,05/03/2015,30,GCH,3519,3851,3777,
,06/03/2015,40,GCH,3696,3811,3697,
,07/03/2015,12,GCH,3750,3851,3800,
,10/03/2015,10,GCH,3700,3775,3718,
,11/03/2015,43,GCH,3651,3851,3793,
,12/03/2015,27,GCH,3701,3851,3787,
,13/03/2015,14,GCH,3650,3825,3774,
,14/03/2015,11,GCH,3615,3801,3707,
,16/03/2015,26,GCH,3100,3811,3696,
,17/03/2015,5,GCH,3611,3801,3738,
,18/03/2015,31,GCH,3500,3650,3519,
,19/03/2015,34,GCH,3550,3750,3650,
,23/03/2015,32,GCH,3740,3800,3743,
,24/03/2015,10,GCH,3550,3771,3635,
,25/03/2015,154,GCH,3211,3801,3566,
,26/03/2015,19,GCH,3451,3801,3716,
,27/03/2015,18,GCH,3450,3711,3590,
,28/03/2015,33,GCH,3200,3775,3488,
,30/03/2015,3,GCH,3221,3801,3550,
,31/03/2015,13,GCH,3000,4100,3714,
Gokak,07/03/2015,114,Suyodhar (Ginned),3100,3800,3600,
,09/03/2015,45,Suyodhar (Ginned),3600,3888,3600,
,14/03/2015,72,Suyodhar (Ginned),3850,4740,3865,
,19/03/2015,93,Suyodhar (Ginned),3500,4500,4000,
,20/03/2015,191,Suyodhar (Ginned),3051,3850,3550,
,22/03/2015,24,Suyodhar (Ginned),3800,3800,3800,
,23/03/2015,30,Suyodhar (Ginned),3800,4000,3900,
,28/03/2015,252,Suyodhar (Ginned),3300,4000,3500,
Gulburga(Jhevargi),17/03/2015,167,GCH,3750,3950,3800,
,18/03/2015,262,GCH,3700,4000,3800,
,19/03/2015,206,GCH,3700,3900,3750,
,23/03/2015,577,GCH,3700,3950,3750,
,24/03/2015,181,GCH,3750,3900,3800,
,25/03/2015,185,GCH,3750,4000,3800,
,26/03/2015,234,GCH,3800,3950,3800,
,27/03/2015,240,GCH,3750,3900,3800,
,28/03/2015,265,GCH,3700,4000,3850,
,30/03/2015,384,GCH,3750,4100,3850,
