Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Annigeri,01/12/2016,220,GCH,4500,5500,5300,
,02/12/2016,101,GCH,5100,5450,5200,
,03/12/2016,103,GCH,4900,5814,5300,
,05/12/2016,126,GCH,5100,5600,5300,
,06/12/2016,149,GCH,5150,5571,5300,
,07/12/2016,255,GCH,4900,5500,5300,
,08/12/2016,391,GCH,4800,5500,5300,
,09/12/2016,188,GCH,5000,5616,5300,
,12/12/2016,194,GCH,4800,5500,5250,
,14/12/2016,166,GCH,4900,5365,5150,
,15/12/2016,147,GCH,4200,5600,5000,
,16/12/2016,133,GCH,4100,5467,5200,
,17/12/2016,118,GCH,4700,5500,5200,
,19/12/2016,158,GCH,4800,5475,5250,
,20/12/2016,176,GCH,4272,5500,5200,
,21/12/2016,141,GCH,4600,5525,5200,
,22/12/2016,104,GCH,4300,5425,5250,
,23/12/2016,56,GCH,4800,5400,5300,
,24/12/2016,49,GCH,4000,5400,5100,
,26/12/2016,107,GCH,3500,5450,5000,
,27/12/2016,73,GCH,3600,5305,5100,
,28/12/2016,92,GCH,4000,5400,5250,
,29/12/2016,98,GCH,4200,5550,5250,
,30/12/2016,13,GCH,4600,5350,5250,
,31/12/2016,42,GCH,3700,5400,5000,
Arasikere,02/12/2016,9,Varalakshmi (Ginned),4800,4800,4800,
,08/12/2016,10,Varalakshmi (Ginned),4800,4800,4800,
,12/12/2016,9,Varalakshmi (Ginned),4800,4800,4800,
,14/12/2016,9,Varalakshmi (Ginned),5800,5800,5800,
,28/12/2016,10,Varalakshmi (Ginned),5000,5000,5000,
Bagepalli,28/12/2016,3,H-4(A) 27mm FIne,2500,3500,3100,
Bellary,02/12/2016,12,LD-327,3621,5102,4545,
,16/12/2016,7,LD-327,3369,5159,4577,
,20/12/2016,12,LD-327,666,5200,4511,
,23/12/2016,9,LD-327,1629,5241,4478,
,27/12/2016,12,LD-327,1629,5362,4672,
,30/12/2016,8,LD-327,3200,5339,4702,
Belur,10/12/2016,80,H-4(A) 27mm FIne,4717,5000,5000,
,21/12/2016,43,H-4(A) 27mm FIne,4000,5000,4500,
Bijapur,01/12/2016,142,LH-1556,3000,5339,5234,
