Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Annigeri,02/05/2016,126,GCH,3000,5196,5050,
,04/05/2016,127,GCH,4500,5250,5150,
,05/05/2016,101,GCH,3950,5225,4600,
,06/05/2016,37,GCH,5000,5225,5200,
,07/05/2016,196,GCH,5175,5250,5225,
,10/05/2016,62,GCH,4100,5250,5200,
,11/05/2016,46,GCH,5000,5250,5200,
,12/05/2016,20,GCH,5000,5250,5230,
,16/05/2016,76,GCH,4000,5250,4400,
,17/05/2016,45,GCH,4550,5250,5200,
,18/05/2016,140,GCH,4200,5300,5200,
,19/05/2016,9,GCH,5300,5300,5300,
,20/05/2016,60,GCH,5193,5300,5252,
,21/05/2016,10,GCH,4900,5250,5250,
,23/05/2016,25,GCH,4300,5300,5200,
,24/05/2016,118,GCH,5275,5320,5300,
,25/05/2016,80,GCH,5050,5325,5300,
,26/05/2016,5,GCH,4400,5300,5300,
,27/05/2016,50,GCH,4550,5326,5315,
,28/05/2016,98,GCH,4950,5325,5250,
,30/05/2016,132,GCH,3275,5325,5300,
,31/05/2016,13,GCH,5400,5400,5400,
Arasikere,11/05/2016,18,Varalakshmi (Ginned),2700,2700,2700,
,12/05/2016,19,Varalakshmi (Ginned),2700,2700,2700,
,13/05/2016,18,Varalakshmi (Ginned),2700,2700,2700,
Bellary,04/05/2016,1,LD-327,3200,3200,3200,
Bijapur,02/05/2016,89,LH-1556,3805,5279,5008,
,04/05/2016,177,LH-1556,3505,5326,5076,
,05/05/2016,94,LH-1556,3892,5306,5039,
,06/05/2016,96,LH-1556,3965,5289,4998,
,07/05/2016,37,LH-1556,4295,5299,5024,
,10/05/2016,138,LH-1556,3005,5329,4867,
,11/05/2016,129,LH-1556,3005,5269,4984,
,12/05/2016,110,LH-1556,3795,5269,4862,
,13/05/2016,115,LH-1556,3835,5280,5009,
,16/05/2016,87,LH-1556,3005,5300,5035,
,17/05/2016,121,LH-1556,3400,5466,5051,
,18/05/2016,105,LH-1556,4058,5350,5081,
,19/05/2016,87,LH-1556,2505,5329,5053,
,20/05/2016,83,LH-1556,3965,5319,5109,
,21/05/2016,40,LH-1556,3885,5340,5087,
,23/05/2016,141,LH-1556,1677,5367,5056,
,24/05/2016,89,LH-1556,3765,5359,5192,
,25/05/2016,73,LH-1556,4095,5369,5113,
,26/05/2016,77,LH-1556,4225,5409,5115,
,27/05/2016,39,LH-1556,4444,5459,5257,
,28/05/2016,10,LH-1556,4607,5479,5212,
,30/05/2016,90,LH-1556,4005,5559,5376,
,31/05/2016,21,LH-1556,4900,5629,5487,
Chintamani,09/05/2016,2,Other,5000,8000,6000,
,13/05/2016,2,Other,5000,8000,6000,
,14/05/2016,2,Other,5000,7000,6000,
,15/05/2016,2,Other,5000,7000,6000,
,17/05/2016,4,Other,6000,6500,6200,
,19/05/2016,8,Other,6000,6500,6200,
,23/05/2016,4,Other,5000,6000,5500,
,26/05/2016,12,Other,5000,7000,6000,
,28/05/2016,2,Other,4200,6000,5000,
