Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Annigeri,16/10/2017,26,GCH,3600,4450,4300,
,19/10/2017,154,GCH,4000,5050,4400,
,21/10/2017,4,GCH,4050,4450,4350,
,23/10/2017,47,GCH,4000,4751,4500,
,24/10/2017,41,GCH,4400,4725,4600,
,25/10/2017,14,GCH,4050,4500,4350,
,26/10/2017,56,GCH,4010,4600,4450,
,27/10/2017,3,GCH,4200,4400,4300,
,28/10/2017,7,GCH,4225,4500,4300,
,30/10/2017,16,GCH,4400,4525,4450,
,31/10/2017,114,GCH,4025,5000,4475,
Arasikere,03/10/2017,23,Varalakshmi (Ginned),4350,4825,4350,
,06/10/2017,10,Varalakshmi (Ginned),3650,3650,3650,
,07/10/2017,31,Varalakshmi (Ginned),5106,5330,5330,
,09/10/2017,31,Varalakshmi (Ginned),5106,5330,5330,
,16/10/2017,72,Varalakshmi (Ginned),3500,5200,5200,
,17/10/2017,47,Varalakshmi (Ginned),4400,4700,4400,
,19/10/2017,24,Varalakshmi (Ginned),4400,4887,4400,
,28/10/2017,12,Varalakshmi (Ginned),4500,4500,4500,
,30/10/2017,27,Varalakshmi (Ginned),4850,5050,5050,
Bellary,03/10/2017,8,LD-327,2800,4760,4155,
,06/10/2017,13,LD-327,1566,4539,3906,
,10/10/2017,28,LD-327,1206,4630,3781,
,13/10/2017,13,LD-327,1029,4640,3980,
,17/10/2017,49,LD-327,1000,4380,3774,
,24/10/2017,18,LD-327,1000,4449,3686,
,27/10/2017,16,LD-327,1506,4480,3596,
,31/10/2017,22,LD-327,1000,4369,3371,
Belur,03/10/2017,15,H-4(A) 27mm FIne,4825,4825,4825,
,11/10/2017,15,H-4(A) 27mm FIne,4800,4800,4800,
,18/10/2017,41,H-4(A) 27mm FIne,4500,5500,4500,
,24/10/2017,191,H-4(A) 27mm FIne,4668,4941,4668,
,25/10/2017,27,H-4(A) 27mm FIne,4500,4650,4500,
Bijapur,03/10/2017,36,LH-1556,4075,4919,4727,
,04/10/2017,18,LH-1556,3880,4919,4791,
,06/10/2017,9,LH-1556,4070,5021,4658,
,07/10/2017,10,LH-1556,4565,4969,4883,
,09/10/2017,51,LH-1556,4025,5089,4610,
,10/10/2017,32,LH-1556,3560,5059,4774,
,11/10/2017,48,LH-1556,3560,5091,4528,
,12/10/2017,43,LH-1556,3600,5122,4557,
,13/10/2017,37,LH-1556,4035,5179,4634,
,16/10/2017,101,LH-1556,3505,5189,4387,
,17/10/2017,52,LH-1556,3440,5019,4167,
,19/10/2017,16,LH-1556,3225,4240,3672,
,21/10/2017,98,LH-1556,2805,5079,3836,
,23/10/2017,206,LH-1556,2228,5179,4170,
,24/10/2017,124,LH-1556,3000,5176,4239,
,25/10/2017,136,LH-1556,3265,4966,4190,
,26/10/2017,199,LH-1556,2507,5049,4255,
,27/10/2017,160,LH-1556,2069,4876,4365,
,28/10/2017,166,LH-1556,3360,4959,4457,
,30/10/2017,383,LH-1556,3369,4859,4372,
,31/10/2017,263,LH-1556,1111,4859,4354,
Chitradurga,03/10/2017,64,Varalakshmi (Ginned),1809,5769,4760,
,07/10/2017,116,Varalakshmi (Ginned),1000,5864,4680,
,10/10/2017,193,Varalakshmi (Ginned),1850,5913,4840,
,12/10/2017,212,Varalakshmi (Ginned),1809,5920,4435,
,14/10/2017,76,Varalakshmi (Ginned),2209,5970,5166,
,21/10/2017,5,Varalakshmi (Ginned),2009,5661,4446,
,24/10/2017,284,Varalakshmi (Ginned),2100,5932,4529,
,26/10/2017,188,Varalakshmi (Ginned),2839,5901,4607,
,31/10/2017,288,Varalakshmi (Ginned),2500,5998,4663,
Davangere,04/10/2017,1,MCU 5,3090,4311,4070,
,09/10/2017,6,MCU 5,990,5139,3590,
,10/10/2017,2,MCU 5,1069,4529,3805,
,11/10/2017,1,MCU 5,3390,3390,3390,
,13/10/2017,1,MCU 5,3680,5080,4600,
,16/10/2017,2,MCU 5,2869,4669,3937,
,17/10/2017,3,MCU 5,970,5139,4716,
,23/10/2017,3,MCU 5,770,5290,3970,
,24/10/2017,1,MCU 5,730,3890,2708,
,25/10/2017,2,MCU 5,790,3570,1608,
,26/10/2017,4,MCU 5,770,4369,3599,
,27/10/2017,1,MCU 5,1270,3690,1975,
,28/10/2017,1,MCU 5,3030,3030,3030,
,30/10/2017,3,MCU 5,730,4319,3370,
Dharwar,30/10/2017,2,GCH,4169,5019,4572,
Gadag,10/10/2017,2,GCH,3501,4301,4174,
,11/10/2017,1,GCH,4325,4401,4376,
,13/10/2017,1,GCH,4050,4050,4050,
,17/10/2017,3,GCH,3800,4375,4148,
,23/10/2017,4,GCH,4451,4451,4451,
,25/10/2017,1,GCH,4100,4100,4100,
,28/10/2017,1,GCH,4301,4401,4368,
,30/10/2017,4,GCH,4011,4200,4088,
,31/10/2017,2,GCH,4101,4301,4187,
