Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Alirajpur,04/04/2010,5,Other,3000,3200,3100,
,08/04/2010,5,Other,3000,3100,3050,
,09/04/2010,8,Other,3000,3200,3100,
,10/04/2010,4,Other,3000,3200,3100,
,11/04/2010,10,Other,2850,3000,2950,
,12/04/2010,10,Other,2800,3000,2900,
,16/04/2010,15,Other,2800,3100,3000,
,17/04/2010,5,Other,2900,3100,3000,
,18/04/2010,29,Other,2900,3100,3000,
,24/04/2010,11.5,Other,2800,3000,2900,
,25/04/2010,11.2,Other,3000,3200,3100,
,26/04/2010,15,Other,3000,3200,3100,
,30/04/2010,2.5,Other,3000,3200,3100,
Anjad,03/04/2010,100,H4,1200,1201,1200,
,07/04/2010,4,H4,3100,3340,3285,
,08/04/2010,3.1,H4,3195,3301,3291,
,09/04/2010,3.5,H4,2920,3300,3261,
,10/04/2010,5.9,H4,2851,3253,3225,
,12/04/2010,8.5,H4,2500,3267,3251,
,13/04/2010,4.6,H4,3150,3251,3200,
,14/04/2010,2.6,H4,3021,3161,3150,
,15/04/2010,2.4,H4,2930,3111,3030,
,16/04/2010,2,H4,3051,3051,3051,
,17/04/2010,4,H4,2600,3030,2980,
,19/04/2010,5.2,H4,2500,3071,3051,
,20/04/2010,3,H4,2981,3021,2991,
,22/04/2010,3.5,H4,2761,3025,3020,
,23/04/2010,3.3,H4,2211,2801,2761,
,24/04/2010,1.5,H4,2652,2800,2652,
Badwaha,01/04/2010,14.5,Other,3091,3301,3267,
,03/04/2010,14.7,Other,3011,3331,3250,
,04/04/2010,14.2,Other,2870,3350,3251,
,05/04/2010,19.1,Other,3202,3321,3262,
,07/04/2010,22.6,Other,3182,3337,3260,
,08/04/2010,18.9,Other,3100,3348,3290,
,09/04/2010,9.7,Other,3000,3500,3190,
,10/04/2010,17.4,Other,3050,3290,3260,
,11/04/2010,11.1,Other,3050,3278,3170,
,12/04/2010,15.7,Other,2950,3224,3160,
,15/04/2010,30.8,Other,2900,3250,3122,
,17/04/2010,12.7,Other,3026,3221,3170,
,18/04/2010,10.4,Other,2702,3231,3151,
,19/04/2010,14,Other,2780,3228,3170,
,20/04/2010,14, ,NR,NR,NR,
,23/04/2010,46.8,Other,2851,3131,3051,
,24/04/2010,14.6,Other,2970,3130,3060,
,25/04/2010,14.6,Other,2801,3051,3019,
,26/04/2010,16.3,Other,2790,3029,2980,
,28/04/2010,4.6,Other,2811,3019,2900,
,29/04/2010,9.7,Other,2700,2899,2800,
,30/04/2010,9.8,Other,2716,2909,2830,
Balwadi,01/04/2010,5,H4,2800,3000,2900,
,02/04/2010,7.9,H4,2900,3100,3000,
,03/04/2010,4,H4,2900,3100,3000,
,04/04/2010,3.5,H4,2900,3100,3000,
,05/04/2010,12.2,H4,2800,3000,2900,
,06/04/2010,7,H4,2800,3000,2900,
,07/04/2010,3.5,H4,2800,3000,2900,
,08/04/2010,6.5,H4,2800,3000,2900,
,09/04/2010,6.5,H4,2800,3000,2900,
,10/04/2010,8,H4,2800,3000,2900,
,11/04/2010,3.5,H4,2800,3000,2900,
,12/04/2010,4.8,H4,2800,3000,2900,
,13/04/2010,1.2,H4,2800,3000,2900,
,14/04/2010,12.2,H4,2800,3000,2900,
,15/04/2010,4,H4,2800,3000,2900,
,16/04/2010,9.2,H4,2800,3000,2900,
,17/04/2010,8.7,H4,2900,3100,3000,
,19/04/2010,16.5,H4,2800,3000,2900,
,20/04/2010,10,H4,2800,3000,2900,
,21/04/2010,9.9,H4,2800,3000,2900,
,22/04/2010,10,H4,2700,2900,2800,
,23/04/2010,3.6,H4,2800,3000,2900,
,24/04/2010,2.5,H4,2900,3100,3000,
,25/04/2010,3,H4,2800,3000,2900,
,26/04/2010,3.2,H4,2800,3000,2900,
,27/04/2010,5,H4,2700,2900,2800,
,28/04/2010,1.5,H4,2800,3000,2900,
,29/04/2010,8.5,H4,2800,3000,2900,
,30/04/2010,3.4,H4,2800,3000,2900,
Burhanpur,05/04/2010,65,Other,2750,3288,3141,
,06/04/2010,64.5,Other,2960,3265,3151,
,07/04/2010,56,Other,2950,3299,3148,
,08/04/2010,510,Other,2901,3225,3161,
,09/04/2010,575,Other,2900,3191,3140,
,12/04/2010,560,Other,2701,3105,3041,
,13/04/2010,36,Other,2910,3200,3030,
,15/04/2010,42.5,Other,2850,3145,3040,
,16/04/2010,49,Other,2800,3051,3021,
,19/04/2010,37.5,Other,2850,3041,3000,
,20/04/2010,30.5,Other,2800,2975,2900,
,21/04/2010,56,Other,2701,3105,3041,
,22/04/2010,58,Other,2700,2900,2800,
,23/04/2010,690,Other,2825,2935,2900,
,26/04/2010,55,Other,2500,2775,2625,
,27/04/2010,47,Other,2350,2625,2535,
,28/04/2010,35.5,Other,2350,2625,2600,
,29/04/2010,40,Other,2250,2500,2450,
,30/04/2010,39.5,Other,2200,2500,2450,
Dhamnod,01/04/2010,9.07,Desi,3000,3325,3265,
,03/04/2010,6.4,Desi,3215,3340,3285,
,05/04/2010,12.07,Desi,3355,3435,3395,
,06/04/2010,4,Desi,3275,3350,3300,
,07/04/2010,8.05,Desi,3255,3360,3285,
,08/04/2010,10.08,Desi,3200,3405,3300,
,10/04/2010,7.01,Desi,3140,3255,3200,
,12/04/2010,9.3,Desi,3150,3250,3220,
,13/04/2010,101,Desi,3155,3240,3200,
,15/04/2010,12,Desi,3100,3325,3215,
,17/04/2010,18.2,Desi,3100,3215,3165,
,19/04/2010,12,Desi,3100,3220,3190,
,20/04/2010,15,Desi,3070,3260,3175,
,22/04/2010,6.3,Desi,2945,3135,3070,
,24/04/2010,15.6,Desi,2905,2985,2940,
,26/04/2010,10.5,Desi,2810,2975,2900,
,27/04/2010,5,Desi,2760,2880,2815,
,28/04/2010,10.5,Desi,2610,2900,2825,
,29/04/2010,9.9,Desi,2730,2935,2840,
Gandhwani,01/04/2010,1,Other,3080,3290,3100,
,02/04/2010,1.2,Other,3040,3280,3150,
,08/04/2010,1.5,Other,3000,3200,3100,
,12/04/2010,1.2,Other,3050,3200,3150,
,13/04/2010,1,Other,3000,3275,3150,
,15/04/2010,1.5,Other,2900,3200,3140,
,16/04/2010,1.2,Other,3050,3150,3100,
,17/04/2010,1,Other,3000,3200,3100,
,21/04/2010,1.8,Other,3000,3300,3250,
,22/04/2010,1,Other,3000,3350,3175,
,23/04/2010,1,Other,3000,3350,3175,
,27/04/2010,1.2,Other,3000,3200,3150,
Jhabua,01/04/2010,3,DCH-32 (Ginned),3000,3000,3000,
,02/04/2010,1.7,DCH-32 (Ginned),3500,3500,3500,
,03/04/2010,9.5,DCH-32 (Ginned),3500,3500,3500,
,05/04/2010,9.1,DCH-32 (Ginned),3000,3000,3000,
,10/04/2010,4,DCH-32 (Ginned),3500,3500,3500,
,11/04/2010,4, ,NR,NR,NR,
