Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Jobat,01/06/2010,19,Other,2950,3050,3000,
,04/06/2010,9.5,Other,3050,3150,3100,
,05/06/2010,17,Other,3000,3100,3050,
,08/06/2010,7.5,Other,2950,3050,3000,
,09/06/2010,12,Other,3000,3100,3050,
,10/06/2010,11.7,Other,3050,3150,3100,
,11/06/2010,12,Other,3000,3100,3050,
,12/06/2010,7.5,Other,2950,3050,3000,
,14/06/2010,14,Other,3050,3150,3100,
,15/06/2010,16,Other,3000,3100,3050,
,16/06/2010,12,Other,2950,3050,3000,
,17/06/2010,12.5,Other,3000,3100,3050,
,18/06/2010,13.5,Other,3050,3150,3100,
,19/06/2010,12,Other,3000,3100,3050,
,23/06/2010,5,Other,2950,3050,3000,
,25/06/2010,5.3,Other,2950,3050,3000,
Karhi,21/06/2010,21.27, ,NR,NR,NR,
Kasrawad,07/06/2010,4.4, ,NR,NR,NR,
,14/06/2010,10, ,NR,NR,NR,
Khetia,02/06/2010,13,H4,2801,3251,3026,
,03/06/2010,6.1,H4,2900,3325,3100,
,04/06/2010,2.5,H4,2900,3300,3100,
,05/06/2010,31,H4,3041,3390,3220,
,07/06/2010,1.3,H4,2941,3371,3156,
,08/06/2010,1.8,H4,3250,3326,3300,
,10/06/2010,35,H4,3192,3392,3250,
,11/06/2010,2.5,H4,3000,3390,3270,
,12/06/2010,100,H4,3000,3275,3150,
Sendhwa,01/06/2010,138,H4,2980,3400,3190,
,02/06/2010,22.6,H4,2950,3350,3150,
,03/06/2010,54.7,H4,2950,3420,3185,
,04/06/2010,117.6,H4,2950,3366,3158,
,05/06/2010,102.2,H4,2950,3275,3112,
,07/06/2010,140.6,H4,2950,3300,3125,
,08/06/2010,113.2,H4,2850,3300,3075,
,09/06/2010,50.7,H4,2850,3250,3050,
,10/06/2010,51.3,H4,2950,3360,3155,
,11/06/2010,35.3,H4,2950,3278,3114,
,12/06/2010,27.1,H4,2950,3149,3049,
,14/06/2010,9.8,H4,2900,3100,3000,
,17/06/2010,0.7,H4,2507,2769,2638,
,23/06/2010,9.1,H4,2850,3050,2950,
