Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Anjad,01/10/2010,26,H4,2800,3770,3500,
,02/10/2010,17.5,H4,2500,3600,3450,
,03/10/2010,15,H4,2600,3700,3525,
,04/10/2010,94.5,H4,1400,3960,3575,
,05/10/2010,82.5,H4,2500,3935,3600,
,06/10/2010,62,H4,2925,3995,3700,
,07/10/2010,59,H4,2653,3995,3755,
,08/10/2010,85,H4,3110,4050,3800,
,09/10/2010,37.5,H4,3000,4275,3500,
,10/10/2010,57.5,H4,3000,4000,3500,
,11/10/2010,99.6,H4,3200,4295,4130,
,12/10/2010,63.4,H4,3300,4360,4135,
,13/10/2010,44.9,H4,3300,4525,4490,
,14/10/2010,57.3,H4,3000,4450,4350,
,15/10/2010,44.5,H4,3810,4495,4305,
,16/10/2010,10.2,H4,3625,4425,4300,
,18/10/2010,96.8,H4,3500,4335,4275,
,19/10/2010,124.5,H4,3200,4450,4300,
,20/10/2010,114.6,H4,3500,4360,4200,
,21/10/2010,99.1,H4,3500,4300,4250,
,22/10/2010,101.9,H4,3400,4600,4235,
,23/10/2010,232.7,H4,3200,4500,4400,
,24/10/2010,101.7,H4,3500,4500,4400,
,25/10/2010,107,H4,3500,4560,4000,
,26/10/2010,149.6,H4,3500,4600,4400,
,27/10/2010,20.3,H4,3500,4100,4000,
,28/10/2010,15.2,H4,4000,4100,4000,
,29/10/2010,18.3,H4,4000,4000,4000,
,30/10/2010,14.7,H4,4000,4000,4000,
,31/10/2010,15.5,H4,4000,4000,4000,
Badwaha,01/10/2010,60,Other,3300,4000,3600,
,03/10/2010,165.8,Other,3000,4130,3950,
,04/10/2010,291.1,Other,3280,4040,3830,
,06/10/2010,250.4,Other,3400,3980,3800,
,07/10/2010,145,Other,3420,4000,3850,
,09/10/2010,135.9,Other,3510,4280,4100,
,10/10/2010,127.6,Other,3700,4440,4260,
,11/10/2010,129,Other,3800,4610,4400,
,12/10/2010,38.7,Other,4100,4451,4300,
,13/10/2010,99.9,Other,4000,4660,4400,
,14/10/2010,209.5,Other,3510,4510,4300,
,20/10/2010,135,Other,4130,4410,4270,
,21/10/2010,103.3,Other,3900,4500,4290,
,23/10/2010,113.3,Other,4260,4650,4460,
,24/10/2010,211.3,Other,4200,4600,4400,
,25/10/2010,269.8,Other,4000,4750,4480,
,26/10/2010,80.9,Other,4400,4771,4550,
,27/10/2010,356.5,Other,4300,4700,4470,
,29/10/2010,151.4,Other,4100,4550,4360,
,30/10/2010,183,Other,4000,4400,4340,
,31/10/2010,179.3,Other,3970,4350,4200,
Badwani,01/10/2010,9,H4,3200,3400,3300,
,02/10/2010,10.4,H4,3350,3500,3400,
,03/10/2010,12.9,H4,3350,3500,3400,
,04/10/2010,4.8,H4,3400,3500,3450,
,05/10/2010,50.8,H4,2925,3500,3210,
,07/10/2010,21.5,H4,2800,3300,3125,
,10/10/2010,80,H4,2925,3200,3100,
,11/10/2010,50.1,H4,2800,3025,2900,
,13/10/2010,53.8,H4,2900,3200,3000,
,15/10/2010,24.5,H4,2700,3000,2850,
,16/10/2010,20.5,H4,2750,3200,3100,
,18/10/2010,29,H4,2900,3200,2950,
,19/10/2010,48,H4,3000,3350,3250,
,20/10/2010,125,H4,2800,3500,3300,
,21/10/2010,25,H4,2300,3250,3100,
,23/10/2010,47.5,H4,3900,4200,4050,
,24/10/2010,103.7,H4,3900,4100,3925,
,25/10/2010,74.7,H4,3925,4100,3950,
,26/10/2010,55,H4,3800,4420,4100,
,27/10/2010,110,H4,3800,4200,4000,
,28/10/2010,150,H4,3500,4100,4000,
,29/10/2010,15,H4,4000,4200,4100,
,30/10/2010,9.5,H4,4000,4200,4050,
,31/10/2010,11.5,H4,3900,4100,4075,
Bhikangaon,01/10/2010,50,Other,3400,4500,3950,
,03/10/2010,600,Other,3150,4400,3775,
,04/10/2010,180,Other,3150,4425,3785,
,06/10/2010,90,Other,3650,4200,3925,
,09/10/2010,200,Other,3500,4685,4093,
,10/10/2010,189.8,Other,3800,4550,4250,
,11/10/2010,245,Other,3800,4520,4250,
,13/10/2010,200,Other,4000,4550,4275,
,14/10/2010,222.7,Other,4000,4560,4280,
,15/10/2010,200,Other,4000,4700,4350,
,20/10/2010,140,Other,4000,4470,4235,
,21/10/2010,60,Other,4000,4500,4250,
,22/10/2010,51.9,Other,4160,4471,4310,
,23/10/2010,201.3,Other,4150,4700,4425,
,24/10/2010,316,Other,4000,4640,4320,
,25/10/2010,374.7,Other,4150,4700,4425,
,27/10/2010,356.2,Other,4150,4640,4395,
,28/10/2010,260.9,Other,4000,4550,4275,
,29/10/2010,313.4,Other,4000,4570,4285,
,30/10/2010,299,Other,4000,4550,4275,
,31/10/2010,304.1,Other,4000,4610,4308,
Dhamnod,02/10/2010,92.5,Desi,3285,3825,3625,
,04/10/2010,190,Desi,2505,4000,3700,
,05/10/2010,159.9,Desi,3230,3965,3750,
,06/10/2010,150,Desi,3505,3955,3750,
,07/10/2010,91.5,Desi,3415,3995,3850,
