Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Badwani,03/08/2011,3.5,H4,3000,3000,3000,
Karhi,26/08/2011,15.99, ,NR,NR,NR,
Kasrawad,24/08/2011,62.5,Other,3900,4000,3950,
,26/08/2011,100,Other,3700,3800,3750,
,30/08/2011,62.5,Other,3900,4000,3950,
Sendhwa,02/08/2011,9.3,H4,3000,3200,3100,
,05/08/2011,27.5,H4,3250,3425,3333,
,09/08/2011,23.4,H4,3340,3400,3370,
,10/08/2011,5,H4,3300,3400,3350,
,24/08/2011,57.3,H4,3000,3200,3100,
,25/08/2011,11.1,H4,3100,3250,3175,
,29/08/2011,11.5,H4,3951,3951,3951,
,30/08/2011,78.8,H4,4000,4000,4000,
