Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Anjad,01/03/2011,3,H4,5000,5000,5000,
,03/03/2011,10,H4,4000,5000,4200,
,04/03/2011,10,H4,4000,5000,4200,
,05/03/2011,16,H4,4000,5500,5000,
,06/03/2011,3,H4,4500,5000,4950,
,07/03/2011,4.2,H4,5000,5500,5300,
,08/03/2011,5.5,H4,5000,5500,5400,
,09/03/2011,11.2,H4,5500,5700,5600,
,10/03/2011,27.8,H4,5200,6500,6000,
,11/03/2011,10.9,H4,5500,6100,5665,
,12/03/2011,14.1,H4,5000,5500,5000,
,13/03/2011,21.2,H4,5000,6225,6080,
,14/03/2011,34.7,H4,5000,5500,5000,
,15/03/2011,27.4,H4,4500,6500,5000,
,16/03/2011,23.6,H4,4000,5500,5000,
,17/03/2011,27.9,H4,5000,6400,5000,
,18/03/2011,8,H4,5000,6000,5000,
,19/03/2011,11.6,H4,4000,6000,4000,
,20/03/2011,4.7,H4,5000,5000,5000,
,21/03/2011,14.8,H4,4000,5000,4000,
,22/03/2011,21.7,H4,5000,6000,5500,
,23/03/2011,13.5,H4,4000,6000,5000,
,25/03/2011,6.5,H4,4000,5000,4000,
,26/03/2011,11.3,H4,5000,6000,5500,
,27/03/2011,14.5,H4,5000,6500,6000,
,28/03/2011,13,H4,4000,5000,4500,
,29/03/2011,33,H4,4000,6000,5000,
,30/03/2011,19.7,H4,5500,5500,NR,
,31/03/2011,35.5,H4,5000,5800,5500,
Badnawar,01/03/2011,1.7,DCH-32(Unginned),6150,7000,6600,
,03/03/2011,1.5,DCH-32(Unginned),6100,6750,6710,
,,,Other,5950,5950,5950,
,07/03/2011,1.6,DCH-32(Unginned),6100,6300,6175,
,,,Other,5810,6175,5810,
,15/03/2011,0.6, ,NR,NR,NR,
Badwaha,04/03/2011,35.8,Other,5700,6200,6000,
,06/03/2011,31.5,Other,6016,6601,6275,
,07/03/2011,21.5,Other,5591,6245,6100,
,09/03/2011,47.2,Other,5400,6170,5870,
,10/03/2011,54.5,Other,5299,5900,5600,
,11/03/2011,20.5, ,NR,NR,NR,
,12/03/2011,20.3,Other,5401,6000,5750,
,13/03/2011,21.2, ,NR,NR,NR,
,14/03/2011,35.4,Other,5400,6051,5800,
,16/03/2011,52.1,Other,5380,5900,5700,
,18/03/2011,34.7, ,NR,NR,NR,
,23/03/2011,38.5,Other,5390,6265,6001,
,25/03/2011,18.2, ,NR,NR,NR,
,26/03/2011,33.8, ,NR,NR,NR,
,27/03/2011,38,Other,5890,6300,6050,
,28/03/2011,35.6,Other,5401,6360,6071,
Badwani,01/03/2011,7.5,H4,3910,4500,4200,
,02/03/2011,10.2,H4,3850,4200,4120,
,03/03/2011,7.5,H4,4100,4600,4200,
,05/03/2011,2,H4,3950,4500,4210,
,06/03/2011,9,H4,3900,4520,4200,
,07/03/2011,9.5,H4,4100,4600,4210,
,08/03/2011,12,H4,4100,4500,4210,
,09/03/2011,10.3,H4,4120,4500,4210,
,10/03/2011,7.5,H4,3945,4600,4210,
,12/03/2011,7,H4,3945,4600,4300,
,13/03/2011,13,H4,4900,5900,5000,
,14/03/2011,12,H4,4500,5000,4800,
,15/03/2011,8,H4,3900,4500,4000,
,16/03/2011,8,H4,4100,4620,4200,
,17/03/2011,30,H4,4200,4600,4500,
,18/03/2011,7.5,H4,4300,4500,4320,
,21/03/2011,10.1,H4,4500,4900,4600,
,23/03/2011,4,H4,4200,4600,4250,
,25/03/2011,12,H4,4100,4600,4210,
,26/03/2011,10.5,H4,3950,5500,4500,
,27/03/2011,10,H4,4500,5100,4600,
,28/03/2011,16.3,H4,4000,5500,5000,
,29/03/2011,10.2,H4,4500,5000,4700,
,31/03/2011,17.2,H4,4500,5100,4700,
Balwadi,01/03/2011,13,H4,4000,6000,5400,
,02/03/2011,26.9,H4,4100,5800,5300,
,03/03/2011,20,H4,4000,5500,5000,
,04/03/2011,47.3,H4,4000,6500,5300,
,05/03/2011,23,H4,4000,6000,5300,
,06/03/2011,11,H4,4000,5800,5100,
,07/03/2011,28.2,H4,4000,7000,5500,
,08/03/2011,25.5,H4,4000,6500,5000,
,10/03/2011,23,H4,4000,6500,5300,
,11/03/2011,34.2,H4,4000,6500,5200,
,12/03/2011,35.6,H4,4000,6000,5000,
,13/03/2011,14,H4,4000,5500,5000,
,14/03/2011,37.5,H4,4000,6500,5300,
,15/03/2011,35.5,H4,6000,7000,6500,
,16/03/2011,28.1,H4,4000,6500,5500,
,17/03/2011,25.5,H4,4000,6800,5400,
,19/03/2011,9,H4,4000,5000,4800,
,20/03/2011,1,H4,4000,5000,4800,
,22/03/2011,3.6,H4,4000,5000,4500,
,23/03/2011,5,H4,4000,5500,5000,
,24/03/2011,9,H4,4000,6000,5300,
,25/03/2011,13,H4,4000,5800,5100,
,26/03/2011,10.2,H4,4000,5500,4800,
,27/03/2011,11,H4,4000,6000,5400,
,28/03/2011,27.2,H4,4000,6000,5500,
,29/03/2011,14,H4,4000,6000,5700,
,30/03/2011,12.7,H4,4000,6000,5700,
,31/03/2011,10.1,H4,4000,6000,5600,
Bhikangaon,03/03/2011,72.7,Other,6150,6800,6475,
,04/03/2011,50,Other,6150,6800,6475,
,06/03/2011,88.5,Other,5500,6700,6100,
,07/03/2011,86.8,Other,5500,6710,6105,
,09/03/2011,179.6,Other,5500,6640,6070,
,10/03/2011,158,Other,5500,6635,6068,
,11/03/2011,131.9,Other,5500,6480,5990,
,12/03/2011,129.8, ,NR,NR,NR,
,13/03/2011,102.2,Other,5500,6400,5950,
,14/03/2011,131.4,Other,5500,6740,6120,
,15/03/2011,7.3,Other,6000,6800,6400,
,16/03/2011,144.9,Other,5500,6500,6000,
,17/03/2011,127.8,Other,5500,6550,6015,
,18/03/2011,142.1,Other,4500,6500,5500,
,19/03/2011,46.3,Other,5000,6700,5850,
,26/03/2011,83.2,Other,6000,6700,6350,
,27/03/2011,84.7,Other,6000,6850,6425,
,28/03/2011,180,Other,4500,6500,5500,
,30/03/2011,175.4,Other,6000,6970,6485,
,31/03/2011,143.7,Other,5800,6930,6365,
Burhanpur,01/03/2011,168.9,Other,5300,5800,5725,
,03/03/2011,200,Other,5615,5802,5750,
,04/03/2011,156.7,Other,5600,5892,5740,
,07/03/2011,433.1,Other,5300,5933,5815,
,08/03/2011,169.5,Other,5545,5970,5751,
,09/03/2011,154,Other,5210,5500,5350,
,10/03/2011,119.3,Other,5321,5500,5411,
,11/03/2011,131.9,Other,5260,5480,5391,
,14/03/2011,309.3,Other,5165,5600,5550,
,15/03/2011,160.5,Other,5355,5652,5560,
,16/03/2011,130,Other,5230,5600,5511,
,17/03/2011,121,Other,5300,5650,5570,
,18/03/2011,159,Other,5375,5701,5581,
,23/03/2011,90,Other,5625,5700,5700,
,24/03/2011,85.5,Other,5500,5800,5692,
,25/03/2011,100,Other,5557,5750,5650,
,28/03/2011,126.05,Other,5600,5825,5740,
,29/03/2011,150,Other,5600,5700,5700,
,30/03/2011,100,Other,5600,5800,5700,
Dhamnod,01/03/2011,36.5,Desi,5405,6335,5900,
,03/03/2011,54.5,Desi,5725,6335,5900,
,05/03/2011,45.7,Desi,5705,6515,5950,
,07/03/2011,44.5,Desi,5300,6390,5900,
,08/03/2011,38.5,Desi,5250,6400,5800,
,09/03/2011,26,Desi,4500,6200,5550,
,10/03/2011,43.6,Desi,5000,6345,5400,
,12/03/2011,26.5,Desi,5050,6235,5700,
,14/03/2011,49,Desi,5480,6200,5700,
,15/03/2011,50,Desi,5215,6430,5800,
,16/03/2011,36,Desi,5305,6410,5700,
,17/03/2011,42,Desi,4000,6380,5700,
,19/03/2011,17.1,Desi,5300,5965,5700,
,21/03/2011,6.3,Desi,5645,5895,5650,
,22/03/2011,5.2,Desi,5710,5970,5800,
,23/03/2011,13,Desi,5730,6195,5840,
,26/03/2011,25,Desi,5735,6250,5900,
,28/03/2011,110,Desi,5305,6520,5900,
,29/03/2011,83.5,Desi,5705,6575,6000,
,30/03/2011,60.5,Desi,5750,6700,6000,
,31/03/2011,70.8,Desi,5500,6755,6100,
Jhabua,02/03/2011,25.5,H4,6000,6800,6400,
,04/03/2011,24,H4,6600,7000,6800,
,,,Other,6000,6000,6000,
,05/03/2011,12.5,H4,6800,6800,6800,
,06/03/2011,26.5,H4,6000,6900,6450,
,07/03/2011,7,H4,6000,6500,6250,
,09/03/2011,12,H4,6000,7000,6500,
,10/03/2011,5,H4,6000,6800,6400,
,11/03/2011,19.5,H4,5500,6500,6000,
,13/03/2011,14,H4,6000,6000,6000,
,,,Other,5000,5000,5000,
,14/03/2011,12,H4,6100,6100,6100,
,16/03/2011,12,H4,6000,6000,6000,
,17/03/2011,4,H4,6000,6000,6000,
,18/03/2011,18,H4,5800,6000,5900,
,19/03/2011,10,H4,5800,6000,5900,
,21/03/2011,12,H4,5900,5900,5900,
Jobat,01/03/2011,15,Other,4900,5100,5000,
,03/03/2011,6,Other,4900,5100,5000,
,04/03/2011,9,Other,4900,5100,5000,
,05/03/2011,4,Other,4900,5100,5000,
,07/03/2011,4.5,Other,4900,5100,5000,
,08/03/2011,6,Other,4900,5100,5000,
,09/03/2011,9,Other,4800,5000,4900,
,10/03/2011,2.5,Other,4800,5000,4900,
,12/03/2011,11,Other,4800,5000,4900,
,14/03/2011,12,Other,4900,5100,5000,
,15/03/2011,13,Other,4900,5100,5000,
,16/03/2011,14,Other,5000,5200,5100,
,17/03/2011,9,Other,5000,5200,5100,
,18/03/2011,8,Other,4900,5100,5000,
,19/03/2011,6,Other,4800,5000,4900,
,21/03/2011,7,Other,4800,5000,4900,
,22/03/2011,7,Other,4800,5000,4900,
,23/03/2011,6,Other,4800,5000,4900,
,24/03/2011,5,Other,4800,5000,4900,
,25/03/2011,4,Other,4800,5000,4900,
,28/03/2011,3.5,Other,4800,5000,4900,
,29/03/2011,3.5, ,NR,NR,NR,
,30/03/2011,6.5,Other,4800,5000,4900,
Kasrawad,01/03/2011,7.9,Other,5200,6405,5820,
,03/03/2011,2.1,Other,5700,5955,5800,
,04/03/2011,3.7,Other,5500,6260,5800,
,07/03/2011,2.6,Other,5300,6265,5790,
,08/03/2011,10.9,Other,5205,5910,5545,
,09/03/2011,8,Other,5005,5825,5455,
,10/03/2011,11,Other,5200,5930,5550,
,11/03/2011,11,Other,5650,6380,5850,
,12/03/2011,9,Other,5510,6405,5915,
,14/03/2011,15,Other,5400,6050,5750,
,15/03/2011,15,Other,5420,5930,5750,
,16/03/2011,15,Other,5460,6450,5755,
,17/03/2011,13,Other,5530,6355,5855,
,18/03/2011,15,Other,5500,6450,5860,
,19/03/2011,30.1,Other,5700,6010,5895,
,21/03/2011,35,Other,5600,6010,5795,
,22/03/2011,35,Other,5595,5735,5660,
,25/03/2011,40.1,Other,5985,6600,6155,
,26/03/2011,44.7,Other,5770,6500,6055,
,28/03/2011,53.6,Other,5565,6215,5960,
,29/03/2011,20,Other,5500,6500,6025,
,30/03/2011,11.1,Other,5720,6475,6200,
