Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Alirajpur,15/01/2014,10,Other,4000,4500,4200,
,16/01/2014,10, ,NR,NR,NR,
,17/01/2014,43.6,Other,4000,4500,4300,
,20/01/2014,24,Other,4400,4600,4500,
,21/01/2014,22.5,Other,4400,4600,4500,
,22/01/2014,8.3,Other,4400,4600,4500,
,24/01/2014,58.3,Other,4400,4600,4500,
,27/01/2014,11.7,Other,4400,4600,4500,
,28/01/2014,2.5,Other,4400,4600,4500,
,29/01/2014,13,Other,4900,5100,5000,
,30/01/2014,39,Other,4400,4600,4500,
Anjad,01/01/2014,260.7,H4,4545,4805,4700,
,02/01/2014,39.6,H4,4330,4790,4675,
,03/01/2014,18.5,H4,4000,4970,4800,
,04/01/2014,11.5,H4,4500,4930,4850,
,05/01/2014,2,H4,4500,4500,4500,
,06/01/2014,37,H4,4120,4950,4905,
,07/01/2014,69,H4,4475,5015,4905,
,08/01/2014,39.1,H4,4615,5140,4990,
,09/01/2014,24.5,H4,4575,5100,4980,
,10/01/2014,41,H4,4705,5140,5030,
,11/01/2014,29,H4,4565,5150,5000,
,12/01/2014,15.3,H4,4200,4500,4400,
,13/01/2014,74.3,H4,4805,5130,4900,
,14/01/2014,54.2,H4,4900,4900,4900,
,15/01/2014,15.8,H4,4400,5155,5005,
,16/01/2014,8,H4,4200,4500,4400,
,17/01/2014,46,H4,4430,5260,5190,
,18/01/2014,18.5,H4,4610,5240,5080,
,19/01/2014,34.5,H4,4200,4600,4500,
,20/01/2014,18.7,H4,4200,5150,5050,
,21/01/2014,31.2,H4,4655,5105,5030,
,22/01/2014,12.9,H4,4200,4500,4400,
,23/01/2014,19,H4,4250,4500,4350,
,24/01/2014,9,H4,4275,4460,4375,
,25/01/2014,12.8,H4,4000,4500,4400,
,27/01/2014,18.5,H4,4475,5055,4895,
,28/01/2014,44.5,H4,4000,5300,4900,
,29/01/2014,17,H4,4000,4800,4700,
,30/01/2014,18,H4,4450,4800,4675,
