Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Alirajpur,02/02/2015,5,Desi,3500,3850,3800,
,03/02/2015,10,Desi,3500,3800,3750,
,06/02/2015,10,Desi,3500,3800,3750,
,11/02/2015,10,Desi,3750,3900,3800,
,13/02/2015,10,Desi,3750,3900,3800,
,15/02/2015,10,Desi,3750,3900,3800,
,16/02/2015,5,Desi,3750,3900,3800,
,18/02/2015,10,Desi,3750,3900,3800,
,20/02/2015,5,Desi,3750,3900,3800,
,22/02/2015,10,Desi,5600,5800,5700,
,24/02/2015,5,Desi,3750,3900,3800,
,26/02/2015,5,Desi,3750,3900,3800,
Anjad,01/02/2015,7.5,Other,3750,3800,3750,
,02/02/2015,21.5,Other,3750,3750,3750,
,03/02/2015,16.8,Other,3750,3825,3750,
,04/02/2015,13.9,Other,3750,3825,3750,
,05/02/2015,75.9,Other,3750,3750,3750,
,06/02/2015,129,Other,3750,3950,3800,
,07/02/2015,26.8,Other,3750,3925,3821,
,24/02/2015,19.7,Other,3750,3750,3750,
,25/02/2015,65.3,Other,3750,3950,3750,
,26/02/2015,79.5,Other,3750,3905,3810,
,27/02/2015,114.6,Other,3750,3930,3750,
,28/02/2015,22.7,Other,3750,3935,3750,
Badwaha,01/02/2015,24.3,Other,3350,3951,3551,
,02/02/2015,226.9,Other,3650,4000,3900,
,04/02/2015,288.2,Other,3055,4050,3900,
,05/02/2015,152.5,Other,3150,4050,3925,
,06/02/2015,160.6,Other,3201,4050,3925,
,07/02/2015,113.3,Other,3500,4050,3925,
,08/02/2015,34.6,Other,1204,1240,1204,
,09/02/2015,193.6,Other,3570,4050,3900,
,11/02/2015,61.1,Other,3625,4310,3950,
,12/02/2015,144.6,Other,3650,4050,3900,
,13/02/2015,162.3,Other,3600,4050,3950,
,14/02/2015,133,Other,3700,4050,3900,
,15/02/2015,15.8,Other,3611,4000,3851,
,16/02/2015,267.4,Other,3631,4050,3900,
,18/02/2015,126.2,Other,3611,4050,3821,
,19/02/2015,109.8,Other,3601,4025,3821,
,20/02/2015,176.1,Other,3500,4050,3900,
,21/02/2015,79.1,Other,3211,4051,3821,
,22/02/2015,19.1,Other,3170,4000,3871,
,23/02/2015,85.4,Other,3399,4025,3651,
,25/02/2015,159.5,Other,3551,4000,3675,
,26/02/2015,201.3,Other,3250,4025,3651,
,28/02/2015,40.8,Other,3460,4020,3651,
Badwani,01/02/2015,3.5,H4,3000,3300,3300,
,05/02/2015,9.5,H4,3400,3800,3800,
,06/02/2015,4,H4,3400,3800,3750,
,07/02/2015,6.6,H4,3400,3800,3750,
,08/02/2015,10.1,H4,3500,3500,3500,
,09/02/2015,7,H4,3200,3800,3500,
,11/02/2015,4.2,H4,3300,3700,3500,
,12/02/2015,4.3,H4,3300,3700,3500,
,13/02/2015,4.3,H4,3300,3750,3700,
,14/02/2015,17.1,H4,3300,3750,3500,
,15/02/2015,4.1,H4,3300,3750,3600,
,16/02/2015,4,H4,3300,3750,3500,
,18/02/2015,4.5,H4,3300,3800,3500,
,20/02/2015,9,H4,3300,3750,3500,
,22/02/2015,4,H4,3300,3750,3500,
,23/02/2015,8.2,H4,3300,3700,3500,
Balwadi,23/02/2015,40.3,H4,3500,3800,3600,
,24/02/2015,25.5,H4,3500,3700,3550,
,25/02/2015,28,H4,3400,3700,3500,
,26/02/2015,15.5,H4,3400,3800,3500,
,27/02/2015,19.5,H4,3500,3800,3600,
,28/02/2015,14,H4,3500,3800,3600,
Bhikangaon,01/02/2015,162.5,Other,3311,4245,3975,
,02/02/2015,185,Other,3461,4210,4035,
,05/02/2015,187.5,H4,3450,4125,4000,
,09/02/2015,155,Other,3450,4175,3950,
,11/02/2015,65,Other,2950,4025,3850,
,13/02/2015,182.5,Other,3532,4120,3951,
Burhanpur,02/02/2015,95.02,Y-1,3200,3600,3600,
,04/02/2015,228,Y-1,3305,3950,3800,
,06/02/2015,79.02,Y-1,3400,3950,3860,
,09/02/2015,165.6,LRA,3241,3550,3350,
,10/02/2015,250.3,LRA,3250,3950,3860,
,11/02/2015,146, ,NR,NR,NR,
,12/02/2015,131,LRA,3201,3950,3860,
,13/02/2015,120,LRA,3365,3950,3860,
,16/02/2015,270,Y-1,3400,3550,3500,
,18/02/2015,50,Y-1,3300,3950,3860,
,19/02/2015,249,Y-1,3200,3950,3860,
,23/02/2015,118.4,LRA,3400,3610,3600,
,24/02/2015,112.1,LRA,3300,3950,3800,
,25/02/2015,102.4,LRA,3125,3950,3860,
,26/02/2015,106.4,LRA,3400,3950,3650,
,27/02/2015,133.4,LRA,3500,3950,3600,
Dhamnod,02/02/2015,168,Desi,3205,3950,3860,
,03/02/2015,166,Desi,3330,3950,3860,
,04/02/2015,170,Desi,3350,4010,3860,
,05/02/2015,125,Desi,3375,3950,3850,
,07/02/2015,260,Desi,3400,3950,3850,
,09/02/2015,272.8,Desi,3365,3950,3800,
,11/02/2015,219.2,Desi,3395,3950,3860,
,12/02/2015,160,Desi,3300,3950,3860,
,14/02/2015,279.4,Desi,3310,3950,3900,
,16/02/2015,292.7,Desi,3420,3950,3860,
,18/02/2015,233.7, ,NR,NR,NR,
,19/02/2015,200,Desi,3400,3951,3860,
,21/02/2015,318,Desi,3505,3955,3800,
,23/02/2015,355.5,Desi,3480,3950,3860,
,24/02/2015,319.6,Desi,3400,3951,3860,
,25/02/2015,328.5,Desi,3355,3950,3860,
,26/02/2015,310,Desi,3465,3950,3860,
,28/02/2015,391.9,Desi,3860,3950,3950,
Gandhwani,03/02/2015,450,Other,3721,3950,3900,
,04/02/2015,9,Other,3300,3500,3400,
,05/02/2015,11,Other,3400,3600,3500,
,06/02/2015,12.5,Other,3350,3500,3400,
,07/02/2015,6,Other,3400,3500,3450,
,09/02/2015,370,Other,3721,3950,3900,
,10/02/2015,296.4,Other,3721,3950,3900,
,11/02/2015,255.4,Other,3721,3950,3900,
,12/02/2015,216.8,Other,3721,3950,3900,
,13/02/2015,3900,Other,3742,3950,3900,
,14/02/2015,6,Other,3400,3600,3500,
,16/02/2015,9.5,Other,3300,3500,3450,
,18/02/2015,7,Other,3300,3500,3400,
,19/02/2015,9.5,Other,3350,3500,3400,
,20/02/2015,3.5,Other,3350,3500,3400,
,22/02/2015,10,Other,3400,3500,3450,
,23/02/2015,15.6,Other,3250,3500,3380,
,26/02/2015,15,Other,3350,3500,3400,
Jhabua,04/02/2015,1070,DCH-32 (Ginned),4100,4500,4300,
,,,Desi,3750,4000,3875,
,05/02/2015,550,DCH-32 (Ginned),4400,4600,4500,
,08/02/2015,1699,DCH-32 (Ginned),4000,4500,4250,
,,,Desi,3800,3800,3800,
,09/02/2015,986,DCH-32 (Ginned),4000,4500,4250,
,10/02/2015,1201,DCH-32 (Ginned),4000,4500,4250,
,11/02/2015,1183,DCH-32 (Ginned),4000,4400,4200,
,12/02/2015,555,DCH-32 (Ginned),4000,4200,4100,
,13/02/2015,2495,DCH-32 (Ginned),4000,4400,4200,
,14/02/2015,2538,DCH-32 (Ginned),4000,4400,4250,
,15/02/2015,2022,DCH-32 (Ginned),4000,4400,4250,
,16/02/2015,1366,DCH-32 (Ginned),4000,4500,4266,
,17/02/2015,966,DCH-32 (Ginned),4000,4400,4200,
,18/02/2015,1195,DCH-32 (Ginned),4000,4400,4200,
,,,Desi,3920,3920,3920,
,19/02/2015,1320,DCH-32 (Ginned),3800,4400,4175,
,20/02/2015,2531,DCH-32 (Ginned),4000,4500,4250,
,21/02/2015,1736,DCH-32 (Ginned),4000,4400,4200,
,22/02/2015,605,DCH-32 (Ginned),4000,4500,4250,
,23/02/2015,690,DCH-32 (Ginned),4100,4400,4250,
,24/02/2015,1085,DCH-32 (Ginned),4000,4400,4200,
,25/02/2015,930,DCH-32 (Ginned),4000,4200,4100,
,26/02/2015,1171,DCH-32 (Ginned),4000,4450,4225,
,27/02/2015,2027,DCH-32 (Ginned),3800,4500,4000,
,28/02/2015,1744,DCH-32 (Ginned),3800,4500,4100,
Jobat,02/02/2015,45,Other,3800,4000,3900,
,03/02/2015,28.3,Other,3800,4000,3900,
,04/02/2015,12,Other,3700,4000,3800,
,05/02/2015,35.5,Other,3650,4000,3800,
,06/02/2015,34,Other,3700,4000,3800,
,07/02/2015,60,Other,3600,4000,3800,
,09/02/2015,54,Other,3700,4000,3800,
,10/02/2015,10, ,NR,NR,NR,
,11/02/2015,33.5,Other,3600,4000,3800,
,12/02/2015,29.6,Other,3800,4000,3900,
,13/02/2015,20,Other,3800,4000,3900,
,14/02/2015,47.5,Other,3800,4000,3900,
,16/02/2015,61.7,Other,3800,4000,3900,
,17/02/2015,25,Other,3700,4000,3800,
,18/02/2015,23,Other,3700,4000,3800,
,20/02/2015,15,Other,3600,4000,3700,
,21/02/2015,10,Other,3600,4000,3700,
,23/02/2015,50,Other,3500,4000,3700,
,24/02/2015,20,Other,3500,4000,3800,
,26/02/2015,20,Other,3500,4000,3800,
,27/02/2015,27.5,Other,3500,4000,3800,
,28/02/2015,48, ,NR,NR,NR,
