Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Alirajpur,01/05/2015,4.6,Desi,3800,4000,3900,
,05/05/2015,3,Desi,3700,3900,3800,
,07/05/2015,3,Desi,3800,4000,3900,
,08/05/2015,8,Desi,3800,4000,3900,
,10/05/2015,1.5,Desi,3755,3775,3760,
,13/05/2015,1.5,Desi,3700,3755,3750,
,14/05/2015,4.5,Desi,3700,3800,3750,
,19/05/2015,2,Desi,3755,3765,3760,
,21/05/2015,15,Desi,3800,4000,3900,
,22/05/2015,5,Desi,3800,4000,3900,
,23/05/2015,5,Desi,3800,4000,3900,
,25/05/2015,5,Desi,3800,4000,3900,
Anjad,01/05/2015,19.7,Other,3750,3750,3750,
,02/05/2015,7.5,Other,3750,3750,3750,
,03/05/2015,7.5,Other,3750,3750,3750,
,06/05/2015,15,Other,3750,4000,3750,
,11/05/2015,3,Other,4000,4000,4000,
,12/05/2015,18.5,Other,4000,4000,4000,
,13/05/2015,2,Other,4000,4000,4000,
,14/05/2015,9,Other,3750,3750,3750,
,17/05/2015,10,Other,3750,3750,3750,
,22/05/2015,8,Other,4000,4000,4000,
,24/05/2015,7,Other,3750,3750,3750,
,25/05/2015,2,Other,3900,3900,3900,
,29/05/2015,2,Other,3900,3900,3900,
Badwaha,01/05/2015,13,Other,4155,4305,4200,
,02/05/2015,19.2,Other,3800,4395,4180,
,03/05/2015,21.4,Other,3850,4590,4125,
,06/05/2015,37,Other,3705,4275,4100,
,07/05/2015,48.3,Other,3855,4200,4150,
,08/05/2015,19.5,Other,3800,4300,4000,
,09/05/2015,33.3,Other,3600,4275,4035,
,10/05/2015,28.2,Other,3750,4250,3900,
,11/05/2015,34.7,Other,3800,4075,3940,
,13/05/2015,47,Other,3850,4070,3940,
,14/05/2015,16.8,Other,3655,4065,3850,
,15/05/2015,16.3,Other,3400,4045,3860,
,16/05/2015,16.3,Other,3405,3955,3850,
,17/05/2015,24.5,Other,3400,4000,3840,
,18/05/2015,13.6,Other,3450,3950,3811,
,24/05/2015,5.4,Other,3580,3940,3820,
,25/05/2015,3,Other,3500,3915,3800,
,27/05/2015,5.7,Other,3775,3860,3785,
,28/05/2015,2.8,Other,3730,3875,3820,
,29/05/2015,10.5,Other,3350,3800,3750,
,30/05/2015,3,Other,3700,3785,3785,
,31/05/2015,1.6,Other,3300,3700,3500,
Bhikangaon,05/05/2015,15, ,NR,NR,NR,
,06/05/2015,32,H4,3950,4606,4250,
,07/05/2015,12.5,H4,4100,4737,4200,
