Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Alirajpur,01/12/2017,10.6,Desi,4300,4500,4400,
,07/12/2017,9,Desi,4200,4400,4300,
,08/12/2017,22.6,Desi,4300,4400,4350,
,09/12/2017,5.2,Desi,4100,4300,4200,
,12/12/2017,9,Desi,4300,4500,4400,
,13/12/2017,9,Desi,4400,4600,4500,
,14/12/2017,9.4,Desi,4200,4400,4300,
,16/12/2017,10,Desi,4200,4400,4300,
,23/12/2017,10.5,Desi,4300,4500,4400,
,25/12/2017,10,Desi,4600,4800,4700,
,27/12/2017,10,Desi,4600,4700,4650,
,28/12/2017,10,Desi,4700,4900,4800,
,30/12/2017,10,Desi,4800,5000,4900,
,31/12/2017,19,Desi,4600,4700,4650,
Anjad,01/12/2017,42.33,Other,3500,4600,4150,
,02/12/2017,31.31,Other,4000,4400,4200,
,03/12/2017,24.73,Other,4000,4400,4100,
,04/12/2017,190.3,Other,3700,4620,4150,
,05/12/2017,108.27,Other,3905,4660,4330,
,06/12/2017,152.95,Other,3800,4510,4100,
,07/12/2017,109.5,Other,3905,4660,4300,
,08/12/2017,43.5,Other,3975,4725,4400,
,09/12/2017,128.15,Other,3805,4730,4400,
,10/12/2017,5,Other,3500,4000,3700,
,11/12/2017,5,Other,3500,4400,4100,
,12/12/2017,26.39,Other,3800,4450,4150,
,13/12/2017,70.22,Other,4200,4875,4470,
,14/12/2017,66,Other,4200,4870,4490,
,15/12/2017,4.5,Other,4000,4500,4200,
,16/12/2017,113.8,Other,4200,5005,4600,
,17/12/2017,13.07,Other,4500,4900,4800,
,18/12/2017,95.86,Other,4200,5000,4600,
,19/12/2017,86.7,Other,3975,4905,4550,
,20/12/2017,96.55,Other,4060,4930,4535,
,21/12/2017,98.2,Other,4205,4920,4530,
,22/12/2017,115.4,Other,4105,5100,4610,
,23/12/2017,94.5,Other,4210,5110,4655,
,24/12/2017,32.74,Other,4000,5000,4100,
,25/12/2017,19.62,Other,4000,5100,4500,
,26/12/2017,121.2,Other,4360,5175,4715,
,27/12/2017,111.1,Other,4245,5195,4710,
,28/12/2017,104,Other,4245,5195,4710,
,29/12/2017,46.5,Other,4000,4445,4100,
,30/12/2017,14.8,Other,4000,5000,4500,
,31/12/2017,31.39,Other,4000,5000,4600,
Badwaha,03/12/2017,194.4,Desi,3390,4745,4415,
,04/12/2017,191.5,Desi,3390,4800,4450,
,06/12/2017,73.8,Desi,3560,4440,4335,
,07/12/2017,157.5,Desi,3400,4750,4450,
,08/12/2017,10.4,Desi,1585,1620,1610,
,09/12/2017,258,Desi,3750,4800,4450,
,10/12/2017,263.9,Desi,3600,4900,4550,
,11/12/2017,282.1,Desi,3400,5000,4670,
,13/12/2017,282.3,Desi,3400,5000,4625,
,14/12/2017,300.8,Desi,4100,5100,4680,
,16/12/2017,316.5,Desi,4015,5200,4950,
,17/12/2017,284.1,Desi,3740,5200,4700,
,18/12/2017,223.1,Desi,3795,5350,4780,
,20/12/2017,371.9,Desi,3800,5250,4760,
,21/12/2017,341.8,Desi,3850,5150,4890,
,22/12/2017,288.1,Desi,3740,5330,4920,
,23/12/2017,300.3,Desi,4000,5300,4950,
,24/12/2017,199.7,Desi,4160,5300,4890,
,27/12/2017,226.5,Desi,4160,5460,5150,
,28/12/2017,287.6,Desi,4625,5625,5180,
,29/12/2017,269.5,Desi,4550,5250,5130,
,30/12/2017,269.5,Desi,4550,5250,5130,
,31/12/2017,78,Desi,1095,1140,1125,
Badwani,01/12/2017,29.2,H4,4200,4500,4300,
,02/12/2017,26.8,H4,4200,4500,4300,
,03/12/2017,55,H4,4000,4500,4400,
,04/12/2017,29,H4,4200,4400,4300,
,05/12/2017,56.3,H4,4000,4400,4300,
,07/12/2017,32,H4,4000,4400,4300,
,08/12/2017,38,H4,4000,4400,4200,
,09/12/2017,9,H4,4400,4500,4500,
,10/12/2017,44.8,H4,4000,4400,4400,
,11/12/2017,43.3,H4,4000,4400,4300,
,12/12/2017,36.5,H4,4000,4500,4400,
,13/12/2017,13.5,H4,4200,4400,4400,
,14/12/2017,20.2,H4,4000,4400,4300,
,15/12/2017,30.3,H4,4000,4500,4400,
,16/12/2017,16.8,H4,4000,4800,4500,
,17/12/2017,32.8,H4,4000,4400,4400,
,18/12/2017,26.26,H4,4400,5200,4600,
,19/12/2017,39.9,H4,4400,4600,4550,
,21/12/2017,24.7,H4,4300,4700,4400,
,22/12/2017,5,H4,4600,4600,4600,
,23/12/2017,13.5,H4,4300,4500,4450,
,25/12/2017,18,H4,4500,4700,4600,
,26/12/2017,9.2,H4,4300,4800,4500,
,28/12/2017,5,H4,4700,4700,4700,
,29/12/2017,50.2,H4,4500,5300,4800,
,30/12/2017,9,H4,4500,4500,4500,
,31/12/2017,3,H4,4400,4400,4400,
Balwadi,06/12/2017,30.3,H4,4000,4400,4100,
,07/12/2017,12,H4,3800,4200,4000,
,12/12/2017,40.85,H4,3800,4200,4000,
,15/12/2017,32,H4,3800,4200,4000,
,16/12/2017,19.9,H4,3800,4400,4100,
,20/12/2017,48.3,H4,4000,4800,4400,
,21/12/2017,44.5,H4,3800,4400,4200,
,22/12/2017,34.1,H4,4000,4500,4100,
,23/12/2017,44.4,H4,4000,4500,4250,
,26/12/2017,42.3,H4,4000,4800,4500,
,27/12/2017,43.3,H4,4000,4500,4200,
,28/12/2017,45.28,H4,4000,4500,4200,
,29/12/2017,21.1,H4,3800,4500,4400,
,30/12/2017,26.1,H4,3800,4600,4300,
Bhikangaon,01/12/2017,109.5,H4,3611,4933,4451,
,04/12/2017,151.6,H4,3700,4940,4570,
,06/12/2017,161.7,H4,3400,4925,4526,
,07/12/2017,189,H4,3425,4970,4520,
,08/12/2017,519,H4,3600,4990,4585,
,09/12/2017,460.5,H4,3771,5033,4633,
,10/12/2017,504.6,H4,3885,5185,4696,
,11/12/2017,504,H4,3600,5160,4696,
,13/12/2017,457,H4,3870,5100,4640,
,14/12/2017,577.5,H4,4100,5300,4835,
,16/12/2017,45,H4,4240,5500,4901,
,17/12/2017,504.5,H4,4190,5516,4970,
,18/12/2017,501.9,H4,4211,5391,4880,
,20/12/2017,485,H4,4212,5300,4910,
,21/12/2017,478,H4,4150,5496,4875,
,22/12/2017,459,H4,4200,5571,4937,
,23/12/2017,541,H4,4300,5440,4990,
,27/12/2017,265,H4,4450,5592,4950,
,28/12/2017,456,H4,4570,5570,4975,
,29/12/2017,309,H4,4250,5540,5365,
,30/12/2017,354.6,H4,4435,5516,5294,
,31/12/2017,348,H4,4469,5583,5271,
Burhanpur,07/12/2017,326.02,LRA,4250,4500,4380,
,08/12/2017,440,LRA,4250,4500,4380,
,11/12/2017,473.1,LRA,4200,4585,4450,
,12/12/2017,270,LRA,4100,4500,4425,
,14/12/2017,2500,LRA,4200,4630,4500,
,19/12/2017,1815,LRA,4500,5036,4930,
