Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Badwani,16/07/2017,101.5,Local,2620,2620,2620,
Kukshi,03/07/2017,10,Other,4100,5100,4600,
,04/07/2017,20,Other,4500,5000,4700,
,05/07/2017,15,Other,4500,5000,4700,
,06/07/2017,16.5,Other,5000,5300,5150,
,07/07/2017,16.5,Other,4500,5000,4700,
,09/07/2017,11.5,Other,5000,5200,5100,
,10/07/2017,6,Other,4300,5000,4700,
,11/07/2017,16.5,Other,5000,5200,5100,
,12/07/2017,9.3,Other,4600,5100,4900,
,13/07/2017,14.8,Other,5100,5300,5200,
,14/07/2017,10.2,Other,4800,5400,5200,
,15/07/2017,10.1,Other,5300,5400,5350,
,16/07/2017,9.5,Other,5200,5400,5300,
,19/07/2017,11.4,Other,5000,5400,5200,
,23/07/2017,4,Other,4800,5100,4950,
Saunsar,01/07/2017,10.7, ,NR,NR,NR,
Sendhwa,01/07/2017,125,H4,4500,5500,5051,
,03/07/2017,118,H4,4400,5300,4930,
,04/07/2017,90,H4,4600,5611,5075,
,05/07/2017,65,H4,4500,5450,4930,
,07/07/2017,166,H4,5000,5300,5125,
,08/07/2017,95,H4,4850,5270,5090,
,10/07/2017,147,H4,4900,5200,5120,
,11/07/2017,23,H4,5211,5250,5230,
,12/07/2017,151,H4,4900,5310,5100,
,13/07/2017,123,H4,5200,5300,5250,
,14/07/2017,85,H4,5100,5200,5150,
,15/07/2017,120.5,H4,5100,5230,5170,
,17/07/2017,140,H4,5150,5350,5205,
,18/07/2017,149,H4,4900,5100,5000,
,19/07/2017,8.7,H4,5211,5231,5221,
,20/07/2017,98,H4,5100,5300,5180,
,21/07/2017,30.3,H4,5100,5200,5150,
,24/07/2017,141.4,H4,5065,5220,5105,
,25/07/2017,56.5,H4,5040,5150,5075,
,26/07/2017,31.6,H4,5100,5200,5150,
,28/07/2017,24.4,H4,4885,4889,4886,
