Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Anjad,08/09/2020,10.8, ,NR,NR,NR,
,09/09/2020,30, ,NR,NR,NR,
,10/09/2020,56.6, ,NR,NR,NR,
,11/09/2020,24.8, ,NR,NR,NR,
,12/09/2020,30.9, ,NR,NR,NR,
,14/09/2020,70.7, ,NR,NR,NR,
,15/09/2020,105, ,NR,NR,NR,
,16/09/2020,174.6, ,NR,NR,NR,
,17/09/2020,96, ,NR,NR,NR,
,18/09/2020,124.2, ,NR,NR,NR,
,19/09/2020,119, ,NR,NR,NR,
,21/09/2020,76.8, ,NR,NR,NR,
Badwaha,09/09/2020,261.1, ,NR,NR,NR,
,10/09/2020,87.7, ,NR,NR,NR,
,11/09/2020,77.6, ,NR,NR,NR,
,16/09/2020,54, ,NR,NR,NR,
,17/09/2020,76.3, ,NR,NR,NR,
,18/09/2020,156.5, ,NR,NR,NR,
,19/09/2020,162.5, ,NR,NR,NR,
,23/09/2020,2.9, ,NR,NR,NR,
Badwani,13/09/2020,3.5,H4,2500,3795,3600,
,20/09/2020,4,H4,2550,3955,3405,
Bhikangaon,14/09/2020,16, ,NR,NR,NR,
,16/09/2020,201, ,NR,NR,NR,
,18/09/2020,220.5, ,NR,NR,NR,
,19/09/2020,149,H4,2876,4335,3590,
,23/09/2020,65,H4,2500,4000,3575,
Dhamnod,08/09/2020,19.3,Desi,2720,4195,3735,
,10/09/2020,115.8,Desi,2800,4000,3555,
,12/09/2020,38.9,Desi,2835,4005,3545,
Karhi,09/09/2020,2.08, ,NR,NR,NR,
,10/09/2020,21.27, ,NR,NR,NR,
,11/09/2020,0.06, ,NR,NR,NR,
,12/09/2020,13, ,NR,NR,NR,
,14/09/2020,22, ,NR,NR,NR,
,18/09/2020,2.27, ,NR,NR,NR,
,19/09/2020,16.73, ,NR,NR,NR,
,21/09/2020,14.1, ,NR,NR,NR,
Khandwa,01/09/2020,10, ,NR,NR,NR,
Khargone,14/09/2020,567.5, ,NR,NR,NR,
,17/09/2020,707, ,NR,NR,NR,
,21/09/2020,696.5, ,NR,NR,NR,
,22/09/2020,518.5, ,NR,NR,NR,
Khetia,10/09/2020,0.4, ,NR,NR,NR,
,11/09/2020,0.5, ,NR,NR,NR,
,12/09/2020,2.1, ,NR,NR,NR,
,14/09/2020,2.2, ,NR,NR,NR,
,15/09/2020,8.9, ,NR,NR,NR,
,16/09/2020,12.2, ,NR,NR,NR,
,17/09/2020,2.1, ,NR,NR,NR,
,18/09/2020,14.4, ,NR,NR,NR,
,19/09/2020,28.7, ,NR,NR,NR,
,21/09/2020,38.2,H4,2665,4300,3750,
,22/09/2020,13.9,H4,2700,3750,3500,
Kukshi,09/09/2020,11.6, ,NR,NR,NR,
,10/09/2020,15.8, ,NR,NR,NR,
,11/09/2020,15.7, ,NR,NR,NR,
,12/09/2020,7.2, ,NR,NR,NR,
,14/09/2020,21.1, ,NR,NR,NR,
,15/09/2020,24.7, ,NR,NR,NR,
,16/09/2020,15.7, ,NR,NR,NR,
,17/09/2020,32.7, ,NR,NR,NR,
,18/09/2020,30.6,H4,2550,3755,3380,
,19/09/2020,30,H4,1825,3675,3050,
,21/09/2020,8.2,H4,2895,3630,3275,
,22/09/2020,0.65, ,NR,NR,NR,
Sanawad,15/09/2020,2.4, ,NR,NR,NR,
,16/09/2020,9.6, ,NR,NR,NR,
,19/09/2020,23.3, ,NR,NR,NR,
,20/09/2020,0.9, ,NR,NR,NR,
,22/09/2020,5.6, ,NR,NR,NR,
,23/09/2020,50.5, ,NR,NR,NR,
Sendhwa,18/09/2020,2.8,H4,4125,4125,4125,
