Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aheri,03/12/2011,9,Other,3800,3800,3800,
,10/12/2011,12,Other,3500,3800,3600,
,12/12/2011,13,Other,3500,3700,3600,
,13/12/2011,13,Other,3500,3800,3650,
,14/12/2011,7,Other,3600,3600,3600,
,15/12/2011,5,Other,3600,3600,3600,
,21/12/2011,16.7,Other,3600,3600,3600,
,22/12/2011,16,Other,3600,3600,3600,
,23/12/2011,13,Other,3600,3600,3600,
,27/12/2011,34,Other,3500,3600,3550,
Akhadabalapur,02/12/2011,2.5,Other,3900,4000,3950,
,03/12/2011,2.2,Other,4000,4000,4000,
,05/12/2011,2.5,Other,3900,4000,3950,
,07/12/2011,3,Other,4025,4100,4050,
,08/12/2011,3.5,Other,3950,4050,4000,
,09/12/2011,2.5,Other,3900,4000,3950,
,10/12/2011,3.5,Other,3850,3900,3875,
,12/12/2011,3.2,Other,3750,3850,3800,
,14/12/2011,4,Other,3700,3800,3750,
,16/12/2011,5.5,Other,3700,3800,3750,
,17/12/2011,4.5,Other,3700,3850,3775,
,19/12/2011,7.5,Other,3700,3800,3750,
,20/12/2011,6,Other,3700,3800,3750,
,21/12/2011,5,Other,3650,3750,3700,
,22/12/2011,6,Other,3650,3800,3725,
,23/12/2011,4.3,Other,3600,3700,3650,
,26/12/2011,5.5,Other,3650,3700,3675,
,27/12/2011,6.5,Other,3700,3750,3725,
,28/12/2011,6,Other,3700,3750,3725,
,29/12/2011,7,Other,3750,3800,3775,
,30/12/2011,6.4,Other,3800,3900,3850,
,31/12/2011,6.9,Other,3750,3850,3800,
Akola,02/12/2011,20.9,H-4(A) 27mm FIne,3800,3800,3800,
,03/12/2011,10.2,H-4(A) 27mm FIne,3800,3800,3800,
Akot,01/12/2011,24.5,H-4(A) 27mm FIne,3985,4020,4011,
,02/12/2011,43,H-4(A) 27mm FIne,4005,4125,4095,
,03/12/2011,50,H-4(A) 27mm FIne,4030,4090,4075,
,,,Other,4525,4525,4525,
,05/12/2011,1.1,H-4(A) 27mm FIne,4025,4080,4066,
,,,Other,4450,4450,4450,
,07/12/2011,41,H-4(A) 27mm FIne,4080,4150,4132,
,08/12/2011,61,H-4(A) 27mm FIne,4100,4135,4126,
,09/12/2011,107.5,H-4(A) 27mm FIne,4020,4075,4061,
,10/12/2011,0.9,H-4(A) 27mm FIne,3965,4035,4017,
,,,Other,4465,4465,4465,
,12/12/2011,95.5,H-4(A) 27mm FIne,3885,3990,3963,
,,,Other,4275,4400,4368,
,15/12/2011,22,H-4(A) 27mm FIne,2920,4000,3980,
,17/12/2011,136.5,H-4(A) 27mm FIne,3885,3955,3937,
,19/12/2011,1,H-4(A) 27mm FIne,3880,3950,3932,
,,,Other,4400,4550,4512,
,20/12/2011,3,H-4(A) 27mm FIne,3830,3925,3901,
,,,Other,4205,4405,4355,
,21/12/2011,230,H-4(A) 27mm FIne,3750,3865,3836,
,,,Other,4200,4200,4200,
,22/12/2011,120,H-4(A) 27mm FIne,3740,3830,3807,
,23/12/2011,270,H-4(A) 27mm FIne,3740,3830,3807,
,24/12/2011,124,H-4(A) 27mm FIne,3740,3825,3803,
,26/12/2011,227,H-4(A) 27mm FIne,3740,3830,3807,
,27/12/2011,120,H-4(A) 27mm FIne,3750,3895,3858,
,28/12/2011,137,H-4(A) 27mm FIne,3775,3900,3868,
,,,Other,4100,4365,4298,
,29/12/2011,85.5,H-4(A) 27mm FIne,3890,4025,3991,
,,,Other,4225,4375,4337,
,30/12/2011,136,H-4(A) 27mm FIne,3925,4040,4011,
,31/12/2011,137,H-4(A) 27mm FIne,3850,3980,3947,
,,,Other,4340,4340,4340,
Amarawati,02/12/2011,20,N-44,3900,4000,3950,
,,,Other,3950,4100,4050,
,03/12/2011,27.5,N-44,3900,4100,4000,
,,,Other,3950,4150,4050,
,05/12/2011,20,N-44,3900,3950,3925,
,,,Other,3900,4000,3950,
,07/12/2011,22.5,N-44,3950,4000,3975,
,,,Other,3950,4050,4000,
,08/12/2011,27.5,N-44,4000,4050,4025,
,,,Other,4050,4100,4075,
,09/12/2011,30,N-44,3900,3950,3925,
,,,Other,3900,4000,3940,
,10/12/2011,25,N-44,3900,3925,3913,
,,,Other,3900,3950,3925,
,12/12/2011,20,N-44,3800,3850,3825,
,,,Other,3800,3900,3850,
,13/12/2011,20,N-44,3700,3750,3725,
,,,Other,3700,3800,3750,
,15/12/2011,22.5,N-44,3700,3800,3750,
,,,Other,3700,3750,3725,
