Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Arvi,28/06/2011,5,Other,2600,3100,2800,
Bhokar,01/06/2011,71.5,Other,2900,3000,3000,
,02/06/2011,111.7,Other,2950,3000,3000,
,03/06/2011,24.5,Other,2850,2900,2900,
,04/06/2011,30.6,Other,2700,2900,2900,
,05/06/2011,38.5,Other,2800,2900,2900,
,06/06/2011,30.5,Other,2800,3000,3000,
,10/06/2011,26.4,Other,2500,2800,2800,
,11/06/2011,32.2,Other,2800,3000,3000,
,12/06/2011,24.5,Other,2800,3000,3000,
,13/06/2011,69.6,Other,2800,3100,3100,
,14/06/2011,69.5,Other,2800,3100,3100,
,15/06/2011,56.9,Other,3000,3100,3100,
,20/06/2011,8.3,Other,2900,3000,3000,
,21/06/2011,8,Other,2900,3000,3000,
Buldhana(Dhad),12/06/2011,105.2,Other,3500,4819,4159,
Gevrai,02/06/2011,612.2,Other,2900,3100,3000,
,03/06/2011,184.8,Other,2800,3025,2950,
,06/06/2011,264.6,Other,2850,3000,2900,
,07/06/2011,146.5,Other,2800,3025,2900,
,09/06/2011,335.7,Other,2700,3000,2850,
,10/06/2011,86.7,Other,2850,3000,2900,
,11/06/2011,100,Other,2800,2900,2850,
,13/06/2011,209.6,Other,2850,3000,2900,
,14/06/2011,120,Other,2900,3000,2950,
,15/06/2011,217.7,Other,2750,3000,2800,
,16/06/2011,142.2,Other,2850,3000,2950,
,17/06/2011,180.4,Other,2750,3000,2800,
,18/06/2011,232.8,Other,2700,3000,2800,
,20/06/2011,256.4,Other,2800,3000,2900,
,21/06/2011,123.5,Other,2800,3000,2900,
,22/06/2011,128.9,Other,2600,3000,2967,
,23/06/2011,70,Other,2700,3000,2860,
,24/06/2011,176.5,Other,2850,3000,2900,
,25/06/2011,41,Other,2900,2950,2950,
,27/06/2011,54.1,Other,2800,3000,2900,
Ghansawangi,08/06/2011,1.6,Other,2500,2700,2600,
,15/06/2011,3.7,Other,2800,2900,2850,
,22/06/2011,2,Other,2400,2900,2500,
Hinganghat,04/06/2011,12.5,Other,3000,4100,3550,
,06/06/2011,300,Other,2800,3600,3200,
,07/06/2011,180,Other,2500,3560,3030,
,08/06/2011,140,Other,2500,3260,2880,
,09/06/2011,25,Other,2700,3450,3075,
,13/06/2011,150,Other,2800,3500,3150,
,14/06/2011,150,Other,2800,3800,3300,
,15/06/2011,120,Other,3000,3615,3307,
,16/06/2011,150,Other,2800,3450,3125,
,17/06/2011,200,LRA,2700,3500,3100,
,18/06/2011,150,LRA,2700,3150,2925,
Jamkhed,01/06/2011,4.8,Other,3200,3300,3250,
,03/06/2011,14.1,Other,3300,3400,3350,
,04/06/2011,10.1,Other,3000,3200,3100,
,06/06/2011,4.8,Other,3000,3200,3100,
,07/06/2011,8.8,Other,2900,3000,2950,
,10/06/2011,10.6,Other,2900,3000,2950,
,12/06/2011,8.8,Other,2900,3000,2950,
