Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Akot,02/05/2012,60,H-4(A) 27mm FIne,3635,4090,3976,
,03/05/2012,50,H-4(A) 27mm FIne,3625,4105,3985,
,04/05/2012,37.5,H-4(A) 27mm FIne,3700,4175,4056,
,05/05/2012,45,H-4(A) 27mm FIne,3750,4295,4158,
,07/05/2012,70,H-4(A) 27mm FIne,3750,4310,4170,
,08/05/2012,75,H-4(A) 27mm FIne,3645,4235,4087,
,09/05/2012,57.5,H-4(A) 27mm FIne,3600,4245,4083,
,10/05/2012,35,H-4(A) 27mm FIne,3600,4220,4065,
,12/05/2012,40,H-4(A) 27mm FIne,3550,4025,3975,
,15/05/2012,39,H-4(A) 27mm FIne,3430,3960,3827,
,16/05/2012,34.5,H-4(A) 27mm FIne,3605,4100,3976,
,17/05/2012,39,H-4(A) 27mm FIne,3500,4025,3893,
,,,Other,4530,4700,4657,
,19/05/2012,160,H-4(A) 27mm FIne,3600,4000,3900,
,21/05/2012,29,H-4(A) 27mm FIne,3600,3900,3825,
,22/05/2012,39.5,H-4(A) 27mm FIne,3500,3855,3766,
Amarawati,02/05/2012,25,Other,3600,3800,3700,
,03/05/2012,20,Other,3600,3800,3700,
,04/05/2012,25,Other,3400,3800,3600,
,05/05/2012,15,Other,3500,4000,3750,
,07/05/2012,20,Other,3900,4150,4025,
,08/05/2012,20,Other,3800,4100,3950,
,09/05/2012,25,Other,3800,4050,3925,
,10/05/2012,8.7,Other,3800,4100,3950,
,11/05/2012,15,Other,3600,4100,3850,
,12/05/2012,7.5,Other,3600,3900,3750,
,14/05/2012,25,Other,3600,4000,3800,
,15/05/2012,20,Other,3600,3900,3750,
,16/05/2012,20,Other,3600,4000,3800,
,17/05/2012,30,Other,3600,4000,3800,
,18/05/2012,35,Other,3600,4000,3800,
,19/05/2012,30,Other,3600,3950,3775,
,21/05/2012,15,Other,3600,3900,3750,
,22/05/2012,20,Other,3600,3900,3750,
,23/05/2012,15,Other,3600,3800,3700,
Anajngaon,02/05/2012,5,Other,3900,4000,3950,
,04/05/2012,5,Other,3900,4000,3950,
,05/05/2012,6,Other,3900,4000,3950,
,07/05/2012,6,Other,3900,4000,3950,
,08/05/2012,5,Other,3900,4000,3950,
,09/05/2012,6,Other,3900,4000,3950,
,11/05/2012,5,Other,3900,4000,3950,
,12/05/2012,5.5,Other,3900,4000,3950,
,13/05/2012,5,Other,3900,4000,3950,
,14/05/2012,4.5,Other,3900,4000,3950,
,15/05/2012,5,Other,3900,4000,3950,
,16/05/2012,4.5,Other,3900,4000,3950,
,18/05/2012,5,Other,3900,4000,3950,
,19/05/2012,6,Other,3900,4000,3950,
,20/05/2012,6,Other,3900,4000,3900,
,21/05/2012,5,Other,3900,4000,3950,
,22/05/2012,2.5,Other,3900,4000,3900,
,28/05/2012,4.5,Other,3800,3900,3850,
,29/05/2012,4.5,Other,3800,3900,3850,
,30/05/2012,4,Other,3800,3900,3850,
Arvi,01/05/2012,25,Other,3700,3950,3800,
,02/05/2012,20,Other,3700,3900,3800,
,04/05/2012,15.5,Other,3700,3950,3800,
,06/05/2012,6,Other,3800,4100,3900,
,07/05/2012,20,Other,3800,4000,3900,
,08/05/2012,30,Other,3800,4100,3900,
,09/05/2012,25.5,Other,3900,4070,4000,
,10/05/2012,16,Other,3700,3900,3800,
,11/05/2012,27.5,Other,3700,3900,3800,
,13/05/2012,16.5,Other,3900,4000,3950,
,15/05/2012,16,Other,3800,3900,3850,
,16/05/2012,26.2,Other,3900,4000,3950,
,17/05/2012,23,Other,3800,3900,3850,
,18/05/2012,31.7,Other,3900,4000,3950,
,20/05/2012,25,Other,3700,4000,3800,
,25/05/2012,7,Other,3700,3800,3750,
,27/05/2012,0.3,Other,3750,3800,3770,
,28/05/2012,6,Other,3700,3800,3750,
,29/05/2012,16.9,Other,3750,3800,3770,
,30/05/2012,12.9,Other,3700,3800,3750,
,31/05/2012,10,Other,3750,3800,3770,
Bhokar,08/05/2012,146.1,Other,3000,4000,3600,
,09/05/2012,140.1,Other,3000,4000,3600,
,10/05/2012,119.4,Other,3000,4000,3600,
,11/05/2012,108.3,Other,3000,3950,3500,
,12/05/2012,35,Other,3000,3800,3400,
,13/05/2012,43.6,Other,3000,3600,3200,
,14/05/2012,136.7,Other,3000,3700,3200,
,15/05/2012,136.6,Other,3000,3650,3450,
,16/05/2012,103.8,Other,3000,3750,3200,
,17/05/2012,68.5,Other,3000,3700,3200,
,18/05/2012,95.1,Other,3000,3750,3200,
,19/05/2012,61.8,Other,3000,3700,3200,
,20/05/2012,26.9,Other,3000,3700,3400,
,21/05/2012,172.8,Other,3000,3700,3400,
,22/05/2012,177.3,Other,3000,3650,3400,
,23/05/2012,194.3,Other,3000,3500,3300,
,24/05/2012,122.8,Other,3000,3450,3450,
,25/05/2012,131.3,Other,3000,3450,3400,
,26/05/2012,131.1,Other,3000,3450,3000,
,27/05/2012,68,Other,3000,3400,3000,
,28/05/2012,130,Other,3000,3500,3000,
,29/05/2012,21.9,Other,3000,3650,3250,
,30/05/2012,67.5,Other,3000,3500,3000,
,31/05/2012,45.8,Other,3000,3500,3000,
Darwha,08/05/2012,2.8,Other,3500,3700,3600,
,09/05/2012,3.5,Other,3500,3700,3600,
,10/05/2012,3.5,Other,3500,3700,3600,
Daryapur,17/05/2012,25.5,LRA,3900,3900,3900,
Deoulgaon Raja,02/05/2012,15,Other,3555,3985,3820,
,03/05/2012,17.5,Other,3415,4050,3850,
,04/05/2012,12.5,Other,3305,4205,4145,
,05/05/2012,10,Other,3700,4200,4000,
,07/05/2012,27.5,Other,3350,4135,4065,
,08/05/2012,35,Other,3510,4060,4000,
,09/05/2012,80.2,Other,3650,3950,3825,
,10/05/2012,121,Other,3400,3936,3800,
,11/05/2012,33.1,Other,3680,3900,3795,
,12/05/2012,20,Other,3200,3850,3200,
,14/05/2012,39.9,Other,3390,3890,3815,
,15/05/2012,54.6,Other,3750,3905,3800,
,16/05/2012,73,Other,3300,3975,3885,
,17/05/2012,56,Other,3400,3950,3765,
,18/05/2012,96.8,Other,3400,3850,3755,
,19/05/2012,112.6,Other,3600,3770,3700,
,21/05/2012,98.4,Other,3385,3655,3500,
,22/05/2012,64.9,Other,3300,3690,3565,
,23/05/2012,56.2,Other,3430,3555,3525,
,24/05/2012,43.1,Other,3050,3480,3415,
,25/05/2012,45.4,Other,3380,3530,3460,
Dhamngaon-Railway,02/05/2012,40,LRA,3800,4051,3900,
,03/05/2012,70,LRA,3900,4100,4000,
,04/05/2012,60,LRA,3700,4100,3900,
,05/05/2012,65,LRA,3900,4100,4070,
,07/05/2012,95,LRA,3900,4200,4100,
,08/05/2012,80,LRA,3950,4125,4070,
,09/05/2012,110,LRA,3600,4125,3950,
,10/05/2012,120,LRA,3850,4100,3900,
,11/05/2012,110,LRA,3700,4000,3850,
,12/05/2012,80,LRA,3700,3950,3800,
,14/05/2012,99,LRA,3700,4000,3850,
,15/05/2012,134,LRA,3700,3950,3800,
,16/05/2012,110,LRA,3700,4000,3800,
,17/05/2012,90.2,LRA,3700,3950,3800,
,30/05/2012,58,LRA,3400,3760,3650,
Gangakhed,02/05/2012,50,N-44,3420,3500,3490,
,03/05/2012,20,N-44,3450,3500,3480,
,04/05/2012,30,N-44,3300,3450,3400,
,05/05/2012,40,N-44,3500,3600,3550,
,07/05/2012,15,N-44,3500,3650,3600,
,08/05/2012,15,N-44,3500,3650,3600,
,09/05/2012,16,N-44,3400,3600,3500,
,21/05/2012,90,N-44,3450,3600,3500,
,22/05/2012,60,N-44,3300,3500,3400,
,23/05/2012,40,N-44,3400,3700,3500,
,24/05/2012,20,N-44,3400,3600,3500,
Gevrai,01/05/2012,322.1,Other,3300,3500,3400,
,03/05/2012,64.1,Other,3300,3500,3350,
,04/05/2012,193.3,Other,3300,3600,3400,
,07/05/2012,201.1,Other,3300,3600,3400,
,10/05/2012,253.8,Other,3400,3800,3700,
,12/05/2012,350.8,Other,3400,3700,3650,
,14/05/2012,484.2,Other,3400,3700,3600,
,15/05/2012,205.7,Other,3300,3650,3500,
,16/05/2012,140.8,Other,3300,3650,3500,
,18/05/2012,266.9,Other,3300,3600,3500,
,19/05/2012,281.4,Other,3400,3600,3500,
,21/05/2012,738.2,Other,3300,3500,3400,
,22/05/2012,340.9,Other,3300,3550,3400,
,23/05/2012,271.2,Other,3300,3500,3400,
,24/05/2012,181.5,Other,3250,3500,3350,
,25/05/2012,170.5,Other,3300,3500,3400,
Ghansawangi,02/05/2012,30.1,Other,3200,3350,3300,
,09/05/2012,13.6,Other,3300,3450,3400,
,16/05/2012,10.6,Other,3100,3300,3200,
,23/05/2012,5.8,Other,3300,3500,3400,
,30/05/2012,3.1,Other,3300,3450,3400,
Hinganghat,02/05/2012,120,Other,3800,4215,4007,
,03/05/2012,120,LRA,3800,4330,4065,
,04/05/2012,200,LRA,3800,4325,4063,
,07/05/2012,150,Other,3900,4385,4142,
,08/05/2012,300,Other,4000,4350,4175,
,09/05/2012,300,Other,4000,4350,4175,
,10/05/2012,250,Other,3950,4235,4092,
,14/05/2012,200,Other,3800,4120,3960,
,23/05/2012,150,Other,3500,3950,3725,
,25/05/2012,150,Other,3400,3950,3675,
,28/05/2012,150,Other,3500,3975,3737,
Jalana,02/05/2012,18,Other,3225,3801,3710,
,04/05/2012,4,Other,3456,3815,3641,
,05/05/2012,13.5,Other,3650,3900,3800,
,07/05/2012,20,Other,3552,4100,3960,
,09/05/2012,3.5,Other,3201,3600,3299,
,11/05/2012,2,Other,3900,3900,3900,
,14/05/2012,13.5,Other,3565,3700,3565,
,15/05/2012,17,Other,3635,3800,3681,
,16/05/2012,9,Other,3156,3695,3651,
,17/05/2012,1,Other,3561,3561,3561,
,18/05/2012,3.3,Other,3203,3618,3203,
,22/05/2012,10,Other,3600,3670,3632,
,24/05/2012,15.5,Other,3000,3600,3493,
Jamkhed,01/05/2012,5.7,Other,3500,3500,3500,
,02/05/2012,14.4,Other,3600,3600,3600,
,04/05/2012,10.5,Other,3600,3600,3600,
,06/05/2012,5,Other,3600,3600,3600,
,07/05/2012,13.3,Other,3600,3600,3600,
,08/05/2012,4.5,Other,4000,4000,4000,
,09/05/2012,15.1,Other,3700,3700,3700,
,12/05/2012,4,Other,3700,3700,3700,
,13/05/2012,17.2,Other,3700,3700,3700,
,14/05/2012,19.7,Other,3700,3700,3700,
,16/05/2012,12.1,Other,3700,3700,3700,
,17/05/2012,11.1,Other,3600,3600,3600,
,18/05/2012,2.7,Other,3600,3600,3600,
,20/05/2012,9.7,Other,3600,3600,3600,
,21/05/2012,8.3,Other,3600,3600,3600,
,22/05/2012,11.4,Other,3500,3500,3500,
,24/05/2012,4.4,Other,3400,3400,3400,
,25/05/2012,4.4,Other,3400,3400,3400,
,26/05/2012,4.4,Other,3400,3400,3400,
,29/05/2012,1.5,Other,3300,3300,3300,
,30/05/2012,3,Other,3300,3300,3300,
Jamner,02/05/2012,36.5,Other,3650,3750,3700,
,03/05/2012,47.1,Other,3700,3800,3750,
,07/05/2012,26,Other,3740,3900,3860,
,08/05/2012,22.5,Other,3830,3925,3875,
,09/05/2012,24,Other,1138,1157,1145,
,10/05/2012,20.5,Other,3800,3940,3900,
,11/05/2012,23,Other,3840,3900,3860,
,12/05/2012,26.2,Other,3800,3850,3825,
,14/05/2012,24.5,Other,3760,3800,3775,
,15/05/2012,32,Other,3740,3780,3760,
,16/05/2012,21,Other,3720,3760,3740,
,17/05/2012,8.2,Other,3725,3770,3750,
,18/05/2012,43.5,Other,3700,3850,3750,
,19/05/2012,62.7,Other,3740,3800,3780,
,21/05/2012,46,Other,3750,3850,3800,
,22/05/2012,34,Other,3830,3870,3840,
,23/05/2012,27.5,Other,3760,3820,3780,
,24/05/2012,56.6,Other,3725,3800,3750,
,25/05/2012,40,Other,3700,3740,3720,
,26/05/2012,43,Other,3640,3725,3670,
,28/05/2012,43,Other,3640,3725,3670,
