Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Chandrapur,13/07/2013,2,Other,3750,3825,3800,
Hingoli,01/07/2013,6.3,Other,1125,1202,1164,
,27/07/2013,15.5,Other,2635,2865,2750,
Katol,08/07/2013,10,Other,5000,6000,5500,
Kopargaon,05/07/2013,4.8,Other,1520,1951,1640,
,11/07/2013,7.7,Other,1650,1875,1750,
Nagpur(Mahatma Phule Market),19/07/2013,20, ,NR,NR,NR,
Parbhani,02/07/2013,800,Other,3840,3980,3950,
Sindi,10/07/2013,4,Other,3500,3700,3600,
Varud,01/07/2013,6.4,Other,5000,5100,5050,
