Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aheri,04/02/2016,12,Desi,4200,4200,4200,
,05/02/2016,12,Desi,4200,4200,4200,
,20/02/2016,18,Desi,4100,4100,4100,
Akhadabalapur,01/02/2016,7,Desi,4500,4600,4550,
,04/02/2016,5,Desi,4400,4500,4450,
,05/02/2016,4,Desi,4400,4500,4450,
,10/02/2016,7,Desi,4400,4600,4500,
,12/02/2016,7,Desi,4400,4600,4500,
,15/02/2016,11,Desi,4400,4600,4500,
,17/02/2016,4,Desi,4300,4500,4400,
,24/02/2016,4,Desi,4400,4600,4500,
Akot,01/02/2016,240,H-4(A) 27mm FIne,4650,4750,4700,
,02/02/2016,240,H-4(A) 27mm FIne,4650,4740,4695,
,03/02/2016,250,H-4(A) 27mm FIne,4650,4740,4695,
,04/02/2016,300,H-4(A) 27mm FIne,4650,4725,4688,
,08/02/2016,290,H-4(A) 27mm FIne,4580,4690,4635,
,09/02/2016,230,H-4(A) 27mm FIne,4580,4680,4630,
,10/02/2016,150,H-4(A) 27mm FIne,4500,4605,4553,
,11/02/2016,150,H-4(A) 27mm FIne,4505,4610,4558,
,13/02/2016,111,H-4(A) 27mm FIne,4500,4660,4580,
,15/02/2016,168,H-4(A) 27mm FIne,4600,4720,4660,
,16/02/2016,203,H-4(A) 27mm FIne,4600,4725,4663,
,17/02/2016,143,H-4(A) 27mm FIne,4600,4730,4665,
,18/02/2016,150,H-4(A) 27mm FIne,4600,4770,4685,
,20/02/2016,254,H-4(A) 27mm FIne,4600,4735,4668,
,22/02/2016,260,H-4(A) 27mm FIne,4600,4730,4665,
,23/02/2016,228,H-4(A) 27mm FIne,4600,4720,4660,
,24/02/2016,277,H-4(A) 27mm FIne,4550,4675,4613,
,25/02/2016,250,H-4(A) 27mm FIne,4580,4735,4658,
,27/02/2016,210,H-4(A) 27mm FIne,4600,4715,4658,
,29/02/2016,167,H-4(A) 27mm FIne,4630,4725,4678,
Amarawati,01/02/2016,163,Other,4600,4625,4612,
,04/02/2016,165,Other,4625,4650,4635,
,05/02/2016,199,Other,4575,4600,4587,
,06/02/2016,245,Other,4500,4600,4550,
,08/02/2016,146,Other,4500,4550,4525,
,09/02/2016,191,Other,4450,4500,4475,
,10/02/2016,92,Other,4450,4475,4460,
,11/02/2016,183,Other,4500,4550,4525,
,13/02/2016,84,Other,4400,4450,4425,
,16/02/2016,78,Other,4400,4550,4475,
,17/02/2016,339,Other,4450,4550,4500,
,18/02/2016,160,Other,4400,4550,4475,
,22/02/2016,60,Other,4400,4550,4475,
,24/02/2016,48,Other,4400,4500,4450,
,27/02/2016,19,Other,4400,4500,4450,
,29/02/2016,48,Other,4400,4500,4450,
Arvi,01/02/2016,605,H-4(A) 27mm FIne,4550,4600,4570,
,02/02/2016,710,H-4(A) 27mm FIne,4575,4625,4600,
,03/02/2016,761,H-4(A) 27mm FIne,4550,4600,4570,
,04/02/2016,813,H-4(A) 27mm FIne,4575,4600,4585,
,05/02/2016,670,H-4(A) 27mm FIne,4450,4500,4475,
,06/02/2016,430,H-4(A) 27mm FIne,4450,4500,4470,
,07/02/2016,245,H-4(A) 27mm FIne,4450,4500,4480,
,08/02/2016,426,H-4(A) 27mm FIne,4450,4500,4470,
,09/02/2016,530,H-4(A) 27mm FIne,4450,4500,4470,
,10/02/2016,560,H-4(A) 27mm FIne,4450,4500,4470,
,11/02/2016,528,H-4(A) 27mm FIne,4450,4500,4477,
,12/02/2016,560,H-4(A) 27mm FIne,4450,4500,4475,
,13/02/2016,420,H-4(A) 27mm FIne,4450,4500,4470,
,14/02/2016,310,H-4(A) 27mm FIne,4450,4500,4475,
,15/02/2016,446,H-4(A) 27mm FIne,4450,4500,4475,
,16/02/2016,459,H-4(A) 27mm FIne,4450,4500,4475,
,17/02/2016,527,H-4(A) 27mm FIne,4450,4600,4570,
,18/02/2016,606,H-4(A) 27mm FIne,4550,4600,4570,
,19/02/2016,756,H-4(A) 27mm FIne,4570,4600,4585,
,20/02/2016,648,H-4(A) 27mm FIne,4550,4600,4570,
,21/02/2016,384,H-4(A) 27mm FIne,4550,4600,4570,
,22/02/2016,560,H-4(A) 27mm FIne,4550,4600,4570,
,23/02/2016,558,H-4(A) 27mm FIne,4450,4500,4470,
,24/02/2016,465,H-4(A) 27mm FIne,4450,4500,4470,
,25/02/2016,389,H-4(A) 27mm FIne,4450,4500,4470,
,26/02/2016,390,H-4(A) 27mm FIne,4450,4500,4470,
,27/02/2016,424,H-4(A) 27mm FIne,4500,4550,4530,
,28/02/2016,252,H-4(A) 27mm FIne,4500,4550,4530,
,29/02/2016,370,H-4(A) 27mm FIne,4550,4600,4570,
Ashti,01/02/2016,63,Other,4530,4550,4540,
,02/02/2016,58,Other,4530,4550,4540,
,03/02/2016,35,Other,4540,4550,4545,
,04/02/2016,43,Other,4540,4550,4545,
,05/02/2016,38,Other,4430,4450,4440,
,06/02/2016,45,Other,4440,4460,4450,
,07/02/2016,55,Other,4530,4550,4540,
,08/02/2016,48,Other,4530,4550,4540,
,10/02/2016,38,Other,4400,4420,4410,
,11/02/2016,40,Other,4400,4410,4405,
,12/02/2016,55,Other,4400,4420,4410,
,13/02/2016,60,Other,4400,4420,4410,
,14/02/2016,40,Other,4400,4420,4410,
,15/02/2016,28,Other,4400,4420,4410,
,16/02/2016,35,Other,4400,4420,4410,
,18/02/2016,45,Other,4530,4550,4545,
,19/02/2016,48,Other,4540,4560,4550,
,20/02/2016,35,Other,4550,4570,4560,
,21/02/2016,48,Other,4550,4590,4570,
,22/02/2016,35,Other,4450,4470,4460,
,23/02/2016,48,Other,4450,4470,4460,
,24/02/2016,45,Other,4440,4470,4450,
,25/02/2016,45,Other,4450,4475,4460,
,26/02/2016,45,Other,4460,4490,4480,
,27/02/2016,55,Other,4490,4520,4500,
,28/02/2016,42,Other,4540,4560,4550,
,29/02/2016,45,Other,4540,4560,4550,
Barshi Takli,01/02/2016,30,Other,4300,4600,4400,
,02/02/2016,43,Other,4300,4600,4400,
,03/02/2016,30,Other,4100,4600,4450,
,04/02/2016,28,Other,4300,4600,4400,
,05/02/2016,20,Other,4300,4600,4400,
,06/02/2016,30,Other,4100,4400,4250,
,08/02/2016,20,Other,4100,4400,4250,
,09/02/2016,20,Other,4100,4500,4250,
,10/02/2016,25,Other,4100,4500,4250,
,11/02/2016,23,Other,4100,4450,4300,
Bhiwapur,03/02/2016,25,Other,4400,4550,4475,
,04/02/2016,32,Other,4500,4555,4525,
,07/02/2016,46,Other,4300,4420,4400,
,10/02/2016,27,Other,4300,4390,4350,
,11/02/2016,36,Other,4300,4365,4325,
,17/02/2016,35,Other,4300,4490,4400,
,18/02/2016,43,Varalaxmi,4400,4500,4450,
,21/02/2016,40,Varalaxmi,4400,4530,4475,
,24/02/2016,43,Other,4400,4490,4450,
,25/02/2016,34,Other,4400,4505,4450,
,28/02/2016,30,Other,4500,4575,4525,
Bhokar,01/02/2016,196,Other,4100,4525,4200,
,02/02/2016,150,Other,4100,4525,4200,
,03/02/2016,230,Other,4100,4525,4200,
,26/02/2016,157,Other,4100,4425,4200,
,27/02/2016,102,Other,4100,4450,4200,
,28/02/2016,85,Other,4100,4450,4200,
Bhokardan,01/02/2016,33,Other,4200,4400,4300,
,02/02/2016,31,Other,4200,4350,4300,
,03/02/2016,31,Other,4200,4400,4300,
,04/02/2016,32,Other,4170,4380,4300,
,05/02/2016,27,Other,4200,4400,4300,
,08/02/2016,35,Other,4150,4300,4200,
,09/02/2016,30,Other,4155,4250,4200,
,10/02/2016,25,Other,4150,4300,4200,
,11/02/2016,26,Other,4140,4300,4200,
,12/02/2016,29,Other,4150,4250,4200,
,15/02/2016,31,Other,4100,4250,4200,
,16/02/2016,34,Other,4150,4250,4225,
,17/02/2016,36,Other,4155,4260,4200,
,18/02/2016,27,Other,4100,4250,4200,
,19/02/2016,32,Other,4150,4275,4250,
,24/02/2016,21,Other,4150,4280,4200,
,25/02/2016,26,Other,4150,4300,4200,
,26/02/2016,17,Other,4155,4280,4200,
Chandrapur,08/02/2016,47,Other,4200,4450,4350,
,09/02/2016,39,Other,4200,4400,4300,
,10/02/2016,40,Other,4150,4400,4300,
,11/02/2016,34,Other,4200,4400,4300,
,12/02/2016,30,Other,4275,4420,4350,
,16/02/2016,70,Other,4400,4520,4450,
,17/02/2016,46,Other,4100,4530,4350,
,18/02/2016,51,Other,4100,4530,4350,
,19/02/2016,80,Other,4400,4535,4500,
Chimur,01/02/2016,40,H-4(A) 27mm FIne,4300,4550,4400,
,02/02/2016,34,H-4(A) 27mm FIne,4200,4550,4400,
,03/02/2016,28,H-4(A) 27mm FIne,4300,4550,4400,
,04/02/2016,35,H-4(A) 27mm FIne,4200,4560,4400,
,05/02/2016,27,H-4(A) 27mm FIne,4300,4510,4400,
,06/02/2016,23,H-4(A) 27mm FIne,4200,4510,4410,
,07/02/2016,7,H-4(A) 27mm FIne,4200,4500,4400,
,08/02/2016,21,H-4(A) 27mm FIne,4200,4500,4400,
,10/02/2016,20,H-4(A) 27mm FIne,4200,4430,4330,
,11/02/2016,23,H-4(A) 27mm FIne,4300,4430,4330,
,12/02/2016,28,H-4(A) 27mm FIne,4300,4450,4350,
,13/02/2016,18,H-4(A) 27mm FIne,4300,4450,4350,
,14/02/2016,4,H-4(A) 27mm FIne,4300,4550,4430,
,15/02/2016,25,H-4(A) 27mm FIne,4300,4430,4330,
,16/02/2016,24,H-4(A) 27mm FIne,4330,4530,4430,
,17/02/2016,19,H-4(A) 27mm FIne,4300,4550,4420,
,18/02/2016,24,H-4(A) 27mm FIne,4300,4550,4450,
,19/02/2016,18,H-4(A) 27mm FIne,4300,4600,4500,
,20/02/2016,22,H-4(A) 27mm FIne,4400,4600,4500,
,21/02/2016,13,H-4(A) 27mm FIne,4400,4600,4500,
,22/02/2016,23,H-4(A) 27mm FIne,4300,4570,4470,
,23/02/2016,16,H-4(A) 27mm FIne,4300,4550,4450,
,24/02/2016,18,H-4(A) 27mm FIne,4350,4550,4450,
,25/02/2016,17,H-4(A) 27mm FIne,4350,4550,4450,
,26/02/2016,21,H-4(A) 27mm FIne,4350,4550,4450,
,27/02/2016,17,H-4(A) 27mm FIne,4300,4500,4400,
,28/02/2016,7,H-4(A) 27mm FIne,4300,4510,4410,
,29/02/2016,21,H-4(A) 27mm FIne,4300,4510,4410,
Deoulgaon Raja,01/02/2016,100,Desi,4200,4755,4500,
,02/02/2016,100,Desi,4200,4670,4400,
,04/02/2016,120,Desi,4200,4690,4400,
,05/02/2016,100,Desi,4200,4650,4400,
,06/02/2016,100,Desi,4200,4650,4400,
,07/02/2016,30,Desi,4200,4675,4450,
,08/02/2016,100,Desi,4200,4635,4400,
,09/02/2016,100,Desi,4100,4550,4300,
,10/02/2016,100,Desi,4100,4550,4400,
,11/02/2016,100,Desi,4100,4495,4300,
,12/02/2016,100,Desi,4100,4475,4300,
,14/02/2016,20,Desi,4200,4450,4300,
,16/02/2016,50,Desi,4200,4595,4300,
,18/02/2016,50,Desi,4100,4640,4300,
,19/02/2016,50,Desi,4200,4600,4300,
,20/02/2016,50,Desi,4100,4635,4300,
,21/02/2016,20,Desi,4100,4600,4200,
,22/02/2016,100,Desi,4100,4550,4300,
,23/02/2016,100,Desi,4100,4580,4300,
,26/02/2016,50,Desi,4100,4550,4300,
,28/02/2016,20,Desi,4100,4550,4200,
,29/02/2016,50,Desi,4200,4600,4300,
Dhamngaon-Railway,01/02/2016,100,LRA,4500,4565,4530,
,02/02/2016,70,LRA,4500,4555,4525,
,03/02/2016,80,LRA,4400,4585,4450,
,04/02/2016,50,LRA,4500,4590,4540,
,05/02/2016,60,LRA,4400,4550,4450,
,09/02/2016,40,LRA,4400,4450,4425,
,10/02/2016,40,LRA,4250,4430,4350,
,11/02/2016,100,LRA,4255,4410,4300,
,12/02/2016,30,LRA,4320,4485,4400,
,15/02/2016,100,LRA,4200,4495,4300,
,17/02/2016,50,LRA,4400,4550,4450,
,18/02/2016,40,LRA,4500,4575,4525,
,20/02/2016,40,LRA,4400,4690,4500,
,23/02/2016,40,LRA,4300,4490,4400,
,24/02/2016,35,LRA,4250,4450,4350,
,29/02/2016,50,LRA,4500,4700,4600,
Dharni,02/02/2016,1,Other,4500,4600,4550,
,04/02/2016,2,Other,4500,4600,4550,
,06/02/2016,1,Other,4500,4600,4550,
,07/02/2016,2,Other,4500,4600,4550,
,17/02/2016,5,Other,4500,4600,4550,
,27/02/2016,2,Other,4500,4600,4550,
,29/02/2016,2,Other,4500,4600,4550,
