Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aheri,12/03/2016,21,Desi,4100,4100,4100,
,31/03/2016,16,Desi,4200,4200,4200,
Akhadabalapur,10/03/2016,5,Desi,4400,4600,4500,
,18/03/2016,13,Desi,4200,4400,4300,
Akot,02/03/2016,220,H-4(A) 27mm FIne,4600,4630,4615,
,03/03/2016,100,H-4(A) 27mm FIne,4500,4660,4580,
,05/03/2016,140,H-4(A) 27mm FIne,4500,4625,4563,
Amarawati,01/03/2016,31,Other,4400,4500,4450,
,02/03/2016,19,Other,4400,4500,4450,
,05/03/2016,21,Other,4400,4500,4450,
,09/03/2016,19,Other,4400,4500,4450,
,10/03/2016,21,Other,4400,4500,4450,
,11/03/2016,17,Other,4400,4500,4450,
,12/03/2016,19,Other,4400,4500,4450,
,15/03/2016,14,Other,4400,4500,4450,
,17/03/2016,15,Other,4400,4500,4450,
,19/03/2016,19,Other,4400,4500,4450,
,21/03/2016,20,Other,4400,4500,4450,
,22/03/2016,17,Other,4400,4500,4450,
Arvi,01/03/2016,431,H-4(A) 27mm FIne,4550,4600,4570,
,02/03/2016,472,H-4(A) 27mm FIne,4550,4600,4570,
,03/03/2016,422,H-4(A) 27mm FIne,4550,4600,4570,
,04/03/2016,370,H-4(A) 27mm FIne,4550,4600,4570,
,05/03/2016,331,H-4(A) 27mm FIne,4550,4600,4570,
,06/03/2016,200,H-4(A) 27mm FIne,4550,4600,4570,
,07/03/2016,148,H-4(A) 27mm FIne,4550,4600,4570,
,08/03/2016,286,H-4(A) 27mm FIne,4550,4600,4570,
,09/03/2016,424,H-4(A) 27mm FIne,4550,4600,4570,
,10/03/2016,551,H-4(A) 27mm FIne,4550,4600,4570,
,11/03/2016,577,H-4(A) 27mm FIne,4550,4600,4570,
,12/03/2016,520,H-4(A) 27mm FIne,4550,4600,4570,
,13/03/2016,321,H-4(A) 27mm FIne,4550,4600,4570,
,14/03/2016,539,H-4(A) 27mm FIne,4550,4600,4570,
,15/03/2016,556,H-4(A) 27mm FIne,4500,4550,4530,
,16/03/2016,426,H-4(A) 27mm FIne,4500,4550,4530,
,17/03/2016,337,H-4(A) 27mm FIne,4450,4500,4470,
,18/03/2016,319,H-4(A) 27mm FIne,4450,4500,4470,
,19/03/2016,280,H-4(A) 27mm FIne,4450,4500,4470,
,20/03/2016,146,H-4(A) 27mm FIne,4450,4500,4470,
,21/03/2016,257,H-4(A) 27mm FIne,4450,4500,4470,
,22/03/2016,210,H-4(A) 27mm FIne,4450,4500,4470,
,23/03/2016,112,H-4(A) 27mm FIne,4450,4500,4470,
,25/03/2016,48,H-4(A) 27mm FIne,4450,4500,4470,
,26/03/2016,110,H-4(A) 27mm FIne,4550,4600,4570,
,27/03/2016,92,H-4(A) 27mm FIne,4550,4600,4570,
,28/03/2016,167,H-4(A) 27mm FIne,4500,4625,4580,
,29/03/2016,231,H-4(A) 27mm FIne,4400,4580,4480,
,30/03/2016,275,H-4(A) 27mm FIne,4600,4625,4615,
,31/03/2016,257,H-4(A) 27mm FIne,4625,4650,4635,
Ashti,01/03/2016,42,Other,4540,4555,4550,
,02/03/2016,40,Other,4520,4540,4530,
,03/03/2016,38,Other,4540,4560,4550,
,04/03/2016,40,Other,4540,4560,4550,
,05/03/2016,60,Other,4470,4500,4490,
,06/03/2016,48,Other,4490,4510,4500,
