Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Aheri,03/01/2017,12,Desi,4500,4500,4500,
,06/01/2017,12,Desi,4500,4600,4550,
,07/01/2017,30,Desi,4600,4600,4600,
,09/01/2017,19,Desi,4700,4800,4750,
,10/01/2017,18,Desi,4600,4600,4600,
,12/01/2017,18,Desi,4800,4800,4800,
,13/01/2017,21,Desi,4800,4800,4800,
,14/01/2017,12,Desi,4800,4800,4800,
,16/01/2017,18,Desi,4800,4800,4800,
,17/01/2017,56,Desi,4800,4800,4800,
,18/01/2017,21,Desi,4800,4800,4800,
,19/01/2017,21,Desi,4800,4800,4800,
,24/01/2017,54,Desi,4800,4800,4800,
,25/01/2017,21,Desi,4800,4800,4800,
,27/01/2017,48,Desi,4800,5200,5000,
,28/01/2017,38,Desi,4800,4800,4800,
,30/01/2017,67,Desi,4800,4800,4800,
,31/01/2017,17,Desi,4800,4800,4800,
Akhadabalapur,02/01/2017,12,Desi,4900,5000,4950,
,05/01/2017,7,Desi,5100,5200,5150,
,07/01/2017,6,Desi,5100,5200,5150,
,09/01/2017,27,Desi,5200,5400,5300,
,11/01/2017,19,Desi,5300,5500,5400,
,13/01/2017,11,Desi,5000,5300,5150,
,16/01/2017,14,Desi,5200,5300,5250,
,17/01/2017,13,Desi,5200,5300,5250,
,23/01/2017,14,Desi,5400,5600,5500,
,28/01/2017,9,Desi,5500,5600,5550,
,30/01/2017,5,Desi,5500,5600,5550,
Akot,02/01/2017,240,H-4(A) 27mm FIne,5525,5675,5600,
,03/01/2017,240,H-4(A) 27mm FIne,5550,5675,5613,
,04/01/2017,300,H-4(A) 27mm FIne,5550,5605,5578,
,05/01/2017,270,H-4(A) 27mm FIne,5505,5670,5588,
,09/01/2017,630,H-4(A) 27mm FIne,5590,5740,5665,
,10/01/2017,300,H-4(A) 27mm FIne,5600,5745,5672,
,12/01/2017,400,H-4(A) 27mm FIne,5690,5835,5763,
