Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abohar,01/04/2010,10,American,NR,3500,NR,
,02/04/2010,20,American,3300,3470,3450,
,06/04/2010,20,American,3365,3415,NR,
Bhucho,01/04/2010,4,American,3120,3280,3240,
,02/04/2010,7,American,2790,3420,3360,
,07/04/2010,0.1,American,2800,3300,3250,
,10/04/2010,2030,American,1100,1100,1100,
Kotkapura,01/04/2010,5,American,2600,3291,3100,
,02/04/2010,5.5,American,3285,3336,NR,
,05/04/2010,3.5,American,3400,3400,NR,
Malout,02/04/2010,5.9,Other,3155,3445,3425,
,03/04/2010,2.5,Other,3400,3400,3400,
,05/04/2010,2.9,Other,3150,3480,3150,
,06/04/2010,1.2,Other,2501,3401,3401,
Maur,06/04/2010,20,R.G.J-34 24mm-Fine,3360,3625,3460,
,08/04/2010,10,R.G.J-34 24mm-Fine,3050,3325,3290,
