Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abohar,04/09/2010,3.3,American,3085,3605,3511,
,,,Desi,3301,3321,NR,
,06/09/2010,42,American,3221,3651,3611,
,,,Desi,3251,3311,NR,
,10/09/2010,53.3,American,3000,3722,3551,
,,,Desi,3351,NR,NR,
,11/09/2010,38.5,American,3131,4005,3855,
,,,Desi,3400,3571,3555,
,13/09/2010,131.3,American,3100,4295,4151,
,,,Desi,3470,3621,3600,
,14/09/2010,90,American,3200,4140,3955,
,15/09/2010,105.5,American,2800,3920,3750,
,,,Desi,3221,3391,3350,
,16/09/2010,107.5,American,2805,3880,3850,
,,,Desi,3385,3405,NR,
,17/09/2010,102.5,American,3050,3925,3850,
,,,Desi,3200,3370,3300,
,18/09/2010,130,American,3000,3985,3830,
,,,Desi,3245,3330,3295,
,20/09/2010,290.5,American,3000,3965,3885,
,,,Desi,3250,3325,3275,
,21/09/2010,220.5,American,3300,4130,4000,
,,,Desi,3300,3375,3355,
,22/09/2010,41,American,3655,4115,4010,
,,,Desi,3435,3451,3440,
,23/09/2010,220,American,3100,4030,3890,
,,,Desi,3170,3400,3360,
,24/09/2010,11, ,NR,NR,NR,
,28/09/2010,240,American,3100,3905,3800,
,,,Desi,3150,3275,3255,
,30/09/2010,368.5,American,3200,3925,3850,
,,,Desi,3210,3315,3275,
Ahmedgarh,01/09/2010,1,American,3255,NR,NR,
,02/09/2010,1,American,2855,NR,NR,
,06/09/2010,1,American,3100,NR,NR,
,09/09/2010,1,American,3395,NR,NR,
,10/09/2010,2,American,3100,3410,NR,
,11/09/2010,3,American,2300,3305,3100,
,13/09/2010,2,American,3155,3410,NR,
,15/09/2010,5,American,3455,3950,3755,
,,,Desi,3595,NR,NR,
,16/09/2010,15,American,3700,3980,3880,
,17/09/2010,15,American,3265,3965,3925,
,,,Desi,3385,3485,NR,
,18/09/2010,14,American,3295,3975,3740,
,20/09/2010,10,American,3300,3975,3750,
,21/09/2010,15,American,3350,3980,3750,
,23/09/2010,1,American,3600,3925,3650,
,24/09/2010,8,American,3755,3940,3830,
,25/09/2010,7,American,3500,3860,3600,
,27/09/2010,25,American,3610,3950,3890,
,28/09/2010,40,American,3300,3970,3795,
,29/09/2010,17,American,3700,3940,3880,
,30/09/2010,20,American,3750,3980,3940,
Bareta,01/09/2010,0.9,American,2900,3190,3160,
,02/09/2010,0.6,American,3000,3350,3070,
,03/09/2010,2,American,3000,3390,3300,
,04/09/2010,2.5,American,3000,3340,3240,
,06/09/2010,2,American,3000,3700,3550,
,07/09/2010,3.5,American,3400,3840,3690,
,08/09/2010,5,American,3360,3880,3670,
,09/09/2010,6,American,3400,4050,3680,
,10/09/2010,6,American,3400,4050,3680,
,11/09/2010,8.5,American,3400,4110,3710,
,13/09/2010,16.3,American,3500,4260,3900,
,15/09/2010,19,American,3600,4300,3900,
,16/09/2010,14.7,American,3500,4080,3700,
,17/09/2010,13,American,3890,4000,3940,
,18/09/2010,27,American,3550,4160,3800,
,21/09/2010,38,American,3600,4390,3970,
,23/09/2010,45,American,3590,4340,3900,
,24/09/2010,49,American,3480,4010,3730,
,25/09/2010,48, ,NR,NR,NR,
,27/09/2010,41.2,American,3400,4100,3600,
,28/09/2010,36,American,3400,4010,3600,
,29/09/2010,33.8,American,3510,4160,3840,
,30/09/2010,30,American,3400,4310,3800,
Bariwala,22/09/2010,61.7,Other,3450,4045,3950,
,24/09/2010,16.8,Other,3340,4040,3950,
,27/09/2010,15,Other,3900,4050,4000,
,29/09/2010,27,Other,3150,3950,3750,
Bhikhi,28/09/2010,35,American,2800,4040,3770,
,29/09/2010,29,American,3300,4100,3910,
,30/09/2010,36,American,2800,4020,3790,
Dhuri,14/09/2010,1.8,American,2900,3670,3280,
,15/09/2010,0.2,American,3100,3280,NR,
,16/09/2010,0.9,American,3280,3680,3450,
,17/09/2010,0.4,American,2900,3450,3280,
,18/09/2010,1.8,American,2780,3430,3310,
,20/09/2010,1.2,American,2280,3480,3200,
,22/09/2010,0.3,American,2700,3800,3500,
,24/09/2010,0.7,American,3000,3900,3510,
,25/09/2010,1.9,American,2740,3710,3530,
,,,Desi,3050,3050,3050,
,26/09/2010,3.6,American,2800,3900,3550,
,28/09/2010,3.9,American,2700,3800,3520,
,,,Desi,NR,3200,NR,
,29/09/2010,2.1,American,2000,3900,3510,
,30/09/2010,2.5,American,2050,4100,3970,
Faridkot,25/09/2010,1,American,2900,3965,3300,
,28/09/2010,70, ,NR,NR,NR,
,29/09/2010,30,American,3000,3900,3560,
,30/09/2010,2, ,NR,NR,NR,
Jaitu,13/09/2010,4,Other,3205,3750,3500,
,14/09/2010,6,Other,2750,3780,3500,
,15/09/2010,7,Other,2700,3400,3145,
,16/09/2010,15,Other,2900,3630,3390,
,17/09/2010,94,Other,2610,3865,3450,
,18/09/2010,9,Other,3100,3800,3450,
,21/09/2010,20,Other,3000,3970,3650,
,23/09/2010,20,Other,2700,4020,3660,
,24/09/2010,22,Other,2350,3880,3570,
,25/09/2010,36,Other,2700,3845,3450,
,27/09/2010,30,Other,2705,3690,3450,
,28/09/2010,35,Other,2600,3850,3465,
,29/09/2010,30,Other,2505,3920,3500,
,30/09/2010,38,Other,2800,3895,3550,
Kotkapura,03/09/2010,1.3,American,3350,3586,3400,
,04/09/2010,1.5,American,3000,3636,3300,
,06/09/2010,0.7,American,3251,3684,3500,
,07/09/2010,1.5,American,2950,3687,3550,
,08/09/2010,1.6,American,3250,3698,3550,
