Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abohar,01/12/2015,456,American,4050,4490,4435,
,02/12/2015,446.5,American,4000,4525,4450,
,03/12/2015,379,American,4200,4480,4425,
,04/12/2015,428,American,4050,4460,4420,
,07/12/2015,587.5,American,4050,4490,4450,
,08/12/2015,425,American,4100,4490,4425,
,09/12/2015,475.8,American,3900,4470,4430,
,10/12/2015,452,American,4000,4480,4445,
,11/12/2015,550.5,American,4150,4415,4365,
,12/12/2015,575,American,4140,4490,4445,
,14/12/2015,575,American,4140,4490,4445,
,15/12/2015,482,American,4250,4500,4475,
,16/12/2015,552,American,4210,4515,4480,
,17/12/2015,565,American,4110,4520,4485,
,18/12/2015,624,American,4350,4555,4475,
,19/12/2015,572,American,4200,4600,4490,
,23/12/2015,600.5,American,4330,4700,4605,
,24/12/2015,411,American,4300,4730,4600,
,25/12/2015,365.5,American,4300,4800,4600,
,26/12/2015,313.5,American,4300,4800,4700,
,28/12/2015,258.5,American,4435,4885,4650,
,29/12/2015,252,American,4220,4830,4800,
,31/12/2015,201,American,4450,4790,4735,
Bareta,01/12/2015,85,American,3940,4460,4350,
,02/12/2015,115.5,American,4110,4450,4370,
,03/12/2015,70,American,3990,4450,4360,
,04/12/2015,70,American,4090,4425,4360,
,10/12/2015,51.5,American,4100,4450,4360,
,11/12/2015,60,American,4000,4440,4370,
,12/12/2015,70,American,3980,4450,4370,
,14/12/2015,85,American,4010,4470,4370,
,15/12/2015,82.8,American,4070,4520,4450,
,16/12/2015,62.5, ,NR,NR,NR,
,17/12/2015,51, ,NR,NR,NR,
,18/12/2015,50, ,NR,NR,NR,
,21/12/2015,83.5,American,4310,4700,4650,
,22/12/2015,50,American,4100,4700,4650,
,23/12/2015,47.5,American,4140,4680,4550,
,24/12/2015,35,American,4100,4710,4600,
,25/12/2015,31,American,4220,4750,4700,
,26/12/2015,47,American,4570,4890,4800,
,29/12/2015,34,American,4450,4860,4770,
,30/12/2015,36,American,4420,4820,4750,
,31/12/2015,30,American,4500,4830,4750,
Barnala,29/12/2015,60,Other,4550,4845,4650,
,30/12/2015,183,Other,4505,4810,4657,
,31/12/2015,148, ,NR,NR,NR,
Bhikhi,01/12/2015,20,Other,4175,4330,4280,
,02/12/2015,30,Other,4100,4295,4250,
,03/12/2015,20,Other,4165,4290,4260,
,04/12/2015,30,Other,4100,4315,4240,
,07/12/2015,30,Other,4170,4300,4250,
,08/12/2015,20,Other,4130,4310,4270,
,09/12/2015,15,Other,4090,4295,4235,
,10/12/2015,15, ,NR,NR,NR,
,11/12/2015,15,Other,4170,4300,4270,
