Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abohar,01/01/2016,221.5,American,4300,4830,4820,
,,,Cotton (Unginned),4650,4765,4705,
,02/01/2016,266,American,4605,4860,4605,
,04/01/2016,245,American,4450,4880,4830,
,05/01/2016,233,American,4450,4870,4825,
,06/01/2016,293.5,American,4485,4835,4780,
,07/01/2016,263,American,4100,4810,4775,
,08/01/2016,229,American,4550,4795,4755,
,09/01/2016,371,American,4575,4835,4675,
,11/01/2016,272.5,American,4545,4745,4700,
,12/01/2016,235,American,4525,4730,4680,
,13/01/2016,187.5,American,4300,4755,4675,
,14/01/2016,82.5,American,4655,4785,4750,
,16/01/2016,260,American,4500,4770,4735,
,18/01/2016,313.5,American,4475,4830,4770,
,19/01/2016,326.5,American,4465,4930,4825,
,20/01/2016,365,American,4710,4885,4815,
,21/01/2016,436,American,4585,4860,4820,
,23/01/2016,333,American,4525,4865,4770,
,25/01/2016,393,American,4410,4845,4785,
,26/01/2016,354.5,American,4350,4815,4775,
,27/01/2016,466,American,4450,4775,4750,
,28/01/2016,332,American,4490,4755,4710,
,29/01/2016,306,American,4100,4765,4745,
,30/01/2016,288,American,4550,4780,4740,
Bareta,01/01/2016,31.5,American,4360,4900,4870,
,02/01/2016,44.5,American,4400,4965,4880,
,04/01/2016,50.5,American,4430,4930,4850,
,05/01/2016,35,American,4450,4850,4750,
,06/01/2016,42.4,American,3670,4800,4700,
,07/01/2016,45,American,4500,4820,4750,
,08/01/2016,38.5,American,4390,4820,4750,
,09/01/2016,9.6,American,4650,4750,4725,
,11/01/2016,33.1,American,4330,4770,4730,
,12/01/2016,35.1,American,4350,4770,4710,
,13/01/2016,35,American,4540,4730,4650,
,14/01/2016,55,American,4100,4680,4500,
,15/01/2016,35,American,4510,4840,4760,
,16/01/2016,52.5,American,4300,4810,4750,
,18/01/2016,47,American,4500,4855,4810,
,19/01/2016,50,American,4420,4840,4760,
,20/01/2016,55,American,4450,4840,4790,
,21/01/2016,38.5,American,4570,4840,4760,
,22/01/2016,40,American,4580,4810,4750,
,23/01/2016,38.5,American,4560,4770,4720,
,25/01/2016,60,American,4340,4740,4640,
,26/01/2016,40,American,4440,4730,4650,
,27/01/2016,39.6,American,4340,4700,4670,
,28/01/2016,50.2,American,4320,4680,4550,
,29/01/2016,47,American,4340,4720,4560,
,30/01/2016,40,American,4345,4700,4500,
Barnala,01/01/2016,37,Other,4200,4775,4556,
,02/01/2016,52,Other,4400,4780,4590,
,04/01/2016,145,Other,4495,4910,4702,
,05/01/2016,74,Other,4725,4895,4810,
,06/01/2016,125,Other,4255,4795,4525,
,07/01/2016,100,Other,4595,4785,4690,
,08/01/2016,60,Other,4300,4785,4542,
,11/01/2016,11.6,Other,4330,4760,4545,
,12/01/2016,1.6,Other,4255,4795,4525,
,16/01/2016,5.7,Other,4595,4700,4647,
,18/01/2016,12.9,Other,4600,4780,4690,
,19/01/2016,11.9,Other,4630,4850,4740,
,20/01/2016,6.9,Other,4605,4900,4702,
,21/01/2016,9.2,Other,4700,4870,4785,
,22/01/2016,11.9,Other,4300,4800,4550,
,25/01/2016,10,Other,4250,4785,4517,
,29/01/2016,5.9,Other,4440,4610,4525,
,30/01/2016,3.2,Other,3700,4575,4137,
Bhikhi,01/01/2016,5.8,Other,4585,4690,4665,
,02/01/2016,5, ,NR,NR,NR,
,04/01/2016,5.5, ,NR,NR,NR,
,05/01/2016,10,Other,4300,4675,4570,
,06/01/2016,7,Other,4480,4640,4550,
,07/01/2016,5,Other,4235,4695,4600,
,08/01/2016,3,Other,4200,4620,4600,
,11/01/2016,9,Other,4000,4520,4450,
,12/01/2016,2,Other,4400,4495,4475,
,18/01/2016,5,Other,4325,4475,4460,
,19/01/2016,7,Other,4450,4595,4575,
,20/01/2016,4,Other,4490,4525,4500,
,22/01/2016,10,Other,4300,4595,4555,
,25/01/2016,15,Other,4405,4625,4595,
,27/01/2016,20,Other,4395,4570,4535,
,28/01/2016,20,Other,4325,4455,4430,
,29/01/2016,10, ,NR,NR,NR,
,30/01/2016,10,Other,4390,4500,4440,
Boha,01/01/2016,1.5,Other,4500,4750,4750,
,04/01/2016,1,Other,4450,4750,4500,
,20/01/2016,4,Other,4700,4715,4700,
Budalada,07/01/2016,20,American,4540,4800,4740,
,08/01/2016,20,American,3800,4780,4690,
,09/01/2016,20,American,4450,4780,4660,
,11/01/2016,30,American,4100,4731,4680,
,12/01/2016,20,American,4100,4660,4560,
,13/01/2016,10,American,4480,4640,4600,
,15/01/2016,10,American,4480,4665,4600,
,16/01/2016,25,American,4400,4800,4670,
,17/01/2016,20,American,4500,4825,4570,
,27/01/2016,50,American,4120,4675,4580,
,28/01/2016,55,American,4200,4630,4590,
Faridkot,04/01/2016,1,American,4750,4805,4785,
,05/01/2016,0.71,American,4745,4765,4745,
,06/01/2016,5,American,4380,4735,4700,
,07/01/2016,2.76,American,4645,4740,4710,
,11/01/2016,2.5,American,4615,4645,4625,
Giddarbaha,01/01/2016,3.5,Other,4200,4765,4695,
,02/01/2016,3,Other,4655,4875,4855,
,04/01/2016,14.5, ,NR,NR,NR,
,05/01/2016,15, ,NR,NR,NR,
,06/01/2016,8,Other,4655,4750,4750,
,07/01/2016,4,Other,4300,4790,4750,
,08/01/2016,150,Other,4201,4735,4725,
,09/01/2016,14,Other,4200,4825,4780,
,11/01/2016,15,Other,4200,4825,4780,
,12/01/2016,20,Other,4200,4725,4680,
,13/01/2016,5.1,Other,4605,4705,4675,
,15/01/2016,1.8,Other,4435,4790,4605,
,16/01/2016,5.5,Other,4635,4825,4800,
,18/01/2016,50,Other,4000,4810,4780,
,19/01/2016,49.7,Other,4300,4860,4820,
,20/01/2016,58.5,Other,4000,4875,4840,
,21/01/2016,50.5, ,NR,NR,NR,
,22/01/2016,47.1,Other,4250,4770,4745,
,23/01/2016,32.5,Other,4125,4758,4725,
,25/01/2016,23,Other,4000,4700,4635,
,26/01/2016,9,Other,4295,4650,4555,
,27/01/2016,16.8,Other,4305,4630,4565,
,28/01/2016,15.6, ,NR,NR,NR,
,29/01/2016,11.4,Other,4170,4565,4500,
,30/01/2016,13.7, ,NR,NR,NR,
Goniana,10/01/2016,35,Other,4200,4755,4750,
,18/01/2016,23.6,Other,4100,4835,4500,
