Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Abohar,03/10/2016,439,American,NR,NR,5300,
,,,Cotton (Unginned),NR,NR,5185,
,04/10/2016,310.7,American,4800,5425,5375,
,,,Cotton (Unginned),4130,4235,4190,
,05/10/2016,410,American,4800,5395,5365,
,,,Cotton (Unginned),3950,4250,4185,
,06/10/2016,442,American,4725,5415,5350,
,,,Cotton (Unginned),3800,4295,4225,
,07/10/2016,520,American,5000,5305,5250,
,,,Cotton (Unginned),4255,4330,4290,
,08/10/2016,431.1,American,4910,5245,5225,
,,,Cotton (Unginned),4100,4185,4160,
,10/10/2016,580,American,4700,5100,5050,
,,,Cotton (Unginned),4045,4200,4150,
,11/10/2016,575,American,4700,5100,5050,
,,,Cotton (Unginned),3900,4085,4040,
,12/10/2016,845,American,4800,4955,4910,
,,,Cotton (Unginned),3965,4120,4070,
,13/10/2016,615,American,4525,4875,4825,
,,,Cotton (Unginned),3995,4105,4045,
,14/10/2016,686,American,4665,4890,4835,
,,,Cotton (Unginned),4025,4115,4050,
,15/10/2016,609.5,American,4705,5020,4835,
,,,Cotton (Unginned),4125,4250,4200,
,17/10/2016,640,American,4920,5060,5000,
,,,Cotton (Unginned),4225,4305,4255,
,18/10/2016,634,American,4900,5065,5015,
,,,Cotton (Unginned),4150,4365,4240,
,19/10/2016,603.5,American,4650,5125,5085,
,,,Cotton (Unginned),4185,4305,4200,
,20/10/2016,705,American,4700,5140,5105,
,,,Cotton (Unginned),4135,4295,4170,
,21/10/2016,740,American,4970,5150,5100,
,,,Cotton (Unginned),3900,4250,4170,
,22/10/2016,845,American,4500,5075,5035,
,,,Cotton (Unginned),4050,4240,4135,
,24/10/2016,808.5,American,4770,4965,4935,
,,,Cotton (Unginned),3905,4205,4080,
,25/10/2016,654,American,4900,5000,4950,
,,,Cotton (Unginned),4025,4225,4160,
,26/10/2016,580,American,4825,5080,5055,
,,,Cotton (Unginned),4045,4205,4090,
,28/10/2016,730,American,4855,5025,4985,
,,,Cotton (Unginned),4045,4205,4090,
,29/10/2016,387,American,4950,5070,5050,
,,,Cotton (Unginned),3800,4115,4070,
Bareta,01/10/2016,43,American,4000,5510,5340,
,03/10/2016,98.5,American,4000,5500,5300,
,04/10/2016,36.5,American,4770,5390,5310,
,06/10/2016,47,American,4000,5400,5120,
,07/10/2016,94.5,American,4100,5280,5160,
,08/10/2016,72.4,American,4730,5180,5000,
,10/10/2016,99.2,American,4350,5100,5050,
,11/10/2016,33.5,American,4400,5130,4960,
,12/10/2016,93.1,American,4300,5050,4980,
,13/10/2016,68.4,American,4520,4890,4800,
,14/10/2016,31.3,American,4800,5000,4900,
,15/10/2016,34,American,4670,5120,4900,
,17/10/2016,58.3,American,4350,5150,5060,
,18/10/2016,14.4,American,4460,5190,5100,
,19/10/2016,52.4, ,NR,NR,NR,
,20/10/2016,20.6,American,4500,5170,4950,
,21/10/2016,50,American,4430,5170,5030,
,22/10/2016,64.4,American,4400,5120,5080,
,24/10/2016,66,American,4420,5010,4970,
,25/10/2016,17.3,American,4500,5020,4920,
,26/10/2016,52.8,American,4890,5090,5000,
,27/10/2016,47.2,American,4670,5160,5030,
,28/10/2016,17.2,American,4870,4990,4900,
,29/10/2016,410,American,4330,5110,4980,
Bariwala,18/10/2016,18.2,Other,4600,5025,4800,
,27/10/2016,1.2,Other,4850,4850,4850,
Barnala,01/10/2016,4.5,Other,4795,5240,5017,
,04/10/2016,6.3,Other,5095,5455,5245,
,05/10/2016,8.2,Other,4590,5295,4942,
,06/10/2016,9.5,Other,4900,5250,5060,
,07/10/2016,8.2,Other,4590,5295,4942,
,10/10/2016,13.5,Other,4500,4955,4727,
,13/10/2016,11.3,Other,4500,4795,4647,
,14/10/2016,7.4,Other,4600,4795,4697,
,18/10/2016,8.1,Other,4540,4875,4707,
,20/10/2016,3.6,Other,4845,5010,4927,
,22/10/2016,6.2,Other,4800,4915,4857,
,24/10/2016,7.1,Other,4350,4645,4497,
,29/10/2016,2.8,Other,4800,4875,4837,
Bhikhi,01/10/2016,4,Other,5100,5300,5205,
,04/10/2016,15,Other,4790,5245,5175,
,05/10/2016,7,Other,4855,5245,5200,
,06/10/2016,6,Other,4200,5135,5110,
,07/10/2016,7.5,Other,4865,5035,5005,
,10/10/2016,15,Other,4300,4955,4905,
,12/10/2016,10,Other,4650,4855,4825,
,13/10/2016,4,Other,4705,4805,4765,
,14/10/2016,5,Other,4100,4900,4865,
,15/10/2016,2.5,Other,4700,4950,4950,
,18/10/2016,5,Other,4900,5020,4980,
,22/10/2016,11.6,Other,4950,5350,5300,
,24/10/2016,12.2,Other,4880,5330,5310,
,25/10/2016,25,Other,4880,5330,4950,
,31/10/2016,15,Other,5320,5350,5330,
Boha,03/10/2016,17.5,Other,5000,5341,5210,
,05/10/2016,10,Other,5200,5380,5340,
,10/10/2016,20,Other,4800,4965,4850,
,12/10/2016,20,Other,4700,4860,4850,
,14/10/2016,12.4,Other,4790,4960,4940,
,15/10/2016,23.1,Other,4790,4960,4950,
,17/10/2016,12,Other,4270,5071,5040,
,19/10/2016,20, ,NR,NR,NR,
,21/10/2016,20,Other,5040,5161,5155,
,22/10/2016,10,Other,5020,5100,5080,
,24/10/2016,30,Other,4930,4970,4940,
,26/10/2016,30,Other,5070,5130,5120,
,28/10/2016,20,Other,5000,5070,5050,
,29/10/2016,10,Other,5150,5210,5190,
,31/10/2016,10,Other,5110,5170,5120,
Budalada,12/10/2016,40,Other,4100,5031,4970,
,14/10/2016,100,Other,4630,4900,4840,
,15/10/2016,75,Other,4250,5130,5050,
,17/10/2016,100,Other,4250,5730,5050,
,18/10/2016,95,Other,4800,5200,5130,
,19/10/2016,85,Other,4100,5180,5130,
,20/10/2016,80,Other,4100,5220,5180,
,21/10/2016,120,Other,4525,5190,5160,
,22/10/2016,90,Other,4825,5210,5160,
,24/10/2016,135,Other,4800,5120,5080,
,26/10/2016,80,Other,4825,5100,5070,
,27/10/2016,50,Other,4825,5130,5110,
,28/10/2016,100,Other,4805,5256,5230,
,29/10/2016,80,Other,4810,5140,5110,
,31/10/2016,80,Other,4900,5210,5170,
Faridkot,04/10/2016,8.7,American,5200,5295,5285,
,06/10/2016,3.5,American,4615,5295,5275,
,12/10/2016,3.5,American,5000,5010,5010,
Giddarbaha,01/10/2016,92.8,Desi,4000,4305,4200,
,,,Other,4500,5430,5385,
,03/10/2016,60.9,Other,4365,5455,5380,
,04/10/2016,78.4,Desi,4000,4450,4350,
,,,Other,4900,5545,5480,
,05/10/2016,70.6,Desi,4220,4300,4250,
,,,Other,4200,5460,5375,
,06/10/2016,64.9,Desi,4280,4400,4400,
,,,Other,4500,5350,5265,
,07/10/2016,65.2,Desi,4250,4305,4265,
,,,Other,4600,5245,5215,
,08/10/2016,56.7,Other,4350,5225,5180,
,10/10/2016,52.9,Desi,4000,4250,4165,
,,,Other,4500,5120,5085,
,12/10/2016,52.7,Other,4300,5015,4980,
,13/10/2016,46.6,Desi,4050,4100,4100,
,,,Other,4400,4880,4845,
,14/10/2016,52.3,Desi,3925,4050,4030,
