Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Anoopgarh,01/10/2010,0.9,American,3673,3685,3679,
,02/10/2010,0.2,American,3701,3701,3701,
,05/10/2010,2.4,Desi,3235,3251,3243,
,06/10/2010,1.3,American,3571,3840,3706,
,,,Desi,3321,3321,3321,
,07/10/2010,1.3,American,3750,3851,3801,
,,,Desi,3311,3311,3311,
,14/10/2010,58.5,American,4215,4297,4256,
,,,Desi,3549,3616,3552,
,15/10/2010,45.5,American,4012,4295,4153,
,16/10/2010,74.9,American,4191,4348,4259,
,,,Desi,3480,3616,3548,
,18/10/2010,7.6,American,4196,4276,4236,
,,,Desi,3546,3546,3546,
,19/10/2010,100.4,American,4100,4271,4186,
,,,Desi,3440,3500,3470,
,20/10/2010,74.6,American,4051,4250,4151,
,,,Desi,3342,3451,3347,
,21/10/2010,101.6,American,3700,4165,3933,
,,,Desi,3291,3347,3319,
,22/10/2010,70,American,3875,4171,3993,
,,,Desi,3151,3350,3250,
,23/10/2010,51,American,3752,4184,3968,
,,,Desi,3200,3325,3263,
,25/10/2010,83.6,American,4100,4322,4211,
,,,Desi,3331,3482,3407,
,26/10/2010,128.1,American,4050,4357,4204,
,,,Desi,3501,3616,3559,
,27/10/2010,85.3,American,4295,4350,4322,
,,,Desi,3569,3631,3600,
,28/10/2010,82,American,4125,4334,4230,
,,,Desi,3380,3587,3484,
,29/10/2010,73.5,American,3800,4311,4056,
,,,Desi,3331,3390,3361,
,30/10/2010,67.6,American,3800,4277,4039,
,,,Desi,2771,3405,3088,
,31/10/2010,74.5,American,3700,4200,3950,
,,,Desi,3241,3401,3321,
Bhadara,17/10/2010,0.7, ,NR,NR,NR,
,19/10/2010,0.2, ,NR,NR,NR,
,21/10/2010,0.5, ,NR,NR,NR,
,22/10/2010,0.7, ,NR,NR,NR,
,23/10/2010,0.8, ,NR,NR,NR,
,25/10/2010,0.2, ,NR,NR,NR,
,26/10/2010,0.2, ,NR,NR,NR,
,27/10/2010,1.1, ,NR,NR,NR,
,29/10/2010,2.7, ,NR,NR,NR,
,30/10/2010,1.3, ,NR,NR,NR,
Bijay Nagar,01/10/2010,2.5,Other,3200,3900,3500,
,04/10/2010,12.3,Other,3000,4151,3575,
,05/10/2010,11,Other,3100,4181,3600,
,06/10/2010,5,Other,3000,4226,3600,
,07/10/2010,6,Other,3400,4221,3800,
,11/10/2010,16,Other,3400,4500,3950,
,12/10/2010,25,Other,4301,5000,4650,
,13/10/2010,24,Other,4500,4905,4700,
,14/10/2010,50,Other,4500,4800,4650,
,16/10/2010,14,Other,4600,4900,4750,
,18/10/2010,35,Other,4386,4865,4630,
,19/10/2010,25,Other,4441,4725,4600,
,20/10/2010,17,Other,4300,4718,4500,
,21/10/2010,30,Other,4270,4571,4400,
,22/10/2010,20,Other,4200,4641,4400,
,25/10/2010,50,Other,4244,4820,4530,
,26/10/2010,60,Other,4521,4922,4720,
,27/10/2010,50,Other,4700,5000,4850,
,28/10/2010,50,Other,4600,4951,4775,
,29/10/2010,55,Other,4400,4750,4575,
Bilara,01/10/2010,2.7,Other,4002,4220,4111,
,02/10/2010,5.5,Other,4161,4250,4205,
,03/10/2010,11.4,Other,3800,4350,4075,
,04/10/2010,6.5,Other,4250,4350,4300,
,05/10/2010,5.9,Other,3625,4559,4092,
,07/10/2010,20.8,Other,3600,4460,4030,
,08/10/2010,2.2,Other,4371,4701,4536,
,09/10/2010,10.3,Other,4300,4600,4450,
,10/10/2010,10.4,Other,4230,4725,4475,
,11/10/2010,30,Other,4730,5025,4827,
,12/10/2010,16.4,Other,4801,5180,4990,
,13/10/2010,23.2, ,NR,NR,NR,
,14/10/2010,38.6,Other,4500,5111,4805,
,15/10/2010,10,Other,4440,4921,4680,
,16/10/2010,59.8,Other,4535,5036,4785,
,17/10/2010,46,Other,4801,5011,4906,
,18/10/2010,81.5,Other,3800,4980,4390,
,19/10/2010,110.3,Other,4700,4950,4825,
,20/10/2010,19.3,Other,4750,4850,4800,
,21/10/2010,150,Other,4500,4840,4670,
,22/10/2010,117.1,Other,4411,4850,4630,
,23/10/2010,127.6,Other,4500,5100,4800,
,24/10/2010,148,Other,4600,5051,4825,
,25/10/2010,181.7,Other,4600,5235,4917,
,26/10/2010,202,Other,4700,5100,4900,
,27/10/2010,15, ,NR,NR,NR,
,28/10/2010,179.3,Other,4700,4900,4800,
,29/10/2010,151.9,Other,4581,4911,4746,
,30/10/2010,133.1,Other,4671,4876,4773,
,31/10/2010,110,Other,4650,4801,4725,
Gajsinghpur,06/10/2010,22,American,3625,3725,3725,
,,,Desi,3200,3261,3261,
,07/10/2010,56,American,3701,3728,3717,
,,,Desi,3200,3323,3301,
,08/10/2010,37,American,3660,3774,3746,
,,,Desi,3141,3290,3286,
,09/10/2010,58,American,3780,3921,3885,
,,,Desi,3211,3286,3255,
,12/10/2010,345,American,3975,4112,4086,
,,,Desi,3299,3555,3500,
,13/10/2010,363,American,4090,4220,4210,
,,,Desi,3210,3570,3560,
,18/10/2010,521,American,4067,4159,4127,
,,,Desi,3181,3521,3471,
,19/10/2010,531,American,4050,4195,4182,
,,,Desi,3351,3433,3425,
,20/10/2010,618,American,4015,4148,4096,
,,,Desi,3371,3400,3385,
,21/10/2010,353,American,4000,4075,4051,
,,,Desi,3123,3300,3205,
,22/10/2010,841,American,3942,4049,4032,
,,,Desi,3190,3398,3246,
,25/10/2010,634,American,3860,4222,4211,
,,,Desi,3512,3631,3595,
,26/10/2010,890,American,4051,4317,4310,
,,,Desi,3500,3691,3665,
,27/10/2010,585,American,4231,4331,4310,
,,,Desi,3170,3652,3500,
,28/10/2010,370,American,4200,4250,4241,
,,,Desi,3441,3561,3551,
,29/10/2010,1540,American,4000,4158,4100,
,,,Desi,3350,3435,3410,
,30/10/2010,470,American,4060,4185,4150,
,,,Desi,3000,3445,3400,
Goluwala,01/10/2010,32,American,3825,3852,3852,
,,,Desi,3050,3200,3125,
,02/10/2010,44,American,3651,3877,3700,
,,,Desi,2800,3220,3200,
,04/10/2010,65,American,3900,3925,3901,
,,,Desi,3010,3300,3241,
Jaitsar,11/10/2010,12.5,American,3700,4159,4141,
,,,Desi,2700,3451,3361,
,13/10/2010,67.6,American,3900,4310,4290,
,,,Desi,3350,3551,3530,
,14/10/2010,25.4,American,4100,4270,4260,
,,,Desi,3250,3563,3541,
,15/10/2010,40.3,American,3950,4285,4274,
,,,Desi,3300,3559,3540,
,16/10/2010,45.5,American,3636,4315,4300,
,,,Desi,3165,3570,3509,
,18/10/2010,44.2,American,3975,4280,4260,
,,,Desi,3300,3509,3490,
,19/10/2010,72,American,3990,4220,4214,
,,,Desi,2800,3464,3450,
,20/10/2010,63,American,3950,4101,4090,
,,,Desi,3220,3420,3400,
,21/10/2010,70,American,3700,3950,3940,
,,,Desi,3175,3319,3300,
,22/10/2010,81,American,3750,4135,4110,
,,,Desi,3300,3434,3420,
,23/10/2010,45.9,American,3900,4248,4222,
,,,Desi,3360,3528,3520,
,25/10/2010,98.6,American,3750,4310,4300,
,,,Desi,3434,3559,3550,
,26/10/2010,91.2,American,3900,4433,4420,
,,,Desi,3490,3701,3689,
,27/10/2010,100.3,American,3790,4400,4384,
,,,Desi,3580,3686,3674,
,28/10/2010,80.5,American,3900,4330,4260,
,,,Desi,3490,3657,3650,
,29/10/2010,80,American,3000,4250,4200,
,,,Desi,3400,3700,3600,
,30/10/2010,87.8,American,3694,4220,4198,
,,,Desi,3100,3540,3480,
Kesarisinghpur,01/10/2010,0.4,Other,3572,3572,3572,
,04/10/2010,0.4,Other,3051,3051,3051,
,06/10/2010,1.4,American,3499,3766,3499,
,,,Kapas (Adoni),3071,3179,3099,
,07/10/2010,0.1,Kapas (Adoni),3201,NR,NR,
,08/10/2010,7.3,American,3951,4008,3986,
,,,Kapas (Adoni),3090,3326,3251,
,11/10/2010,50.2,American,3951,4211,4081,
,,,Kapas (Adoni),3350,3582,3466,
,19/10/2010,44.2,American,4044,4176,4141,
,,,Kapas (Adoni),3276,3395,3390,
,29/10/2010,90.7,American,3241,3446,3419,
,30/10/2010,91.8,American,3900,4236,4160,
Khairthal,11/10/2010,3.3,Other,4300,4400,4350,
,12/10/2010,10.5,Other,4300,4450,4400,
,13/10/2010,10.9,Other,4300,4500,4400,
,19/10/2010,26.6,Other,4300,4550,4450,
Khajuwala,25/10/2010,0.4,American,3450,3450,3450,
Merta City,01/10/2010,8.9,Other,4050,4050,4050,
,02/10/2010,8.5,Other,4000,4100,4050,
,03/10/2010,9.5,Other,4000,4100,4050,
,05/10/2010,14.3,Other,4000,4121,4061,
,06/10/2010,11,Other,4000,4100,4050,
,08/10/2010,5.9,Other,4000,4200,4100,
,10/10/2010,5.9,Other,4100,4500,4300,
,12/10/2010,14.6,Other,4600,4815,4708,
,13/10/2010,8,Other,4500,4840,4670,
,14/10/2010,3.9,Other,4820,5200,5000,
,16/10/2010,16.3,Other,4800,5000,4900,
,17/10/2010,10.2,Other,4800,5000,4900,
