Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Beawar,05/09/2012,1.5, ,NR,NR,NR,
,06/09/2012,1.2, ,NR,NR,NR,
,07/09/2012,1.7, ,NR,NR,NR,
,10/09/2012,8.6,Other,2500,2821,2661,
,12/09/2012,12.4,Other,2500,3500,3000,
,13/09/2012,8.9,Other,2400,2800,2600,
,14/09/2012,1.2,Other,2500,2800,2650,
,17/09/2012,10.8, ,NR,NR,NR,
,18/09/2012,2.3,Other,2700,2700,2700,
,19/09/2012,11.6, ,NR,NR,NR,
,20/09/2012,22.1,Other,1900,2711,2306,
,21/09/2012,7.1,Other,1900,3500,2700,
,27/09/2012,3.6,Other,2175,3300,2738,
,28/09/2012,18.7,Other,2200,4500,3350,
Bijay Nagar,01/09/2012,10,Other,4650,4800,4750,
,03/09/2012,13,Other,4500,4750,4650,
,04/09/2012,13,Other,4500,4750,4650,
,05/09/2012,10,Other,4400,4691,4500,
,06/09/2012,8,Other,4000,4525,4300,
,07/09/2012,5,Other,3000,4645,4000,
,08/09/2012,1,Other,4500,4500,4500,
,10/09/2012,20,Other,1700,4640,3000,
,11/09/2012,20,Other,1800,4671,3200,
,12/09/2012,20,Other,1900,4646,4400,
,13/09/2012,15,Other,1800,3000,2500,
,14/09/2012,15,Other,1900,3300,2600,
,15/09/2012,20,Other,1150,1150,1150,
,17/09/2012,30,Other,1800,3000,2500,
,18/09/2012,20,Other,1400,3100,2500,
,19/09/2012,30,Other,1800,2800,2300,
,21/09/2012,40,Other,1700,3200,2500,
,22/09/2012,70,Other,1700,3500,2800,
,24/09/2012,60,Other,1600,3600,2800,
,25/09/2012,40,Other,1900,3800,3000,
,26/09/2012,65,Other,2000,4560,3000,
,27/09/2012,30,Other,2000,4000,3000,
,28/09/2012,60,Other,2000,4400,3200,
,29/09/2012,60,Other,2500,4400,3500,
Bilara,10/09/2012,0.7,Other,4761,4761,4761,
,11/09/2012,0.6,Other,4300,4300,4300,
,15/09/2012,2.5,Other,4300,4300,4300,
,21/09/2012,0.03,Other,2500,2600,2550,
,22/09/2012,0.04,Other,2500,2500,2500,
,23/09/2012,10.7,Other,2151,2900,2500,
,24/09/2012,1.9,Other,2500,4296,3300,
,25/09/2012,1.4,Other,2700,4251,3500,
,27/09/2012,1.8,Other,2000,3100,2550,
,28/09/2012,6.5,Other,2940,3200,3000,
,29/09/2012,0.4,Other,3500,3500,3500,
,30/09/2012,1,Other,3500,3675,3575,
Gajsinghpur,25/09/2012,0.1,Desi,4451,4451,4451,
,26/09/2012,0.2,Desi,4451,4451,4451,
,27/09/2012,0.4,Desi,4601,4601,4601,
,28/09/2012,0.5,Desi,4431,4431,4431,
,29/09/2012,2,American,3501,3501,3501,
,,,Desi,4625,4691,4650,
Goluwala,19/09/2012,1,American,3700,3700,3700,
,26/09/2012,1,Desi,4100,4100,4100,
Hanumangarh,20/09/2012,0.7,American,3900,4151,4001,
,25/09/2012,1.7,American,3590,3690,3600,
,,,Desi,4301,4301,4301,
,27/09/2012,0.2,American,3610,3610,3610,
,28/09/2012,3.1,American,3500,4001,3950,
,,,Desi,4501,4501,4501,
,29/09/2012,1.7,American,3821,3980,3900,
,,,Desi,4801,4941,4825,
Jaitsar,25/09/2012,0.2,American,3825,3825,3825,
,,,Desi,3825,3825,3825,
Kekri,24/09/2012,0.4,Other,2750,3200,3000,
,26/09/2012,1.4,Other,2950,3300,3000,
,27/09/2012,1.5,Other,2685,2950,2700,
,28/09/2012,0.8,Other,2900,3285,3050,
,29/09/2012,1.3,Other,3000,3450,3251,
Khairthal,27/09/2012,23,Other,3850,3981,3900,
,29/09/2012,20, ,NR,NR,NR,
Nohar,25/09/2012,0.2,Other,4805,4805,4805,
,29/09/2012,1.3,Other,4830,4830,4830,
Padampur,17/09/2012,0.5,Desi,4052,4052,4052,
,19/09/2012,0.2,Desi,4151,4151,4151,
,21/09/2012,0.7,Desi,4672,4672,4672,
,22/09/2012,0.1,Desi,4601,4601,4601,
,24/09/2012,5.2,Desi,4401,4562,4431,
,25/09/2012,4.8,Desi,4451,4573,4486,
,26/09/2012,2,American,3801,3801,3801,
,,,Desi,4501,4641,4641,
,27/09/2012,3,Desi,4431,4701,4671,
,28/09/2012,4.4,Desi,4701,4773,4725,
,29/09/2012,1.8,American,3501,3751,3751,
,,,Desi,4661,4663,4663,
Rawatsar,19/09/2012,0.1,Desi,5051,5051,5051,
,26/09/2012,1,American,3825,4025,4020,
,28/09/2012,2.9,American,3549,3825,3800,
,,,Desi,4750,4900,4880,
,29/09/2012,0.7,American,3601,3640,3640,
Sangriya,17/09/2012,5,Other,3751,3851,3751,
,27/09/2012,2,Other,3601,3601,3601,
,28/09/2012,1,Other,4011,4011,4011,
,29/09/2012,3,Other,3701,3701,3701,
Sriganganagar,14/09/2012,0.1,Desi,3125,3125,3125,
,19/09/2012,0.1,American,3651,3651,3651,
,22/09/2012,0.4,American,3211,3225,3211,
,24/09/2012,1.3,Desi,3601,3601,3601,
,25/09/2012,0.3,American,3650,3751,3650,
,26/09/2012,0.5,American,3151,3151,3151,
,,,Desi,3751,3751,3751,
,27/09/2012,3.2,American,3201,3502,3325,
,,,Desi,3701,4525,3771,
,28/09/2012,3.3,American,3571,3722,3701,
,,,Desi,4421,4851,4721,
,29/09/2012,3.6,American,3751,3790,3771,
,,,Desi,3700,4651,4451,
