Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Alwar,01/12/2015,94,Other,4200,4500,4350,
,02/12/2015,85,Other,4200,4400,4300,
,03/12/2015,25,Other,4200,4400,4300,
,04/12/2015,102,Other,4175,4370,4275,
,05/12/2015,200,Other,4175,4370,4275,
,08/12/2015,60,Other,4200,4400,4300,
,09/12/2015,95,Other,4200,4400,4300,
,10/12/2015,36,Other,4200,4400,4300,
,11/12/2015,17,Other,4200,4400,4300,
,12/12/2015,68,Other,4200,4400,4300,
,14/12/2015,119,Other,4200,4400,4300,
,15/12/2015,82,Other,4200,4400,4300,
,16/12/2015,96,Other,4300,4660,4500,
,17/12/2015,63,Other,4250,4650,4500,
,18/12/2015,46,Other,4350,4680,4525,
,19/12/2015,87,Other,4400,4700,4575,
,21/12/2015,135,Other,4450,4800,4650,
,22/12/2015,76,Other,4500,4850,4675,
,23/12/2015,56,Other,4450,4800,4650,
,24/12/2015,46,Other,4450,4850,4650,
,25/12/2015,42,Other,4500,4875,4690,
,26/12/2015,4,Other,4500,4900,4720,
,28/12/2015,15,Other,4500,4900,4725,
,29/12/2015,27, ,NR,NR,NR,
,31/12/2015,6,Other,4500,5000,4800,
Anoopgarh,01/12/2015,133,Other,3987,4265,4215,
,02/12/2015,134.4,Other,4000,4264,4190,
,03/12/2015,127.2,Other,3900,4150,4071,
,04/12/2015,117.4,American,4022,4255,4170,
,,,Other,3900,4121,4042,
,05/12/2015,144.9,American,3991,4262,4211,
,,,Other,3750,4150,4040,
,07/12/2015,128.5,American,3800,4250,4025,
,,,Other,3842,4000,3921,
,08/12/2015,149.5,American,3701,4250,4190,
,,,Other,3700,3900,3800,
,09/12/2015,217.8,American,3000,3971,3900,
,,,Other,3000,4300,4231,
,10/12/2015,148.6,American,4000,4300,4171,
,,,Other,3100,4001,3931,
,11/12/2015,136.8,American,3700,4040,3952,
,,,Other,3980,4312,4260,
,12/12/2015,86.7,American,3726,4290,4251,
,,,Other,3701,4040,3980,
,14/12/2015,113.8,American,3931,4387,4325,
,,,Other,3912,4241,4127,
,15/12/2015,95.6,American,4021,4390,4320,
,,,Other,3750,4255,4132,
,16/12/2015,74.6,American,3700,4411,4340,
,,,Other,3600,4230,4151,
,17/12/2015,56.3,American,4001,4447,4395,
,,,Other,3800,4217,4094,
,18/12/2015,52.2,American,3900,4451,4390,
,,,Other,3800,4344,4321,
,19/12/2015,47.4,American,3900,4490,4421,
,,,Other,4050,4344,4200,
,21/12/2015,63.9,American,4250,4700,4635,
,,,Other,4221,4500,4400,
,22/12/2015,47.3,American,4226,4700,4651,
,,,Other,4050,4426,4421,
,23/12/2015,42.8,American,4000,4676,4622,
,,,Other,3700,4427,4390,
,24/12/2015,23.2,American,4312,4700,4670,
,,,Other,3950,4431,4250,
,25/12/2015,56.9,American,4401,4740,4713,
,,,Other,4200,4660,4471,
,26/12/2015,47.8,American,4300,4830,4767,
,,,Other,4301,4800,4601,
,28/12/2015,55.9,American,4226,4876,4827,
,,,Other,3850,4760,4727,
,29/12/2015,36.5,American,4200,4850,4780,
,,,Other,4201,4632,4600,
,30/12/2015,52,American,4175,4800,4747,
,,,Other,4170,4650,4551,
,31/12/2015,39.4,American,4180,4812,4750,
,,,Other,4375,4750,4600,
Beawar,01/12/2015,1.9,Other,4200,4500,4350,
,02/12/2015,7.3,Other,4300,4500,4400,
,03/12/2015,0.5,Other,4400,4500,4450,
,04/12/2015,5.7,Other,4400,4520,4460,
,07/12/2015,2,Other,4000,4500,4250,
,08/12/2015,7,Other,4300,4600,4450,
,11/12/2015,1,Other,4400,4600,4500,
,15/12/2015,2.8,Other,4400,4600,4500,
,16/12/2015,2,Other,4400,4580,4490,
,18/12/2015,0.5,Other,4400,4700,4550,
,28/12/2015,16.5,Other,4800,4900,4850,
Bhadara,01/12/2015,0.5,American,4270,4270,4270,
,02/12/2015,0.7,American,4165,4176,4170,
,,,Desi,4210,4422,4216,
,03/12/2015,0.4,Desi,4261,4261,4261,
,05/12/2015,0.5,American,4222,4281,4252,
,10/12/2015,0.5,Desi,4245,4245,4245,
,11/12/2015,0.2,American,4271,4271,4271,
,12/12/2015,0.2,Desi,4200,4200,4200,
,14/12/2015,3.4,Desi,4100,4260,4180,
,15/12/2015,0.2,Desi,4200,4200,4200,
,18/12/2015,0.5,Desi,4251,4251,4251,
,19/12/2015,0.2,Desi,4278,4278,4278,
,23/12/2015,0.7,Desi,4525,4525,4525,
,28/12/2015,0.2,Desi,4525,4525,4525,
Bijay Nagar,01/12/2015,150,American,4350,4510,4450,
,02/12/2015,140,American,4250,4450,4400,
,03/12/2015,135,American,4250,4435,4370,
,04/12/2015,130,American,4300,4500,4450,
,05/12/2015,125,American,4300,4491,4450,
,07/12/2015,100,American,4150,4480,4400,
,08/12/2015,70,American,4400,4526,4470,
,09/12/2015,80,American,4350,4531,4450,
,10/12/2015,80,American,4389,4511,4460,
,11/12/2015,80,American,4365,4521,4460,
,12/12/2015,80,American,4300,4501,4450,
,14/12/2015,80,American,4300,4500,4450,
,15/12/2015,70,American,4400,4650,4600,
,16/12/2015,75,American,4600,4687,4650,
,17/12/2015,80,American,4400,4641,4600,
,18/12/2015,70,American,4400,4671,4600,
,19/12/2015,80,American,4450,4715,4650,
,21/12/2015,65,American,4600,4721,4670,
,22/12/2015,50, ,NR,NR,NR,
,23/12/2015,60, ,NR,NR,NR,
,24/12/2015,56, ,NR,NR,NR,
