Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Alwar,01/11/2016,7.4,Other,4800,5200,5050,
,02/11/2016,19.8,Other,4950,5225,5125,
,03/11/2016,14.1,Other,4850,5200,5075,
,04/11/2016,22.3,Other,4825,5175,5025,
,05/11/2016,28.8,Other,4850,5200,5160,
,07/11/2016,38,Other,4900,5175,5025,
,08/11/2016,18.2,Other,4850,5150,5000,
,10/11/2016,4.1,Other,4800,5100,5000,
,11/11/2016,6.2,Other,4900,5175,5075,
,12/11/2016,9.7,Other,4950,5200,5100,
,14/11/2016,12,Other,5000,5260,5160,
,15/11/2016,17,Other,5000,5250,5150,
,16/11/2016,25,Other,5000,5250,5150,
,17/11/2016,23.7,Other,5050,5350,5225,
,18/11/2016,26.9,Other,5050,5350,5200,
,19/11/2016,39.6,Other,5030,5350,5200,
,21/11/2016,34.9,Other,5050,5350,5200,
,22/11/2016,14.2,Other,5050,5300,5175,
,23/11/2016,15,Other,5000,5250,5150,
,24/11/2016,7.5,Other,5000,5250,5150,
,25/11/2016,7.4,Other,4850,5200,5100,
,26/11/2016,10.9,Other,4850,5200,5100,
,29/11/2016,24.4,Other,4950,5300,5150,
,30/11/2016,32.6,Other,4950,5300,5150,
Anoopgarh,01/11/2016,20,American,4811,4939,4875,
,,,Other,3900,3900,3900,
,02/11/2016,67.1,American,4700,4941,4821,
,,,Other,3800,4062,3932,
,03/11/2016,67.2,American,4801,5025,4913,
,,,Other,4031,4158,4094,
,04/11/2016,83.5,American,4861,5045,4953,
,,,Other,3900,4021,3961,
,05/11/2016,136.1,American,4920,5027,4974,
,,,Other,3940,4081,4011,
,07/11/2016,110.2,American,4050,4151,4101,
,,,Other,4925,5018,4992,
,08/11/2016,118.4,American,4962,5022,4992,
,,,Other,4050,4185,4118,
,10/11/2016,101.2,American,4941,5025,4983,
,,,Other,4200,4209,4205,
,11/11/2016,70.5,American,5097,5176,5131,
,,,Other,4201,4321,4261,
,12/11/2016,69.3,American,5000,5171,5086,
,,,Other,1491,4251,4221,
,14/11/2016,53,American,5122,5158,5140,
,,,Other,4250,4421,4336,
,15/11/2016,69.2,American,5100,5217,5169,
,,,Other,4370,4450,4410,
,16/11/2016,74.9,American,5175,5264,5220,
,,,Other,4390,4490,4440,
,17/11/2016,67.7,American,5200,5358,5279,
,,,Other,4480,4530,4505,
,18/11/2016,115.7,American,5321,5425,5373,
,,,Other,4521,4595,4558,
,19/11/2016,87.5,American,5321,5419,5370,
,,,Other,4450,4575,4513,
,21/11/2016,83.4,American,5170,5371,5271,
,,,Other,4550,4589,4570,
,22/11/2016,95.9,American,4900,5319,5110,
,,,Other,4300,4525,4413,
,23/11/2016,123.4,American,5100,5211,5156,
,,,Other,4260,4400,4330,
,24/11/2016,96.2,American,4251,4320,4286,
,,,Other,5175,5222,5199,
,25/11/2016,74.1,American,5160,5270,5215,
,,,Other,4299,4451,4375,
,26/11/2016,106.1,American,5100,5214,5157,
,,,Other,4181,4480,4331,
,28/11/2016,107.2,American,5051,5195,5123,
,,,Other,4251,4401,4326,
,29/11/2016,96.1,American,5020,5312,5166,
,,,Other,4000,4380,4190,
,30/11/2016,135.7,American,4900,5275,5088,
,,,Other,3900,4451,4176,
Beawar,17/11/2016,2.5,Other,4000,5200,4600,
,18/11/2016,4,Other,5000,5300,5150,
,19/11/2016,0.5,Other,5100,5300,5200,
,22/11/2016,14.7,Other,5100,5400,5250,
,23/11/2016,7.5,Other,7000,7500,7250,
,24/11/2016,9,Other,5000,5300,5150,
,25/11/2016,9.3,Other,5000,5300,5150,
,28/11/2016,8.5,Other,5000,5300,5150,
,29/11/2016,4.8,Other,4900,5000,4950,
Bhadara,01/11/2016,0.2,Desi,4200,4200,4200,
,07/11/2016,0.5,Desi,4191,4191,4191,
,08/11/2016,0.6,American,4881,4881,4881,
,12/11/2016,0.2,Desi,4241,4241,4241,
,16/11/2016,0.1,Desi,4351,4351,4351,
,17/11/2016,0.6,Desi,4351,4351,4351,
,23/11/2016,0.4,American,4900,4900,4900,
,,,Desi,4051,4051,4051,
,24/11/2016,0.2,American,4970,4970,4970,
,25/11/2016,0.3,Desi,4100,4100,4100,
,28/11/2016,0.7,American,4960,4960,4960,
,30/11/2016,0.3,Desi,3981,3981,3981,
Bijay Nagar,02/11/2016,30, ,NR,NR,NR,
,03/11/2016,40,American,4800,5250,5100,
,04/11/2016,40,American,4700,5261,5100,
,05/11/2016,40,American,4480,5292,5100,
,07/11/2016,100,American,4800,5262,5100,
,08/11/2016,110,American,4700,5287,5100,
,09/11/2016,120,American,4900,5290,5100,
,15/11/2016,30,American,4900,5300,5100,
,16/11/2016,6,American,5000,5300,5150,
,17/11/2016,7,American,5100,5300,5200,
,18/11/2016,20,American,5151,5375,5300,
