Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Bilara,06/04/2017,1,Other,6000,6230,6100,
,07/04/2017,2.5,Other,6000,6200,6100,
,10/04/2017,2,Other,5900,6100,6000,
,11/04/2017,1,Other,5900,6100,6000,
,14/04/2017,0.6,Other,6000,6100,6050,
Gharsana,13/04/2017,8.9,American,5831,5925,5900,
Goluwala,01/04/2017,1,Desi,4878,4878,4878,
,02/04/2017,3,American,5700,5750,5750,
,04/04/2017,10,American,5825,5871,5850,
,05/04/2017,1,American,5900,5900,5900,
,06/04/2017,19.4,American,5860,5905,5895,
,13/04/2017,2.3,American,5761,5761,5761,
Hanumangarh,01/04/2017,5.9,American,5300,5957,5871,
,03/04/2017,73.3,American,5880,6032,6018,
,,,Desi,5175,5196,5196,
,05/04/2017,7.2,American,5750,5991,5984,
,06/04/2017,201.5,American,5980,6000,5980,
,,,Desi,5262,5262,5262,
,07/04/2017,87.8,American,5890,5971,5950,
,,,Desi,5200,5200,5200,
,08/04/2017,37.7,American,5300,6050,5960,
,10/04/2017,56,American,5790,5921,5881,
,11/04/2017,6,American,5800,5800,5800,
,12/04/2017,64.8,American,5800,5950,5900,
,14/04/2017,31.7,American,5750,5775,5760,
,15/04/2017,55.8,American,5265,5871,5851,
,18/04/2017,10,American,5840,5860,5850,
Hanumangarh Town,01/04/2017,37.4,American,5780,5912,5880,
,,,Desi,5240,5240,5240,
,03/04/2017,74.2,American,5891,5981,5960,
,,,Desi,5250,5250,5250,
,05/04/2017,58.4,American,5800,6111,6080,
,,,Desi,5220,5220,5220,
,06/04/2017,50.6,American,5921,6058,6030,
,,,Desi,5280,5280,5280,
,07/04/2017,79.1,American,5911,5980,5960,
,,,Desi,5000,5375,5375,
,08/04/2017,79.2,American,5890,5966,5950,
,,,Desi,5187,5320,5300,
,10/04/2017,37.1,American,5731,5791,5765,
,,,Desi,5140,5441,5141,
,11/04/2017,38.1,American,5771,5806,5800,
,,,Desi,5000,5350,5121,
,12/04/2017,34.6,American,5765,5800,5780,
,13/04/2017,37.6,American,5765,5825,5785,
,14/04/2017,15.8,American,5778,5800,5798,
,15/04/2017,1.5,American,5801,5801,5801,
,17/04/2017,5,American,5861,5874,5870,
,18/04/2017,25.1,American,5850,5925,5880,
,19/04/2017,9.9,American,5858,5900,5885,
,20/04/2017,14.5,American,5800,5921,5900,
,21/04/2017,6.5,American,5830,5830,5830,
,22/04/2017,18,American,5900,5920,5910,
,25/04/2017,12,American,5925,5961,5950,
