Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Alwar,03/03/2017,1.8,Other,5800,6200,6050,
,06/03/2017,0.2,Other,5700,6100,5950,
,15/03/2017,1,Other,5800,6100,6000,
,20/03/2017,0.4, ,NR,NR,NR,
,22/03/2017,0.8,Other,5700,6100,5950,
Anoopgarh,01/03/2017,16,American,5600,6080,5840,
,,,Other,4800,4800,4800,
,02/03/2017,4.1,American,5980,6150,6065,
,,,Other,4700,4925,4813,
,03/03/2017,0.6,American,4631,4901,4766,
,,,Other,4550,4700,4625,
,04/03/2017,12,American,4800,6150,5575,
,,,Other,4200,5051,4625,
,06/03/2017,5.5,American,6175,6175,6175,
,07/03/2017,2.2,American,6131,6131,6131,
,08/03/2017,0.7,American,5601,6000,5801,
,,,Other,5050,5050,5050,
,10/03/2017,1.9,American,5050,6180,5615,
,,,Other,5000,5000,5000,
,15/03/2017,3.4,American,5600,5830,5715,
,,,Other,4800,4800,4800,
,21/03/2017,0.8,American,5500,5541,5521,
,24/03/2017,4.8,American,6200,6200,6200,
,,,Other,5200,5204,5202,
Bhadara,06/03/2017,1.6,American,6050,6050,6050,
Bijay Nagar,01/03/2017,15,American,5391,6250,6000,
,02/03/2017,9,American,5440,6246,6000,
,03/03/2017,6,American,5300,6231,6000,
,04/03/2017,12,American,5300,6196,6000,
,06/03/2017,17,American,5000,6246,6000,
,07/03/2017,5.7,American,5350,6246,6000,
,08/03/2017,9,American,5325,6291,6000,
,09/03/2017,25,American,5925,6300,6100,
,10/03/2017,7,American,5700,6271,6100,
,14/03/2017,3.5,American,5951,6220,6100,
,15/03/2017,4.6,American,5352,6161,6000,
,17/03/2017,6,American,5800,6135,6000,
,18/03/2017,4,American,5200,6150,6000,
,21/03/2017,3,American,5860,6181,6000,
,22/03/2017,8,American,5775,6276,6100,
,23/03/2017,4,American,5700,6200,6000,
,24/03/2017,8.5,American,5750,6250,6100,
Bilara,02/03/2017,0.6,Other,6200,6500,6300,
,03/03/2017,4,Other,6300,6500,6400,
,04/03/2017,11.3,Other,6300,6511,6400,
