Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Annur,04/03/2011,38.32,Other,6050,6350,6200,
,11/03/2011,79.22,Other,6400,6980,6650,
,18/03/2011,138.29,Other,7300,7710,7505,
,23/03/2011,23.83,Other,7300,7710,7550,
,25/03/2011,122.09,Other,7360,7610,7475,
,31/03/2011,88.47,Other,6710,6910,6800,
Moolanur,18/03/2011,166, ,NR,NR,NR,
,25/03/2011,188, ,NR,NR,NR,
Punchaipuliyampatti,23/03/2011,196.31,Other,5500,6100,5800,
,25/03/2011,20,Other,6100,6200,6150,
,28/03/2011,18,Other,6100,6300,6150,
,30/03/2011,9,Other,6200,6300,6250,
,31/03/2011,17,Other,6400,6500,6450,
Thiruppur,11/03/2011,32.76,Other,7200,8000,7600,
,14/03/2011,15.33,Other,5400,5800,5500,
Vikkiravandi,31/03/2011,1,Other,6019,NR,NR,
Villupuram,01/03/2011,300,Other,5649,6434,6300,
,11/03/2011,90,Other,5876,6492,6350,
,16/03/2011,120,Other,6191,6589,6400,
,17/03/2011,40,Other,6290,6499,6400,
,22/03/2011,200,Other,6099,6389,6300,
,24/03/2011,400,Other,6049,6318,6280,
,28/03/2011,500,Other,4919,6219,6150,
,29/03/2011,120,Other,6101,6239,6150,
,31/03/2011,300,Other,6074,6359,6200,
