Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Annur,05/12/2012,25.66,Other,4250,4400,4325,
,19/12/2012,100.42,Other,4400,4630,4515,
,26/12/2012,134.37,Other,4350,4470,4410,
Gingee,28/12/2012,0.2,Other,850,2300,1850,
Kolathur,03/12/2012,0.1,Other,3100,3800,3450,
,04/12/2012,0.1,Other,3400,3900,3650,
,05/12/2012,0.1,Other,3400,3900,3650,
,06/12/2012,0.1,Other,3400,3900,3650,
,07/12/2012,0.1,Other,3100,3800,3450,
,10/12/2012,0.1,Other,3200,3800,3500,
,11/12/2012,0.1,Other,3000,3700,3350,
,12/12/2012,0.1,Other,3200,4000,3600,
,13/12/2012,0.1,Other,3200,3800,3500,
,14/12/2012,0.1,Other,3200,3500,3350,
,17/12/2012,0.1,Other,3400,3800,3600,
,18/12/2012,0.1,Other,3400,3800,3600,
,20/12/2012,0.1,Other,3500,3700,3600,
,21/12/2012,0.1,Other,3500,3800,3650,
,24/12/2012,0.1,Other,3200,3700,3450,
,26/12/2012,0.1,Other,3000,3600,3300,
,27/12/2012,0.1,Other,3000,3600,3300,
,28/12/2012,0.1,Other,3600,3800,3700,
,31/12/2012,0.1,Other,3000,3700,3350,
Konganapuram,03/12/2012,0.1,Other,3700,4300,4000,
,10/12/2012,0.1,DCH-32 (Ginned),4500,4750,4625,
,,,Other,3900,4300,4100,
,11/12/2012,0.1,DCH-32 (Ginned),3900,4300,4100,
,,,Other,4500,4750,4625,
,12/12/2012,0.1,Cotton (Ginned),4500,4750,4625,
,,,Other,3900,4300,4100,
,13/12/2012,0.1,Cotton (Ginned),3900,4300,4100,
,,,Other,4500,4750,4625,
,18/12/2012,0.1,DCH-32 (Ginned),4600,5100,4850,
,,,Other,4000,4500,4250,
,20/12/2012,0.1,Other,4200,4600,4400,
,21/12/2012,0.1,DCH-32 (Ginned),4900,5250,5075,
,,,Other,4550,4600,4575,
,26/12/2012,0.1,DCH-32 (Ginned),4800,5280,5040,
,,,Other,3900,4300,4100,
,27/12/2012,0.1,DCH-32 (Ginned),4800,5280,5040,
,,,Other,3900,4300,4100,
,31/12/2012,0.1,DCH-32 (Ginned),4800,5380,5090,
,,,Other,3650,4400,4025,
Moolanur,06/12/2012,14,Other,4300,4730,4500,
Namakkal,05/12/2012,1,Other,4500,4700,4600,
,21/12/2012,1,Other,4300,4500,4400,
,26/12/2012,1,Other,4600,4800,4700,
Panruti,31/12/2012,0.1,Other,1017,1017,1017,
Pudupalayam,28/12/2012,52.74,DCH-32 (Ginned),4700,4900,4800,
Rajapalayam,20/12/2012,50,MCU 5,4300,4700,4500,
Thiruppur,04/12/2012,1.03,Other,3300,3930,3660,
Tiruchengode,03/12/2012,0.1,DCH-32 (Ginned),4400,4900,4650,
,,,LRA,3500,3850,3675,
,04/12/2012,0.1,DCH-32 (Ginned),4400,4900,4650,
,,,LRA,3500,3850,3675,
,05/12/2012,0.1,DCH-32 (Ginned),4200,4900,4550,
,,,LRA,3400,3800,3600,
,06/12/2012,0.1,DCH-32 (Ginned),4500,5000,4750,
,,,LRA,3800,4300,4050,
,07/12/2012,0.1,DCH-32 (Ginned),4500,5000,4750,
,,,LRA,3800,4300,4050,
,10/12/2012,0.1,DCH-32 (Ginned),3750,4400,4075,
,,,LRA,4500,4900,4700,
,11/12/2012,0.1,DCH-32 (Ginned),4500,4900,4700,
,,,LRA,3750,4400,4075,
,,,Other,3450,4100,3775,
,12/12/2012,0.1,Cotton (Ginned),3500,3800,3650,
,,,DCH-32 (Ginned),4700,5000,4850,
,,,LRA,3800,4300,4050,
,,,Other,4300,4700,4500,
,13/12/2012,0.1,DCH-32 (Ginned),4700,5000,4850,
,,,LRA,3800,4300,4050,
,14/12/2012,0.1,DCH-32(Unginned),4400,4900,4650,
,,,LRA,4100,4400,4250,
,17/12/2012,0.1,Cotton (Ginned),4400,4600,4500,
,,,LRA,4000,4550,4275,
,,,Other,3600,3900,3750,
,18/12/2012,0.1,DCH-32(Unginned),4800,5300,5050,
,,,LRA,4000,4550,4275,
,20/12/2012,0.1,Other,4000,4550,4275,
,21/12/2012,0.1,DCH-32(Unginned),4900,5250,5075,
,,,LRA,4000,4550,4275,
,,,Other,3600,4000,3800,
,24/12/2012,0.1,DCH-32(Unginned),4800,5400,5100,
,,,LRA,4000,4650,4375,
,26/12/2012,0.1,DCH-32(Unginned),4800,5400,5100,
,,,LRA,4000,4650,4325,
,,,Other,4300,4600,4450,
,27/12/2012,0.1,DCH-32(Unginned),5000,5250,5125,
,,,LRA,4000,4350,4175,
,28/12/2012,0.1,DCH-32(Unginned),5000,5250,5125,
,,,Other,4800,5000,4975,
,31/12/2012,0.1,DCH-32(Unginned),5000,5350,5175,
,,,LRA,3900,4300,4125,
Villupuram,03/12/2012,0.5,Other,3590,3680,3630,
,05/12/2012,0.8,Other,3680,4050,3950,
,06/12/2012,0.2,Other,1475,3615,2545,
,07/12/2012,0.5,Other,3906,4104,4005,
,10/12/2012,0.5,Other,2688,3929,3789,
,12/12/2012,0.2,Other,3950,3950,3950,
,14/12/2012,0.1,Other,3708,3708,3708,
,17/12/2012,0.1,Other,3706,3706,3706,
,18/12/2012,4,Other,3639,4059,4039,
,20/12/2012,0.2,Other,1962,3939,3889,
,21/12/2012,0.8,Other,1909,3980,2944,
,24/12/2012,3.5,Other,3293,3979,3979,
,26/12/2012,3.5,Other,3590,3986,3950,
,27/12/2012,1,Other,3949,4037,4031,
,28/12/2012,6,Other,3389,4067,3969,
,31/12/2012,8,Other,3690,4067,4031,
