Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Annur,05/11/2013,31.09,Other,5360,5480,5420,
,06/11/2013,28.92,Other,5360,5480,5420,
,20/11/2013,1.36,Other,4500,4730,4615,
,26/11/2013,20.86,Other,4620,4800,4700,
Gingee,06/11/2013,0.1,Other,1569,1569,1569,
,26/11/2013,0.2,Other,1000,2300,1650,
Kolathur,01/11/2013,0.1,Other,3800,4200,4000,
,04/11/2013,0.1,Other,3600,4100,3850,
,05/11/2013,0.1,Other,4000,4200,4100,
,06/11/2013,0.1,Other,3600,4000,3800,
,07/11/2013,0.1,Other,3800,4200,4000,
,08/11/2013,0.1,Other,3700,4500,4100,
,11/11/2013,0.1,Other,3700,4300,4000,
,12/11/2013,0.1,Other,3800,4400,4100,
,13/11/2013,0.1,Other,3800,4200,4000,
,14/11/2013,0.1,Other,3500,4300,3900,
,18/11/2013,0.1,Other,3700,4300,4000,
,19/11/2013,0.1,Other,3800,4200,4000,
,20/11/2013,0.1,Other,3800,4400,4100,
,21/11/2013,0.1,Other,3700,4300,4000,
,22/11/2013,0.1,Other,3400,3600,3500,
,25/11/2013,0.1,Other,3300,3500,3400,
,26/11/2013,0.1,Other,3200,3600,3400,
,27/11/2013,0.1,Other,3200,3400,3300,
,28/11/2013,0.1,Other,3200,3600,3400,
,29/11/2013,0.1,Other,3600,4000,3800,
Konganapuram,01/11/2013,0.1,Other,5400,5860,5630,
,04/11/2013,0.1,Other,4500,5000,4750,
,05/11/2013,0.1,Other,4500,5000,4750,
,06/11/2013,0.1,Other,4500,5000,4750,
,07/11/2013,0.1,Other,4500,5000,4750,
,08/11/2013,0.1,Other,4500,5000,4750,
,12/11/2013,0.1,Other,3880,5339,4610,
,13/11/2013,0.1,Other,3880,5359,4610,
,14/11/2013,0.1,Other,3880,5339,4610,
,18/11/2013,0.1,Other,3900,5400,4650,
,19/11/2013,0.1,Other,3900,5400,4650,
,20/11/2013,0.1,Other,3900,5400,4650,
,21/11/2013,0.1,Other,3900,5400,4650,
,22/11/2013,0.1,Other,3900,5400,4650,
,25/11/2013,0.1,DCH-32(Unginned),5500,6029,5765,
,,,Other,4500,5072,4786,
,26/11/2013,0.1,DCH-32(Unginned),5500,6029,5765,
,,,Other,4500,5072,4786,
,27/11/2013,0.1,DCH-32(Unginned),5500,6029,5764,
,,,Other,4500,5020,4760,
,28/11/2013,0.1,DCH-32(Unginned),5500,6029,5764,
,,,Other,4500,5020,4760,
,29/11/2013,0.1,DCH-32(Unginned),5500,6029,5765,
,,,Other,4500,5072,4786,
Moolanur,07/11/2013,12,Other,3500,5700,4200,
,14/11/2013,53,Other,3200,4840,4100,
,21/11/2013,16,Other,3800,5140,4660,
Pudupalayam,18/11/2013,44.89,Other,5200,5400,5300,
Sangarapuram,18/11/2013,1,Other,1375,1375,1375,
Tindivanam,13/11/2013,0.1,Other,769,2569,1669,
,29/11/2013,0.1,Other,2560,NR,NR,
Tiruchengode,01/11/2013,0.1,Other,4800,5300,5050,
,04/11/2013,0.1,Other,4500,5000,4750,
,05/11/2013,0.1,Other,4500,5000,4750,
,06/11/2013,0.1,Other,4500,5000,4750,
,07/11/2013,0.1,Other,4500,5000,4750,
,08/11/2013,0.1,Other,4500,5000,4750,
,11/11/2013,0.1,Other,4200,4600,4400,
,12/11/2013,0.1,Other,4200,4600,4400,
,13/11/2013,0.1,DCH-32(Unginned),4200,4600,4400,
,,,Other,5300,5600,5450,
,14/11/2013,0.1,Other,5300,5600,5450,
,18/11/2013,0.1,DCH-32(Unginned),4800,5100,4950,
,,,Other,4100,4800,4450,
,19/11/2013,0.1,DCH-32(Unginned),4800,5100,4950,
,20/11/2013,0.1,DCH-32(Unginned),4800,5100,4950,
,,,Other,4100,4800,4450,
,21/11/2013,0.1,DCH-32(Unginned),4800,5100,4950,
,,,Other,4100,4800,4450,
,22/11/2013,0.1,DCH-32(Unginned),4800,5100,4950,
,,,Other,4100,4800,4450,
,25/11/2013,0.1,DCH-32(Unginned),4800,5100,4950,
,,,Other,4000,4700,4350,
,26/11/2013,0.1,DCH-32(Unginned),4800,5100,4950,
,,,LRA,4000,4700,4350,
,27/11/2013,0.1,DCH-32(Unginned),4800,5100,4950,
,,,Other,4100,4800,4450,
Vikkiravandi,27/11/2013,0.3,Other,3420,NR,NR,
Villupuram,01/11/2013,1,Other,4109,4604,4391,
,08/11/2013,1,Other,2269,3200,2499,
,11/11/2013,0.4,Other,3695,4109,3902,
,12/11/2013,0.4,Other,3392,3704,3506,
,18/11/2013,0.2,Other,3215,3590,3425,
,19/11/2013,0.1,Other,3902,3902,3902,
,21/11/2013,0.1,Other,1805,3950,2876,
,22/11/2013,0.1,Other,4409,4409,4409,
,27/11/2013,0.4,Other,2245,4491,3368,
,28/11/2013,0.5,Other,3765,4643,3896,
