Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Anthiyur,02/09/2013,30,MCU 5,5800,6400,6050,
,,,Other,3000,3500,3150,
,09/09/2013,20,MCU 5,5500,6000,5850,
,,,Other,3000,3400,3100,
,16/09/2013,30,MCU 5,5400,5900,5650,
,,,Other,2900,4000,3100,
,23/09/2013,30,LRA,5100,5750,5450,
,,,Other,2500,3000,2800,
,30/09/2013,18, ,NR,NR,NR,
Boothapadi,06/09/2013,35.07,MCU 5,5890,6250,6070,
,,,Other,6090,6290,6190,
Gingee,04/09/2013,0.3,Other,1505,1725,1615,
,06/09/2013,0.5,Other,5003,5760,5579,
,10/09/2013,1,Other,5093,5495,5295,
,13/09/2013,0.1,Other,4000,4000,4000,
,18/09/2013,0.1,Other,3456,3456,3456,
,19/09/2013,1.1,Other,3300,4050,3675,
,20/09/2013,0.4,Other,4050,4400,4225,
,23/09/2013,0.3,Other,4090,4090,4090,
,25/09/2013,0.1,Other,3535,3535,3535,
,26/09/2013,0.2,Other,3800,3800,3800,
,30/09/2013,0.2,Other,2400,2400,2400,
Kolathur,02/09/2013,0.1,Other,4600,5100,4850,
,03/09/2013,0.1,Other,4700,5300,5000,
,04/09/2013,0.1,Other,4600,5200,4900,
,05/09/2013,0.1,Other,4600,5100,4850,
,06/09/2013,0.1,Other,4800,5500,5150,
,10/09/2013,0.1,Other,4800,5400,5100,
,11/09/2013,0.1,Other,4700,5400,5050,
,12/09/2013,0.1,Other,4700,5300,5000,
,16/09/2013,0.1,Other,4700,5800,5250,
,17/09/2013,0.1,Other,4800,5400,5100,
,18/09/2013,0.1,Other,4700,5300,5000,
,19/09/2013,0.1,Other,4400,5300,4850,
,20/09/2013,0.1,Other,4400,5100,4750,
,23/09/2013,0.1,Other,4200,5000,4600,
,24/09/2013,0.1,Other,4600,5100,4850,
,25/09/2013,0.1,Other,4500,5200,4850,
,26/09/2013,0.1,Other,4400,5000,4700,
,27/09/2013,0.1,Other,4800,5600,5200,
,30/09/2013,0.1,Other,4600,5400,5000,
Konganapuram,02/09/2013,0.1,Other,5900,9700,6300,
,03/09/2013,0.1,Other,5900,6700,6300,
,04/09/2013,0.1,Other,5900,6700,6300,
,05/09/2013,0.1,Other,5900,6700,6300,
,06/09/2013,0.1,Other,5900,6700,6300,
,10/09/2013,0.1,Other,5700,6360,6030,
,11/09/2013,0.1,Other,5800,6500,6150,
,12/09/2013,0.1,Other,5700,6360,6030,
,16/09/2013,0.1,Other,5870,6410,6140,
,17/09/2013,0.1,Other,5870,6610,6140,
,18/09/2013,0.1,Other,5430,5980,5705,
,19/09/2013,0.1,Other,5870,6410,6140,
,20/09/2013,0.1,Other,5430,5980,5705,
,23/09/2013,0.1,Other,5200,6325,5762,
,24/09/2013,0.1,Other,5200,6325,5762,
,25/09/2013,0.1,Other,5200,6325,5762,
,26/09/2013,0.1,Other,5200,6325,5762,
,27/09/2013,0.1,Other,5200,6325,5762,
,30/09/2013,0.1,Other,5400,6360,5880,
Kovilpatti,16/09/2013,3.2,LRA,4400,4700,4550,
,,,MCU 5,4000,4300,4200,
,,,Other,3900,4100,4000,
Kuttulam,05/09/2013,30.83,MCU-7,4061,5436,5196,
,19/09/2013,26.25,MCU-7,3926,5296,4566,
,26/09/2013,28.59,MCU-7,4127,5109,4870,
Mailaduthurai,02/09/2013,214.53,MCU-7,3761,5841,5265,
,09/09/2013,221.55,MCU-7,4221,5729,5257,
,16/09/2013,146.06,MCU-7,3680,5286,4737,
,23/09/2013,103.24,MCU-7,3429,5521,4755,
,30/09/2013,50.54,MCU-7,3269,5470,4844,
Moolanur,05/09/2013,60,Other,6000,6770,6000,
,12/09/2013,57,Other,4700,6750,5700,
,19/09/2013,33,Other,5000,6660,5800,
,26/09/2013,32,Other,4100,6190,5200,
Panruti,05/09/2013,0.4,Other,5329,5507,5418,
,10/09/2013,0.1,Other,3618,3618,3618,
,11/09/2013,0.2,Other,4232,5350,4791,
,12/09/2013,0.3,Other,5269,5589,5429,
,13/09/2013,0.1,Other,4041,4041,4041,
,16/09/2013,0.1,Other,2313,4313,3313,
,18/09/2013,0.2,Other,4879,5359,5119,
,24/09/2013,0.1,Other,4869,4869,4869,
Pudupalayam,05/09/2013,48.89,Other,6000,6500,6250,
Sankarankovil,24/09/2013,30,Other,4400,4700,4550,
Sembanarkoil,02/09/2013,336.46,MCU-7,4489,5841,5362,
,09/09/2013,321.72,MCU-7,3929,5649,5181,
,16/09/2013,180.62,MCU-7,2869,5296,4677,
,23/09/2013,173.56,MCU-7,3789,5456,4894,
,30/09/2013,58.99,MCU-7,1069,5456,4890,
Sirkali,07/09/2013,96.54,MCU-7,4010,5210,4610,
,14/09/2013,20.1, ,NR,NR,NR,
,21/09/2013,68.24,MCU-7,2669,4869,3769,
,28/09/2013,20.74,MCU-7,3229,4249,3739,
Thirukovilur,26/09/2013,0.1,Other,3437,3437,3437,
Thiruvarur,25/09/2013,265.65,MCU-7,3669,5789,5404,
Tindivanam,05/09/2013,0.4,Other,1460,4600,3030,
,16/09/2013,0.2,Other,3609,3629,3619,
,19/09/2013,0.1,Other,3900,3900,3900,
,20/09/2013,0.1,Other,2790,NR,NR,
,23/09/2013,0.1,Other,2800,2800,2800,
Tiruchengode,02/09/2013,0.1,Other,5400,6000,5700,
,03/09/2013,0.1,Other,5000,5420,5210,
,04/09/2013,0.1,Other,5000,5420,5210,
,05/09/2013,0.1,Other,5400,6000,5700,
,06/09/2013,0.1,Other,5400,6000,5700,
,10/09/2013,0.1,Other,4800,5340,5070,
,11/09/2013,0.1,Other,4800,5340,5070,
,12/09/2013,0.1,Other,5000,6000,5500,
,16/09/2013,0.1,Other,4800,5340,5070,
,17/09/2013,0.1,Other,4800,5340,5070,
,18/09/2013,0.1,Other,4800,5340,5000,
,19/09/2013,0.1,Other,4800,5340,5070,
,20/09/2013,0.1,Other,4800,5340,5070,
,23/09/2013,0.1,Other,4800,5340,5070,
,24/09/2013,0.1,Other,5900,6700,6350,
,25/09/2013,0.1,Other,5900,6800,6350,
,30/09/2013,0.1,Other,5100,5850,5475,
Tirunelvali,02/09/2013,22.9,Other,4800,5000,4900,
,03/09/2013,15.5,Other,4800,5000,4900,
,09/09/2013,10.5,Other,4800,5000,4900,
,10/09/2013,6.5,Other,4800,5000,4900,
,12/09/2013,12.2,Other,4800,5000,4900,
,13/09/2013,12.2,Other,4800,5000,4900,
,16/09/2013,12.3,Other,4800,5000,4900,
,17/09/2013,12.3,Other,4800,5000,4900,
,22/09/2013,6.5,Other,4800,5000,4900,
,24/09/2013,3,Other,4800,5000,4900,
Vikkiravandi,02/09/2013,0.1,Other,3169,NR,NR,
,03/09/2013,0.1,Other,3869,NR,NR,
,04/09/2013,0.2,Other,4969,NR,NR,
,16/09/2013,0.1,Other,3869,NR,NR,
,25/09/2013,0.1,Other,3767,NR,NR,
,27/09/2013,0.1,Other,2963,NR,NR,
Villupuram,02/09/2013,4.5,Other,5115,6105,5800,
,03/09/2013,3,Other,4104,5860,5450,
,04/09/2013,1.5,Other,4967,5867,5555,
,05/09/2013,2.5,Other,4275,5867,5750,
,11/09/2013,0.8,Other,5291,5462,5390,
,12/09/2013,3.5,Other,5021,5570,5462,
,13/09/2013,0.5,Other,4967,5750,5462,
,17/09/2013,0.2,Other,5021,5155,5088,
,18/09/2013,1,Other,4094,5498,5290,
,19/09/2013,0.2,Other,5291,5462,5377,
,20/09/2013,4,Other,4990,5699,5380,
,23/09/2013,0.5,Other,4699,5095,4895,
,24/09/2013,1,Other,3902,5570,4490,
,25/09/2013,1,Other,4967,5615,5462,
,26/09/2013,0.5,Other,5192,5462,5390,
,27/09/2013,0.7,Other,4436,5390,4967,
,30/09/2013,3.5,Other,4075,5755,5415,
