Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Gangavalli,02/06/2014,0.1,Other,4065,5045,4555,
,03/06/2014,0.1,Other,4065,5045,4555,
,04/06/2014,0.1,Other,4059,5029,4544,
,05/06/2014,0.1,Other,4035,5085,4560,
,06/06/2014,0.1,Other,4025,5025,4525,
,09/06/2014,0.1,Other,4025,5025,4525,
,10/06/2014,0.1,Other,4054,5044,4549,
,11/06/2014,0.1,Other,4085,5065,4575,
,12/06/2014,0.1,Other,4085,5065,4575,
,13/06/2014,0.1,Other,4084,5034,4559,
,16/06/2014,0.1,Other,4039,5049,4544,
,17/06/2014,0.1,Other,4085,5025,4555,
,18/06/2014,0.1,Other,4050,5040,4545,
,19/06/2014,0.1,Other,4050,5040,4545,
,20/06/2014,0.1,Other,4039,5069,4554,
,23/06/2014,0.1,Other,4040,5020,4530,
,24/06/2014,0.1,Other,4059,5029,4544,
,26/06/2014,0.1,Other,4079,5039,4559,
,27/06/2014,0.1,Other,4015,5085,4550,
,30/06/2014,0.1,Other,4015,5085,4550,
Gingee,03/06/2014,12, ,NR,NR,NR,
,04/06/2014,30, ,NR,NR,NR,
,05/06/2014,27,Other,1106,4861,2984,
,09/06/2014,8,Other,1050,4270,2660,
,11/06/2014,25, ,NR,NR,NR,
,12/06/2014,15,Other,1175,4881,2769,
,16/06/2014,10,Other,1100,4680,2890,
,17/06/2014,20,Other,1275,4820,3048,
,18/06/2014,60,Other,1050,5015,4900,
,19/06/2014,1,Other,4500,4500,4500,
,20/06/2014,1, ,NR,NR,NR,
,23/06/2014,10,Other,1050,4857,2954,
,24/06/2014,20, ,NR,NR,NR,
,26/06/2014,1,Other,4889,4889,4889,
,27/06/2014,6,Other,1036,4756,2896,
,30/06/2014,12,Other,4669,4869,4769,
Kolathur,02/06/2014,0.1,Other,4000,4500,4250,
,03/06/2014,0.1,DCH-32(Unginned),4000,4700,4350,
,04/06/2014,0.1,Other,4200,4700,4450,
,05/06/2014,0.1,DCH-32(Unginned),4000,4600,4300,
,06/06/2014,0.1,Other,3600,4000,3800,
,09/06/2014,0.1,Other,3600,4200,3900,
,10/06/2014,0.1,Other,3600,4200,3900,
,11/06/2014,0.1,Other,3700,4100,3900,
,12/06/2014,0.1,Other,3700,4100,3900,
,13/06/2014,0.1,Other,3900,4300,4100,
,16/06/2014,0.1,Other,3900,4200,4050,
,17/06/2014,0.1,Other,4000,4300,4150,
,18/06/2014,0.1,Other,3700,4100,3900,
,19/06/2014,0.1,Other,3800,4200,4000,
,20/06/2014,0.1,Other,4000,4850,4425,
,23/06/2014,0.1,Other,4100,4800,4450,
,24/06/2014,0.1,Other,4000,4700,4350,
,26/06/2014,0.1,Other,4300,4700,4500,
,27/06/2014,0.1,Other,4600,5000,4800,
,30/06/2014,0.1,Other,4700,5000,4850,
Konganapuram,02/06/2014,0.1,DCH-32(Unginned),5800,6200,6000,
,03/06/2014,0.1,DCH-32(Unginned),5400,6000,5700,
,04/06/2014,0.1,DCH-32(Unginned),5800,6400,6100,
,,,Other,4800,5300,5050,
,05/06/2014,0.1,DCH-32(Unginned),5800,6200,6000,
,06/06/2014,0.1,DCH-32(Unginned),5800,6200,6000,
,09/06/2014,0.1,DCH-32(Unginned),5200,5600,5400,
,,,Other,4000,4500,4250,
,10/06/2014,0.1,DCH-32(Unginned),5200,5600,5400,
,,,Other,4000,4500,4250,
,11/06/2014,0.1,DCH-32(Unginned),5200,5600,5400,
,,,Other,4000,4500,4250,
,12/06/2014,0.1,DCH-32(Unginned),5200,5600,5400,
,,,Other,4000,4500,4250,
,13/06/2014,0.1,DCH-32(Unginned),5200,5600,5400,
,,,Other,4000,4500,4250,
