Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Anthiyur,05/10/2015,40,LRA,4200,4500,4375,
,12/10/2015,30,Other,3700,4200,4050,
,19/10/2015,3.5,Other,3600,4000,3850,
Gangavalli,01/10/2015,0.1,Other,4200,4400,4300,
,05/10/2015,0.1,Other,4250,4420,4335,
,06/10/2015,0.1,Other,4250,4420,4335,
,07/10/2015,0.1,Other,4250,4420,4335,
,08/10/2015,0.1,Other,4260,4430,4345,
,09/10/2015,0.1,Other,4200,4400,4300,
,12/10/2015,0.1,Other,4260,4430,4345,
,13/10/2015,0.1,Other,4200,4400,4300,
,14/10/2015,0.1,Other,4200,4400,4300,
,15/10/2015,0.1,Other,4250,4450,4350,
,16/10/2015,0.1,Other,4250,4450,4350,
,19/10/2015,0.1,Other,4280,4440,4360,
,20/10/2015,0.1,Other,4280,4440,4360,
,23/10/2015,0.1,Other,4250,4420,4335,
,26/10/2015,0.1,Other,4200,4400,4300,
,27/10/2015,0.1,Other,4200,4400,4300,
,28/10/2015,0.1,Other,4260,4425,4343,
,29/10/2015,0.1,Other,4260,4425,4343,
,30/10/2015,0.1,Other,1260,1425,1343,
Gingee,05/10/2015,0.4,Other,4205,4205,4205,
,09/10/2015,0.2,Other,3413,3867,3640,
,14/10/2015,0.1,Other,2500,2500,2500,
,16/10/2015,0.2,Other,1100,3000,2050,
,20/10/2015,0.2,Other,907,1600,1254,
,26/10/2015,0.2,Other,1190,3305,2248,
,28/10/2015,0.2,Other,1251,3501,2376,
Kolathur,01/10/2015,0.1,Other,4400,4600,4500,
,05/10/2015,0.1,Other,3800,4400,4100,
,06/10/2015,0.1,Other,3800,4400,4100,
,07/10/2015,0.1,Other,3800,4200,4000,
,08/10/2015,0.1,Other,3800,4200,4000,
,09/10/2015,0.1,Other,3800,4200,4000,
,12/10/2015,0.1,Other,3800,4200,4000,
,14/10/2015,0.1,Other,3600,4200,3900,
,16/10/2015,0.1,Other,3700,4300,4000,
,19/10/2015,0.1,Other,3700,4300,4000,
,20/10/2015,0.1,Other,3800,4200,4000,
,23/10/2015,0.1,Other,3600,4200,3900,
,26/10/2015,0.1,Other,3800,4200,4000,
,27/10/2015,0.1, ,NR,NR,NR,
,28/10/2015,0.1,Other,3700,4300,4000,
,29/10/2015,0.1,Other,3700,4300,4000,
,30/10/2015,0.1,Other,3700,4300,4000,
Konganapuram,01/10/2015,0.1,Other,4000,5000,4500,
,05/10/2015,0.1,Other,4000,4800,4400,
,06/10/2015,0.1,Other,4000,4800,4400,
,07/10/2015,0.1,Other,3800,4600,4200,
,08/10/2015,0.1,Other,4200,4800,4500,
,09/10/2015,0.1,Other,4200,4800,4500,
,12/10/2015,0.1,Other,4200,4800,4500,
,14/10/2015,0.1,Other,4000,4600,4300,
,15/10/2015,0.1,Other,4200,4600,4400,
,16/10/2015,0.1,Other,4200,4600,4400,
,19/10/2015,0.1,Other,4000,4800,4400,
,20/10/2015,0.1,Other,3800,4600,4200,
,23/10/2015,0.1,Other,4000,4600,4300,
,26/10/2015,0.1,Other,4000,4500,4250,
,27/10/2015,0.1,Other,4000,4500,4250,
,28/10/2015,0.1,Other,4000,4500,4250,
,29/10/2015,0.1,Other,4000,4500,4250,
,30/10/2015,0.1,Other,4000,4500,4250,
Kovilpatti,01/10/2015,3.5,LRA,3300,3800,3500,
,,,Other,3500,3700,3700,
Kumbakonam,01/10/2015,33.16, ,NR,NR,NR,
,03/10/2015,23.73, ,NR,NR,NR,
,04/10/2015,23.73, ,NR,NR,NR,
,05/10/2015,20.73, ,NR,NR,NR,
,06/10/2015,20.73, ,NR,NR,NR,
,07/10/2015,18.87, ,NR,NR,NR,
,08/10/2015,18.87, ,NR,NR,NR,
,09/10/2015,18.87, ,NR,NR,NR,
,10/10/2015,18.87, ,NR,NR,NR,
,11/10/2015,18.87, ,NR,NR,NR,
,12/10/2015,18.87, ,NR,NR,NR,
Mailaduthurai,05/10/2015,8.41,MCU-7,2616,4021,3810,
Moolanur,01/10/2015,93,Other,4300,5180,4800,
,05/10/2015,118,Other,4300,5200,4900,
,13/10/2015,90,Other,4300,5250,4800,
Panruti,08/10/2015,0.1,Other,2679,NR,NR,
,09/10/2015,0.1,Other,3550,NR,NR,
,14/10/2015,0.1,Other,3050,3050,3050,
,27/10/2015,0.1,Other,2862,2862,2862,
Sathyamangalam,09/10/2015,28,Other,4000,4000,4000,
Sembanarkoil,05/10/2015,2.04,MCU-7,3215,4062,3820,
Vikkiravandi,12/10/2015,0.6,Other,3410,3640,3520,
,13/10/2015,0.5,Other,3650,NR,NR,
,15/10/2015,0.1,Other,3009,NR,NR,
,19/10/2015,0.2,Other,2991,NR,NR,
,29/10/2015,0.1,Other,3240,NR,NR,
Villupuram,01/10/2015,75,Other,4019,4625,4436,
,05/10/2015,2,Other,4219,4559,4419,
,07/10/2015,40,Other,4015,4508,4490,
,09/10/2015,0.5,Other,3917,4292,4250,
,13/10/2015,5,Other,4051,4285,4202,
,15/10/2015,1,Other,4067,4139,4139,
,16/10/2015,0.2,Other,2853,4139,4004,
,19/10/2015,30,Other,4076,4202,4166,
,20/10/2015,0.5,Other,4067,4139,4103,
,26/10/2015,0.8,Other,3797,4076,3950,
,27/10/2015,6,Other,3797,4115,4094,
,28/10/2015,1.2,Other,3079,4193,4049,
,29/10/2015,0.1,Other,3019,4239,4049,
