Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Gangavalli,02/05/2016,0.1,Other,4520,4570,4545,
,03/05/2016,0.1,Other,4500,5525,4550,
,04/05/2016,0.1,Other,4300,4500,4400,
,05/05/2016,0.1,Other,4300,4500,4400,
,06/05/2016,0.1,Other,4470,4540,4505,
,09/05/2016,0.1,Other,4300,4500,4400,
,10/05/2016,0.1,Other,4300,4500,4400,
,11/05/2016,0.1,Other,4360,4550,4455,
,12/05/2016,0.1,Other,4300,4500,4400,
,13/05/2016,0.1,Other,4370,4530,4450,
,17/05/2016,0.1,Other,4380,4550,4465,
,18/05/2016,0.1,Other,4380,4550,4465,
,19/05/2016,0.1,Other,4380,4550,4465,
,20/05/2016,0.1,Other,4400,4520,4460,
,23/05/2016,0.1,Other,4370,4530,4450,
,24/05/2016,0.1,Other,4400,4520,4460,
,25/05/2016,0.1,Other,4400,4520,4460,
,26/05/2016,0.1,Other,4400,4520,4460,
,27/05/2016,0.1,Other,4400,4520,4460,
,30/05/2016,0.1,Other,4400,4550,4475,
,31/05/2016,0.1,Other,4400,4500,4450,
Gingee,03/05/2016,0.02,Other,1150,4950,4750,
,12/05/2016,0.15,Other,4955,4955,4955,
,25/05/2016,0.02,Other,4804,5023,4915,
,26/05/2016,0.04,Other,4863,4873,4868,
,30/05/2016,0.02,Other,1120,4804,2962,
Kolathur,02/05/2016,0.1, ,NR,NR,NR,
,03/05/2016,0.1,Other,4400,4800,4600,
,04/05/2016,0.1,Other,4400,4800,4600,
,05/05/2016,0.1,Other,4400,4800,4600,
,06/05/2016,0.1,Other,4400,4800,4600,
,09/05/2016,0.1,Other,3900,4700,4300,
,10/05/2016,0.1,Other,3900,4700,4300,
,11/05/2016,0.1,Other,3900,4700,4300,
,12/05/2016,0.1,Other,3900,4700,4300,
,13/05/2016,0.1,Other,4400,5000,4700,
,17/05/2016,0.1,Other,3900,4700,4300,
,18/05/2016,0.1,Other,3900,4700,4300,
,19/05/2016,0.1,Other,3900,4700,4300,
,20/05/2016,0.1,Other,3900,4700,4300,
,23/05/2016,0.1,Other,3900,4700,4300,
,24/05/2016,0.1,Other,3900,4700,4300,
,25/05/2016,0.1,Other,4400,5000,4700,
,26/05/2016,0.1,Other,3900,4700,4600,
,27/05/2016,0.1,Other,3900,4700,4600,
,30/05/2016,0.1,Other,4500,4900,4700,
,31/05/2016,0.1,Other,4500,4900,4700,
Konganapuram,02/05/2016,0.1, ,NR,NR,NR,
,03/05/2016,0.1,Other,4400,5200,4800,
,04/05/2016,0.1,Other,4700,5300,5000,
,05/05/2016,0.1,Other,4400,5200,4800,
,06/05/2016,0.1,Other,4400,5200,4800,
,09/05/2016,0.1,Other,4400,5200,4800,
,10/05/2016,0.1,Other,4400,5200,4800,
,11/05/2016,0.1,Other,4400,5200,4800,
,12/05/2016,0.1,Other,4600,4900,4700,
,13/05/2016,0.1,Other,4600,4900,4700,
,17/05/2016,0.1,Other,4400,5200,4800,
,18/05/2016,0.1,Other,4400,5200,4800,
,19/05/2016,0.1,Other,4400,5200,4800,
,20/05/2016,0.1,Other,4400,5200,4800,
,23/05/2016,0.1,Other,4400,5200,4800,
,24/05/2016,0.1,Other,4400,4800,4600,
,25/05/2016,0.1,Other,4400,5200,4800,
,26/05/2016,0.1,Other,4400,4800,4600,
,27/05/2016,0.1,Other,4400,4800,4600,
,30/05/2016,0.1,Other,4400,4800,4600,
,31/05/2016,0.1,Other,4400,4800,4600,
Moolanur,06/05/2016,288,Other,4800,5660,5350,
,13/05/2016,269,Other,4600,5550,5050,
,20/05/2016,64,Other,4800,5700,5200,
Namakkal,02/05/2016,0.1,Other,4600,4800,4700,
,03/05/2016,0.1,Other,4600,4800,4700,
,04/05/2016,0.1,Other,4600,4800,4700,
,05/05/2016,0.1,Other,4700,4900,4800,
,06/05/2016,0.1,Other,4600,4800,4700,
,09/05/2016,0.1,Other,4600,4800,4700,
,10/05/2016,0.1,Other,4800,5000,4900,
,11/05/2016,0.1,Other,4700,4900,4800,
,12/05/2016,0.1,Other,4600,4800,4700,
,13/05/2016,0.1,Other,5300,5500,5400,
,17/05/2016,0.1,Other,5300,5500,5400,
,18/05/2016,0.1,Other,5300,5500,5400,
,19/05/2016,0.1,Other,5300,5500,5400,
,20/05/2016,0.1,Other,5300,5500,5400,
,23/05/2016,0.1,Other,5300,5500,5400,
,24/05/2016,0.1,Other,5300,5500,5400,
,25/05/2016,0.1,Other,5300,5500,5400,
,30/05/2016,0.1,Other,5300,5500,5400,
,31/05/2016,0.1,Other,5300,5500,5400,
Panruti,02/05/2016,0.2,Other,4750,4801,4800,
,04/05/2016,1,Other,4769,5013,4943,
,06/05/2016,0.6,Other,4589,4912,4739,
,09/05/2016,0.3,Other,3379,4919,4889,
,11/05/2016,0.3,Other,4981,4983,4982,
,18/05/2016,0.1,Other,4787,4789,4788,
,23/05/2016,5,Other,3069,4689,4569,
,24/05/2016,0.3,Other,3888,4689,4512,
,25/05/2016,0.3,Other,3901,4739,4266,
,26/05/2016,0.2,Other,4488,4629,4489,
,30/05/2016,0.5,Other,4279,4879,4659,
,31/05/2016,0.2,Other,3009,4629,4279,
Thalaivasal,02/05/2016,0.1, ,NR,NR,NR,
,03/05/2016,0.1, ,NR,NR,NR,
,04/05/2016,0.1, ,NR,NR,NR,
,06/05/2016,0.1, ,NR,NR,NR,
,13/05/2016,0.1, ,NR,NR,NR,
,17/05/2016,0.1, ,NR,NR,NR,
,18/05/2016,0.1, ,NR,NR,NR,
,19/05/2016,0.1, ,NR,NR,NR,
,20/05/2016,0.1, ,NR,NR,NR,
,23/05/2016,0.1, ,NR,NR,NR,
,24/05/2016,0.1, ,NR,NR,NR,
,25/05/2016,0.1, ,NR,NR,NR,
,26/05/2016,0.1, ,NR,NR,NR,
,27/05/2016,0.1, ,NR,NR,NR,
Tindivanam,04/05/2016,0.1,Other,4700,4700,4700,
,11/05/2016,0.1,Other,4300,4300,4300,
,31/05/2016,0.1,Other,4509,4509,4509,
