Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Annur,08/07/2020,5.43,RCH-2,4800,5000,4900,
Anthiyur,09/07/2020,223.65,Other,3719,4442,4029,
,14/07/2020,222.25,Other,3819,4669,4259,
,22/07/2020,296.8,Other,3639,4629,4228,
,30/07/2020,300.28,Other,3639,4769,4189,
Dindigul,06/07/2020,0.3, ,NR,NR,NR,
,07/07/2020,0.36, ,NR,NR,NR,
,12/07/2020,0.36, ,NR,NR,NR,
,13/07/2020,0.6, ,NR,NR,NR,
,14/07/2020,0.6, ,NR,NR,NR,
,15/07/2020,1, ,NR,NR,NR,
,17/07/2020,0.36, ,NR,NR,NR,
,25/07/2020,0.69, ,NR,NR,NR,
,26/07/2020,0.9, ,NR,NR,NR,
Gangavalli,17/07/2020,17.62,GCH,4000,4200,4100,
,20/07/2020,19.45,GCH,4200,4400,4300,
,27/07/2020,9.65,GCH,4200,4400,4300,
Gingee,15/07/2020,0.11,Other,5200,5340,5270,
,16/07/2020,0.01,Other,5200,5850,5525,
,20/07/2020,0.02,Other,5250,5308,5279,
,22/07/2020,0.1,Other,2055,3415,2735,
,27/07/2020,0.12,RCH-2,5170,5350,5260,
,28/07/2020,0.2,Other,1335,4237,2786,
,30/07/2020,0.08,Other,5200,5450,5325,
Kolathur,11/07/2020,45,Other,3300,3500,3400,
,18/07/2020,50,Other,3300,3500,3400,
Konganapuram,09/07/2020,1,Other,3000,4000,3500,
,10/07/2020,1,Other,3000,4000,3500,
,27/07/2020,2,Other,3600,4200,3900,
Kudavasal,01/07/2020,0.01,MCU-7,3329,5550,4409,
,02/07/2020,0.01,MCU-7,3329,5550,4409,
,03/07/2020,0.01,MCU-7,3329,5550,4409,
,04/07/2020,0.01,MCU-7,3329,5550,4235,
,06/07/2020,0.01,MCU-7,3329,5550,4235,
,07/07/2020,0.01,MCU-7,3329,5550,4235,
,08/07/2020,0.01,MCU-7,3509,5278,4206,
,09/07/2020,0.01,MCU-7,3509,5278,4206,
,10/07/2020,0.01,MCU-7,3509,5278,4206,
,11/07/2020,0.01,MCU-7,3509,5278,4206,
,13/07/2020,0.01,MCU-7,3509,5278,4206,
,15/07/2020,216.68,MCU-7,3509,5278,4475,
,16/07/2020,0.01,MCU-7,3509,5278,4475,
,17/07/2020,0.01,MCU-7,3509,5278,4475,
,18/07/2020,0.01,MCU-7,3509,5278,4206,
,20/07/2020,0.01,MCU-7,3509,5278,4206,
,21/07/2020,217.47,MCU-7,4009,5550,4655,
,22/07/2020,0.01,MCU-7,4009,5550,4655,
,23/07/2020,0.01,MCU-7,4009,5550,4655,
,24/07/2020,0.01,MCU-7,4009,5550,4655,
,25/07/2020,0.01,MCU-7,4009,5550,4655,
,27/07/2020,142.78,MCU-7,3801,5278,4488,
,28/07/2020,0.01,MCU-7,3801,5278,4488,
,29/07/2020,0.01,MCU-7,3801,5278,4488,
,30/07/2020,0.01,MCU-7,3801,5278,4488,
,31/07/2020,0.01,MCU-7,3801,5278,4488,
Kuttulam,20/07/2020,337.01,MCU-7,4109,5550,4909,
Mailaduthurai,18/07/2020,126.58,MCU-7,4137,5550,5061,
Moolanur,13/07/2020,128.81,Other,3250,5500,4200,
Nagapattinam,17/07/2020,120.98,MCU-7,4059,5550,4589,
Panruti,01/07/2020,2.6, ,NR,NR,NR,
,02/07/2020,1.85,Other,3879,4208,4138,
,03/07/2020,0.79,Other,3598,4059,3829,
,06/07/2020,3.12,Other,3819,4278,4079,
,07/07/2020,0.41,Other,1511,4050,2798,
,08/07/2020,5.89,Other,3899,4456,4293,
,09/07/2020,10.74,Other,2022,4310,3166,
,10/07/2020,3.21,Other,3689,4369,4149,
,13/07/2020,12.07,Other,3079,4370,3725,
,14/07/2020,5.57,Other,2048,4299,3174,
,15/07/2020,16.57,Other,1968,4320,4039,
,20/07/2020,6.22,Other,3869,4288,4128,
,21/07/2020,3.97,Other,1798,4318,4298,
,22/07/2020,4.89,Other,3539,4229,3884,
,23/07/2020,5.21,Other,3289,4298,3794,
,24/07/2020,1.37,Other,3189,4239,4198,
,27/07/2020,2.73,Other,3798,4319,4059,
,28/07/2020,2.91,Other,2148,4269,3209,
,29/07/2020,0.84,Other,3798,4369,4096,
,30/07/2020,2.56,Other,4097,4309,4298,
,31/07/2020,58.06,Other,4097,4368,4168,
Poonthottam,01/07/2020,0.01,MCU-7,3501,5550,4192,
,02/07/2020,0.01,MCU-7,3501,5550,4192,
,03/07/2020,140.81,MCU-7,3509,5550,4224,
,04/07/2020,0.01,MCU-7,3309,5550,4110,
,06/07/2020,0.01,MCU-7,3309,5550,4110,
,07/07/2020,0.01,MCU-7,3309,5550,4235,
,08/07/2020,0.01,MCU-7,3309,5550,4110,
,09/07/2020,0.01,MCU-7,3309,5550,4110,
,10/07/2020,0.01,MCU-7,3309,5550,4110,
,11/07/2020,0.01,MCU-7,3509,5550,4224,
,13/07/2020,208.53,MCU-7,3609,5550,4540,
,14/07/2020,0.01,MCU-7,3609,5550,4540,
,15/07/2020,0.01,MCU-7,3609,5550,4540,
,16/07/2020,0.01,MCU-7,3609,5550,4540,
,17/07/2020,0.01,MCU-7,3609,5550,4540,
,18/07/2020,255.28,MCU-7,4000,5550,4790,
,20/07/2020,0.01,MCU-7,4000,5550,4790,
,21/07/2020,0.01,MCU-7,4000,5550,4790,
,22/07/2020,0.01,MCU-7,4000,5550,4790,
,23/07/2020,0.01,MCU-7,4000,5550,4790,
,24/07/2020,195.53,MCU-7,4009,5550,4843,
,25/07/2020,0.01,MCU-7,4009,5550,4843,
,27/07/2020,0.01,MCU-7,4009,5550,4843,
,28/07/2020,0.01,MCU-7,4009,5550,4843,
,29/07/2020,0.01,MCU-7,4009,5550,4843,
,30/07/2020,0.01,MCU-7,4009,5550,4843,
,31/07/2020,0.01,MCU-7,4009,5550,4843,
Sembanarkoil,17/07/2020,286.44,MCU-7,3989,5550,5200,
Sirkali,17/07/2020,224.13,MCU-7,4002,5550,5090,
Thalaivasal,01/07/2020,12.29,Other,3200,4000,3700,
,02/07/2020,12.29,Other,3200,4000,3700,
,08/07/2020,18.59,Other,3200,3950,3650,
,27/07/2020,9.93,Other,3250,3850,3550,
Thiruvarur,01/07/2020,0.01,MCU-7,3501,5550,4623,
,02/07/2020,0.01,MCU-7,3501,5550,4623,
,03/07/2020,409.37,MCU-7,3509,5550,4452,
,04/07/2020,0.01,MCU-7,3469,5550,4395,
,06/07/2020,0.01,MCU-7,3469,5550,4395,
,07/07/2020,0.01,MCU-7,3469,5550,4395,
,08/07/2020,0.01,MCU-7,3469,5550,4395,
,09/07/2020,0.01,MCU-7,3469,5550,4395,
,10/07/2020,533.38,MCU-7,3609,5550,4719,
,11/07/2020,0.01,MCU-7,3609,5550,4719,
,13/07/2020,0.01,MCU-7,3609,5550,4719,
,14/07/2020,0.01,MCU-7,3609,5550,4719,
,15/07/2020,0.01,MCU-7,3609,5550,4719,
,16/07/2020,567.43,MCU-7,4109,5550,4920,
,17/07/2020,0.01,MCU-7,4109,5550,4920,
,18/07/2020,0.01,MCU-7,4109,5550,4920,
,20/07/2020,0.01,MCU-7,4109,5550,4920,
,21/07/2020,0.01, ,NR,NR,NR,
,22/07/2020,0.01,MCU-7,4109,5550,4920,
,23/07/2020,474.83,MCU-7,4009,5550,4652,
,24/07/2020,0.01,MCU-7,4009,5550,4652,
,25/07/2020,0.01,MCU-7,4009,5550,4652,
,27/07/2020,0.01,MCU-7,4009,5550,4652,
,28/07/2020,0.01,MCU-7,4009,5550,4652,
,29/07/2020,0.01,MCU-7,4009,5550,4652,
,30/07/2020,419.02,MCU-7,4009,5550,4758,
,31/07/2020,0.01,MCU-7,4009,5550,4758,
Vaduvur,08/07/2020,0.01, ,NR,NR,NR,
Valangaiman,01/07/2020,0.01,MCU-7,5278,5550,5363,
,02/07/2020,0.01,MCU-7,5278,5550,5363,
,03/07/2020,67.06,MCU-7,5278,5550,5363,
,04/07/2020,0.01,MCU-7,3409,5550,4512,
,06/07/2020,0.01,MCU-7,3409,5550,4512,
,07/07/2020,0.01,MCU-7,3409,5550,4512,
,08/07/2020,0.01,MCU-7,3409,5550,4512,
,09/07/2020,0.01,MCU-7,3409,5550,4512,
,10/07/2020,0.01,MCU-7,3409,5550,4512,
,11/07/2020,0.01,MCU-7,5278,5550,5363,
,13/07/2020,103.97, ,NR,NR,NR,
,14/07/2020,0.01,MCU-7,3869,5550,5002,
,15/07/2020,0.01,MCU-7,3869,5550,5002,
,16/07/2020,0.01,MCU-7,3869,5550,5002,
,17/07/2020,0.01,MCU-7,3869,5550,5002,
,18/07/2020,0.01,MCU-7,3869,5550,5002,
,20/07/2020,0.01, ,NR,NR,NR,
,21/07/2020,0.01,MCU-7,4009,5550,5127,
,22/07/2020,0.01,MCU-7,4009,5550,5127,
,23/07/2020,0.01,MCU-7,4009,5550,5127,
,24/07/2020,0.01,MCU-7,4009,5550,5127,
,25/07/2020,0.01,MCU-7,4009,5550,5127,
,27/07/2020,0.01,MCU-7,4009,5550,5127,
,28/07/2020,0.01,MCU-7,4009,5550,5127,
,29/07/2020,0.01,MCU-7,4009,5550,5127,
,30/07/2020,0.01,MCU-7,4009,5550,5127,
,31/07/2020,0.01,MCU-7,4009,5550,5127,
