Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price(Rs./Quintal),Maximum Price(Rs./Quintal),Modal Price(Rs./Quintal),
Armoor,17/06/2010,60,Other,1833,1833,1833,
Enkoor,11/06/2010,1,Cotton (Unginned),3050,3050,3050,
,14/06/2010,1,Cotton (Unginned),3100,3100,3100,
,15/06/2010,1,Cotton (Unginned),3025,3025,3025,
,17/06/2010,1,Cotton (Unginned),3150,3150,3150,
,18/06/2010,1,Cotton (Unginned),3000,3075,3000,
,19/06/2010,1,Cotton (Unginned),3050,3100,3050,
,26/06/2010,1,Cotton (Unginned),3000,3075,3000,
Jammikunta,04/06/2010,2000,Cotton (Unginned),3180,3380,3280,
,07/06/2010,2650,Cotton (Unginned),3150,3350,3250,
,08/06/2010,2600,Cotton (Unginned),3170,3370,3270,
,09/06/2010,2200,Cotton (Unginned),3150,3350,3250,
,10/06/2010,2000,Cotton (Unginned),3150,3350,3250,
,11/06/2010,1750,Cotton (Unginned),3150,3350,3250,
,14/06/2010,3000,Cotton (Unginned),3150,3350,3250,
,15/06/2010,2250,Cotton (Unginned),3150,3350,3250,
,16/06/2010,1550,Cotton (Unginned),3150,3350,3250,
,17/06/2010,1250,Cotton (Unginned),3170,3370,3270,
,18/06/2010,900,Cotton (Unginned),3200,3400,3300,
,22/06/2010,900,Cotton (Unginned),3200,3400,3300,
,23/06/2010,750,Cotton (Unginned),3200,3400,3300,
,24/06/2010,900,Cotton (Unginned),3220,3420,3320,
,25/06/2010,1350,Cotton (Unginned),3200,3500,3350,
,29/06/2010,2280,Cotton (Unginned),3200,3500,3350,
,30/06/2010,2000,Cotton (Unginned),3270,3470,3370,
Karimnagar,02/06/2010,966,Cotton (Unginned),2780,3270,3110,
,03/06/2010,473,Cotton (Unginned),2750,3290,3080,
,04/06/2010,610,Cotton (Unginned),2800,3200,3050,
,07/06/2010,1068,Cotton (Unginned),2700,3200,3130,
,08/06/2010,846,Cotton (Unginned),2800,3250,3100,
,17/06/2010,293,Cotton (Unginned),2910,3240,3140,
,18/06/2010,302,Cotton (Unginned),3030,3280,3150,
,21/06/2010,447,Cotton (Unginned),2900,3300,3110,
,22/06/2010,195,Cotton (Unginned),3000,3340,3280,
,23/06/2010,250,Cotton (Unginned),2850,3300,3250,
,29/06/2010,350,Cotton (Unginned),2900,3390,3300,
Kesamudram,09/06/2010,258,Cotton (Unginned),3055,3395,3335,
,21/06/2010,462,Desi,3100,3450,3395,
,24/06/2010,124,Other,3375,3515,3475,
,28/06/2010,269,Other,3280,3510,3455,
,30/06/2010,345,Other,3300,3505,3465,
Khammam,07/06/2010,134,Cotton (Unginned),2800,3300,3150,
,08/06/2010,142,Cotton (Unginned),2600,3310,3100,
,10/06/2010,417,Cotton (Unginned),3125,3305,3125,
,11/06/2010,350,Cotton (Unginned),2900,3380,3200,
,14/06/2010,966,Cotton (Unginned),2850,3325,3250,
,15/06/2010,308,Cotton (Unginned),2700,3325,3200,
,16/06/2010,376,Cotton (Unginned),2900,3355,3150,
,17/06/2010,258,Cotton (Unginned),3000,3400,3275,
,18/06/2010,247,Cotton (Unginned),2800,3325,3250,
,19/06/2010,153,Cotton (Unginned),2900,3250,3150,
,21/06/2010,221,Cotton (Unginned),2900,3316,3200,
,22/06/2010,262,Cotton (Unginned),2700,3400,3100,
,23/06/2010,283,Cotton (Unginned),3100,3400,3300,
,24/06/2010,388,Cotton (Unginned),2900,3500,3350,
,25/06/2010,380,Cotton (Unginned),3050,3450,3300,
,26/06/2010,410,Cotton (Unginned),3100,3360,3325,
,29/06/2010,578,Cotton (Unginned),3100,3375,3300,
,30/06/2010,369,Cotton (Unginned),2900,3400,3300,
Madnoor,01/06/2010,1, ,NR,NR,NR,
,04/06/2010,1, ,NR,NR,NR,
,05/06/2010,1, ,NR,NR,NR,
,07/06/2010,1, ,NR,NR,NR,
,10/06/2010,1, ,NR,NR,NR,
,14/06/2010,1, ,NR,NR,NR,
,17/06/2010,1, ,NR,NR,NR,
,18/06/2010,1, ,NR,NR,NR,
,19/06/2010,1, ,NR,NR,NR,
,21/06/2010,1, ,NR,NR,NR,
,22/06/2010,1, ,NR,NR,NR,
,23/06/2010,1, ,NR,NR,NR,
,24/06/2010,1, ,NR,NR,NR,
,25/06/2010,1, ,NR,NR,NR,
,26/06/2010,1, ,NR,NR,NR,
,30/06/2010,1,G-6,3000,3000,3000,
Peddapalli,01/06/2010,162,Cotton (Unginned),2700,3300,3000,
,02/06/2010,72,Cotton (Unginned),2700,3250,2900,
,03/06/2010,144,Cotton (Unginned),2800,3200,3100,
,04/06/2010,61,Cotton (Unginned),2800,3150,3000,
,05/06/2010,1,Cotton (Unginned),3000,3000,3000,
,06/06/2010,1,Cotton (Unginned),3000,3000,3000,
,07/06/2010,123,Cotton (Unginned),2800,3200,3000,
,08/06/2010,57,Cotton (Unginned),2800,3105,3100,
,09/06/2010,215,Cotton (Unginned),2800,3050,2900,
